id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,19326,9566,966,20.006
values_505,45160,23718,1956,23.088
values_924,54871,28431,2358,23.270
values_862,22189,11319,1060,20.933
values_287,4259,2197,246,17.313
values_733,2279,1135,150,15.193
values_813,54367,28143,2358,23.056
values_11,36491,19417,1590,22.950
values_19,6407,3187,358,17.897
values_999,49441,26343,2086,23.701
values_134,562,282,40,14.050
values_609,18077,9229,876,20.636
values_993,25199,13057,1158,21.761
values_731,7733,3943,420,18.412
values_127,562,282,40,14.050
values_889,6507,3239,358,18.176
values_987,45189,23735,1956,23.103
values_780,14746,7740,708,20.828
values_435,19426,9618,966,20.110
values_950,39038,20506,1708,22.856
values_976,45189,23735,1956,23.103
values_557,7679,3913,420,18.283
values_398,14630,7672,708,20.664
values_892,16175,8365,790,20.475
values_670,7733,3943,420,18.412
values_574,17996,9184,876,20.543
values_163,19626,9722,966,20.317
values_900,12615,6527,630,20.024
values_392,24919,12897,1158,21.519
values_447,45015,23633,1956,23.014
values_523,6282,3122,358,17.547
values_679,562,282,40,14.050
values_419,49441,26343,2086,23.701
values_895,38893,20421,1708,22.771
values_298,54675,28319,2358,23.187
values_155,54367,28143,2358,23.056
values_12,22216,11334,1060,20.958
values_160,562,282,40,14.050
values_626,4259,2197,246,17.313
values_38,2279,1135,150,15.193
values_146,1538,778,108,14.241
values_81,52173,27425,2220,23.501
values_687,10983,5747,556,19.754
values_213,17996,9184,876,20.543
values_212,45015,23633,1956,23.014
values_568,7652,3898,420,18.219
values_5,11186,5866,556,20.119
values_40,16175,8365,790,20.475
values_970,36341,19327,1590,22.856
values_707,12559,6495,630,19.935
values_406,25311,13121,1158,21.858
values_893,54395,28159,2358,23.068
values_144,33256,17466,1476,22.531
values_979,48991,26073,2086,23.486
values_831,1077,545,74,14.554
values_402,16427,8509,790,20.794
values_404,14514,7604,708,20.500
values_310,27843,14615,1260,22.098
values_70,6507,3239,358,18.176
values_268,19776,9800,966,20.472
values_412,52615,27246,2274,23.138
values_290,36551,19453,1590,22.988
values_916,17969,9169,876,20.513
values_567,19276,9540,966,19.954
values_913,901,447,70,12.871
values_232,9251,4777,486,19.035
values_319,3199,1629,196,16.321
values_23,5300,2704,300,17.667
values_899,33256,17466,1476,22.531
values_428,54367,28143,2358,23.056
values_858,54367,28143,2358,23.056
values_546,41031,21227,1830,22.421
values_432,901,447,70,12.871
values_231,45131,23701,1956,23.073
values_388,52202,27442,2220,23.514
values_350,13506,7082,654,20.651
values_603,44899,23565,1956,22.954
values_364,22324,11394,1060,21.060
values_530,27901,14649,1260,22.144
values_72,10954,5730,556,19.701
values_536,5246,2674,300,17.487
values_79,6282,3122,358,17.547
values_342,7239,3707,374,19.356
values_803,6257,3109,358,17.478
values_501,5787,2882,314,18.430
