inputName,text,data,bss
values_242,472,22,0
values_505,472,15,0
values_1006,472,27,0
values_924,472,6,0
values_862,472,22,0
values_287,472,27,0
values_733,472,32,0
values_813,472,17,0
values_11,472,20,0
values_19,472,20,0
values_999,472,27,0
values_134,472,16,0
values_609,472,13,0
values_993,472,27,0
values_731,472,32,0
values_127,472,21,0
values_889,472,16,0
values_987,472,9,0
values_780,472,20,0
values_435,472,22,0
values_950,472,12,0
values_976,472,9,0
values_557,472,22,0
values_398,472,10,0
values_892,472,16,0
values_670,472,13,0
values_574,472,22,0
values_163,472,9,0
values_900,472,6,0
values_392,472,10,0
values_447,472,22,0
values_523,472,24,0
values_679,472,16,0
values_419,472,22,0
values_895,472,16,0
values_298,472,20,0
values_155,472,16,0
values_12,472,20,0
values_160,472,9,0
values_626,472,13,0
values_38,472,29,0
values_146,472,16,0
values_81,472,24,0
values_687,472,16,0
values_213,472,27,0
values_212,472,27,0
values_568,472,22,0
values_5,472,20,0
values_40,472,29,0
values_970,472,9,0
values_707,472,32,0
values_406,472,10,0
values_893,472,16,0
values_144,472,16,0
values_979,472,9,0
values_831,472,17,0
values_402,472,10,0
values_404,472,10,0
values_310,472,20,0
values_70,472,24,0
values_268,472,27,0
values_1018,472,27,0
values_412,472,10,0
values_290,472,20,0
values_916,472,6,0
values_567,472,22,0
values_913,472,6,0
values_232,472,22,0
values_319,472,20,0
values_23,472,20,0
values_899,472,6,0
values_428,472,22,0
values_858,472,22,0
values_546,472,22,0
values_432,472,22,0
values_231,472,22,0
values_388,472,10,0
values_350,472,23,0
values_603,472,14,0
values_364,472,26,0
values_530,472,24,0
values_72,472,24,0
values_536,472,24,0
values_79,472,24,0
values_342,472,23,0
values_803,472,17,0
values_501,472,15,0
values_540,472,24,0
values_955,472,12,0
values_191,472,9,0
values_812,472,17,0
values_545,472,22,0
values_78,472,24,0
values_526,472,24,0
values_695,472,16,0
values_87,472,24,0
values_300,472,20,0
values_964,472,9,0
values_998,472,27,0
values_988,472,9,0
values_6,472,20,0
values_625,472,13,0
values_518,472,24,0
values_122,472,21,0
values_541,472,24,0
values_279,472,27,0
values_256,472,27,0
values_796,472,20,0
values_504,472,15,0
values_752,472,22,0
values_459,472,28,0
values_658,472,13,0
values_408,472,10,0
values_867,472,16,0
values_727,472,32,0
values_177,472,9,0
values_823,472,17,0
values_822,472,17,0
values_218,472,27,0
values_426,472,22,0
values_776,472,20,0
values_143,472,16,0
values_739,472,22,0
values_312,472,20,0
values_174,472,9,0
values_669,472,13,0
values_120,472,21,0
values_974,472,9,0
values_217,472,27,0
values_866,472,16,0
values_192,472,27,0
values_328,472,23,0
values_68,472,24,0
values_387,472,10,0
values_69,472,24,0
values_749,472,22,0
values_135,472,16,0
values_341,472,23,0
values_494,472,15,0
values_1,472,20,0
values_589,472,14,0
values_925,472,6,0
values_524,472,24,0
values_994,472,27,0
values_856,472,22,0
values_156,472,16,0
values_470,472,28,0
