id,clockCycles,assemblyInstr
values_242,462,214
values_505,421,195
values_924,421,195
values_862,175,81
values_287,134,62
values_733,339,157
values_813,298,138
values_11,462,214
values_19,380,176
values_999,298,138
values_134,175,81
values_609,175,81
values_993,216,100
values_731,175,81
values_127,462,214
values_889,339,157
values_987,134,62
values_780,462,214
values_435,380,176
values_950,462,214
values_976,134,62
values_557,134,62
values_398,298,138
values_892,93,43
values_670,134,62
values_574,134,62
values_163,380,176
values_900,380,176
values_392,462,214
values_447,421,195
values_523,380,176
values_679,421,195
values_419,380,176
values_895,298,138
values_298,134,62
values_155,93,43
values_12,93,43
values_160,175,81
values_626,421,195
values_38,175,81
values_146,380,176
values_81,93,43
values_687,134,62
values_213,257,119
values_212,175,81
values_568,175,81
values_5,380,176
values_40,134,62
values_970,380,176
values_707,298,138
values_406,421,195
values_893,216,100
values_144,216,100
values_979,93,43
values_831,134,62
values_402,339,157
values_404,134,62
values_310,175,81
values_70,339,157
values_268,380,176
values_412,421,195
values_290,298,138
values_916,257,119
values_567,134,62
values_913,462,214
values_232,380,176
values_319,134,62
values_23,339,157
values_899,257,119
values_428,421,195
values_858,298,138
values_546,257,119
values_432,462,214
values_231,298,138
values_388,380,176
values_350,257,119
values_603,93,43
values_364,257,119
values_530,216,100
values_72,257,119
values_536,93,43
values_79,175,81
values_342,421,195
values_803,257,119
values_501,380,176
values_540,93,43
values_955,339,157
values_191,298,138
values_812,462,214
values_545,462,214
values_78,134,62
values_526,134,62
values_695,93,43
values_87,257,119
values_300,257,119
values_964,257,119
values_998,380,176
values_988,93,43
values_6,298,138
values_625,175,81
values_518,339,157
values_122,93,43
values_541,216,100
values_279,257,119
values_256,380,176
values_796,421,195
values_504,216,100
values_752,93,43
values_459,257,119
values_658,421,195
values_408,93,43
values_867,257,119
values_727,175,81
values_177,421,195
values_823,421,195
values_822,93,43
values_218,175,81
values_426,339,157
values_776,216,100
values_143,175,81
values_739,421,195
values_312,462,214
values_174,216,100
values_669,380,176
values_120,462,214
values_974,134,62
values_217,380,176
values_866,175,81
values_192,462,214
values_328,175,81
values_68,257,119
values_387,93,43
values_69,380,176
values_749,134,62
values_135,134,62
values_341,298,138
values_494,298,138
values_1,462,214
values_589,216,100
values_925,339,157
values_524,216,100
values_994,421,195
values_856,380,176
values_156,339,157
values_470,175,81
values_207,257,119
values_655,339,157
values_441,462,214
values_109,339,157
values_45,134,62
values_125,339,157
values_600,339,157
values_708,216,100
values_791,134,62
values_912,462,214
values_533,257,119
values_418,462,214
values_228,175,81
values_585,339,157
values_465,93,43
values_239,134,62
values_842,462,214
values_208,93,43
values_932,134,62
values_957,175,81
values_563,134,62
values_766,134,62
values_476,462,214
values_175,462,214
values_591,339,157
values_997,339,157
values_385,175,81
values_115,216,100
values_653,134,62
values_753,134,62
values_241,93,43
values_197,134,62
values_636,216,100
values_450,298,138
values_106,257,119
values_699,298,138
values_578,380,176
values_644,216,100
values_570,216,100
values_873,93,43
values_33,216,100
values_210,134,62
values_486,257,119
values_252,257,119
values_694,462,214
values_759,175,81
values_245,380,176
values_15,380,176
values_792,257,119
values_248,421,195
values_246,175,81
values_556,339,157
values_513,257,119
values_93,380,176
values_558,421,195
values_991,339,157
values_181,257,119
values_674,134,62
values_652,380,176
values_344,421,195
values_715,380,176
values_528,216,100
values_276,175,81
values_24,134,62
values_296,134,62
values_244,380,176
values_380,462,214
values_25,298,138
values_740,134,62
values_478,339,157
values_379,134,62
values_810,257,119
values_440,216,100
values_543,93,43
values_130,339,157
values_225,462,214
values_285,380,176
values_363,216,100
values_667,134,62
values_26,134,62
values_793,175,81
values_772,134,62
values_931,380,176
values_981,257,119
values_422,421,195
values_920,93,43
values_259,93,43
values_477,175,81
values_738,175,81
values_430,134,62
values_922,298,138
values_903,421,195
values_761,380,176
values_204,421,195
values_48,93,43
values_71,134,62
values_851,175,81
values_347,339,157
values_725,175,81
values_266,380,176
values_448,257,119
values_934,257,119
values_531,216,100
values_224,257,119
values_686,298,138
values_927,462,214
values_407,421,195
values_76,257,119
values_949,421,195
values_969,134,62
values_781,380,176
values_7,134,62
values_683,298,138
values_376,298,138
values_877,339,157
values_654,380,176
values_508,134,62
values_332,298,138
values_281,298,138
values_381,93,43
values_769,339,157
values_701,216,100
values_855,93,43
values_320,216,100
values_50,462,214
values_918,93,43
values_615,380,176
values_704,462,214
values_633,93,43
values_847,380,176
values_602,462,214
values_399,380,176
values_22,134,62
values_313,339,157
values_375,93,43
values_963,380,176
values_168,298,138
values_226,93,43
values_190,380,176
values_429,298,138
values_236,257,119
values_777,216,100
values_909,462,214
values_438,462,214
values_607,175,81
values_717,134,62
values_782,421,195
values_258,298,138
values_872,216,100
values_637,380,176
values_746,339,157
values_4,421,195
values_345,134,62
values_102,380,176
values_962,257,119
values_356,339,157
values_853,175,81
values_849,257,119
values_814,93,43
values_370,462,214
values_778,93,43
values_458,134,62
values_818,339,157
values_119,175,81
values_373,462,214
values_351,134,62
values_32,93,43
values_770,257,119
values_371,298,138
values_283,175,81
values_535,421,195
values_250,298,138
values_132,216,100
values_649,216,100
values_77,93,43
values_260,298,138
values_891,462,214
values_91,93,43
values_137,462,214
values_42,298,138
values_13,298,138
values_577,421,195
values_41,421,195
values_809,421,195
values_414,93,43
values_360,257,119
values_386,421,195
values_158,421,195
values_904,339,157
values_480,216,100
values_647,175,81
values_104,462,214
values_55,175,81
values_491,216,100
values_391,298,138
values_972,134,62
values_571,134,62
values_940,134,62
values_861,175,81
values_324,298,138
values_549,421,195
values_170,421,195
values_269,134,62
values_442,93,43
values_520,380,176
values_455,216,100
values_31,257,119
values_971,298,138
values_397,134,62
values_254,462,214
values_616,462,214
values_66,134,62
values_943,134,62
values_117,216,100
values_451,175,81
values_643,134,62
values_688,93,43
values_569,421,195
values_745,93,43
values_65,216,100
values_980,380,176
values_982,462,214
values_62,216,100
values_789,134,62
values_401,175,81
values_21,339,157
values_598,462,214
values_273,257,119
values_534,93,43
values_118,134,62
values_141,380,176
values_366,339,157
values_222,175,81
values_876,216,100
values_700,421,195
values_95,175,81
values_806,93,43
values_671,298,138
values_816,462,214
values_630,380,176
values_433,257,119
values_905,462,214
values_84,339,157
values_233,380,176
values_664,175,81
values_162,421,195
values_681,134,62
values_542,339,157
values_169,421,195
values_660,216,100
values_488,257,119
values_894,462,214
values_828,134,62
values_537,134,62
values_845,339,157
values_584,380,176
values_457,421,195
values_499,339,157
values_369,339,157
