inputName,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 273 
"," 148 
"," 730 
"," 199 
"," 5574.74 
"," 262219.76 
"," 0.02 
"," 47.04 
"," 14567.76 
"," 1.37 
"
values_505," 269 
"," 146 
"," 720 
"," 197 
"," 5487.88 
"," 257836.26 
"," 0.02 
"," 46.98 
"," 14324.24 
"," 1.35 
"
values_924," 254 
"," 130 
"," 687 
"," 181 
"," 5152.39 
"," 256708.13 
"," 0.02 
"," 49.82 
"," 14261.56 
"," 1.35 
"
values_862," 270 
"," 147 
"," 722 
"," 198 
"," 5508.40 
"," 257995.26 
"," 0.02 
"," 46.84 
"," 14333.07 
"," 1.35 
"
values_287," 256 
"," 131 
"," 687 
"," 182 
"," 5157.85 
"," 257026.54 
"," 0.02 
"," 49.83 
"," 14279.25 
"," 1.35 
"
values_733," 268 
"," 143 
"," 718 
"," 194 
"," 5456.74 
"," 260778.63 
"," 0.02 
"," 47.79 
"," 14487.70 
"," 1.36 
"
values_813," 260 
"," 135 
"," 700 
"," 186 
"," 5277.41 
"," 259179.53 
"," 0.02 
"," 49.11 
"," 14398.86 
"," 1.36 
"
values_11," 272 
"," 148 
"," 728 
"," 199 
"," 5559.46 
"," 260543.47 
"," 0.02 
"," 46.86 
"," 14474.64 
"," 1.36 
"
values_19," 253 
"," 130 
"," 683 
"," 181 
"," 5122.39 
"," 254208.69 
"," 0.02 
"," 49.63 
"," 14122.70 
"," 1.34 
"
values_999," 275 
"," 148 
"," 737 
"," 199 
"," 5628.19 
"," 266673.64 
"," 0.02 
"," 47.38 
"," 14815.20 
"," 1.38 
"
values_134," 254 
"," 131 
"," 684 
"," 182 
"," 5135.33 
"," 253904.90 
"," 0.02 
"," 49.44 
"," 14105.83 
"," 1.34 
"
values_609," 264 
"," 141 
"," 710 
"," 192 
"," 5385.32 
"," 257120.55 
"," 0.02 
"," 47.74 
"," 14284.47 
"," 1.35 
"
values_993," 264 
"," 141 
"," 707 
"," 192 
"," 5362.57 
"," 256034.12 
"," 0.02 
"," 47.74 
"," 14224.12 
"," 1.34 
"
values_731," 262 
"," 137 
"," 703 
"," 188 
"," 5310.88 
"," 258992.43 
"," 0.02 
"," 48.77 
"," 14388.47 
"," 1.35 
"
values_127," 266 
"," 142 
"," 715 
"," 193 
"," 5428.61 
"," 259311.55 
"," 0.02 
"," 47.77 
"," 14406.20 
"," 1.36 
"
values_889," 258 
"," 134 
"," 693 
"," 185 
"," 5219.25 
"," 256249.47 
"," 0.02 
"," 49.10 
"," 14236.08 
"," 1.34 
"
values_987," 273 
"," 145 
"," 731 
"," 196 
"," 5566.35 
"," 267242.52 
"," 0.02 
"," 48.01 
"," 14846.81 
"," 1.38 
"
values_780," 257 
"," 133 
"," 692 
"," 184 
"," 5206.30 
"," 256537.74 
"," 0.02 
"," 49.27 
"," 14252.10 
"," 1.35 
"
values_435," 265 
"," 142 
"," 711 
"," 193 
"," 5398.24 
"," 256891.45 
"," 0.02 
"," 47.59 
"," 14271.75 
"," 1.35 
"
values_950," 261 
"," 138 
"," 700 
"," 189 
"," 5293.57 
"," 255299.66 
"," 0.02 
"," 48.23 
"," 14183.31 
"," 1.34 
"
values_976," 263 
"," 139 
"," 705 
"," 190 
"," 5336.75 
"," 257488.50 
"," 0.02 
"," 48.25 
"," 14304.92 
"," 1.35 
"
values_557," 256 
"," 131 
"," 688 
"," 182 
"," 5165.36 
"," 257400.67 
"," 0.02 
"," 49.83 
"," 14300.04 
"," 1.35 
"
values_398," 252 
"," 127 
"," 679 
"," 178 
"," 5076.02 
"," 256838.77 
"," 0.02 
"," 50.60 
"," 14268.82 
"," 1.35 
"
values_892," 275 
"," 149 
"," 738 
"," 200 
"," 5641.17 
"," 265494.47 
"," 0.02 
"," 47.06 
"," 14749.69 
"," 1.38 
"
values_670," 274 
"," 148 
"," 736 
"," 199 
"," 5620.56 
"," 265343.40 
"," 0.02 
"," 47.21 
"," 14741.30 
"," 1.38 
"
values_574," 263 
"," 137 
"," 706 
"," 188 
"," 5333.54 
"," 261090.40 
"," 0.02 
"," 48.95 
"," 14505.02 
"," 1.36 
"
values_163," 251 
"," 127 
"," 676 
"," 178 
"," 5053.60 
"," 254689.29 
"," 0.02 
"," 50.40 
"," 14149.41 
"," 1.34 
"
values_900," 266 
"," 141 
"," 713 
"," 192 
"," 5408.08 
"," 260163.08 
"," 0.02 
"," 48.11 
"," 14453.50 
"," 1.36 
"
values_392," 254 
"," 130 
"," 684 
"," 181 
"," 5129.89 
"," 255587.13 
"," 0.02 
"," 49.82 
"," 14199.29 
"," 1.34 
"
values_447," 252 
"," 129 
"," 677 
"," 180 
"," 5071.98 
"," 252655.60 
"," 0.02 
"," 49.81 
"," 14036.42 
"," 1.33 
"
values_523," 250 
"," 127 
"," 674 
"," 178 
"," 5038.64 
"," 252924.08 
"," 0.02 
"," 50.20 
"," 14051.34 
"," 1.33 
"
values_679," 275 
"," 149 
"," 737 
"," 200 
"," 5633.52 
"," 265134.72 
"," 0.02 
"," 47.06 
"," 14729.71 
"," 1.38 
"
values_419," 253 
"," 129 
"," 683 
"," 180 
"," 5116.94 
"," 255906.28 
"," 0.02 
"," 50.01 
"," 14217.02 
"," 1.34 
"
