id,cInstr
values_242,35
values_505,74
values_924,887
values_862,54
values_287,26
values_733,494
values_813,558
values_11,26
values_19,26
values_999,74
values_134,26
values_609,63
values_993,158
values_731,707
values_127,107
values_889,83
values_987,863
values_780,807
values_435,251
values_950,47
values_976,35
values_557,98
values_398,38
values_892,107
values_670,651
values_574,854
values_163,626
values_900,98
values_392,378
values_447,311
values_523,395
values_679,46
values_419,443
values_895,107
values_298,143
values_155,387
values_12,54
values_160,131
values_626,783
values_38,583
values_146,58
values_81,194
values_687,203
values_213,143
values_212,115
values_568,38
values_5,74
values_40,387
values_970,698
values_707,98
values_406,387
values_893,707
values_144,635
values_979,799
values_831,626
values_402,494
values_404,494
values_310,511
values_70,278
values_268,387
values_412,98
values_290,335
values_916,443
values_567,98
values_913,158
values_232,26
values_319,74
values_23,343
values_899,167
values_428,494
values_858,626
values_546,854
values_432,519
values_231,659
values_388,303
values_350,26
values_603,158
values_364,854
values_530,74
values_72,26
values_536,774
values_79,74
values_342,626
values_803,71
values_501,66
values_540,459
values_955,158
values_191,211
values_812,71
values_545,275
values_78,126
values_526,326
values_695,715
values_87,98
values_300,35
values_964,494
values_998,278
values_988,287
values_6,295
values_625,434
values_518,115
values_122,26
values_541,91
values_279,774
values_256,47
values_796,194
values_504,54
values_752,98
values_459,626
values_658,378
values_408,74
values_867,443
values_727,774
values_177,774
values_823,863
values_822,54
values_218,115
values_426,434
values_776,35
values_143,126
values_739,626
values_312,503
values_174,626
values_669,54
values_120,387
values_974,494
values_217,55
values_866,55
values_192,151
values_328,731
values_68,295
values_387,698
values_69,54
values_749,135
values_135,774
values_341,558
values_494,626
values_1,183
values_589,74
values_925,287
values_524,54
values_994,158
values_856,194
values_156,854
values_470,47
values_207,47
values_655,599
values_441,275
values_109,698
values_45,558
values_125,783
values_600,774
values_708,115
values_791,74
values_912,46
values_533,194
values_418,234
values_228,494
values_585,278
values_465,26
values_239,335
values_842,203
values_208,434
values_932,503
values_957,434
values_563,35
values_766,203
values_476,243
values_175,126
values_591,558
values_997,63
values_385,234
values_115,194
values_653,651
values_753,46
values_241,783
values_197,158
values_636,335
values_450,278
values_106,183
values_699,643
values_578,38
values_644,335
values_570,626
values_873,234
values_33,83
values_210,774
values_486,395
values_252,278
values_694,494
values_759,451
values_245,234
values_15,234
values_792,635
values_248,326
values_246,219
values_556,635
values_513,55
values_93,774
values_558,903
values_991,26
values_181,175
values_674,567
values_652,167
values_344,698
values_715,107
values_528,251
values_276,626
values_24,635
values_296,707
values_244,203
values_380,175
values_25,158
values_740,107
values_478,83
values_379,107
values_810,135
values_440,107
values_543,494
values_130,194
values_225,558
values_285,35
values_363,194
values_667,774
values_26,55
values_793,494
values_772,558
values_931,434
values_981,626
values_422,98
values_920,387
values_259,63
values_477,47
values_738,47
values_430,134
values_922,126
values_903,511
values_761,259
values_204,98
values_48,503
values_71,211
values_851,71
values_347,139
values_725,158
values_266,194
values_448,503
values_934,707
values_531,635
values_224,278
values_686,783
values_927,378
values_407,698
values_76,503
values_949,871
values_969,211
values_781,698
values_7,26
values_683,194
values_376,47
values_877,243
values_654,54
values_508,203
values_332,854
values_281,494
values_381,251
values_769,107
values_701,326
values_855,167
values_320,194
values_50,774
values_918,698
values_615,326
values_704,326
values_633,326
values_847,54
values_602,98
values_399,715
values_22,326
values_313,434
values_375,651
values_963,467
values_168,287
values_226,567
values_190,278
values_429,35
values_236,63
values_777,158
values_909,135
values_438,26
values_607,558
values_717,99
values_782,166
values_258,115
values_872,799
values_637,387
values_746,158
values_4,211
values_345,287
values_102,319
values_962,26
values_356,698
values_853,35
values_849,98
values_814,135
values_370,583
values_778,55
values_458,107
values_818,83
values_119,91
values_373,243
values_351,63
values_32,74
values_770,387
values_371,126
values_283,698
values_535,54
values_250,635
values_132,863
values_649,234
values_77,183
values_260,98
values_891,38
values_91,278
values_137,871
values_42,278
values_13,395
values_577,879
values_41,126
values_809,343
values_414,698
values_360,335
values_386,251
values_158,723
values_904,26
values_480,643
values_647,91
values_104,126
values_55,434
values_491,774
values_391,558
values_972,783
values_571,123
values_940,166
values_861,83
values_324,434
values_549,151
values_170,854
values_269,251
values_442,494
values_520,774
values_455,774
values_31,575
values_971,107
values_397,651
values_254,395
values_616,295
values_66,158
values_943,635
values_117,278
values_451,871
values_643,74
values_688,98
values_569,243
values_745,774
values_65,651
values_980,158
values_982,378
values_62,38
values_789,387
values_401,387
values_21,74
values_598,211
values_273,378
values_534,626
values_118,83
values_141,707
values_366,558
values_222,194
values_876,35
values_700,135
values_95,799
values_806,126
values_671,387
values_816,854
values_630,54
values_433,126
values_905,643
values_84,158
values_233,326
values_664,854
values_162,635
values_681,194
values_542,158
values_169,503
values_660,395
values_488,115
values_894,278
values_828,194
values_537,395
values_845,158
values_584,143
values_457,854
values_499,287
values_369,38
values_58,158
values_64,387
values_196,74
values_462,211
values_343,126
values_262,395
values_966,158
values_261,98
values_349,558
values_263,626
values_801,126
values_292,126
values_786,319
values_101,99
values_691,74
values_926,91
values_754,167
values_215,378
values_977,63
values_850,459
values_646,143
values_628,567
values_941,158
values_353,234
values_690,494
values_961,443
values_331,38
values_377,47
values_128,54
values_336,126
values_632,194
values_166,326
values_744,159
values_837,38
values_807,434
values_838,167
values_723,143
values_874,26
values_627,98
values_555,403
values_446,26
values_716,343
values_240,494
values_140,326
values_317,635
values_83,774
values_696,326
values_413,378
values_94,234
values_937,158
values_199,863
values_596,643
values_0,434
values_953,26
values_906,74
values_742,74
values_396,623
values_159,74
values_238,158
values_136,74
values_915,107
values_99,567
values_771,303
values_96,63
values_768,378
values_67,79
values_565,54
values_848,74
values_114,194
values_61,278
values_511,191
values_729,143
values_460,774
values_832,243
values_348,47
values_182,451
values_986,158
values_180,91
values_930,234
values_274,159
values_309,234
values_496,387
values_165,54
values_553,26
values_870,698
values_795,46
values_361,626
values_302,643
values_586,91
values_880,98
values_665,863
values_527,278
values_372,98
values_382,326
values_43,26
values_935,26
values_2,643
values_790,863
values_152,434
values_871,494
values_434,35
values_775,723
values_500,234
values_220,167
values_875,774
values_249,143
values_808,511
values_859,303
values_539,887
values_635,715
values_311,378
values_183,651
values_54,74
values_390,135
values_890,567
values_711,403
values_471,879
values_995,626
values_443,451
values_464,378
values_774,698
values_200,234
values_747,38
values_758,698
values_30,151
values_820,35
values_393,38
values_576,626
values_445,167
values_662,199
values_403,626
values_640,626
values_59,74
values_490,54
values_194,783
values_751,175
values_663,626
values_938,287
values_532,494
values_885,558
values_713,434
values_193,167
values_650,278
values_564,234
values_267,626
values_147,126
values_709,47
values_857,203
values_334,626
values_965,47
values_824,583
values_784,167
values_229,378
values_538,74
values_463,503
values_741,234
values_85,287
values_493,698
values_794,54
values_202,63
values_74,243
values_410,54
values_469,63
values_394,107
values_149,791
values_945,698
values_293,194
values_456,395
values_975,326
values_547,378
values_164,774
values_720,115
values_833,38
values_90,38
values_954,108
values_483,38
values_990,79
values_113,494
values_878,74
values_942,558
values_126,511
values_666,158
values_960,343
values_783,234
values_735,411
values_439,774
values_860,194
values_18,434
values_173,158
values_454,707
values_176,267
values_698,403
values_869,635
values_697,55
values_509,194
values_189,591
values_714,715
values_270,126
values_863,387
values_548,774
values_359,815
values_512,287
values_656,35
values_684,707
values_171,74
values_675,211
values_657,626
values_333,494
values_599,791
values_129,203
values_886,26
values_107,731
values_272,107
values_52,91
values_819,203
values_682,98
values_44,54
values_914,203
values_346,158
values_151,335
values_550,278
values_326,158
values_836,175
values_437,698
values_984,211
values_17,519
values_748,567
values_581,54
values_705,774
values_121,443
values_219,434
values_321,378
values_843,707
values_606,74
values_898,26
values_601,635
values_36,326
values_282,791
values_395,503
values_449,55
values_209,54
values_956,107
values_579,558
values_484,326
values_521,54
values_617,47
values_516,378
values_358,774
values_335,575
values_139,854
values_992,643
values_211,194
values_507,747
values_921,459
values_138,667
values_275,278
values_614,558
values_49,26
values_227,54
values_203,151
values_172,583
values_86,234
values_178,98
values_978,107
values_253,383
values_291,519
values_911,259
values_230,434
values_318,774
values_798,98
values_638,698
values_112,278
values_201,194
values_629,126
values_337,707
values_37,434
values_56,74
values_316,126
values_829,378
values_63,854
values_35,234
values_519,558
values_481,267
values_278,38
values_186,434
values_702,626
values_722,707
values_97,26
values_329,378
values_75,54
values_560,63
values_612,326
values_421,278
values_639,575
values_939,335
values_198,443
values_840,38
values_415,35
values_405,287
values_100,783
values_726,74
values_265,26
values_743,854
values_436,63
values_583,854
values_525,434
values_677,118
values_289,335
values_255,251
values_529,71
values_826,234
values_362,854
values_355,774
values_506,626
values_315,278
values_604,115
values_57,26
values_133,91
values_787,126
values_799,203
values_765,731
values_887,199
values_952,74
values_631,194
values_306,303
values_497,494
values_821,494
values_618,26
values_271,459
values_645,38
values_985,443
values_400,774
values_562,558
values_590,783
values_648,143
values_325,303
values_883,626
values_827,47
values_854,54
values_307,575
values_88,707
values_958,98
values_251,434
values_902,326
values_680,74
values_884,54
values_901,359
values_354,326
values_420,74
values_103,243
values_10,26
values_474,443
values_53,47
values_8,863
values_39,134
values_755,98
values_124,287
values_841,227
values_510,54
values_989,35
values_706,774
values_257,54
values_811,434
values_111,35
values_47,107
values_928,35
values_561,335
values_383,47
values_498,443
values_60,715
values_737,54
values_624,494
values_973,326
values_472,774
values_280,459
values_389,707
values_651,583
values_642,243
values_668,854
values_551,175
values_750,378
values_592,311
values_89,567
values_411,326
values_620,98
values_357,54
values_247,71
values_692,311
values_572,175
values_757,494
values_566,47
values_216,434
values_951,443
values_910,143
values_338,774
values_461,387
values_730,723
values_734,854
values_51,46
values_678,854
values_327,871
values_473,698
values_453,259
values_154,287
values_452,871
values_221,234
values_323,234
values_844,203
values_673,359
values_427,519
values_933,83
values_802,167
values_852,98
values_487,158
values_762,774
values_515,115
values_479,26
values_948,467
values_467,403
values_14,434
values_868,243
