id,clockCycles,assemblyInstr
values_242,914,682
values_505,3259,2540
values_924,47816,35694
values_862,2035,1539
values_287,719,523
values_733,26627,19828
values_813,28409,22249
values_11,719,523
values_19,719,523
values_999,3259,2540
values_134,719,523
values_609,2242,1710
values_993,7441,5793
values_731,43899,34803
values_127,4741,3725
values_889,3489,2734
values_987,47120,35142
values_780,43311,32328
values_435,13727,10735
values_950,1563,1200
values_976,914,682
values_557,3090,2406
values_398,1345,1018
values_892,4741,3725
values_670,34741,25918
values_574,46888,34958
values_163,34045,25366
values_900,4511,3531
values_392,20129,14978
values_447,15479,11552
values_523,20593,15346
values_679,1129,853
values_419,28486,22894
values_895,4741,3725
values_298,6793,5426
values_155,20361,15162
values_12,2035,1539
values_160,5431,4307
values_626,42615,31776
values_38,29066,22798
values_146,1386,1059
values_81,10143,8088
values_687,10385,8294
values_213,6793,5426
values_212,4971,3919
values_568,1345,1018
values_5,3259,2540
values_40,20361,15162
values_970,43637,34581
values_707,4511,3531
values_406,20361,15162
values_893,43899,34803
values_144,34277,25550
values_979,43079,32144
values_831,34045,25366
values_402,26627,19828
values_404,26627,19828
values_310,27091,20196
values_70,14551,10816
values_268,20361,15162
values_412,4511,3531
values_290,17897,14325
values_916,28486,22894
values_567,4511,3531
values_913,7441,5793
values_232,719,523
values_319,2237,1758
values_23,18139,14531
values_899,7519,6044
values_428,26627,19828
values_858,34045,25366
values_546,46888,34958
values_432,27323,20380
values_231,34973,26102
values_388,15247,11368
values_350,719,523
values_603,7441,5793
values_364,46888,34958
values_530,2237,1758
values_72,719,523
values_536,42383,31592
values_79,3259,2540
values_342,34045,25366
values_803,2449,1881
values_501,2019,1576
values_540,29044,23372
values_955,7441,5793
values_191,10627,8500
values_812,2449,1881
values_545,14477,11365
values_78,4659,3716
values_526,17655,14119
values_695,44161,35025
values_87,4511,3531
values_300,914,682
values_964,26627,19828
values_998,14551,10816
values_988,14783,11000
values_6,15015,11184
values_625,28207,22655
values_518,4971,3919
values_122,719,523
values_541,3719,2928
values_279,42383,31592
values_256,1563,1200
values_796,10143,8088
values_504,2035,1539
values_752,4511,3531
values_459,34045,25366
values_658,20129,14978
values_408,3259,2540
values_867,28486,22894
values_727,42383,31592
values_177,42383,31592
values_823,47120,35142
values_822,1324,1012
values_218,4971,3919
values_426,28207,22655
values_776,914,682
values_143,6309,5014
values_739,34045,25366
values_312,26859,20012
values_174,34045,25366
values_669,2035,1539
values_120,20361,15162
values_974,26627,19828
values_217,1781,1382
values_866,1781,1382
values_192,7035,5632
values_328,44685,35469
values_68,15015,11184
values_387,43637,34581
values_69,2035,1539
values_749,6551,5220
values_135,42383,31592
values_341,28409,22249
values_494,34045,25366
values_1,8098,6342
values_589,3259,2540
values_925,14783,11000
values_524,2035,1539
values_994,7441,5793
values_856,10143,8088
values_156,46888,34958
values_470,1563,1200
values_207,1563,1200
values_655,29504,23164
values_441,14477,11365
values_109,43637,34581
values_45,28409,22249
values_125,42615,31776
values_600,42383,31592
values_708,4971,3919
values_791,3259,2540
values_912,1129,853
values_533,10143,8088
values_418,13227,10315
values_228,26627,19828
values_585,14551,10816
values_465,719,523
values_239,17897,14325
values_842,10385,8294
values_208,28207,22655
values_932,26859,20012
values_957,28207,22655
values_563,914,682
values_766,10385,8294
values_476,13477,10525
values_175,6309,5014
values_591,28409,22249
values_997,2242,1710
values_385,13227,10315
values_115,10143,8088
values_653,34741,25918
values_753,1129,853
values_241,42615,31776
values_197,7441,5793
values_636,17897,14325
values_450,14551,10816
values_106,8098,6342
values_699,34509,25734
values_578,1345,1018
values_644,17897,14325
values_570,34045,25366
values_873,13227,10315
values_33,3489,2734
values_210,42383,31592
values_486,20593,15346
values_252,14551,10816
values_694,26627,19828
values_759,28765,23133
values_245,13227,10315
values_15,13227,10315
values_792,34277,25550
values_248,17655,14119
values_246,10869,8706
values_556,34277,25550
values_513,1781,1382
values_93,42383,31592
values_558,48280,36062
values_991,719,523
values_181,7879,6159
values_674,28628,22432
values_652,7660,5976
values_344,43637,34581
values_715,4741,3725
values_528,13727,10735
values_276,34045,25366
values_24,34277,25550
values_296,43899,34803
values_244,10385,8294
values_380,7879,6159
values_25,7441,5793
values_740,4741,3725
values_478,3489,2734
values_379,4741,3725
values_810,6551,5220
values_440,4741,3725
values_543,26627,19828
values_130,10143,8088
values_225,28409,22249
values_285,914,682
values_363,10143,8088
values_667,42383,31592
values_26,1781,1382
values_793,26627,19828
values_772,28409,22249
values_931,28207,22655
values_981,34045,25366
values_422,4511,3531
values_920,20361,15162
values_259,2242,1710
values_477,1563,1200
values_738,1563,1200
values_430,4889,3910
values_922,6309,5014
values_903,27091,20196
values_761,13977,10945
values_204,4511,3531
values_48,26859,20012
values_71,10627,8500
values_851,2449,1881
values_347,5661,4501
values_725,7441,5793
values_266,10143,8088
values_448,26859,20012
values_934,43899,34803
values_531,34277,25550
values_224,14551,10816
values_686,42615,31776
values_927,20129,14978
values_407,43637,34581
values_76,26859,20012
values_949,47352,35326
values_969,10627,8500
values_781,43637,34581
values_7,719,523
values_683,10143,8088
values_376,1563,1200
values_877,13477,10525
values_654,2035,1539
values_508,10385,8294
values_332,46888,34958
