inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 198 
"," 34 
"," 87 
"," 39 
"," 285 
"," 73 
"," 1764.10 
"," 66900.10 
"," 0.03 
"," 37.92 
"," 3716.67 
"," 0.55 
"
values_505," 189 
"," 34 
"," 80 
"," 33 
"," 269 
"," 67 
"," 1631.78 
"," 67249.03 
"," 0.02 
"," 41.21 
"," 3736.06 
"," 0.55 
"
values_1006," 206 
"," 34 
"," 92 
"," 38 
"," 298 
"," 72 
"," 1838.64 
"," 75674.45 
"," 0.02 
"," 41.16 
"," 4204.14 
"," 0.60 
"
values_924," 176 
"," 34 
"," 71 
"," 23 
"," 247 
"," 57 
"," 1440.72 
"," 75606.68 
"," 0.02 
"," 52.48 
"," 4200.37 
"," 0.60 
"
values_862," 200 
"," 34 
"," 87 
"," 37 
"," 287 
"," 71 
"," 1764.98 
"," 70551.39 
"," 0.03 
"," 39.97 
"," 3919.52 
"," 0.57 
"
values_287," 207 
"," 34 
"," 92 
"," 41 
"," 299 
"," 75 
"," 1862.42 
"," 71044.39 
"," 0.03 
"," 38.15 
"," 3946.91 
"," 0.57 
"
values_733," 219 
"," 34 
"," 97 
"," 48 
"," 316 
"," 82 
"," 2008.99 
"," 69017.05 
"," 0.03 
"," 34.35 
"," 3834.28 
"," 0.56 
"
values_813," 191 
"," 34 
"," 82 
"," 33 
"," 273 
"," 67 
"," 1656.04 
"," 69955.24 
"," 0.02 
"," 42.24 
"," 3886.40 
"," 0.57 
"
values_11," 195 
"," 34 
"," 85 
"," 36 
"," 280 
"," 70 
"," 1716.20 
"," 68886.33 
"," 0.02 
"," 40.14 
"," 3827.02 
"," 0.56 
"
values_19," 196 
"," 34 
"," 85 
"," 38 
"," 281 
"," 72 
"," 1733.75 
"," 65928.08 
"," 0.03 
"," 38.03 
"," 3662.67 
"," 0.54 
"
values_999," 210 
"," 34 
"," 92 
"," 42 
"," 302 
"," 76 
"," 1886.87 
"," 70263.60 
"," 0.03 
"," 37.24 
"," 3903.53 
"," 0.57 
"
values_134," 188 
"," 34 
"," 81 
"," 33 
"," 269 
"," 67 
"," 1631.78 
"," 68089.65 
"," 0.02 
"," 41.73 
"," 3782.76 
"," 0.56 
"
values_609," 185 
"," 34 
"," 78 
"," 28 
"," 263 
"," 62 
"," 1565.95 
"," 74159.09 
"," 0.02 
"," 47.36 
"," 4119.95 
"," 0.59 
"
values_993," 206 
"," 34 
"," 92 
"," 42 
"," 298 
"," 76 
"," 1861.88 
"," 69332.95 
"," 0.03 
"," 37.24 
"," 3851.83 
"," 0.56 
"
values_731," 216 
"," 34 
"," 97 
"," 47 
"," 313 
"," 81 
"," 1984.37 
"," 69621.94 
"," 0.03 
"," 35.09 
"," 3867.89 
"," 0.56 
"
values_127," 199 
"," 34 
"," 86 
"," 38 
"," 285 
"," 72 
"," 1758.43 
"," 67653.23 
"," 0.03 
"," 38.47 
"," 3758.51 
"," 0.55 
"
values_889," 188 
"," 34 
"," 81 
"," 34 
"," 269 
"," 68 
"," 1637.53 
"," 66319.86 
"," 0.02 
"," 40.50 
"," 3684.44 
"," 0.55 
"
values_987," 179 
"," 34 
"," 74 
"," 27 
"," 253 
"," 61 
"," 1500.48 
"," 69911.09 
"," 0.02 
"," 46.59 
"," 3883.95 
"," 0.57 
"
values_780," 195 
"," 34 
"," 85 
"," 37 
"," 280 
"," 71 
"," 1721.93 
"," 67248.32 
"," 0.03 
"," 39.05 
"," 3736.02 
"," 0.55 
"
values_435," 202 
"," 34 
"," 87 
"," 38 
"," 289 
"," 72 
"," 1783.11 
"," 69400.45 
"," 0.03 
"," 38.92 
"," 3855.58 
"," 0.56 
"
values_950," 183 
"," 34 
"," 77 
"," 29 
"," 260 
"," 63 
"," 1554.09 
"," 70148.53 
"," 0.02 
"," 45.14 
"," 3897.14 
"," 0.57 
"
values_976," 180 
"," 34 
"," 74 
"," 27 
"," 254 
"," 61 
"," 1506.41 
"," 70187.42 
"," 0.02 
"," 46.59 
"," 3899.30 
"," 0.57 
"
values_557," 201 
"," 34 
"," 87 
"," 39 
"," 288 
"," 73 
"," 1782.67 
"," 67604.31 
"," 0.03 
"," 37.92 
"," 3755.80 
"," 0.55 
"
values_398," 182 
"," 34 
"," 75 
"," 28 
"," 257 
"," 62 
"," 1530.23 
"," 69680.05 
"," 0.02 
"," 45.54 
"," 3871.11 
"," 0.56 
"
values_892," 191 
"," 34 
"," 81 
"," 34 
"," 272 
"," 68 
"," 1655.79 
"," 67059.49 
"," 0.02 
"," 40.50 
"," 3725.53 
"," 0.55 
"
values_670," 186 
"," 34 
"," 78 
"," 28 
"," 264 
"," 62 
"," 1571.91 
"," 74441.06 
"," 0.02 
"," 47.36 
"," 4135.61 
"," 0.59 
"
values_574," 200 
"," 34 
"," 87 
"," 36 
"," 287 
"," 70 
"," 1759.10 
"," 72269.87 
"," 0.02 
"," 41.08 
"," 4014.99 
"," 0.58 
"
values_163," 179 
"," 34 
"," 74 
"," 27 
"," 253 
"," 61 
"," 1500.48 
"," 69911.09 
"," 0.02 
"," 46.59 
"," 3883.95 
"," 0.57 
"
values_900," 175 
"," 34 
"," 71 
"," 23 
"," 246 
"," 57 
"," 1434.89 
"," 75300.58 
"," 0.02 
"," 52.48 
"," 4183.37 
"," 0.59 
"
values_392," 182 
"," 34 
"," 75 
"," 28 
"," 257 
"," 62 
"," 1530.23 
"," 69680.05 
"," 0.02 
"," 45.54 
"," 3871.11 
"," 0.56 
"
values_447," 197 
"," 34 
"," 87 
"," 37 
"," 284 
"," 71 
"," 1746.53 
"," 69813.92 
"," 0.03 
"," 39.97 
"," 3878.55 
"," 0.57 
"
values_523," 202 
"," 34 
"," 89 
"," 37 
"," 291 
"," 71 
"," 1789.58 
"," 73179.17 
"," 0.02 
"," 40.89 
"," 4065.51 
"," 0.58 
"
values_679," 191 
"," 34 
"," 81 
"," 32 
"," 272 
"," 66 
"," 1644.08 
"," 70746.61 
"," 0.02 
"," 43.03 
"," 3930.37 
"," 0.57 
"
values_419," 199 
"," 34 
"," 87 
"," 38 
"," 286 
"," 72 
"," 1764.60 
"," 68680.03 
"," 0.03 
"," 38.92 
"," 3815.56 
"," 0.56 
"
values_895," 188 
"," 34 
"," 81 
"," 33 
"," 269 
"," 67 
"," 1631.78 
"," 68089.65 
"," 0.02 
"," 41.73 
"," 3782.76 
"," 0.56 
"
values_298," 196 
"," 34 
"," 85 
"," 38 
"," 281 
"," 72 
"," 1733.75 
"," 65928.08 
"," 0.03 
"," 38.03 
"," 3662.67 
"," 0.54 
"
values_155," 193 
"," 34 
"," 81 
"," 33 
"," 274 
"," 67 
"," 1662.11 
"," 69355.25 
"," 0.02 
"," 41.73 
"," 3853.07 
"," 0.56 
"
values_12," 195 
"," 34 
"," 85 
"," 38 
"," 280 
"," 72 
"," 1727.58 
"," 65693.46 
"," 0.03 
"," 38.03 
"," 3649.64 
"," 0.54 
"
values_160," 179 
"," 34 
"," 74 
"," 25 
"," 253 
"," 59 
"," 1488.31 
"," 74891.69 
"," 0.02 
"," 50.32 
"," 4160.65 
"," 0.59 
"
values_626," 185 
"," 34 
"," 78 
"," 31 
"," 263 
"," 65 
"," 1583.88 
"," 67749.31 
"," 0.02 
"," 42.77 
"," 3763.85 
"," 0.55 
"
values_38," 207 
"," 34 
"," 94 
"," 40 
"," 301 
"," 74 
"," 1869.05 
"," 74668.37 
"," 0.03 
"," 39.95 
"," 4148.24 
"," 0.59 
"
values_146," 189 
"," 34 
"," 81 
"," 33 
"," 270 
"," 67 
"," 1637.84 
"," 68342.77 
"," 0.02 
"," 41.73 
"," 3796.82 
"," 0.56 
"
values_81," 200 
"," 34 
"," 89 
"," 38 
"," 289 
"," 72 
"," 1783.11 
"," 70995.87 
"," 0.03 
"," 39.82 
"," 3944.21 
"," 0.57 
"
values_687," 190 
"," 34 
"," 81 
"," 33 
"," 271 
"," 67 
"," 1643.91 
"," 68595.89 
"," 0.02 
"," 41.73 
"," 3810.88 
"," 0.56 
"
values_213," 208 
"," 34 
"," 92 
"," 42 
"," 300 
"," 76 
"," 1874.38 
"," 69798.28 
"," 0.03 
"," 37.24 
"," 3877.68 
"," 0.57 
"
values_212," 208 
"," 34 
"," 92 
"," 44 
"," 300 
"," 78 
"," 1885.62 
"," 67025.24 
"," 0.03 
"," 35.55 
"," 3723.62 
"," 0.55 
"
values_568," 196 
"," 34 
"," 87 
"," 40 
"," 283 
"," 74 
"," 1757.28 
"," 64975.25 
"," 0.03 
"," 36.97 
"," 3609.74 
"," 0.54 
"
values_5," 197 
"," 34 
"," 85 
"," 37 
"," 282 
"," 71 
"," 1734.23 
"," 67728.66 
"," 0.03 
"," 39.05 
"," 3762.70 
"," 0.55 
"
values_40," 210 
"," 34 
"," 94 
"," 46 
"," 304 
"," 80 
"," 1921.87 
"," 66763.96 
"," 0.03 
"," 34.74 
"," 3709.11 
"," 0.55 
"
values_970," 181 
"," 34 
"," 74 
"," 26 
"," 255 
"," 60 
"," 1506.26 
"," 72879.67 
"," 0.02 
"," 48.38 
"," 4048.87 
"," 0.58 
"
values_707," 210 
"," 34 
"," 97 
"," 45 
"," 307 
"," 79 
"," 1935.26 
"," 70916.55 
"," 0.03 
"," 36.64 
"," 3939.81 
"," 0.57 
"
values_406," 179 
"," 34 
"," 75 
"," 26 
"," 254 
"," 60 
"," 1500.35 
"," 73574.87 
"," 0.02 
"," 49.04 
"," 4087.49 
"," 0.59 
"
