id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,723,403,83,8.711
values_505,415,227,45,9.222
values_1006,659,363,75,8.787
values_924,693,376,79,8.772
values_862,757,416,87,8.701
values_287,675,373,77,8.766
values_733,741,406,85,8.718
values_813,561,310,63,8.905
values_11,575,327,65,8.846
values_19,751,437,87,8.632
values_999,593,330,67,8.851
values_134,561,310,63,8.905
values_609,497,270,55,9.036
values_993,723,403,83,8.711
values_731,495,277,55,9.000
values_127,691,383,79,8.747
values_889,727,389,83,8.759
values_987,577,320,65,8.877
values_780,783,457,91,8.604
values_435,709,386,81,8.753
values_950,557,324,63,8.841
values_976,607,347,69,8.797
values_557,481,260,53,9.075
values_398,285,154,29,9.828
values_892,415,227,45,9.222
values_670,479,267,53,9.038
values_574,773,426,89,8.685
values_163,497,270,55,9.036
values_900,781,464,91,8.582
values_392,511,287,57,8.965
values_447,675,373,77,8.766
values_523,627,343,71,8.831
values_679,875,465,101,8.663
values_419,751,437,87,8.632
values_895,775,419,89,8.708
values_298,367,197,39,9.410
values_155,661,356,75,8.813
values_12,783,457,91,8.604
values_160,693,376,79,8.772
values_626,889,482,103,8.631
values_38,479,267,53,9.038
values_146,839,459,97,8.649
values_81,381,214,41,9.293
values_687,727,389,83,8.759
values_213,511,287,57,8.965
values_212,661,356,75,8.813
values_568,497,270,55,9.036
values_5,801,460,93,8.613
values_40,721,410,83,8.687
values_970,773,426,89,8.685
values_707,577,320,65,8.877
values_406,445,254,49,9.082
values_893,2013,1234,245,8.216
values_144,641,360,73,8.781
values_979,773,426,89,8.685
values_831,643,353,73,8.808
values_402,691,383,79,8.747
values_404,661,356,75,8.813
values_310,411,241,45,9.133
values_70,579,313,65,8.908
values_268,741,406,85,8.718
values_1018,579,313,65,8.908
values_412,479,267,53,9.038
values_290,481,260,53,9.075
values_916,623,357,71,8.775
values_567,765,454,89,8.596
values_913,641,360,73,8.781
values_232,611,333,69,8.855
values_319,691,383,79,8.747
values_23,495,277,55,9.000
values_899,627,343,71,8.831
values_428,757,416,87,8.701
values_858,593,330,67,8.851
values_546,689,390,79,8.722
values_432,513,280,57,9.000
values_231,809,432,93,8.699
values_388,379,221,41,9.244
values_350,741,406,85,8.718
values_603,809,432,93,8.699
values_364,481,260,53,9.075
values_530,857,462,99,8.657
values_72,611,333,69,8.855
values_536,871,479,101,8.624
values_79,561,310,63,8.905
values_342,657,370,75,8.760
values_803,545,300,61,8.934
values_501,561,310,63,8.905
