inputName,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 275 
"," 148 
"," 732 
"," 199 
"," 5590.01 
"," 264864.46 
"," 0.02 
"," 47.38 
"," 14714.69 
"," 1.37 
"
values_505," 271 
"," 146 
"," 722 
"," 197 
"," 5503.12 
"," 260474.80 
"," 0.02 
"," 47.33 
"," 14470.82 
"," 1.36 
"
values_924," 256 
"," 130 
"," 689 
"," 181 
"," 5167.39 
"," 259482.67 
"," 0.02 
"," 50.22 
"," 14415.70 
"," 1.36 
"
values_862," 272 
"," 147 
"," 724 
"," 198 
"," 5523.65 
"," 260626.30 
"," 0.02 
"," 47.18 
"," 14479.24 
"," 1.36 
"
values_287," 258 
"," 131 
"," 689 
"," 182 
"," 5172.87 
"," 259788.66 
"," 0.02 
"," 50.22 
"," 14432.70 
"," 1.36 
"
values_733," 270 
"," 143 
"," 720 
"," 194 
"," 5471.94 
"," 263456.56 
"," 0.02 
"," 48.15 
"," 14636.48 
"," 1.37 
"
values_813," 262 
"," 135 
"," 702 
"," 186 
"," 5292.49 
"," 261919.42 
"," 0.02 
"," 49.49 
"," 14551.08 
"," 1.36 
"
values_11," 274 
"," 148 
"," 730 
"," 199 
"," 5574.74 
"," 263180.27 
"," 0.02 
"," 47.21 
"," 14621.13 
"," 1.37 
"
values_19," 255 
"," 130 
"," 685 
"," 181 
"," 5137.39 
"," 256968.52 
"," 0.02 
"," 50.02 
"," 14276.03 
"," 1.35 
"
values_999," 277 
"," 148 
"," 739 
"," 199 
"," 5643.47 
"," 269342.02 
"," 0.02 
"," 47.73 
"," 14963.45 
"," 1.39 
"
values_134," 256 
"," 131 
"," 686 
"," 182 
"," 5150.35 
"," 256652.41 
"," 0.02 
"," 49.83 
"," 14258.47 
"," 1.35 
"
values_609," 266 
"," 141 
"," 712 
"," 192 
"," 5400.49 
"," 259798.20 
"," 0.02 
"," 48.11 
"," 14433.23 
"," 1.36 
"
values_993," 266 
"," 141 
"," 709 
"," 192 
"," 5377.74 
"," 258703.54 
"," 0.02 
"," 48.11 
"," 14372.42 
"," 1.35 
"
values_731," 264 
"," 137 
"," 705 
"," 188 
"," 5325.99 
"," 261711.91 
"," 0.02 
"," 49.14 
"," 14539.55 
"," 1.36 
"
values_127," 268 
"," 142 
"," 717 
"," 193 
"," 5443.79 
"," 261992.06 
"," 0.02 
"," 48.13 
"," 14555.11 
"," 1.36 
"
values_889," 260 
"," 134 
"," 695 
"," 185 
"," 5234.31 
"," 258981.16 
"," 0.02 
"," 49.48 
"," 14387.84 
"," 1.35 
"
values_987," 275 
"," 145 
"," 733 
"," 196 
"," 5581.58 
"," 269936.87 
"," 0.02 
"," 48.36 
"," 14996.49 
"," 1.39 
"
values_780," 259 
"," 133 
"," 694 
"," 184 
"," 5221.35 
"," 259281.35 
"," 0.02 
"," 49.66 
"," 14404.52 
"," 1.36 
"
values_435," 267 
"," 142 
"," 713 
"," 193 
"," 5413.42 
"," 259558.33 
"," 0.02 
"," 47.95 
"," 14419.91 
"," 1.36 
"
values_950," 263 
"," 138 
"," 702 
"," 189 
"," 5308.69 
"," 257991.00 
"," 0.02 
"," 48.60 
"," 14332.83 
"," 1.35 
"
values_976," 265 
"," 139 
"," 707 
"," 190 
"," 5351.89 
"," 260182.61 
"," 0.02 
"," 48.62 
"," 14454.59 
"," 1.36 
"
values_557," 258 
"," 131 
"," 690 
"," 182 
"," 5180.38 
"," 260165.72 
"," 0.02 
"," 50.22 
"," 14453.65 
"," 1.36 
"
values_398," 254 
"," 127 
"," 681 
"," 178 
"," 5090.97 
"," 259639.70 
"," 0.02 
"," 51 
"," 14424.43 
"," 1.36 
"
values_892," 277 
"," 149 
"," 740 
"," 200 
"," 5656.45 
"," 268150.07 
"," 0.02 
"," 47.41 
"," 14897.23 
"," 1.39 
"
values_670," 276 
"," 148 
"," 738 
"," 199 
"," 5635.83 
"," 268006.52 
"," 0.02 
"," 47.55 
"," 14889.25 
"," 1.39 
"
values_574," 265 
"," 137 
"," 708 
"," 188 
"," 5348.65 
"," 263821.13 
"," 0.02 
"," 49.32 
"," 14656.73 
"," 1.37 
"
values_163," 253 
"," 127 
"," 678 
"," 178 
"," 5068.55 
"," 257478.21 
"," 0.02 
"," 50.80 
"," 14304.35 
"," 1.35 
"
values_900," 268 
"," 141 
"," 715 
"," 192 
"," 5423.25 
"," 262854.45 
"," 0.02 
"," 48.47 
"," 14603.03 
"," 1.37 
"
