id,clockCycles,assemblyInstr
values_242,19855,13839
values_505,8241,5703
values_924,19572,13604
values_862,14177,9857
values_287,12976,9009
values_733,20874,14532
values_813,17406,12101
values_11,14289,9948
values_19,11095,7704
values_999,11024,7645
values_134,8319,5766
values_609,16435,11446
values_993,15120,10504
values_731,1708,1137
values_127,7347,5072
values_889,20878,14536
values_987,26118,18404
values_780,11043,7655
values_435,1177,777
values_950,4735,3253
values_976,591,377
values_557,9161,6348
values_398,584,373
values_892,6447,4448
values_670,11136,7727
values_574,2529,1718
values_163,23004,15987
values_900,3956,2703
values_392,23197,16144
values_447,15239,10599
values_523,1701,1133
values_679,24136,16764
values_419,9118,6314
values_895,1163,769
values_298,5528,3796
values_155,9160,6338
values_12,23189,16139
values_160,16366,11389
values_626,9260,6423
values_38,24423,17012
values_146,23318,16241
values_81,5568,3827
values_687,16400,11417
values_213,18511,12879
values_212,22139,15420
values_568,584,373
values_5,23090,16055
values_40,2529,1718
values_970,17533,12210
values_707,15444,10762
values_406,23262,16200
values_893,18688,13026
values_144,10013,6929
values_979,22111,15404
values_831,1744,1167
values_402,9173,6345
values_404,20853,14511
values_310,6477,4475
values_70,7411,5127
values_268,20934,14586
values_412,11181,7772
values_290,5690,3925
values_916,8376,5808
values_567,8150,5624
values_913,16328,11357
values_232,17502,12182
values_319,9253,6419
values_23,10033,6949
values_899,5654,3895
values_428,7267,5007
values_858,23212,16153
values_546,16464,11472
values_432,23164,16117
values_231,2522,1714
values_388,8291,5741
values_350,24598,17148
values_603,3228,2202
values_364,23088,16062
values_530,14020,9721
values_72,22011,15319
values_536,1737,1163
values_79,18495,12860
values_342,23306,16244
values_803,19606,13632
values_501,9209,6375
values_540,15395,10725
values_955,5641,3888
values_191,19521,13556
values_812,26086,18387
values_545,12088,8403
values_78,8300,5756
values_526,11129,7723
values_695,22082,15378
values_87,26232,18497
values_300,18563,12916
values_964,7369,5094
values_998,17487,12164
values_988,24521,17086
values_6,11017,7632
values_625,24578,17128
values_518,14212,9886
values_122,3221,2198
values_541,3998,2736
values_279,8220,5682
values_256,14152,9832
values_796,13163,9151
values_504,584,373
values_752,3199,2176
values_459,10197,7080
values_658,26106,18386
values_408,6407,4417
values_867,15289,10637
values_727,11146,7743
values_177,14149,9832
values_823,5647,3891
values_822,2480,1681
values_218,10145,7040
values_426,12117,8429
values_776,18718,13053
values_143,591,377
values_739,14182,9859
values_312,1170,773
values_174,24461,17032
values_669,17424,12119
values_120,21033,14670
values_974,22189,15467
values_217,591,377
values_866,7369,5094
values_192,20860,14515
values_328,15343,10676
values_68,1695,1130
values_387,21029,14648
values_69,23290,16225
values_749,2536,1722
values_135,584,373
values_341,5598,3854
values_494,2471,1666
values_1,1177,777
values_589,7354,5076
values_925,23290,16225
values_524,6439,4434
values_994,24497,17062
values_856,17439,12128
values_156,10138,7036
values_470,15245,10593
values_207,2536,1722
values_655,13043,9055
values_441,15194,10554
values_109,3257,2228
values_45,2428,1632
values_125,22011,15319
values_600,22062,15367
values_708,11010,7628
values_791,1170,773
values_912,1744,1167
values_533,10082,6986
values_418,22055,15363
values_228,7389,5105
values_585,8248,5707
values_465,6548,4534
values_239,14198,9878
values_842,1695,1130
values_208,10267,7138
values_932,7440,5153
values_957,16365,11388
values_563,15308,10647
values_766,8241,5703
values_476,17529,12209
values_175,17484,12173
values_591,26016,18317
values_997,3235,2206
values_385,15302,10644
values_115,16416,11436
values_653,591,377
values_753,5648,3901
values_241,15408,10732
values_197,1141,747
values_636,4741,3256
values_450,5647,3891
values_106,2543,1726
values_699,18723,13055
values_578,15258,10609
values_644,584,373
values_570,6497,4486
values_873,26115,18392
values_33,9077,6273
values_210,7411,5127
values_486,14318,9974
values_252,26145,18428
values_694,13114,9114
values_759,10956,7577
values_245,3984,2728
values_15,15401,10728
values_792,16429,11434
values_248,7317,5045
values_246,17603,12268
values_556,16459,11470
values_513,26234,18499
values_93,22245,15508
values_558,4020,2758
values_991,6426,4427
values_181,13148,9142
values_674,13207,9186
values_652,23241,16179
values_344,1709,1138
values_715,22130,15414
values_528,9205,6383
values_276,23334,16269
values_24,19826,13813
values_296,4777,3286
values_244,6484,4479
values_380,19811,13804
values_25,24410,17005
values_740,23270,16214
values_478,4741,3256
values_379,23270,16214
values_810,2522,1714
values_440,26198,18478
values_543,7305,5039
values_130,2536,1722
values_225,591,377
values_285,1744,1167
values_363,22210,15479
values_667,24342,16937
values_26,23410,16312
values_793,10218,7101
values_772,1141,747
values_931,24456,17030
values_981,3956,2703
values_422,1170,773
values_920,18565,12918
values_259,18467,12835
values_477,584,373
values_738,2487,1685
values_430,584,373
values_922,4756,3265
values_903,4728,3249
values_761,17475,12158
values_204,12054,8375
values_48,2529,1718
values_71,19585,13620
values_851,3242,2210
values_347,1737,1163
values_725,24187,16812
values_266,18442,12822
values_448,24447,17024
values_934,11899,8238
values_531,3229,2203
values_224,11095,7704
values_686,1737,1163
values_927,591,377
values_407,12131,8437
values_76,11172,7757
values_949,2529,1718
values_969,17509,12186
values_781,9196,6368
values_7,3228,2202
values_683,19761,13757
values_376,16436,11447
values_877,5520,3791
values_654,18779,13096
values_508,19841,13822
values_332,16313,11339
values_281,24443,17023
values_381,13136,9127
values_769,8247,5706
values_701,18471,12848
values_855,10130,7022
values_320,19800,13799
values_50,4692,3219
values_918,19696,13701
values_615,26109,18398
values_704,24542,17098
values_633,26121,18407
values_847,17624,12280
values_602,2465,1663
values_399,12979,9000
values_22,1737,1163
values_313,8326,5770
values_375,4728,3249
values_963,18523,12885
values_168,5503,3771
values_226,9260,6423
values_190,17489,12175
values_429,21996,15310
values_236,11039,7654
values_777,1744,1167
values_909,3222,2199
values_438,3235,2206
values_607,1170,773
values_717,17501,12172
values_782,20931,14583
values_258,2515,1710
values_872,12079,8388
values_637,2450,1654
values_746,10118,7016
values_4,4777,3286
values_345,12095,8407
values_102,3998,2736
values_962,24383,16969
values_356,18700,13032
values_853,7448,5158
values_849,23135,16100
values_814,17503,12183
values_370,1702,1134
values_778,18544,12897
values_458,14189,9863
values_818,12088,8403
values_119,3271,2236
values_373,23282,16220
values_351,9260,6423
values_32,15430,10754
values_770,1751,1171
values_371,23328,16257
values_283,24527,17089
values_535,22067,15360
values_250,15309,10657
values_132,1744,1167
values_649,16301,11333
values_77,13133,9124
values_260,6540,4520
values_891,14091,9789
values_91,3199,2176
values_137,12005,8338
values_42,1170,773
values_13,15297,10651
values_577,18603,12950
values_41,24478,17061
values_809,9289,6449
values_414,23276,16217
values_360,3991,2732
values_386,23077,16048
values_158,11115,7715
values_904,3221,2198
values_480,3977,2724
values_647,18744,13067
values_104,5533,3798
values_55,8235,5700
values_491,24478,17052
values_391,4741,3256
values_972,10071,6981
values_571,17491,12177
values_940,6497,4486
values_861,17391,12092
values_324,15422,10740
values_549,15265,10613
values_170,12145,8445
values_269,3235,2206
values_442,18533,12892
values_520,20815,14491
values_455,2522,1714
values_31,591,377
values_971,14084,9785
values_397,23245,16180
values_254,21022,14644
values_616,5578,3843
values_66,5556,3821
values_943,11138,7738
values_117,591,377
values_451,23221,16177
values_643,7411,5127
values_688,11158,7749
values_569,12046,8370
values_745,11095,7695
values_65,9241,6413
values_980,23390,16310
