id,cInstr
values_242,845
values_505,510
values_924,356
values_862,158
values_287,62
values_733,122
values_813,38
values_11,500
values_19,913
values_999,135
values_134,366
values_609,576
values_993,560
values_731,40
values_127,576
values_889,493
values_987,350
values_780,246
values_435,991
values_950,324
values_976,881
values_557,701
values_398,414
values_892,187
values_670,659
values_574,371
values_163,100
values_900,574
values_392,251
values_447,840
values_523,374
values_679,31
values_419,793
values_895,407
values_298,31
values_155,474
values_12,371
values_160,553
values_626,414
values_38,547
values_146,189
values_81,718
values_687,118
values_213,459
values_212,123
values_568,385
values_5,208
values_40,577
values_970,830
values_707,818
values_406,1058
values_893,387
values_144,292
values_979,459
values_831,743
values_402,305
values_404,627
values_310,300
values_70,515
values_268,284
values_412,453
values_290,221
values_916,111
values_567,359
values_913,440
values_232,1018
values_319,1107
values_23,454
values_899,40
values_428,140
values_858,508
values_546,904
values_432,439
values_231,552
values_388,150
values_350,704
values_603,353
values_364,685
values_530,102
values_72,76
values_536,242
values_79,289
values_342,136
values_803,285
values_501,310
values_540,840
values_955,249
values_191,475
values_812,882
values_545,187
values_78,262
values_526,457
values_695,232
values_87,249
values_300,428
values_964,905
values_998,734
values_988,578
values_6,531
values_625,746
values_518,418
values_122,483
values_541,537
values_279,1062
values_256,573
values_796,519
values_504,1018
values_752,578
values_459,282
values_658,193
values_408,577
values_867,201
values_727,865
values_177,303
values_823,373
values_822,187
values_218,656
values_426,384
values_776,475
values_143,363
values_739,31
values_312,273
values_174,832
values_669,660
values_120,53
values_974,327
values_217,345
values_866,85
values_192,409
values_328,348
values_68,186
values_387,158
values_69,586
values_749,627
values_135,342
values_341,292
values_494,160
values_1,879
values_589,192
values_925,568
values_524,432
values_994,655
values_856,496
values_156,459
values_470,539
values_207,612
values_655,275
values_441,889
values_109,901
values_45,408
values_125,782
values_600,1213
values_708,535
values_791,105
values_912,67
values_533,239
values_418,1162
values_228,102
values_585,162
values_465,99
values_239,612
values_842,402
values_208,140
values_932,285
values_957,303
values_563,925
values_766,292
values_476,114
values_175,53
values_591,424
values_997,279
values_385,314
values_115,259
values_653,448
values_753,344
values_241,398
values_197,546
values_636,727
values_450,900
values_106,614
values_699,276
values_578,69
values_644,98
values_570,428
values_873,277
values_33,31
values_210,693
values_486,1027
values_252,525
values_694,392
values_759,217
values_245,641
values_15,740
values_792,867
values_248,326
values_246,316
values_556,69
values_513,597
values_93,558
values_558,755
values_991,681
values_181,397
values_674,539
values_652,316
values_344,362
values_715,1268
values_528,222
values_276,482
values_24,60
values_296,536
values_244,641
values_380,890
values_25,240
values_740,893
values_478,483
values_379,664
values_810,228
values_440,827
values_543,53
values_130,849
values_225,519
values_285,163
values_363,173
values_667,248
values_26,457
values_793,208
values_772,611
values_931,992
values_981,516
values_422,812
values_920,53
values_259,38
values_477,596
values_738,475
values_430,62
values_922,398
values_903,120
values_761,67
values_204,1015
values_48,31
values_71,91
values_851,475
values_347,123
values_725,380
values_266,133
values_448,310
values_934,158
values_531,225
values_224,903
values_686,292
values_927,820
values_407,790
values_76,182
values_949,40
values_969,701
values_781,533
values_7,301
values_683,504
values_376,524
values_877,274
values_654,399
values_508,499
values_332,443
values_281,509
values_381,226
values_769,254
values_701,909
values_855,617
values_320,982
values_50,174
values_918,115
values_615,277
values_704,468
values_633,524
values_847,116
values_602,388
values_399,293
values_22,291
values_313,616
values_375,458
values_963,449
values_168,713
values_226,482
values_190,930
values_429,256
values_236,611
values_777,208
values_909,357
values_438,112
values_607,168
values_717,31
values_782,790
values_258,438
values_872,98
values_637,463
values_746,60
values_4,668
values_345,624
values_102,98
values_962,38
values_356,179
values_853,85
values_849,799
values_814,481
values_370,105
values_778,365
values_458,716
values_818,552
values_119,749
values_373,460
values_351,84
values_32,353
values_770,286
values_371,480
values_283,807
values_535,621
values_250,211
values_132,330
values_649,249
values_77,925
values_260,160
values_891,464
values_91,69
values_137,539
values_42,383
values_13,290
values_577,69
values_41,135
values_809,833
values_414,31
values_360,98
values_386,376
values_158,807
values_904,841
values_480,492
values_647,64
values_104,228
values_55,159
values_491,454
values_391,76
values_972,522
values_571,831
values_940,87
values_861,31
values_324,848
values_549,38
values_170,596
values_269,325
values_442,91
values_520,418
values_455,186
values_31,839
values_971,321
values_397,310
values_254,528
values_616,195
values_66,930
values_943,1008
values_117,851
values_451,885
values_643,850
values_688,878
values_569,38
values_745,143
values_65,381
values_980,336
values_982,754
values_62,952
values_789,246
values_401,481
values_21,857
values_598,117
values_273,425
values_534,40
values_118,105
values_141,469
values_366,764
values_222,237
values_876,777
values_700,633
values_95,391
values_806,235
values_671,363
values_816,64
values_630,613
values_433,771
values_905,351
values_84,31
values_233,471
values_664,725
values_162,500
values_681,521
values_542,1031
values_169,793
values_660,268
values_488,247
values_894,336
values_828,332
values_537,785
values_845,388
values_584,210
values_457,206
values_499,743
values_369,344
values_58,1112
values_64,275
values_196,105
values_462,320
values_343,225
values_262,102
values_966,216
values_261,230
values_349,870
values_263,130
values_801,114
values_292,956
values_786,119
values_101,161
values_691,339
values_926,546
values_754,390
values_215,429
values_977,69
values_850,587
values_646,442
values_628,356
values_941,960
values_353,827
values_690,131
values_961,228
values_331,517
values_377,178
values_128,328
values_336,282
values_632,521
values_166,370
values_744,952
values_837,741
values_807,950
values_838,770
values_723,404
values_874,830
values_627,726
values_555,644
values_446,470
values_716,404
values_240,232
values_140,791
values_317,701
values_83,690
values_696,306
values_413,358
values_94,325
values_937,504
values_199,448
values_596,483
values_0,215
values_953,813
values_906,253
values_742,737
values_396,223
values_159,738
values_238,630
values_136,232
values_915,344
values_99,341
values_771,873
values_96,820
values_768,673
values_67,831
values_565,769
values_848,348
values_114,1006
values_61,293
values_511,633
values_729,205
values_460,209
values_832,107
values_348,74
values_182,359
values_986,683
values_180,163
values_930,715
values_274,955
values_309,1020
values_496,154
values_165,98
values_553,208
values_870,349
values_795,344
values_361,331
values_302,98
values_586,722
values_880,201
values_665,663
values_527,883
values_372,164
values_382,784
values_43,669
values_935,38
values_2,107
values_790,408
values_152,466
values_871,252
values_434,62
values_775,307
values_500,86
values_220,104
values_875,887
values_249,353
values_808,925
values_859,876
values_539,259
values_635,798
values_311,779
values_183,551
values_54,140
values_390,649
values_890,668
values_711,306
values_471,374
values_995,542
values_443,394
values_464,818
values_774,493
values_200,361
values_747,288
values_758,891
values_30,741
values_820,87
values_393,146
values_576,348
values_445,111
values_662,665
values_403,174
values_640,100
values_59,381
values_490,128
values_194,254
values_751,114
values_663,450
values_938,238
values_532,266
values_885,67
values_713,621
values_193,574
values_650,568
values_564,31
values_267,121
values_147,309
values_709,225
values_857,177
values_334,726
values_965,408
values_824,595
values_784,384
values_229,664
values_538,432
values_463,31
values_741,218
values_85,180
values_493,95
values_794,415
values_202,264
values_74,221
values_410,38
values_469,438
values_394,498
values_149,857
values_945,698
values_293,931
values_456,616
values_975,618
values_547,817
values_164,695
values_720,158
values_833,115
values_90,399
values_954,473
values_483,510
values_990,250
values_113,40
values_878,552
values_942,166
values_126,138
values_666,439
values_960,778
values_783,209
values_735,258
values_439,1035
values_860,321
values_18,401
values_173,120
values_454,320
values_176,914
values_698,31
values_869,472
values_697,192
values_509,31
values_189,206
values_714,624
values_270,31
values_863,730
values_548,806
values_359,515
values_512,663
values_656,597
values_684,454
values_171,301
values_675,1071
values_657,60
values_333,274
values_599,122
values_129,143
values_886,229
values_107,1027
values_272,178
values_52,727
values_819,763
values_682,434
values_44,482
values_914,64
values_346,40
values_151,534
values_550,40
values_326,567
values_836,217
values_437,614
values_984,162
values_17,322
values_748,31
values_581,240
values_705,293
values_121,38
values_219,40
values_321,747
values_843,747
values_606,143
values_898,53
values_601,140
values_36,186
values_282,149
values_395,60
values_449,743
values_209,566
values_956,182
values_579,369
values_484,84
values_521,268
values_617,31
values_516,38
values_358,280
values_335,200
values_139,217
values_992,563
values_211,256
values_507,655
values_921,761
values_138,209
values_275,842
values_614,86
values_49,370
values_227,499
values_203,216
values_172,582
values_86,604
values_178,204
values_978,171
values_253,231
values_291,168
values_911,676
values_230,456
values_318,603
values_798,119
values_638,313
values_112,232
values_201,777
values_629,221
values_337,151
values_37,828
values_56,425
values_316,100
values_829,77
values_63,615
values_35,218
values_519,582
values_481,734
values_278,402
values_186,238
values_702,939
values_722,840
values_97,495
values_329,868
values_75,339
values_560,1095
values_612,446
values_421,77
values_639,120
values_939,858
values_198,288
values_840,554
values_415,91
values_405,629
values_100,953
values_726,914
values_265,38
values_743,798
values_436,588
values_583,53
values_525,566
values_677,1124
values_289,777
values_255,185
values_529,324
values_826,565
values_362,930
values_355,119
values_506,163
values_315,523
values_604,333
values_57,543
values_133,168
values_787,95
values_799,463
values_765,711
values_887,151
values_952,260
values_631,477
values_306,321
values_497,155
values_821,318
values_618,262
values_271,309
values_645,69
values_985,818
values_400,669
values_562,31
values_590,762
values_648,60
values_325,388
values_883,742
values_827,751
values_854,559
values_307,456
values_88,539
values_958,491
values_251,509
values_902,74
values_680,408
values_884,93
values_901,1043
values_354,188
values_420,861
values_103,90
values_10,231
values_474,98
values_53,302
values_8,940
values_39,38
values_755,314
values_124,38
values_841,190
values_510,164
values_989,160
values_706,158
values_257,406
values_811,232
values_111,98
values_47,67
values_928,658
values_561,717
values_383,600
values_498,121
values_60,256
values_737,694
values_624,523
values_973,1006
values_472,524
values_280,431
values_389,908
values_651,64
values_642,31
values_668,69
values_551,834
values_750,600
values_592,428
values_89,399
values_411,875
values_620,643
values_357,677
values_247,342
values_692,536
values_572,267
values_757,672
values_566,399
values_216,425
values_951,809
values_910,832
values_338,338
values_461,741
values_730,178
values_734,220
values_51,717
values_678,151
values_327,508
values_473,204
values_453,558
values_154,441
values_452,461
values_221,520
values_323,727
values_844,180
values_673,186
values_427,846
values_933,95
values_802,737
values_852,825
values_487,87
values_762,754
values_515,624
values_479,88
values_948,562
values_467,332
values_14,547
values_868,833
values_188,143
values_489,330
values_865,380
values_728,38
values_996,831
values_277,775
values_936,856
values_554,881
values_763,176
values_834,231
values_613,991
values_907,823
values_825,181
values_308,62
values_294,266
values_522,169
values_322,672
values_28,906
values_760,873
values_559,223
values_685,465
values_908,608
values_919,133
values_724,891
values_947,420
values_214,214
values_468,645
values_967,842
values_234,187
values_983,148
values_719,76
values_110,735
values_235,95
values_588,780
values_185,495
values_732,884
values_896,31
values_888,1004
values_923,38
values_767,69
values_179,74
values_195,954
values_148,114
values_917,404
values_634,213
values_157,485
values_314,621
values_879,640
values_16,507
values_839,668
values_150,416
values_835,230
values_161,129
values_34,222
values_959,399
values_264,328
values_123,223
values_623,486
values_187,235
values_575,100
values_466,453
values_621,821
values_82,183
values_352,284
values_779,953
values_946,240
values_756,1066
values_502,91
values_641,827
values_882,736
values_46,136
values_721,607
values_105,228
values_284,149
values_295,682
values_423,927
values_544,391
values_384,728
values_206,466
values_817,249
values_788,228
values_205,151
values_243,322
values_619,429
values_514,188
values_703,407
values_605,169
values_659,733
values_929,652
values_365,296
values_495,286
values_431,874
values_482,691
values_611,74
values_846,575
values_27,772
values_736,77
values_815,256
values_145,905
values_582,895
values_492,115
values_881,171
values_237,860
values_409,849
values_108,128
values_299,403
values_20,594
values_485,1128
values_303,304
values_425,514
values_597,462
values_517,165
values_672,379
values_340,780
values_339,964
values_424,845
values_9,532
values_587,412
values_417,67
values_116,226
values_475,257
values_184,920
values_223,88
values_804,1222
values_374,38
values_864,88
values_444,630
values_92,351
values_773,179
values_131,262
values_710,200
values_693,245
values_944,1075
values_573,663
values_712,807
values_718,791
values_3,586
values_805,896
values_98,685
values_304,182
values_897,271
values_153,648
values_368,641
values_689,223
values_830,401
values_29,359
values_301,572
values_286,507
values_580,357
values_593,418
values_80,944
values_416,333
values_305,579
values_142,40
values_800,340
values_661,685
values_73,714
values_297,38
values_167,69
values_594,981
values_367,267
values_552,784
values_608,209
values_797,647
values_288,478
values_764,749
values_622,641
values_785,698
values_676,301
values_330,794
values_595,346
values_968,508
values_503,234
values_378,430
values_610,69
