inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 176 
"," 26 
"," 70 
"," 29 
"," 246 
"," 55 
"," 1422.21 
"," 44628.11 
"," 0.03 
"," 31.38 
"," 2479.34 
"," 0.42 
"
values_505," 163 
"," 26 
"," 65 
"," 27 
"," 228 
"," 53 
"," 1305.97 
"," 40871.89 
"," 0.03 
"," 31.30 
"," 2270.66 
"," 0.40 
"
values_924," 157 
"," 26 
"," 61 
"," 24 
"," 218 
"," 50 
"," 1230.36 
"," 40653.17 
"," 0.03 
"," 33.04 
"," 2258.51 
"," 0.39 
"
values_862," 160 
"," 26 
"," 62 
"," 25 
"," 222 
"," 51 
"," 1259.28 
"," 40599.14 
"," 0.03 
"," 32.24 
"," 2255.51 
"," 0.39 
"
values_287," 161 
"," 26 
"," 62 
"," 24 
"," 223 
"," 50 
"," 1258.58 
"," 42267.31 
"," 0.03 
"," 33.58 
"," 2348.18 
"," 0.40 
"
values_733," 149 
"," 26 
"," 55 
"," 18 
"," 204 
"," 44 
"," 1113.72 
"," 44239.59 
"," 0.03 
"," 39.72 
"," 2457.76 
"," 0.42 
"
values_813," 185 
"," 26 
"," 80 
"," 39 
"," 265 
"," 65 
"," 1595.93 
"," 42558.07 
"," 0.04 
"," 26.67 
"," 2364.34 
"," 0.41 
"
values_11," 184 
"," 26 
"," 78 
"," 39 
"," 262 
"," 65 
"," 1577.86 
"," 41024.37 
"," 0.04 
"," 26 
"," 2279.13 
"," 0.40 
"
values_19," 149 
"," 26 
"," 54 
"," 17 
"," 203 
"," 43 
"," 1101.53 
"," 45486.78 
"," 0.02 
"," 41.29 
"," 2527.04 
"," 0.42 
"
values_999," 168 
"," 26 
"," 67 
"," 28 
"," 235 
"," 54 
"," 1352.40 
"," 42069.26 
"," 0.03 
"," 31.11 
"," 2337.18 
"," 0.40 
"
values_134," 167 
"," 26 
"," 70 
"," 31 
"," 237 
"," 57 
"," 1382.39 
"," 40579.98 
"," 0.03 
"," 29.35 
"," 2254.44 
"," 0.39 
"
values_609," 158 
"," 26 
"," 59 
"," 22 
"," 217 
"," 48 
"," 1211.94 
"," 42252.53 
"," 0.03 
"," 34.86 
"," 2347.36 
"," 0.40 
"
values_993," 187 
"," 26 
"," 78 
"," 38 
"," 265 
"," 64 
"," 1590 
"," 42427.89 
"," 0.04 
"," 26.68 
"," 2357.11 
"," 0.41 
"
values_731," 159 
"," 26 
"," 62 
"," 25 
"," 221 
"," 51 
"," 1253.61 
"," 40416.26 
"," 0.03 
"," 32.24 
"," 2245.35 
"," 0.39 
"
values_127," 159 
"," 26 
"," 62 
"," 24 
"," 221 
"," 50 
"," 1247.29 
"," 41888.23 
"," 0.03 
"," 33.58 
"," 2327.12 
"," 0.40 
"
values_889," 179 
"," 26 
"," 73 
"," 33 
"," 252 
"," 59 
"," 1482.43 
"," 42630.98 
"," 0.03 
"," 28.76 
"," 2368.39 
"," 0.41 
"
values_987," 148 
"," 26 
"," 55 
"," 18 
"," 203 
"," 44 
"," 1108.26 
"," 44022.73 
"," 0.03 
"," 39.72 
"," 2445.71 
"," 0.42 
"
values_780," 152 
"," 26 
"," 56 
"," 19 
"," 208 
"," 45 
"," 1142.31 
"," 43768.33 
"," 0.03 
"," 38.32 
"," 2431.57 
"," 0.41 
"
values_435," 157 
"," 26 
"," 60 
"," 23 
"," 217 
"," 49 
"," 1218.39 
"," 41319.38 
"," 0.03 
"," 33.91 
"," 2295.52 
"," 0.40 
"
values_950," 157 
"," 26 
"," 60 
"," 23 
"," 217 
"," 49 
"," 1218.39 
"," 41319.38 
"," 0.03 
"," 33.91 
"," 2295.52 
"," 0.40 
"
values_976," 148 
"," 26 
"," 54 
"," 17 
"," 202 
"," 43 
"," 1096.11 
"," 45262.71 
"," 0.02 
"," 41.29 
"," 2514.59 
"," 0.42 
"
values_557," 161 
"," 26 
"," 63 
"," 26 
"," 224 
"," 52 
"," 1276.90 
"," 40222.30 
"," 0.03 
"," 31.50 
"," 2234.57 
"," 0.39 
"
values_398," 165 
"," 26 
"," 64 
"," 27 
"," 229 
"," 53 
"," 1311.69 
"," 40419.60 
"," 0.03 
"," 30.81 
"," 2245.53 
"," 0.39 
"
values_892," 188 
"," 26 
"," 77 
"," 38 
"," 265 
"," 64 
"," 1590 
"," 41883.95 
"," 0.04 
"," 26.34 
"," 2326.89 
"," 0.40 
"
values_670," 166 
"," 26 
"," 65 
"," 28 
"," 231 
"," 54 
"," 1329.38 
"," 40118.76 
"," 0.03 
"," 30.18 
"," 2228.82 
"," 0.39 
"
values_574," 165 
"," 26 
"," 66 
"," 27 
"," 231 
"," 53 
"," 1323.15 
"," 42046.75 
"," 0.03 
"," 31.78 
"," 2335.93 
"," 0.40 
"
values_163," 180 
"," 26 
"," 75 
"," 36 
"," 255 
"," 62 
"," 1518.32 
"," 41121.17 
"," 0.04 
"," 27.08 
"," 2284.51 
"," 0.40 
"
values_900," 172 
"," 26 
"," 69 
"," 31 
"," 241 
"," 57 
"," 1405.73 
"," 40675.38 
"," 0.03 
"," 28.94 
"," 2259.74 
"," 0.39 
"
values_392," 177 
"," 26 
"," 74 
"," 35 
"," 251 
"," 61 
"," 1488.62 
"," 40915.65 
"," 0.04 
"," 27.49 
"," 2273.09 
"," 0.40 
"
values_447," 151 
"," 26 
"," 56 
"," 19 
"," 207 
"," 45 
"," 1136.81 
"," 43557.91 
"," 0.03 
"," 38.32 
"," 2419.88 
"," 0.41 
"
values_523," 167 
"," 26 
"," 66 
"," 28 
"," 233 
"," 54 
"," 1340.89 
"," 41088.66 
"," 0.03 
"," 30.64 
"," 2282.70 
"," 0.40 
"
