inputName,text,data,bss
values_242,12448,400,392
values_505,13200,768,400
values_924,13184,928,400
values_862,13168,432,392
values_287,13184,176,384
values_733,12448,160,376
values_813,13184,928,400
values_11,13216,624,400
values_19,12448,208,384
values_999,13216,816,400
values_134,13168,152,376
values_609,13168,368,392
values_993,13184,464,392
values_731,13168,224,384
values_127,13168,152,376
values_889,12448,208,384
values_987,13200,768,400
values_780,13200,312,384
values_435,12448,400,392
values_950,13200,672,400
values_976,13200,768,400
values_557,13168,224,384
values_398,13200,312,384
values_892,13184,336,392
values_670,13168,224,384
values_574,13168,368,392
values_163,12448,400,392
values_900,13184,288,384
values_392,13184,464,392
values_447,13200,768,400
values_523,12448,208,384
values_679,13168,152,376
values_419,13216,816,400
values_895,13200,672,400
values_298,13184,928,400
values_155,13184,928,400
values_12,13168,432,392
values_160,13168,152,376
values_626,13184,176,384
values_38,12448,160,376
values_146,13168,152,376
values_81,13200,872,400
values_687,13200,264,384
values_213,13168,368,392
values_212,13200,768,400
values_568,13168,224,384
values_5,13200,264,384
values_40,13184,336,392
values_970,13216,624,400
values_707,13184,288,384
values_406,13184,464,392
values_893,13184,928,400
values_144,13200,584,392
values_979,13216,816,400
values_831,13168,152,376
values_402,13184,336,392
values_404,13200,312,384
values_310,13200,504,392
values_70,12448,208,384
values_268,12448,400,392
values_412,13184,928,400
values_290,13216,624,400
values_916,13168,368,392
values_567,12448,400,392
values_913,12448,144,376
values_232,13184,240,384
values_319,13168,168,376
values_23,13168,192,384
values_899,13200,584,392
values_428,13184,928,400
values_858,13184,928,400
values_546,13184,720,400
values_432,12448,144,376
values_231,13200,768,400
values_388,13200,872,400
values_350,13200,312,384
values_603,13200,768,400
values_364,13168,432,392
values_530,13200,504,392
values_72,13200,264,384
values_536,13168,192,384
values_79,12448,208,384
values_342,13168,224,384
values_803,12448,208,384
values_501,12448,208,384
values_540,13168,432,392
values_955,13184,544,392
values_191,13184,464,392
values_812,13184,336,392
values_545,13200,504,392
values_78,13184,336,392
values_526,13200,264,384
values_695,12448,400,392
values_87,13200,768,400
values_300,13184,336,392
values_964,13184,336,392
values_998,13168,192,384
values_988,12448,144,376
values_6,13184,336,392
values_625,13216,624,400
values_518,13184,288,384
values_122,13184,176,384
values_541,12448,160,376
values_279,12448,208,384
values_256,13200,264,384
values_796,13216,816,400
values_504,13216,624,400
values_752,13184,240,384
values_459,13184,240,384
values_658,13216,816,400
values_408,13200,312,384
values_867,13184,336,392
values_727,13200,264,384
values_177,13200,504,392
values_823,12448,400,392
values_822,13200,768,400
values_218,13200,584,392
values_426,13184,336,392
values_776,13216,816,400
values_143,13184,240,384
values_739,13200,264,384
values_312,12448,208,384
values_174,13184,288,384
values_669,13200,672,400
values_120,13200,672,400
values_974,13168,368,392
values_217,13168,432,392
values_866,13184,176,384
values_192,12448,400,392
values_328,13184,288,384
values_68,13200,264,384
values_387,12448,208,384
values_69,13184,336,392
values_749,12448,208,384
values_135,13184,336,392
values_341,13184,288,384
values_494,13184,336,392
values_1,13184,240,384
values_589,13184,240,384
values_925,13184,240,384
values_524,13168,192,384
values_994,13200,672,400
values_856,13184,176,384
values_156,13184,176,384
values_470,12448,400,392
values_207,12448,160,376
values_655,13168,152,376
values_441,13184,288,384
values_109,12448,160,376
values_45,13200,872,400
values_125,13216,816,400
values_600,13184,720,400
values_708,12448,400,392
values_791,12448,144,376
values_912,13200,672,400
values_533,12448,208,384
values_418,13200,672,400
values_228,13200,872,400
values_585,13184,720,400
values_465,12448,160,376
values_239,13200,872,400
values_842,13168,368,392
values_208,13184,176,384
values_932,13200,312,384
values_957,12448,400,392
values_563,13200,672,400
values_766,13184,288,384
values_476,13184,464,392
values_175,13168,224,384
values_591,13168,168,376
values_997,12448,208,384
values_385,12448,160,376
values_115,13168,432,392
values_653,12448,160,376
values_753,13184,464,392
values_241,13184,544,392
values_197,12448,160,376
values_636,13168,432,392
values_450,13184,464,392
values_106,13184,240,384
values_699,13168,192,384
values_578,13200,672,400
values_644,13184,720,400
values_570,13184,176,384
values_873,13200,264,384
values_33,12448,144,376
values_210,13168,432,392
values_486,13216,816,400
values_252,12448,400,392
values_694,13184,240,384
values_759,13184,720,400
values_245,12448,144,376
values_15,13200,768,400
values_792,13168,168,376
values_248,13184,544,392
values_246,13184,176,384
values_556,13184,928,400
values_513,13168,368,392
values_93,13200,672,400
values_558,13168,168,376
values_991,13184,544,392
values_181,12448,144,376
values_674,13200,672,400
values_652,13184,928,400
values_344,13184,720,400
values_715,13200,504,392
values_528,13168,224,384
values_276,12448,208,384
values_24,13168,152,376
values_296,13184,240,384
values_244,12448,160,376
values_380,13168,168,376
values_25,13216,624,400
values_740,13200,672,400
values_478,13168,168,376
values_379,13168,192,384
values_810,13200,872,400
values_440,13200,504,392
values_543,12448,160,376
values_130,13200,672,400
values_225,13168,368,392
values_285,13200,584,392
values_363,13168,152,376
values_667,12448,208,384
values_26,13184,720,400
values_793,13168,192,384
values_772,12448,400,392
values_931,13200,672,400
