id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,9281,5054,515,18.021
values_505,6969,3368,298,23.386
values_924,25145,16656,1957,12.849
values_862,8624,4570,461,18.707
values_287,12448,7378,815,15.274
values_733,17520,11084,1279,13.698
values_813,13650,8232,899,15.184
values_11,33588,22886,2859,11.748
values_19,7480,3728,343,21.808
values_999,12232,7208,805,15.195
values_134,26773,17858,2173,12.321
values_609,13225,7934,883,14.977
values_993,23687,15588,1837,12.894
values_731,4048,1338,17,238.118
values_127,31592,21356,2538,12.448
values_889,5197,2070,124,41.911
values_987,20379,13166,1549,13.156
values_780,34683,23688,2915,11.898
values_435,6357,2914,221,28.765
values_950,32384,21962,2626,12.332
values_976,33043,22446,2676,12.348
values_557,13939,8466,966,14.430
values_398,5104,2002,113,45.168
values_892,8800,4704,463,19.006
values_670,4576,1624,63,72.635
values_574,29040,19532,2328,12.474
values_163,4771,1770,80,59.638
values_900,4840,1806,88,55.000
values_392,4549,1606,58,78.431
values_447,6407,2958,245,26.151
values_523,4470,1552,45,99.333
values_679,12760,7588,834,15.300
values_419,17173,10824,1246,13.783
values_895,34064,23182,2790,12.209
values_298,9569,5260,529,18.089
values_155,26897,17958,2191,12.276
values_12,8289,4330,416,19.925
values_160,16833,10572,1227,13.719
values_626,4048,1338,17,238.118
values_38,6978,3360,282,24.745
values_146,27315,18278,2178,12.541
values_81,24660,16320,1907,12.931
values_687,36608,25096,3145,11.640
values_213,5808,2508,173,33.572
values_212,20208,13060,1553,13.012
values_568,8240,4294,406,20.296
values_5,4505,1574,55,81.909
values_40,16990,10674,1171,14.509
values_970,4667,1688,69,67.638
values_707,20746,13440,1533,13.533
values_406,8694,4622,448,19.406
values_893,6713,3178,259,25.919
values_144,31124,21048,2488,12.510
values_979,5604,2366,163,34.380
values_831,4840,1806,88,55.000
values_402,25265,16730,1952,12.943
values_404,5984,2640,194,30.845
values_310,5735,2472,167,34.341
values_70,4637,1670,64,72.453
values_268,11792,6864,733,16.087
values_412,18129,11500,1310,13.839
values_290,4335,1456,36,120.417
values_916,18712,11948,1360,13.759
values_567,4971,1916,97,51.247
values_913,4505,1574,55,81.909
values_232,15495,9602,1099,14.099
values_319,10170,5700,608,16.727
values_23,5339,2184,140,38.136
values_899,21662,14106,1657,13.073
values_428,15956,9910,1102,14.479
values_858,6776,3218,274,24.730
values_546,6072,2722,207,29.333
values_432,27030,18044,2205,12.259
values_231,18541,11826,1381,13.426
values_388,4077,1370,20,203.850
values_350,13135,7866,870,15.098
values_603,11759,6874,732,16.064
values_364,11088,6380,687,16.140
values_530,9944,5546,581,17.115
values_72,22375,14624,1738,12.874
values_536,30712,20688,2427,12.654
values_79,6127,2754,208,29.457
values_342,23206,15254,1813,12.800
values_803,17458,11036,1250,13.966
values_501,21384,13878,1578,13.551
values_540,4534,1602,53,85.547
values_955,6269,2850,215,29.158
values_191,25320,16790,2004,12.635
values_812,24817,16434,1968,12.610
values_545,18452,11762,1328,13.895
values_78,32488,22052,2698,12.042
values_526,11632,6774,714,16.291
values_695,7304,3610,324,22.543
values_87,14850,9140,1059,14.023
values_300,21333,13892,1635,13.048
values_964,29420,19824,2413,12.192
values_998,6958,3354,298,23.349
values_988,16294,10160,1142,14.268
values_6,4048,1338,17,238.118
values_625,7280,3592,319,22.821
values_518,22984,15086,1831,12.553
values_122,18042,11452,1334,13.525
values_541,30866,20884,2568,12.019
values_279,16147,10060,1128,14.315
values_256,6612,3092,241,27.436
values_796,34263,23330,2835,12.086
values_504,16966,10662,1201,14.127
values_752,33742,22970,2794,12.077
values_459,22571,14758,1734,13.017
values_658,4446,1538,47,94.596
values_408,5682,2430,171,33.228
values_867,31205,21102,2548,12.247
values_727,24359,16098,1912,12.740
values_177,33325,22674,2757,12.087
values_823,11640,6772,733,15.880
values_822,4597,1638,61,75.361
values_218,29572,19918,2390,12.373
values_426,26241,17466,2123,12.360
values_776,9436,5176,543,17.378
values_143,4537,1602,53,85.604
values_739,25400,16858,2019,12.580
values_312,22462,14700,1767,12.712
values_174,16897,10630,1251,13.507
values_669,13480,8140,905,14.895
values_120,18545,11824,1353,13.707
values_974,16383,10258,1187,13.802
values_217,13644,8234,927,14.718
