id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,4714,1768,83,56.795
values_505,4365,1529,45,97.000
values_1006,4638,1716,75,61.840
values_924,4670,1738,79,59.114
values_862,4752,1790,87,54.621
values_287,4667,1729,77,60.610
values_733,4727,1777,85,55.612
values_813,4530,1642,63,71.905
values_11,4555,1659,65,70.077
values_19,4764,1802,87,54.759
values_999,4576,1668,67,68.299
values_134,4530,1642,63,71.905
values_609,4454,1590,55,80.982
values_993,4714,1768,83,56.795
values_731,4460,1594,55,81.091
values_127,4676,1742,79,59.190
values_889,4702,1760,83,56.651
values_987,4549,1655,65,69.985
values_780,4802,1828,91,52.769
values_435,4689,1751,81,57.889
values_950,4542,1650,63,72.095
values_976,4593,1685,69,66.565
values_557,4435,1577,53,83.679
values_398,4224,1429,29,145.655
values_892,4365,1529,45,97.000
values_670,4441,1581,53,83.792
values_574,4765,1803,89,53.539
values_163,4454,1590,55,80.982
values_900,4808,1832,91,52.835
values_392,4488,1607,57,78.737
values_447,4667,1729,77,60.610
values_523,4600,1690,71,64.789
values_679,4861,1869,101,48.129
values_419,4764,1802,87,54.759
values_895,4759,1799,89,53.472
values_298,4312,1490,39,110.564
values_155,4632,1712,75,61.760
values_12,4802,1828,91,52.769
values_160,4670,1738,79,59.114
values_626,4886,1886,103,47.437
values_38,4441,1581,53,83.792
values_146,4840,1851,97,49.897
values_81,4333,1507,41,105.683
values_687,4702,1760,83,56.651
values_213,4488,1607,57,78.737
values_212,4632,1712,75,61.760
values_568,4454,1590,55,80.982
values_5,4815,1837,93,51.774
values_40,4720,1772,83,56.867
values_970,4765,1803,89,53.539
values_707,4549,1655,65,69.985
values_406,4409,1559,49,89.980
values_893,6271,2833,245,25.596
values_144,4625,1707,73,63.356
values_979,4765,1803,89,53.539
values_831,4619,1703,73,63.274
values_402,4676,1742,79,59.190
values_404,4632,1712,75,61.760
values_310,4377,1537,45,97.267
values_70,4543,1651,65,69.892
values_268,4727,1777,85,55.612
values_1018,4543,1651,65,69.892
values_412,4441,1581,53,83.792
values_290,4435,1577,53,83.679
values_916,4612,1698,71,64.958
values_567,4789,1819,89,53.809
values_913,4625,1707,73,63.356
values_232,4581,1677,69,66.391
values_319,4676,1742,79,59.190
values_23,4460,1594,55,81.091
values_899,4600,1690,71,64.789
values_428,4752,1790,87,54.621
values_858,4576,1668,67,68.299
values_546,4682,1746,79,59.266
values_432,4488,1603,57,78.737
values_231,4791,1821,93,51.516
values_388,4339,1511,41,105.829
values_350,4727,1777,85,55.612
values_603,4791,1821,93,51.516
values_364,4435,1577,53,83.679
values_530,4848,1860,99,48.970
values_72,4581,1677,69,66.391
values_536,4873,1877,101,48.248
values_79,4530,1642,63,71.905
values_342,4644,1720,75,61.920
values_803,4511,1629,61,73.951
values_501,4530,1642,63,71.905
values_540,5030,1984,115,43.739
values_955,4721,1773,85,55.541
values_191,4555,1659,65,70.077
values_812,4638,1716,75,61.840
values_545,4435,1577,53,83.679
values_78,4549,1655,65,69.985
values_526,4625,1707,73,63.356
values_695,4667,1733,77,60.610
values_87,4517,1633,61,74.049
values_300,4778,1812,91,52.505
values_964,4840,1845,93,52.043
values_998,4600,1690,71,64.789
values_988,4530,1642,63,71.905
values_6,4576,1668,67,68.299
values_625,4377,1537,45,97.267
values_518,4667,1729,77,60.610
values_122,4530,1642,63,71.905
values_541,4880,1882,103,47.379
values_279,4549,1655,65,69.985
values_256,4752,1786,87,54.621
values_796,4400,1551,49,89.796
values_504,4488,1603,57,78.737
values_752,4593,1685,69,66.565
values_459,4644,1720,75,61.920
values_658,4441,1581,53,83.792
