id,cInstr
values_242,581
values_505,543
values_924,63
values_862,536
values_287,112
values_733,481
values_813,144
values_11,573
values_19,73
values_999,690
values_134,66
values_609,347
values_993,395
values_731,226
values_127,426
values_889,140
values_987,596
values_780,111
values_435,316
values_950,239
values_976,303
values_557,103
values_398,44
values_892,627
values_670,652
values_574,261
values_163,36
values_900,342
values_392,66
values_447,44
values_523,22
values_679,741
values_419,55
values_895,147
values_298,41
values_155,765
values_12,17
values_160,25
values_626,243
values_38,225
values_146,77
values_81,556
values_687,276
values_213,575
values_212,28
values_568,46
values_5,424
values_40,210
values_970,69
values_707,741
values_406,352
values_893,63
values_144,521
values_979,619
values_831,40
values_402,426
values_404,162
values_310,335
values_70,88
values_268,70
values_412,248
values_290,75
values_916,198
values_567,532
values_913,526
values_232,291
values_319,186
values_23,289
values_899,339
values_428,364
values_858,411
values_546,129
values_432,248
values_231,552
values_388,14
values_350,207
values_603,417
values_364,55
values_530,333
values_72,573
values_536,14
values_79,537
values_342,551
values_803,516
values_501,212
values_540,497
values_955,679
values_191,27
values_812,160
values_545,328
values_78,84
values_526,32
values_695,392
values_87,709
values_300,28
values_964,726
values_998,139
values_988,128
values_6,261
values_625,159
values_518,214
values_122,575
values_541,325
values_279,631
values_256,574
values_796,705
values_504,452
values_752,55
values_459,753
values_658,47
values_408,347
values_867,14
values_727,661
values_177,403
values_823,394
values_822,489
values_218,540
values_426,801
values_776,71
values_143,22
values_739,291
values_312,343
values_174,94
values_669,78
values_120,165
values_974,284
values_217,623
values_866,682
values_192,109
values_328,201
values_68,41
values_387,95
values_69,14
values_749,154
values_135,632
values_341,14
values_494,182
values_1,106
values_589,91
values_925,205
values_524,163
values_994,36
values_856,428
values_156,102
values_470,485
values_207,14
values_655,27
values_441,205
values_109,479
values_45,302
values_125,95
values_600,77
values_708,173
values_791,422
values_912,518
values_533,90
values_418,633
values_228,27
values_585,652
values_465,712
values_239,213
values_842,765
values_208,309
values_932,398
values_957,233
values_563,33
values_766,335
values_476,47
values_175,722
values_591,216
values_997,705
values_385,216
values_115,449
values_653,316
values_753,72
values_241,192
values_197,320
values_636,735
values_450,615
values_106,58
values_699,273
values_578,780
values_644,417
values_570,283
values_873,550
values_33,86
values_210,111
values_486,642
values_252,466
values_694,210
values_759,534
values_245,296
values_15,28
values_792,445
values_248,555
values_246,138
values_556,532
values_513,288
values_93,308
values_558,282
values_991,76
values_181,136
values_674,554
values_652,80
values_344,60
values_715,169
values_528,319
values_276,454
values_24,222
values_296,406
values_244,171
values_380,52
values_25,742
values_740,28
values_478,402
values_379,643
values_810,149
values_440,354
values_543,24
values_130,311
values_225,160
values_285,429
values_363,388
values_667,921
values_26,379
values_793,244
values_772,203
values_931,680
values_981,434
values_422,356
values_920,63
values_259,336
values_477,145
values_738,321
values_430,778
values_922,291
values_903,210
values_761,507
values_204,293
values_48,25
values_71,265
values_851,92
values_347,424
values_725,883
values_266,160
values_448,213
values_934,14
values_531,320
values_224,658
values_686,17
values_927,287
values_407,582
values_76,84
values_949,233
values_969,461
values_781,414
values_7,399
values_683,86
values_376,52
values_877,145
values_654,145
values_508,228
values_332,93
values_281,413
values_381,263
values_769,257
values_701,117
values_855,509
values_320,167
values_50,582
values_918,401
values_615,633
values_704,87
values_633,82
values_847,189
values_602,440
values_399,203
values_22,44
values_313,644
values_375,166
values_963,79
values_168,335
values_226,298
values_190,228
values_429,30
values_236,81
values_777,17
values_909,158
values_438,58
values_607,441
values_717,30
values_782,166
values_258,258
values_872,44
values_637,430
values_746,197
values_4,634
values_345,501
values_102,647
values_962,557
values_356,364
values_853,634
values_849,207
values_814,114
values_370,191
values_778,162
values_458,324
values_818,436
values_119,681
values_373,503
values_351,161
values_32,38
values_770,407
values_371,422
values_283,50
values_535,325
values_250,619
values_132,52
values_649,271
values_77,81
values_260,241
values_891,604
values_91,19
values_137,28
values_42,511
values_13,35
values_577,505
values_41,42
values_809,649
values_414,442
values_360,129
values_386,569
values_158,50
values_904,336
values_480,457
values_647,85
values_104,511
values_55,532
values_491,106
values_391,149
values_972,591
values_571,17
values_940,189
values_861,684
values_324,268
values_549,331
values_170,172
values_269,672
values_442,149
values_520,22
values_455,67
values_31,143
values_971,17
values_397,451
values_254,27
values_616,187
values_66,259
values_943,140
values_117,381
values_451,244
values_643,86
values_688,114
values_569,55
values_745,157
values_65,148
values_980,25
values_982,35
values_62,482
values_789,165
values_401,771
values_21,363
values_598,658
values_273,49
values_534,14
values_118,575
values_141,535
values_366,218
values_222,33
values_876,246
values_700,712
values_95,61
values_806,58
values_671,444
values_816,230
values_630,83
values_433,78
values_905,277
values_84,450
values_233,44
values_664,176
values_162,526
values_681,39
values_542,17
values_169,831
values_660,598
values_488,316
values_894,98
values_828,157
values_537,206
values_845,210
values_584,95
values_457,411
values_499,583
values_369,22
values_58,312
values_64,173
values_196,511
values_462,216
values_343,30
values_262,60
values_966,84
values_261,579
values_349,543
values_263,560
values_801,404
values_292,347
values_786,94
values_101,198
values_691,60
values_926,607
values_754,454
values_215,261
values_977,52
values_850,75
values_646,70
values_628,393
values_941,41
values_353,22
values_690,676
values_961,612
values_331,17
values_377,464
values_128,149
values_336,561
values_632,198
values_166,628
values_744,225
values_837,39
values_807,567
values_838,14
values_723,597
values_874,94
values_627,212
values_555,621
values_446,370
values_716,653
values_240,510
values_140,386
values_317,221
values_83,215
values_696,141
values_413,121
values_94,289
values_937,47
values_199,126
values_596,195
values_0,554
values_953,69
values_906,364
values_742,47
values_396,430
values_159,315
values_238,233
values_136,95
values_915,575
values_99,741
values_771,565
values_96,353
values_768,88
values_67,197
values_565,83
values_848,80
values_114,738
values_61,351
values_511,724
values_729,470
values_460,420
values_832,104
values_348,143
values_182,526
values_986,574
values_180,297
values_930,103
values_274,121
values_309,521
values_496,772
values_165,146
values_553,14
values_870,465
values_795,222
values_361,591
values_302,254
values_586,726
values_880,33
values_665,69
values_527,58
values_372,381
values_382,434
values_43,212
values_935,451
values_2,244
values_790,616
values_152,103
values_871,374
values_434,493
values_775,567
values_500,195
values_220,136
values_875,94
values_249,58
values_808,27
values_859,159
values_539,55
values_635,642
values_311,516
values_183,370
values_54,600
values_390,322
values_890,302
values_711,411
values_471,191
