id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,13298,6607,581,22.888
values_505,13144,6223,543,24.206
values_924,5059,1795,63,80.302
values_862,12848,6183,536,23.970
values_287,6002,2219,112,53.589
values_733,11932,5691,481,24.807
values_813,6532,2559,144,45.361
values_11,13330,6531,573,23.264
values_19,5192,1839,73,71.123
values_999,15004,7651,690,21.745
values_134,5104,1811,66,77.333
values_609,10208,4423,347,29.418
values_993,11024,4823,395,27.909
values_731,7970,3291,226,35.265
values_127,11317,5151,426,26.566
values_889,6493,2483,140,46.379
values_987,13288,6771,596,22.295
values_780,5989,2235,111,53.955
values_435,9526,4147,316,30.146
values_950,8252,3399,239,34.527
values_976,9260,3987,303,30.561
values_557,5785,2123,103,56.165
values_398,4621,1591,44,105.023
values_892,13340,7075,627,21.276
values_670,14501,7259,652,22.241
values_574,8557,3643,261,32.785
values_163,4488,1527,36,124.667
values_900,9724,4391,342,28.433
values_392,5104,1811,66,77.333
values_447,4646,1603,44,105.591
values_523,4224,1407,22,192.000
values_679,15576,8139,741,21.020
values_419,4847,1695,55,88.127
values_895,6657,2523,147,45.286
values_298,4607,1587,41,112.366
values_155,16016,8339,765,20.936
values_12,4096,1347,17,240.941
values_160,4258,1423,25,170.320
values_626,8168,3451,243,33.613
values_38,8096,3267,225,35.982
values_146,5299,1903,77,68.818
values_81,13325,6383,556,23.966
values_687,8800,3783,276,31.884
values_213,13467,6563,575,23.421
values_212,4312,1439,28,154.000
values_568,4680,1623,46,101.739
values_5,10862,5159,424,25.618
values_40,7832,3151,210,37.295
values_970,5162,1839,69,74.812
values_707,15840,8127,741,21.377
values_406,10113,4471,352,28.730
values_893,5059,1795,63,80.302
values_144,12584,6055,521,24.154
values_979,13992,6963,619,22.604
values_831,4552,1567,40,113.800
values_402,10865,5167,426,25.505
values_404,6820,2703,162,42.099
values_310,9819,4323,335,29.310
values_70,5515,2007,88,62.670
values_268,5142,1823,70,73.457
values_412,8207,3499,248,33.093
values_290,5280,1883,75,70.400
values_916,7511,3015,198,37.934
values_567,12627,6171,532,23.735
values_913,12478,6079,526,23.722
values_232,9221,3935,291,31.687
values_319,7330,2939,186,39.409
values_23,9216,3891,289,31.889
values_899,9680,4375,339,28.555
values_428,10312,4595,364,28.330
values_858,10570,5015,411,25.718
values_546,6336,2379,129,49.116
values_432,8190,3511,248,33.024
values_231,12815,6371,552,23.216
values_388,4027,1331,14,287.643
values_350,7703,3099,207,37.213
values_603,10788,5083,417,25.871
values_364,4897,1719,55,89.036
values_530,9611,4295,333,28.862
values_72,13144,6543,573,22.939
values_536,4027,1331,14,287.643
values_79,12543,6195,537,23.358
values_342,12733,6339,551,23.109
values_803,12365,6035,516,23.963
values_501,7779,3159,212,36.693
values_540,11945,5819,497,24.034
values_955,14793,7511,679,21.786
values_191,4292,1443,27,158.963
values_812,6832,2671,160,42.700
values_545,9659,4235,328,29.448
values_78,5445,1955,84,64.821
values_526,4415,1503,32,137.969
values_695,10652,4871,392,27.173
values_87,15433,7791,709,21.767
values_300,4312,1439,28,154.000
values_964,15488,7963,726,21.333
values_998,6434,2499,139,46.288
values_988,6287,2395,128,49.117
values_6,8581,3607,261,32.877
values_625,6864,2699,159,43.170
values_518,7685,3191,214,35.911
values_122,13168,6563,575,22.901
values_541,9551,4219,325,29.388
values_279,14005,7099,631,22.195
values_256,13339,6539,574,23.239
values_796,15312,7779,705,21.719
values_504,11325,5411,452,25.055
values_752,4897,1719,55,89.036
values_459,15991,8215,753,21.236
values_658,4710,1631,47,100.213
values_408,9694,4439,347,27.937
values_867,4027,1331,14,287.643
values_727,14626,7379,661,22.127
values_177,10648,4939,403,26.422
values_823,10402,4879,394,26.401
values_822,11939,5759,489,24.415
values_218,12701,6259,540,23.520
values_426,16681,8639,801,20.825
values_776,5196,1859,71,73.183
values_143,4224,1407,22,192.000
values_739,8760,3939,291,30.103
values_312,9906,4375,343,28.880
values_174,5668,2075,94,60.298
values_669,5329,1911,78,68.321
values_120,6911,2731,165,41.885
values_974,8800,3835,284,30.986
values_217,14556,7019,623,23.364
values_866,15136,7575,682,22.194
values_192,5988,2215,109,54.936
values_328,7625,3067,201,37.935
values_68,4582,1575,41,111.756
values_387,5683,2071,95,59.821
values_69,4027,1331,14,287.643
values_749,6712,2615,154,43.584
values_135,14269,7119,632,22.578
values_341,4027,1331,14,287.643
values_494,7392,2875,182,40.615
values_1,5899,2175,106,55.651
values_589,5604,2047,91,61.582
values_925,7449,3119,205,36.337
values_524,6923,2699,163,42.472
values_994,4459,1515,36,123.861
values_856,10970,5187,428,25.631
values_156,5808,2151,102,56.941
values_470,11968,5695,485,24.676
values_207,4027,1331,14,287.643
values_655,4317,1455,27,159.889
values_441,7574,3131,205,36.946
values_109,11797,5663,479,24.628
values_45,9152,4015,302,30.305
values_125,5683,2071,95,59.821
values_600,5324,1915,77,69.143
values_708,7197,2791,173,41.601
values_791,11148,5139,422,26.417
values_912,12502,6003,518,24.135
values_533,5585,2023,90,62.056
values_418,14211,7091,633,22.450
values_228,4292,1443,27,158.963
values_585,14052,7283,652,21.552
values_465,15928,7827,712,22.371
values_239,7920,3167,213,37.183
values_842,16122,8339,765,21.075
values_208,9534,4067,309,30.854
values_932,10692,4927,398,26.864
values_957,8205,3367,233,35.215
values_563,4420,1499,33,133.939
values_766,9856,4323,335,29.421
values_476,4685,1619,47,99.681
values_175,15576,7947,722,21.573
values_591,7945,3207,216,36.782
values_997,15084,7779,705,21.396
values_385,7719,3199,216,35.736
values_115,11036,5395,449,24.579
values_653,9449,4147,316,29.902
values_753,5192,1843,72,72.111
values_241,7408,2971,192,38.583
values_197,9528,4147,320,29.775
values_636,15636,8083,735,21.273
values_450,14061,6923,615,22.863
values_106,4911,1723,58,84.672
values_699,8691,3743,273,31.835
values_578,16563,8491,780,21.235
values_644,10671,5095,417,25.590
values_570,8690,3843,283,30.707
values_873,12971,6303,550,23.584
values_33,5491,1987,86,63.849
values_210,5989,2235,111,53.955
values_486,14679,7175,642,22.864
values_252,11306,5543,466,24.262
values_694,7779,3127,210,37.043
values_759,12527,6179,534,23.459
values_245,9181,3947,296,31.017
values_15,4312,1439,28,154.000
values_792,11714,5343,445,26.324
values_248,12848,6399,555,23.150
values_246,6540,2475,138,47.391
values_556,12464,6135,532,23.429
values_513,8990,3871,288,31.215
values_93,9389,4047,308,30.484
values_558,9027,3839,282,32.011
values_991,5309,1919,76,69.855
values_181,6347,2447,136,46.669
values_674,13225,6303,554,23.872
values_652,5368,1931,80,67.100
values_344,4995,1767,60,83.250
values_715,7040,2755,169,41.657
values_528,9328,4175,319,29.241
values_276,11280,5443,454,24.846
values_24,7684,3267,222,34.613
values_296,10708,4967,406,26.374
values_244,7060,2799,171,41.287
values_380,4808,1679,52,92.462
values_25,15953,8099,742,21.500
values_740,4312,1439,28,154.000
values_478,10502,4943,402,26.124
values_379,14481,7207,643,22.521
values_810,6737,2579,149,45.215
values_440,9925,4515,354,28.037
values_543,4224,1427,24,176.000
values_130,9328,4087,311,29.994
values_225,6864,2683,160,42.900
values_285,11186,5219,429,26.075
values_363,10296,4835,388,26.536
values_667,18700,9783,921,20.304
values_26,10630,4723,379,28.047
values_793,8231,3459,244,33.734
values_772,7590,3099,203,37.389
values_931,14942,7555,680,21.974
values_981,11264,5239,434,25.954
values_422,9944,4547,356,27.933
values_920,5034,1783,63,79.905
values_259,9750,4311,336,29.018
values_477,6537,2543,145,45.083
values_738,9340,4207,321,29.097
values_430,16726,8459,778,21.499
values_922,8685,3903,291,29.845
values_903,7545,3167,210,35.929
values_761,12060,5939,507,23.787
values_204,8888,3895,293,30.334
values_48,4258,1423,25,170.320
values_71,8406,3683,265,31.721
values_851,5632,2043,92,61.217
values_347,11140,5171,424,26.274
values_725,18326,9427,883,20.754
values_266,6864,2683,160,42.900
values_448,7611,3159,213,35.732
values_934,4027,1331,14,287.643
values_531,9549,4183,320,29.841
