inputName,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 152 
"," 88 
"," 466 
"," 114 
"," 3184.13 
"," 71498.12 
"," 0.04 
"," 22.45 
"," 3972.12 
"," 0.57 
"
values_505," 342 
"," 129 
"," 961 
"," 155 
"," 6992.36 
"," 240992.35 
"," 0.03 
"," 34.47 
"," 13388.46 
"," 1.29 
"
values_924," 566 
"," 140 
"," 1529 
"," 166 
"," 11276.44 
"," 592657.22 
"," 0.02 
"," 52.56 
"," 32925.40 
"," 2.35 
"
values_862," 776 
"," 141 
"," 2051 
"," 167 
"," 15143.98 
"," 1083492.52 
"," 0.01 
"," 71.55 
"," 60194.03 
"," 3.52 
"
values_287," 62 
"," 24 
"," 235 
"," 50 
"," 1326.31 
"," 44541.78 
"," 0.03 
"," 33.58 
"," 2474.54 
"," 0.42 
"
values_733," 62 
"," 24 
"," 237 
"," 50 
"," 1337.59 
"," 44920.86 
"," 0.03 
"," 33.58 
"," 2495.60 
"," 0.42 
"
values_813," 126 
"," 70 
"," 400 
"," 96 
"," 2633.99 
"," 61635.25 
"," 0.04 
"," 23.40 
"," 3424.18 
"," 0.52 
"
values_11," 776 
"," 143 
"," 2042 
"," 169 
"," 15112.60 
"," 1066124.94 
"," 0.01 
"," 70.55 
"," 59229.16 
"," 3.48 
"
values_19," 504 
"," 143 
"," 1352 
"," 169 
"," 10005.99 
"," 458456.22 
"," 0.02 
"," 45.82 
"," 25469.79 
"," 1.98 
"
values_999," 504 
"," 138 
"," 1359 
"," 164 
"," 9998.91 
"," 474731.01 
"," 0.02 
"," 47.48 
"," 26373.94 
"," 2.03 
"
values_134," 776 
"," 143 
"," 2050 
"," 169 
"," 15171.80 
"," 1070301.73 
"," 0.01 
"," 70.55 
"," 59461.21 
"," 3.49 
"
values_609," 776 
"," 142 
"," 2043 
"," 168 
"," 15102.50 
"," 1072915.95 
"," 0.01 
"," 71.04 
"," 59606.44 
"," 3.49 
"
values_993," 126 
"," 72 
"," 403 
"," 98 
"," 2665.73 
"," 60645.31 
"," 0.04 
"," 22.75 
"," 3369.18 
"," 0.51 
"
values_731," 446 
"," 137 
"," 1219 
"," 163 
"," 8958.10 
"," 379117.24 
"," 0.02 
"," 42.32 
"," 21062.07 
"," 1.75 
"
values_127," 216 
"," 112 
"," 634 
"," 138 
"," 4506.80 
"," 112992.03 
"," 0.04 
"," 25.07 
"," 6277.33 
"," 0.78 
"
values_889," 566 
"," 141 
"," 1532 
"," 167 
"," 11311.83 
"," 590301.29 
"," 0.02 
"," 52.18 
"," 32794.52 
"," 2.35 
"
values_987," 342 
"," 124 
"," 972 
"," 150 
"," 7026.41 
"," 251930.86 
"," 0.03 
"," 35.85 
"," 13996.16 
"," 1.33 
"
values_780," 152 
"," 82 
"," 465 
"," 108 
"," 3141.02 
"," 75690.99 
"," 0.04 
"," 24.10 
"," 4205.05 
"," 0.60 
"
values_435," 854 
"," 142 
"," 2258 
"," 168 
"," 16691.85 
"," 1305020.77 
"," 0.01 
"," 78.18 
"," 72501.15 
"," 3.98 
"
values_950," 152 
"," 85 
"," 471 
"," 111 
"," 3200.17 
"," 74394.54 
"," 0.04 
"," 23.25 
"," 4133.03 
"," 0.59 
"
values_976," 296 
"," 123 
"," 838 
"," 149 
"," 6049.66 
"," 189261.01 
"," 0.03 
"," 31.28 
"," 10514.50 
"," 1.10 
"
values_557," 296 
"," 128 
"," 830 
"," 154 
"," 6031.43 
"," 181319.95 
"," 0.03 
"," 30.06 
"," 10073.33 
"," 1.07 
"
values_398," 126 
"," 73 
"," 409 
"," 99 
"," 2711.41 
"," 60839.51 
"," 0.04 
"," 22.44 
"," 3379.97 
"," 0.52 
"
values_892," 296 
"," 126 
"," 852 
"," 152 
"," 6175.23 
"," 188589.69 
"," 0.03 
"," 30.54 
"," 10477.21 
"," 1.10 
"
values_670," 72 
"," 33 
"," 259 
"," 59 
"," 1523.60 
"," 43214.97 
"," 0.04 
"," 28.36 
"," 2400.83 
"," 0.41 
"
values_574," 342 
"," 137 
"," 962 
"," 163 
"," 7069.48 
"," 229422.57 
"," 0.03 
"," 32.45 
"," 12745.70 
"," 1.25 
"
values_163," 72 
"," 34 
"," 264 
"," 60 
"," 1559.42 
"," 42929.89 
"," 0.04 
"," 27.53 
"," 2384.99 
"," 0.41 
"
values_900," 392 
"," 129 
"," 1074 
"," 155 
"," 7814.56 
"," 308705.31 
"," 0.03 
"," 39.50 
"," 17150.30 
"," 1.52 
"
values_392," 216 
"," 113 
"," 625 
"," 139 
"," 4449.34 
"," 110564.08 
"," 0.04 
"," 24.85 
"," 6142.45 
"," 0.77 
"
values_447," 254 
"," 112 
"," 732 
"," 138 
"," 5203.44 
"," 153408.56 
"," 0.03 
"," 29.48 
"," 8522.70 
"," 0.96 
"
values_523," 72 
"," 32 
"," 262 
"," 58 
"," 1534.79 
"," 44892.64 
"," 0.03 
"," 29.25 
"," 2494.04 
"," 0.42 
"
values_679," 776 
"," 143 
"," 2045 
"," 169 
"," 15134.80 
"," 1067691.24 
"," 0.01 
"," 70.55 
"," 59316.18 
"," 3.48 
"
values_419," 254 
"," 117 
"," 736 
"," 143 
"," 5269.67 
"," 148721.67 
"," 0.04 
"," 28.22 
"," 8262.31 
"," 0.94 
"
