id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,22032,13252,1174,18.767
values_505,12197,6445,538,22.671
values_924,21762,13038,1174,18.537
values_862,17406,10004,874,19.915
values_287,16371,9260,814,20.112
values_733,22766,13770,1234,18.449
values_813,20065,11841,1054,19.037
values_11,17518,10091,874,20.043
values_19,14645,8149,700,20.921
values_999,14583,8095,700,20.833
values_134,12286,6508,538,22.836
values_609,19203,11300,994,19.319
values_993,18216,10513,934,19.503
values_731,6177,2364,130,47.515
values_127,11528,5924,484,23.818
values_889,22769,13778,1234,18.451
values_987,26332,16295,1474,17.864
values_780,14618,8118,700,20.883
values_435,5682,2008,88,64.568
values_950,8892,4250,322,27.615
values_976,4997,1610,46,108.630
values_557,13024,6989,592,22.000
values_398,4980,1601,46,108.261
values_892,10688,5363,430,24.856
values_670,14721,8201,700,21.030
values_574,6957,2864,178,39.084
values_163,24392,14905,1354,18.015
values_900,8203,3770,274,29.938
values_392,24591,15061,1354,18.162
values_447,18334,10609,934,19.630
values_523,6170,2355,130,47.462
values_679,25347,15524,1414,17.926
values_419,12967,6952,592,21.904
values_895,5611,1990,88,63.761
values_298,9902,4791,376,26.335
values_155,13041,7006,592,22.029
values_12,24576,15050,1354,18.151
values_160,19139,11250,994,19.255
values_626,13131,7079,592,22.181
values_38,25608,15727,1414,18.110
values_146,24728,15161,1354,18.263
values_81,9944,4822,376,26.447
values_687,19164,11274,994,19.280
values_213,20916,12447,1114,18.776
values_212,23811,14511,1294,18.401
values_568,4980,1601,46,108.261
values_5,24506,14979,1354,18.099
values_40,6957,2864,178,39.084
values_970,20173,11929,1054,19.139
values_707,18568,10779,934,19.880
values_406,24648,15108,1354,18.204
values_893,21080,12581,1114,18.923
values_144,13734,7499,646,21.260
values_979,23760,14475,1294,18.362
values_831,6223,2392,130,47.869
values_402,13065,7022,592,22.069
values_404,22759,13762,1234,18.443
values_310,10712,5384,430,24.912
values_70,11577,5969,484,23.919
values_268,22809,13812,1234,18.484
values_412,14747,8223,700,21.067
values_290,10075,4924,376,26.795
values_916,12360,6563,538,22.974
values_567,12124,6385,538,22.535
values_913,19100,11218,994,19.215
values_232,20152,11906,1054,19.120
values_319,13122,7070,592,22.166
values_23,13739,7505,646,21.268
values_899,10040,4896,376,26.702
values_428,11441,5857,484,23.638
values_858,24640,15081,1354,18.198
values_546,19225,11319,994,19.341
values_432,24562,15039,1354,18.140
values_231,6952,2855,178,39.056
values_388,12266,6491,538,22.799
values_350,25794,15876,1414,18.242
values_603,7592,3313,226,33.593
values_364,24464,14956,1354,18.068
values_530,17268,9895,874,19.757
values_72,23672,14402,1294,18.294
values_536,6205,2383,130,47.731
values_79,20918,12444,1114,18.777
values_342,24666,15128,1354,18.217
values_803,21785,13062,1174,18.556
values_501,13112,7050,592,22.149
values_540,18496,10735,934,19.803
values_955,10008,4880,376,26.617
values_191,21736,13009,1174,18.514
values_812,26281,16256,1474,17.830
values_545,15427,8721,754,20.460
values_78,12243,6485,538,22.757
values_526,14708,8192,700,21.011
values_695,23737,14456,1294,18.344
values_87,26451,16386,1474,17.945
values_300,20980,12492,1114,18.833
values_964,11531,5934,484,23.824
values_998,20156,11905,1054,19.123
values_988,25711,15815,1414,18.183
values_6,14608,8105,700,20.869
values_625,25785,15870,1414,18.236
values_518,17433,10030,874,19.946
values_122,7574,3304,226,33.513
values_541,8249,3805,274,30.106
values_279,12190,6437,538,22.658
values_256,17385,9988,874,19.891
values_796,16584,9423,814,20.373
values_504,4980,1601,46,108.261
values_752,7570,3294,226,33.496
values_459,13920,7642,646,21.548
values_658,26349,16295,1474,17.876
values_408,10654,5332,430,24.777
values_867,18395,10655,934,19.695
values_727,14714,8197,700,21.020
values_177,17380,9987,874,19.886
values_823,10032,4887,376,26.681
values_822,6816,2820,178,38.292
values_218,13855,7592,646,21.447
values_426,15445,8740,754,20.484
values_776,21120,12602,1114,18.959
values_143,4997,1610,46,108.630
values_739,17424,10009,874,19.936
values_312,5720,1999,88,65.000
values_174,25673,15773,1414,18.156
values_669,20066,11843,1054,19.038
values_120,22902,13883,1234,18.559
values_974,23848,14538,1294,18.430
values_217,4997,1610,46,108.630
values_866,11535,5934,484,23.833
values_192,22772,13771,1234,18.454
values_328,18480,10704,934,19.786
values_68,6072,2348,130,46.708
values_387,22968,13913,1234,18.613
values_69,24668,15125,1354,18.219
values_749,6970,2873,178,39.157
values_135,4980,1601,46,108.261
values_341,9968,4843,376,26.511
values_494,6876,2826,178,38.629
values_1,5682,2008,88,64.568
values_589,11535,5933,484,23.833
values_925,24676,15125,1354,18.225
values_524,10713,5371,430,24.914
values_994,25702,15801,1414,18.177
values_856,20094,11863,1054,19.065
values_156,13842,7583,646,21.427
values_470,18392,10635,934,19.692
values_207,6970,2873,178,39.157
values_655,16463,9325,814,20.225
values_441,18319,10587,934,19.613
values_109,7609,3332,226,33.668
values_45,6870,2789,178,38.596
values_125,23672,14402,1294,18.294
values_600,23692,14431,1294,18.309
values_708,14589,8096,700,20.841
values_791,5720,1999,88,65.000
values_912,6223,2392,130,47.869
values_533,13798,7549,646,21.359
values_418,23687,14422,1294,18.305
values_228,11572,5959,484,23.909
values_585,12210,6454,538,22.695
values_465,10780,5438,430,25.070
