inputName,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_505," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_924," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_862," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_287," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_733," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_813," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_11," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_19," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_999," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_134," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_609," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_993," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_731," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_127," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_889," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_987," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_780," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_435," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_950," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_976," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_557," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_398," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_892," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_670," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_574," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_163," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_900," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_392," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_447," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_523," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_679," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_419," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_895," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_298," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_155," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_12," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_160," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_626," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_38," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_146," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_81," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_687," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_213," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_212," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_568," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_5," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_40," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_970," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_707," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_406," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_893," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_144," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_979," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_831," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_402," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_404," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_310," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_70," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
values_268," 39 
"," 17 
"," 167 
"," 39 
"," 882.66 
"," 22274.24 
"," 0.04 
"," 25.24 
"," 1237.46 
"," 0.26 
"
