inputName,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 223 
"," 45 
"," 670 
"," 81 
"," 4247.70 
"," 378894.80 
"," 0.01 
"," 89.20 
"," 21049.71 
"," 1.75 
"
values_505," 206 
"," 32 
"," 626 
"," 68 
"," 3810.75 
"," 441570.86 
"," 0.01 
"," 115.88 
"," 24531.71 
"," 1.93 
"
values_924," 224 
"," 49 
"," 675 
"," 85 
"," 4326.34 
"," 355995.89 
"," 0.01 
"," 82.29 
"," 19777.55 
"," 1.67 
"
values_862," 222 
"," 45 
"," 664 
"," 81 
"," 4209.66 
"," 373817.84 
"," 0.01 
"," 88.80 
"," 20767.66 
"," 1.73 
"
values_287," 206 
"," 32 
"," 627 
"," 68 
"," 3816.84 
"," 442276.24 
"," 0.01 
"," 115.88 
"," 24570.90 
"," 1.93 
"
values_733," 212 
"," 35 
"," 642 
"," 71 
"," 3948.14 
"," 430459.81 
"," 0.01 
"," 109.03 
"," 23914.43 
"," 1.90 
"
values_813," 202 
"," 28 
"," 619 
"," 64 
"," 3714 
"," 482289.43 
"," 0.01 
"," 129.86 
"," 26793.86 
"," 2.05 
"
values_11," 203 
"," 29 
"," 622 
"," 65 
"," 3745.91 
"," 471985.01 
"," 0.01 
"," 126 
"," 26221.39 
"," 2.02 
"
values_19," 217 
"," 42 
"," 656 
"," 78 
"," 4123.22 
"," 383459.82 
"," 0.01 
"," 93 
"," 21303.32 
"," 1.76 
"
values_999," 209 
"," 33 
"," 639 
"," 69 
"," 3903.35 
"," 444981.57 
"," 0.01 
"," 114 
"," 24721.20 
"," 1.94 
"
values_134," 208 
"," 33 
"," 635 
"," 69 
"," 3878.91 
"," 440080.31 
"," 0.01 
"," 113.45 
"," 24448.91 
"," 1.93 
"
values_609," 219 
"," 41 
"," 661 
"," 77 
"," 4142.35 
"," 398271.40 
"," 0.01 
"," 96.15 
"," 22126.19 
"," 1.80 
"
values_993," 225 
"," 49 
"," 675 
"," 85 
"," 4326.34 
"," 357585.15 
"," 0.01 
"," 82.65 
"," 19865.84 
"," 1.68 
"
values_731," 216 
"," 42 
"," 655 
"," 78 
"," 4116.94 
"," 381110.87 
"," 0.01 
"," 92.57 
"," 21172.83 
"," 1.75 
"
values_127," 224 
"," 45 
"," 670 
"," 81 
"," 4247.70 
"," 380593.88 
"," 0.01 
"," 89.60 
"," 21144.10 
"," 1.75 
"
values_889," 205 
"," 30 
"," 625 
"," 66 
"," 3777.75 
"," 464662.80 
"," 0.01 
"," 123 
"," 25814.60 
"," 2.00 
"
values_987," 210 
"," 35 
"," 640 
"," 71 
"," 3935.84 
"," 425070.52 
"," 0.01 
"," 108 
"," 23615.03 
"," 1.88 
"
values_780," 212 
"," 38 
"," 644 
"," 74 
"," 3998.89 
"," 401572.54 
"," 0.01 
"," 100.42 
"," 22309.59 
"," 1.81 
"
values_435," 208 
"," 32 
"," 636 
"," 68 
"," 3871.63 
"," 452980.28 
"," 0.01 
"," 117 
"," 25165.57 
"," 1.97 
"
values_950," 226 
"," 51 
"," 680 
"," 87 
"," 4381.20 
"," 349465.26 
"," 0.01 
"," 79.76 
"," 19414.74 
"," 1.65 
"
values_976," 216 
"," 39 
"," 653 
"," 75 
"," 4067.42 
"," 405490.35 
"," 0.01 
"," 99.69 
"," 22527.24 
"," 1.83 
"
values_557," 220 
"," 42 
"," 662 
"," 78 
"," 4160.94 
"," 392316.85 
"," 0.01 
"," 94.29 
"," 21795.38 
"," 1.79 
"
values_398," 206 
"," 32 
"," 630 
"," 68 
"," 3835.10 
"," 444392.40 
"," 0.01 
"," 115.88 
"," 24688.47 
"," 1.94 
"
values_892," 203 
"," 29 
"," 622 
"," 65 
"," 3745.91 
"," 471985.01 
"," 0.01 
"," 126 
"," 26221.39 
"," 2.02 
"
values_670," 210 
"," 34 
"," 639 
"," 70 
"," 3916.61 
"," 435435.08 
"," 0.01 
"," 111.18 
"," 24190.84 
"," 1.91 
"
values_574," 208 
"," 32 
"," 634 
"," 68 
"," 3859.45 
"," 451555.82 
"," 0.01 
"," 117 
"," 25086.43 
"," 1.96 
"
values_163," 213 
"," 38 
"," 645 
"," 74 
"," 4005.10 
"," 404093.25 
"," 0.01 
"," 100.89 
"," 22449.63 
"," 1.82 
"
values_900," 220 
"," 42 
"," 663 
"," 78 
"," 4167.22 
"," 392909.47 
"," 0.01 
"," 94.29 
"," 21828.30 
"," 1.79 
"
values_392," 225 
"," 45 
"," 677 
"," 81 
"," 4292.08 
"," 386287.06 
"," 0.01 
"," 90 
"," 21460.39 
"," 1.77 
"
values_447," 201 
"," 27 
"," 616 
"," 63 
"," 3682.00 
"," 493388.59 
"," 0.01 
"," 134 
"," 27410.48 
"," 2.08 
"
values_523," 207 
"," 33 
"," 629 
"," 69 
"," 3842.26 
"," 433826.30 
"," 0.01 
"," 112.91 
"," 24101.46 
"," 1.91 
"
values_679," 215 
"," 40 
"," 651 
"," 76 
"," 4067.40 
"," 393521.03 
"," 0.01 
"," 96.75 
"," 21862.28 
"," 1.79 
"
values_419," 205 
"," 29 
"," 628 
"," 65 
"," 3782.05 
"," 481232.88 
"," 0.01 
"," 127.24 
"," 26735.16 
"," 2.05 
"
values_895," 201 
"," 27 
"," 616 
"," 63 
"," 3682.00 
"," 493388.59 
"," 0.01 
"," 134 
"," 27410.48 
"," 2.08 
"
values_298," 223 
"," 48 
"," 676 
"," 84 
"," 4321.21 
"," 361360.90 
"," 0.01 
"," 83.62 
"," 20075.61 
"," 1.69 
"
values_155," 217 
"," 42 
"," 655 
"," 78 
"," 4116.94 
"," 382875.28 
"," 0.01 
"," 93 
"," 21270.85 
"," 1.76 
"
values_12," 201 
"," 27 
"," 616 
"," 63 
"," 3682.00 
"," 493388.59 
"," 0.01 
"," 134 
"," 27410.48 
"," 2.08 
"
values_160," 204 
"," 29 
"," 623 
"," 65 
"," 3751.94 
"," 475072.62 
"," 0.01 
"," 126.62 
"," 26392.92 
"," 2.03 
"
values_626," 216 
"," 39 
"," 653 
"," 75 
"," 4067.42 
"," 405490.35 
"," 0.01 
"," 99.69 
"," 22527.24 
"," 1.83 
"
values_38," 224 
"," 48 
"," 673 
"," 84 
"," 4302.03 
"," 361370.49 
"," 0.01 
"," 84 
"," 20076.14 
"," 1.69 
"
values_146," 213 
"," 37 
"," 645 
"," 73 
"," 3992.44 
"," 413702.78 
"," 0.01 
"," 103.62 
"," 22983.49 
"," 1.85 
"
values_81," 205 
"," 29 
"," 625 
"," 65 
"," 3763.98 
"," 478933.99 
"," 0.01 
"," 127.24 
"," 26607.44 
"," 2.04 
"
values_687," 216 
"," 40 
"," 655 
"," 76 
"," 4092.39 
"," 397780.55 
"," 0.01 
"," 97.20 
"," 22098.92 
"," 1.80 
"
values_213," 220 
"," 43 
"," 665 
"," 79 
"," 4192.01 
"," 386055.26 
"," 0.01 
"," 92.09 
"," 21447.51 
"," 1.77 
"
values_212," 211 
"," 36 
"," 642 
"," 72 
"," 3961.09 
"," 417895.19 
"," 0.01 
"," 105.50 
"," 23216.40 
"," 1.86 
"
values_568," 223 
"," 46 
"," 668 
"," 82 
"," 4246.84 
"," 370583.36 
"," 0.01 
"," 87.26 
"," 20587.96 
"," 1.72 
"
values_5," 209 
"," 35 
"," 636 
"," 71 
"," 3911.24 
"," 420402.34 
"," 0.01 
"," 107.49 
"," 23355.69 
"," 1.87 
"
values_40," 200 
"," 25 
"," 615 
"," 61 
"," 3647.40 
"," 525226.10 
"," 0.01 
"," 144 
"," 29179.23 
"," 2.17 
"
values_970," 214 
"," 39 
"," 651 
"," 75 
"," 4054.96 
"," 400505.38 
"," 0.01 
"," 98.77 
"," 22250.30 
"," 1.81 
"
values_707," 210 
"," 36 
"," 639 
"," 72 
"," 3942.58 
"," 413971.12 
"," 0.01 
"," 105 
"," 22998.40 
"," 1.85 
"
values_406," 212 
"," 37 
"," 644 
"," 73 
"," 3986.25 
"," 411122.12 
"," 0.01 
"," 103.14 
"," 22840.12 
"," 1.84 
"
values_893," 208 
"," 31 
"," 639 
"," 67 
"," 3876.23 
"," 468148.67 
"," 0.01 
"," 120.77 
"," 26008.26 
"," 2.01 
"
values_144," 221 
"," 45 
"," 668 
"," 81 
"," 4235.02 
"," 374375.75 
"," 0.01 
"," 88.40 
"," 20798.65 
"," 1.73 
"
values_979," 223 
"," 47 
"," 680 
"," 83 
"," 4335.03 
"," 370229.74 
"," 0.01 
"," 85.40 
"," 20568.32 
"," 1.72 
"
values_831," 224 
"," 45 
"," 674 
"," 81 
"," 4273.06 
"," 382866.08 
"," 0.01 
"," 89.60 
"," 21270.34 
"," 1.76 
"
values_402," 218 
"," 41 
"," 658 
"," 77 
"," 4123.55 
"," 394653.48 
"," 0.01 
"," 95.71 
"," 21925.19 
"," 1.79 
"
values_404," 208 
"," 32 
"," 632 
"," 68 
"," 3847.28 
"," 450131.35 
"," 0.01 
"," 117 
"," 25007.30 
"," 1.96 
"
values_310," 203 
"," 29 
"," 621 
"," 65 
"," 3739.89 
"," 471226.19 
"," 0.01 
"," 126 
"," 26179.23 
"," 2.02 
"
values_70," 224 
"," 44 
"," 677 
"," 80 
"," 4279.95 
"," 392198.63 
"," 0.01 
"," 91.64 
"," 21788.81 
"," 1.79 
"
values_268," 205 
"," 30 
"," 626 
"," 66 
"," 3783.79 
"," 465406.26 
"," 0.01 
"," 123 
"," 25855.90 
"," 2.00 
"
values_412," 213 
"," 39 
"," 648 
"," 75 
"," 4036.27 
"," 396796.83 
"," 0.01 
"," 98.31 
"," 22044.27 
"," 1.80 
"
values_290," 203 
"," 29 
"," 623 
"," 65 
"," 3751.94 
"," 472743.83 
"," 0.01 
"," 126 
"," 26263.55 
"," 2.02 
"
values_916," 201 
"," 27 
"," 616 
"," 63 
"," 3682.00 
"," 493388.59 
"," 0.01 
"," 134 
"," 27410.48 
"," 2.08 
"
values_567," 205 
"," 30 
"," 625 
"," 66 
"," 3777.75 
"," 464662.80 
"," 0.01 
"," 123 
"," 25814.60 
"," 2.00 
"
values_913," 223 
"," 47 
"," 674 
"," 83 
"," 4296.78 
"," 366963.00 
"," 0.01 
"," 85.40 
"," 20386.83 
"," 1.71 
"
values_232," 225 
"," 43 
"," 675 
"," 79 
"," 4255.05 
"," 400766.53 
"," 0.01 
"," 94.19 
"," 22264.81 
"," 1.81 
"
values_319," 226 
"," 49 
"," 679 
"," 85 
"," 4351.98 
"," 361302.86 
"," 0.01 
"," 83.02 
"," 20072.38 
"," 1.69 
"
values_23," 205 
"," 30 
"," 628 
"," 66 
"," 3795.88 
"," 466893.18 
"," 0.01 
"," 123 
"," 25938.51 
"," 2.01 
"
values_899," 208 
"," 33 
"," 633 
"," 69 
"," 3866.70 
"," 438694.23 
"," 0.01 
"," 113.45 
"," 24371.90 
"," 1.92 
"
values_428," 220 
"," 46 
"," 665 
"," 82 
"," 4227.77 
"," 363956.03 
"," 0.01 
"," 86.09 
"," 20219.78 
"," 1.70 
"
