inputName,text,data,bss
values_242,13456,176,392
values_505,13456,152,392
values_924,13456,176,392
values_862,13456,168,392
values_287,13456,152,392
values_733,13456,160,392
values_813,13456,152,392
values_11,13456,152,392
values_19,13456,168,392
values_999,13456,160,392
values_134,13456,160,392
values_609,13456,168,392
values_993,13456,176,392
values_731,13456,168,392
values_127,13456,176,392
values_889,13456,152,392
values_987,13456,160,392
values_780,13456,160,392
values_435,13456,160,392
values_950,13456,176,392
values_976,13456,168,392
values_557,13456,168,392
values_398,13456,152,392
values_892,13456,152,392
values_670,13456,160,392
values_574,13456,160,392
values_163,13456,160,392
values_900,13456,168,392
values_392,13456,176,392
values_447,13456,152,392
values_523,13456,160,392
values_679,13456,168,392
values_419,13456,152,392
values_895,13456,152,392
values_298,13456,176,392
values_155,13456,168,392
values_12,13456,152,392
values_160,13456,152,392
values_626,13456,168,392
values_38,13456,176,392
values_146,13456,160,392
values_81,13456,152,392
values_687,13456,168,392
values_213,13456,168,392
values_212,13456,160,392
values_568,13456,176,392
values_5,13456,160,392
values_40,13456,152,392
values_970,13456,160,392
values_707,13456,160,392
values_406,13456,160,392
values_893,13456,160,392
values_144,13456,168,392
values_979,13456,176,392
values_831,13456,176,392
values_402,13456,168,392
values_404,13456,160,392
values_310,13456,152,392
values_70,13456,176,392
values_268,13456,152,392
values_412,13456,160,392
values_290,13456,152,392
values_916,13456,152,392
values_567,13456,152,392
values_913,13456,176,392
values_232,13456,176,392
values_319,13456,176,392
values_23,13456,152,392
values_899,13456,160,392
values_428,13456,168,392
values_858,13456,160,392
values_546,13456,152,392
values_432,13456,168,392
values_231,13456,160,392
values_388,13456,152,392
values_350,13456,152,392
values_603,13456,160,392
values_364,13456,168,392
values_530,13456,152,392
values_72,13456,160,392
values_536,13456,176,392
values_79,13456,160,392
values_342,13456,160,392
values_803,13456,168,392
values_501,13456,160,392
values_540,13456,168,392
values_955,13456,168,392
values_191,13456,152,392
values_812,13456,160,392
values_545,13456,168,392
values_78,13456,152,392
values_526,13456,160,392
values_695,13456,160,392
values_87,13456,160,392
values_300,13456,160,392
values_964,13456,168,392
values_998,13456,168,392
values_988,13456,168,392
values_6,13456,160,392
values_625,13456,152,392
values_518,13456,160,392
values_122,13456,160,392
values_541,13456,152,392
values_279,13456,168,392
values_256,13456,152,392
values_796,13456,160,392
values_504,13456,160,392
values_752,13456,176,392
values_459,13456,176,392
values_658,13456,152,392
values_408,13456,160,392
values_867,13456,152,392
values_727,13456,160,392
values_177,13456,160,392
values_823,13456,152,392
values_822,13456,152,392
values_218,13456,176,392
values_426,13456,168,392
values_776,13456,176,392
values_143,13456,168,392
values_739,13456,160,392
values_312,13456,160,392
values_174,13456,168,392
values_669,13456,176,392
values_120,13456,160,392
values_974,13456,152,392
values_217,13456,168,392
values_866,13456,168,392
values_192,13456,168,392
values_328,13456,176,392
values_68,13456,176,392
values_387,13456,168,392
values_69,13456,152,392
values_749,13456,168,392
values_135,13456,152,392
values_341,13456,152,392
values_494,13456,152,392
values_1,13456,168,392
values_589,13456,168,392
values_925,13456,168,392
values_524,13456,176,392
values_994,13456,160,392
values_856,13456,168,392
values_156,13456,168,392
values_470,13456,160,392
values_207,13456,168,392
values_655,13456,152,392
values_441,13456,160,392
values_109,13456,168,392
values_45,13456,152,392
values_125,13456,152,392
values_600,13456,160,392
values_708,13456,168,392
values_791,13456,152,392
values_912,13456,160,392
values_533,13456,152,392
values_418,13456,152,392
values_228,13456,168,392
values_585,13456,160,392
values_465,13456,160,392
values_239,13456,152,392
values_842,13456,168,392
values_208,13456,152,392
values_932,13456,168,392
values_957,13456,176,392
values_563,13456,152,392
values_766,13456,168,392
values_476,13456,168,392
values_175,13456,168,392
values_591,13456,168,392
values_997,13456,152,392
values_385,13456,160,392
values_115,13456,160,392
values_653,13456,176,392
values_753,13456,152,392
values_241,13456,160,392
values_197,13456,168,392
values_636,13456,176,392
values_450,13456,168,392
values_106,13456,168,392
values_699,13456,168,392
values_578,13456,160,392
values_644,13456,168,392
values_570,13456,160,392
values_873,13456,168,392
values_33,13456,160,392
values_210,13456,160,392
values_486,13456,168,392
values_252,13456,152,392
values_694,13456,176,392
values_759,13456,168,392
values_245,13456,176,392
values_15,13456,160,392
values_792,13456,168,392
values_248,13456,152,392
values_246,13456,160,392
values_556,13456,160,392
values_513,13456,168,392
values_93,13456,176,392
values_558,13456,160,392
values_991,13456,160,392
values_181,13456,152,392
values_674,13456,160,392
values_652,13456,152,392
values_344,13456,168,392
values_715,13456,160,392
values_528,13456,168,392
values_276,13456,176,392
values_24,13456,160,392
values_296,13456,152,392
values_244,13456,160,392
values_380,13456,168,392
values_25,13456,160,392
values_740,13456,152,392
values_478,13456,160,392
values_379,13456,152,392
values_810,13456,160,392
values_440,13456,176,392
values_543,13456,152,392
values_130,13456,152,392
values_225,13456,152,392
values_285,13456,168,392
values_363,13456,160,392
values_667,13456,152,392
values_26,13456,160,392
values_793,13456,176,392
values_772,13456,160,392
values_931,13456,176,392
values_981,13456,152,392
values_422,13456,152,392
values_920,13456,168,392
values_259,13456,160,392
values_477,13456,152,392
values_738,13456,168,392
values_430,13456,168,392
values_922,13456,160,392
values_903,13456,152,392
values_761,13456,160,392
values_204,13456,160,392
values_48,13456,160,392
values_71,13456,168,392
values_851,13456,168,392
values_347,13456,168,392
values_725,13456,152,392
values_266,13456,160,392
values_448,13456,176,392
values_934,13456,168,392
values_531,13456,176,392
values_224,13456,168,392
values_686,13456,152,392
values_927,13456,176,392
values_407,13456,176,392
values_76,13456,160,392
values_949,13456,176,392
values_969,13456,168,392
values_781,13456,176,392
values_7,13456,176,392
values_683,13456,160,392
values_376,13456,168,392
values_877,13456,152,392
values_654,13456,168,392
values_508,13456,176,392
values_332,13456,152,392
values_281,13456,152,392
values_381,13456,152,392
values_769,13456,168,392
values_701,13456,152,392
values_855,13456,152,392
values_320,13456,160,392
values_50,13456,168,392
values_918,13456,168,392
values_615,13456,152,392
values_704,13456,152,392
values_633,13456,168,392
values_847,13456,176,392
values_602,13456,168,392
values_399,13456,168,392
values_22,13456,160,392
values_313,13456,152,392
values_375,13456,152,392
values_963,13456,152,392
values_168,13456,160,392
values_226,13456,176,392
values_190,13456,152,392
values_429,13456,176,392
values_236,13456,152,392
values_777,13456,168,392
values_909,13456,160,392
values_438,13456,152,392
values_607,13456,152,392
values_717,13456,176,392
values_782,13456,176,392
values_258,13456,152,392
values_872,13456,168,392
values_637,13456,152,392
values_746,13456,168,392
values_4,13456,160,392
values_345,13456,168,392
values_102,13456,176,392
values_962,13456,168,392
values_356,13456,160,392
values_853,13456,160,392
values_849,13456,152,392
values_814,13456,152,392
values_370,13456,168,392
values_778,13456,160,392
values_458,13456,168,392
values_818,13456,160,392
values_119,13456,168,392
values_373,13456,176,392
values_351,13456,152,392
values_32,13456,152,392
values_770,13456,168,392
values_371,13456,168,392
values_283,13456,168,392
values_535,13456,160,392
values_250,13456,160,392
values_132,13456,160,392
values_649,13456,168,392
values_77,13456,168,392
values_260,13456,152,392
values_891,13456,168,392
values_91,13456,176,392
values_137,13456,152,392
values_42,13456,152,392
values_13,13456,168,392
values_577,13456,160,392
values_41,13456,160,392
values_809,13456,152,392
values_414,13456,168,392
values_360,13456,160,392
values_386,13456,152,392
values_158,13456,152,392
values_904,13456,152,392
values_480,13456,168,392
values_647,13456,168,392
values_104,13456,160,392
values_55,13456,160,392
values_491,13456,176,392
values_391,13456,160,392
values_972,13456,152,392
values_571,13456,160,392
values_940,13456,176,392
values_861,13456,168,392
values_324,13456,152,392
values_549,13456,160,392
values_170,13456,168,392
values_269,13456,168,392
values_442,13456,176,392
values_520,13456,168,392
values_455,13456,160,392
values_31,13456,168,392
values_971,13456,160,392
values_397,13456,152,392
values_254,13456,152,392
values_616,13456,160,392
values_66,13456,152,392
values_943,13456,160,392
values_117,13456,176,392
values_451,13456,160,392
values_643,13456,168,392
values_688,13456,168,392
values_569,13456,152,392
values_745,13456,152,392
values_65,13456,152,392
values_980,13456,160,392
values_982,13456,160,392
values_62,13456,160,392
values_789,13456,168,392
values_401,13456,160,392
values_21,13456,152,392
values_598,13456,152,392
values_273,13456,168,392
values_534,13456,168,392
values_118,13456,168,392
values_141,13456,152,392
values_366,13456,168,392
values_222,13456,168,392
values_876,13456,168,392
values_700,13456,168,392
values_95,13456,152,392
values_806,13456,160,392
values_671,13456,160,392
values_816,13456,152,392
values_630,13456,168,392
values_433,13456,160,392
values_905,13456,152,392
values_84,13456,152,392
values_233,13456,160,392
values_664,13456,160,392
values_162,13456,168,392
values_681,13456,152,392
values_542,13456,176,392
values_169,13456,152,392
values_660,13456,176,392
values_488,13456,152,392
values_894,13456,160,392
values_828,13456,160,392
values_537,13456,168,392
values_845,13456,168,392
values_584,13456,176,392
values_457,13456,160,392
values_499,13456,160,392
values_369,13456,168,392
values_58,13456,168,392
values_64,13456,152,392
values_196,13456,176,392
values_462,13456,168,392
values_343,13456,160,392
values_262,13456,160,392
values_966,13456,168,392
values_261,13456,160,392
values_349,13456,176,392
values_263,13456,176,392
values_801,13456,176,392
values_292,13456,160,392
values_786,13456,152,392
values_101,13456,160,392
values_691,13456,168,392
values_926,13456,168,392
values_754,13456,160,392
values_215,13456,160,392
values_977,13456,152,392
values_850,13456,176,392
values_646,13456,160,392
values_628,13456,176,392
values_941,13456,152,392
values_353,13456,168,392
values_690,13456,176,392
values_961,13456,160,392
values_331,13456,160,392
values_377,13456,168,392
values_128,13456,160,392
values_336,13456,160,392
values_632,13456,168,392
values_166,13456,160,392
values_744,13456,152,392
values_837,13456,160,392
values_807,13456,168,392
values_838,13456,168,392
values_723,13456,168,392
values_874,13456,176,392
values_627,13456,160,392
values_555,13456,160,392
values_446,13456,152,392
values_716,13456,160,392
values_240,13456,152,392
values_140,13456,176,392
values_317,13456,168,392
values_83,13456,152,392
values_696,13456,168,392
values_413,13456,176,392
values_94,13456,160,392
values_937,13456,152,392
values_199,13456,160,392
values_596,13456,160,392
values_0,13456,152,392
values_953,13456,168,392
values_906,13456,168,392
values_742,13456,160,392
values_396,13456,152,392
values_159,13456,152,392
values_238,13456,176,392
values_136,13456,168,392
values_915,13456,168,392
values_99,13456,160,392
values_771,13456,168,392
values_96,13456,152,392
values_768,13456,176,392
values_67,13456,160,392
values_565,13456,152,392
values_848,13456,168,392
values_114,13456,152,392
values_61,13456,176,392
values_511,13456,168,392
values_729,13456,168,392
values_460,13456,152,392
values_832,13456,160,392
values_348,13456,152,392
values_182,13456,152,392
values_986,13456,160,392
values_180,13456,168,392
values_930,13456,152,392
values_274,13456,168,392
values_309,13456,152,392
values_496,13456,152,392
values_165,13456,168,392
values_553,13456,168,392
