id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,10891,5596,434,25.094
values_505,6350,2346,119,53.361
values_924,11412,5964,459,24.863
values_862,11067,5786,463,23.903
values_287,6336,2331,117,54.154
values_733,7896,3341,218,36.220
values_813,4460,1570,43,103.721
values_11,4576,1646,53,86.340
values_19,9169,4290,301,30.462
values_999,6786,2668,156,43.500
values_134,6789,2675,152,44.664
values_609,10296,5124,385,26.743
values_993,11845,6268,498,23.785
values_731,8825,4029,279,31.631
values_127,11845,6275,498,23.785
values_889,5207,2122,103,50.553
values_987,7216,2976,184,39.217
values_780,8033,3541,239,33.611
values_435,6728,2683,155,43.406
values_950,12869,7023,572,22.498
values_976,8571,3939,278,30.831
values_557,10661,5431,419,25.444
values_398,6512,2406,119,54.723
values_892,4667,1713,59,79.102
values_670,7132,2977,187,38.139
values_574,6659,2578,142,46.894
values_163,8218,3625,240,34.242
values_900,10472,5246,404,25.921
values_392,11544,6107,482,23.950
values_447,4372,1509,35,124.914
values_523,6255,2277,114,54.868
values_679,8841,4136,301,29.372
values_419,5242,2148,105,49.924
values_895,4372,1509,35,124.914
values_298,10912,5567,429,25.436
values_155,9424,4512,333,28.300
values_12,4337,1483,33,131.424
values_160,5056,2005,89,56.809
values_626,8557,3930,276,31.004
values_38,11759,6210,489,24.047
values_146,8053,3555,235,34.268
values_81,5132,2066,97,52.907
values_687,8281,3664,249,33.257
values_213,10120,4984,370,27.351
values_212,7832,3396,212,36.943
values_568,10912,5694,440,24.800
values_5,7020,2793,163,43.067
values_40,4158,1381,21,198.000
values_970,8277,3779,236,35.072
values_707,7046,2809,165,42.703
values_406,7877,3431,224,35.165
values_893,6308,2370,125,50.464
values_144,10650,5422,424,25.118
values_979,11445,5986,457,25.044
values_831,11807,6244,497,23.757
values_402,9527,4650,341,27.938
values_404,6864,2725,156,44.000
values_310,4752,1780,65,73.108
values_70,10618,5400,419,25.341
values_268,5077,2025,93,54.591
values_412,8626,3944,271,31.830
values_290,4752,1780,65,73.108
values_916,4337,1483,33,131.424
values_567,5262,2163,107,49.178
values_913,11041,5681,430,25.677
values_232,11863,6293,498,23.821
values_319,11792,6271,501,23.537
values_23,5104,2040,95,53.726
values_899,6822,2699,154,44.299
values_428,10090,5030,373,27.051
values_858,8322,3696,291,28.598
values_546,5033,1994,89,56.551
values_432,10191,5110,382,26.678
values_231,7233,3013,189,38.270
values_388,4158,1381,21,198.000
values_350,4877,1876,79,61.734
values_603,6786,2669,156,43.500
values_364,9194,4357,320,28.731
values_530,4903,1897,79,62.063
values_72,8198,3566,276,29.703
values_536,11032,5718,444,24.847
values_79,8390,3760,254,33.031
values_342,7894,3441,227,34.775
values_803,10736,5494,423,25.381
values_501,7147,2943,180,39.706
values_540,9540,4618,341,27.977
values_955,11017,5653,436,25.268
values_191,4158,1381,21,198.000
values_812,7342,3077,198,37.081
values_545,9328,4444,321,29.059
values_78,4425,1544,41,107.927
values_526,7617,3234,209,36.445
values_695,6688,2588,146,45.808
values_87,6712,2617,146,45.973
values_300,7887,3446,224,35.210
values_964,9613,4609,335,28.696
values_998,8364,3739,257,32.545
values_988,9344,4467,325,28.751
values_6,6577,2466,129,50.984
values_625,4515,1611,47,96.064
values_518,7922,3462,227,34.899
values_122,6565,2457,129,50.891
values_541,6336,2384,124,51.097
values_279,8300,3732,257,32.296
values_256,4495,1596,45,99.889
values_796,7622,3246,204,37.363
values_504,8096,3552,237,34.160
values_752,12026,6463,512,23.488
values_459,12058,6419,518,23.278
values_658,4158,1381,21,198.000
values_408,7022,2797,161,43.615
values_867,4372,1509,35,124.914
values_727,8252,3669,245,33.682
values_177,6783,2722,161,42.130
values_823,5152,2081,99,52.040
values_822,6312,2267,109,57.908
values_218,12329,6626,532,23.175
values_426,8921,4157,295,30.241
values_776,11334,5946,473,23.962
values_143,10590,5388,415,25.518
values_739,7924,3462,229,34.603
values_312,6720,2625,148,45.405
values_174,10211,5152,392,26.048
values_669,11114,5787,454,24.480
values_120,7001,2832,172,40.703
values_974,4958,1938,83,59.735
values_217,8476,3868,271,31.277
values_866,9856,4852,362,27.227
values_192,9592,4596,332,28.892
values_328,11738,6189,491,23.906
values_68,11951,6404,512,23.342
values_387,10113,4969,375,26.968
values_69,5104,2040,95,53.726
values_749,10120,4971,384,26.354
values_135,6277,2241,107,58.664
values_341,4605,1678,53,86.887
values_494,4515,1611,47,96.064
values_1,10573,5332,402,26.301
values_589,10113,4976,377,26.825
values_925,9642,4673,344,28.029
values_524,10868,5549,429,25.333
values_994,8646,3959,250,34.584
values_856,9521,4546,332,28.678
values_156,9958,4871,367,27.134
values_470,6912,2764,162,42.667
values_207,8584,3855,260,33.015
values_655,6307,2369,121,52.124
values_441,7621,3286,216,35.282
values_109,10296,5107,391,26.332
values_45,4952,1932,85,58.259
values_125,4848,1856,75,64.640
values_600,7040,2857,170,41.412
values_708,9688,4676,342,28.327
values_791,4605,1678,53,86.887
values_912,7056,2924,183,38.557
values_533,4958,1938,83,59.735
values_418,5207,2122,103,50.553
values_228,8901,4178,302,29.474
values_585,6470,2437,128,50.547
values_465,7070,2879,174,40.632
values_239,4703,1748,65,72.354
values_842,8470,3921,281,30.142
values_208,4938,1923,81,60.963
values_932,8557,3925,275,31.116
values_957,11504,6072,490,23.478
values_563,4550,1637,49,92.857
values_766,9594,4652,339,28.301
values_476,9176,4384,325,28.234
values_175,9251,4397,310,29.842
values_591,9339,4452,328,28.473
values_997,4158,1381,21,198.000
values_385,8733,3967,265,32.955
values_115,7304,3000,183,39.913
values_653,12154,6509,517,23.509
values_753,4460,1570,43,103.721
values_241,6817,2690,160,42.606
values_197,8657,3999,285,30.375
values_636,11440,6013,473,24.186
values_450,9654,4640,343,28.146
values_106,9378,4439,323,29.034
values_699,10125,5007,364,27.816
values_578,7005,2782,163,42.975
values_644,9260,4344,313,29.585
values_570,6905,2764,160,43.156
values_873,10208,5044,377,27.077
values_33,8490,3822,270,31.444
values_210,8297,3683,249,33.321
values_486,9700,4670,348,27.874
values_252,4372,1509,35,124.914
values_694,11264,5838,452,24.920
values_759,8712,3989,278,31.338
values_245,11616,6101,474,24.506
values_15,6783,2724,159,42.660
values_792,9504,4524,328,28.976
values_248,4233,1407,23,184.043
values_246,6438,2362,121,53.207
values_556,7744,3425,235,32.953
values_513,8420,3833,267,31.536
values_93,11153,5816,452,24.675
values_558,6360,2359,122,52.131
values_991,7128,2918,178,40.045
values_181,5387,2256,115,46.843
values_674,8131,3662,260,31.273
values_652,4576,1652,51,89.725
values_344,9504,4517,331,28.713
values_715,8281,3728,250,33.124
values_528,10166,5018,378,26.894
values_276,11616,6134,490,23.706
values_24,8195,3624,264,31.042
values_296,4868,1871,77,63.221
values_244,7806,3330,212,36.821
values_380,8651,4003,284,30.461
values_25,6436,2411,126,51.079
values_740,5192,2107,101,51.406
values_478,6776,2604,145,46.731
values_379,4928,1912,81,60.840
values_810,7863,3373,223,35.260
values_440,10980,5609,449,24.454
values_543,4233,1407,23,184.043
values_130,4372,1509,35,124.914
values_225,4242,1442,29,146.276
values_285,10446,5276,402,25.985
values_363,7040,2795,167,42.156
values_667,6223,2249,109,57.092
values_26,8320,3655,250,33.280
values_793,11669,6126,479,24.361
values_772,8099,3556,235,34.464
values_931,12408,6745,551,22.519
values_981,6438,2362,117,55.026
values_422,6160,2248,110,56.000
values_920,9561,4563,336,28.455
values_259,7398,3121,200,36.990
values_477,4372,1509,35,124.914
values_738,10237,5141,383,26.728
values_430,9633,4689,344,28.003
values_922,7320,3013,187,39.144
values_903,4488,1585,45,99.733
values_761,7176,2954,186,38.581
values_204,6643,2563,144,46.132
values_48,6743,2694,155,43.503
values_71,8827,4071,287,30.756
values_851,9568,4630,341,28.059
values_347,8946,4170,300,29.820
values_725,6206,2190,99,62.687
values_266,8315,3701,250,33.260
values_448,11188,5799,440,25.427
values_934,9504,4583,337,28.202
values_531,11222,5860,450,24.938
values_224,10891,5553,430,25.328
values_686,4407,1535,37,119.108
values_927,11411,5958,458,24.915
values_407,11039,5739,446,24.751
values_76,8250,3755,285,28.947
values_949,11720,6254,485,24.165
values_969,9240,4327,314,29.427
values_781,11669,6138,487,23.961
values_7,11798,6232,490,24.078
values_683,6658,2631,151,44.093
values_376,10152,5016,377,26.928
values_877,5207,2122,103,50.553
values_654,8764,4038,281,31.189
values_508,12447,6705,544,22.881
values_332,4799,1821,69,69.551
values_281,6260,2279,112,55.893
values_381,4242,1442,29,146.276
values_769,10167,5020,376,27.040
values_701,4233,1407,23,184.043
values_855,4158,1381,21,198.000
values_320,7216,2930,179,40.313
values_50,8976,4231,308,29.143
values_918,10240,5069,389,26.324
values_615,4242,1442,29,146.276
values_704,4509,1605,49,92.020
values_633,10662,5450,417,25.568
values_847,11652,6140,480,24.275
values_602,9461,4494,331,28.583
values_399,8624,3922,271,31.823
values_22,8360,3773,244,34.262
values_313,4233,1407,23,184.043
values_375,4799,1821,69,69.551
values_963,4242,1442,29,146.276
values_168,7656,3249,211,36.284
values_226,11352,5962,470,24.153
values_190,4158,1381,21,198.000
values_429,12148,6505,518,23.452
values_236,4576,1652,51,89.725
values_777,10698,5476,421,25.411
values_909,7779,3302,209,37.220
values_438,4764,1795,67,71.104
values_607,6224,2253,110,56.582
values_717,11069,5695,438,25.272
values_782,11176,5822,459,24.349
values_258,6186,2225,106,58.358
values_872,8591,3897,269,31.937
values_637,4848,1856,75,64.640
values_746,9556,4575,334,28.611
values_4,7937,3482,229,34.659
values_345,10040,4998,370,27.135
values_102,11497,6015,470,24.462
