id,clockCycles,assemblyInstr
values_242,15115,9220
values_505,10792,5988
values_924,8868,4553
values_862,6354,2673
values_287,5121,1781
values_733,5926,2349
values_813,4724,1530
values_11,10918,6066
values_19,15723,9692
values_999,6131,2494
values_134,9080,4706
values_609,11858,6778
values_993,11686,6648
values_731,4766,1562
values_127,11704,6659
values_889,10851,6038
values_987,8744,4464
values_780,7540,3556
values_435,17525,11052
values_950,8536,4293
values_976,16205,10055
values_557,13413,7959
values_398,9600,5096
values_892,6723,2941
values_670,12697,7406
values_574,9273,4842
values_163,5644,2130
values_900,11814,6739
values_392,7744,3699
values_447,15438,9469
values_523,9078,4715
values_679,4626,1481
values_419,15021,9151
values_895,9531,5047
values_298,4626,1481
values_155,10532,5790
values_12,9269,4842
values_160,11459,6480
values_626,9592,5096
values_38,11159,6279
values_146,6776,2973
values_81,14520,8784
values_687,5844,2292
values_213,10309,5620
values_212,5867,2309
values_568,9240,4828
values_5,7088,3214
values_40,12144,6983
values_970,14884,9064
values_707,15294,9355
values_406,17696,11172
values_893,9441,4972
values_144,8360,4159
values_979,10473,5746
values_831,14625,8848
values_402,8205,4059
values_404,12521,7272
values_310,8018,3916
values_70,11315,6369
values_268,7848,3793
values_412,10345,5643
values_290,7101,3233
values_916,5808,2243
values_567,9023,4657
values_913,9972,5379
values_232,17522,11029
values_319,18001,11396
values_23,10120,5477
values_899,4774,1562
values_428,6160,2511
values_858,10754,5956
values_546,15782,9744
values_432,10033,5426
values_231,11352,6408
values_388,6186,2545
values_350,13904,8301
values_603,8897,4568
values_364,13405,7941
values_530,5686,2162
values_72,5237,1879
values_536,7245,3380
values_79,8195,4048
values_342,6072,2447
values_803,8129,3991
values_501,8234,4069
values_540,15596,9581
values_955,7310,3429
values_191,10297,5624
values_812,15664,9623
values_545,6715,2941
values_78,7890,3812
values_526,10113,5469
values_695,7248,3339
values_87,7523,3548
values_300,10058,5432
values_964,16047,9928
values_998,13864,8284
values_988,11726,6691
values_6,11647,6625
values_625,13782,8231
values_518,9680,5167
values_122,10648,5864
values_541,11285,6364
values_279,17952,11369
values_256,12207,7038
values_796,11239,6321
values_504,17192,10798
values_752,12232,7062
values_459,7806,3761
values_658,6864,3037
values_408,11792,6738
values_867,6845,3039
values_727,15537,9547
values_177,8168,4027
values_823,9153,4762
values_822,6723,2941
values_218,12880,7547
values_426,9464,4987
values_776,10648,5862
values_143,8946,4609
values_739,4626,1481
values_312,7699,3680
values_174,15268,9348
values_669,13298,7863
values_120,4973,1700
values_974,8679,4397
values_217,9217,4818
values_866,5344,1960
values_192,9575,5072
values_328,8712,4425
values_68,6563,2869
values_387,6354,2673
values_69,11898,6819
values_749,12673,7412
values_135,8746,4455
values_341,8190,4040
values_494,6394,2698
values_1,16173,10023
values_589,6902,3084
values_925,11528,6531
values_524,9642,5132
values_994,12771,7461
values_856,10502,5771
values_156,10127,5501
