inputName,size,a[size]
values_242,24,"{-64, 36, 109, 112, 36, 45, -73, 52, -61, -121, -42, 8, 64, -101, 36, -70, -98, -47, -126, -35, 107, -99, 19, 40"
values_505,17,"{1, 11, -69, -21, -49, -48, 91, -41, -52, 102, -84, 122, 0, 52, -72, -22, 25"
values_924,13,"{-126, -16, 64, 27, 53, 111, 53, -76, -95, -88, -126, -27, 0"
values_862,7,"{16, 61, 6, 25, -51, -38, 52"
values_287,4,"{-63, -112, 91, -92"
values_733,6,"{-103, -54, 78, 101, 102, 30"
values_813,2,"{-6, 117"
values_11,19,"{104, -88, -105, -119, 100, -60, 65, 109, -64, 8, 31, 47, 115, -55, -119, 77, -108, 47, -11"
values_19,22,"{-82, -102, -53, -57, 4, -89, 80, -114, 80, -33, 27, -125, -79, -31, 13, 115, -31, -33, 126, -12, 15, 78"
values_999,7,"{49, -42, 78, 48, 33, 77, -41"
values_134,14,"{-72, -4, 120, -18, 21, 97, 5, 82, -119, 101, 18, -22, -9, 1"
values_609,18,"{124, 116, -80, -17, 37, 33, -7, -56, -70, -47, 44, -80, -50, 34, 52, -90, -96, 27"
values_993,19,"{101, 109, -32, 80, 9, 24, -83, 36, 74, -117, -80, 35, -97, -83, 86, -9, -125, 112, 47"
values_731,3,"{-102, 121, -46"
values_127,15,"{44, -71, -80, 2, 93, -81, 14, -29, -14, -105, 78, -50, 18, 71, -109"
values_889,17,"{5, -73, -3, 47, 84, -67, 26, -101, -110, 44, 76, -117, 103, 44, 92, -15, 95"
values_987,13,"{62, 94, -111, 68, -28, 106, 38, -85, 34, 5, -107, 29, 84"
values_780,10,"{-90, -65, -53, 110, 123, 83, -124, 120, 99, -17"
values_435,28,"{-114, -35, -15, 89, 119, 64, 8, -52, 85, -25, 37, 118, -28, -38, 6, 18, 20, 65, 37, -123, -121, -111, 20, -45, 77, -50, -36, 96"
values_950,13,"{26, -46, 86, 106, 32, 126, 109, 19, -75, -37, 95, -47, -8"
values_976,25,"{110, 93, -88, 111, -85, -32, -112, -86, 72, 32, -18, -119, 75, 17, 30, -98, 17, -79, -28, 92, 44, 104, -57, -93, 111"
values_557,21,"{-110, 81, 17, 113, 85, -41, 102, 6, 66, 24, 80, 41, -12, -42, -87, 80, 75, 37, -59, 2, 112"
values_398,15,"{96, -106, 45, 69, 122, -41, 32, -73, -40, 81, 69, 34, -100, 26, 39"
values_892,8,"{107, -85, -13, 82, 94, -117, 35, 60"
values_670,19,"{45, -35, 102, 96, 66, -113, 122, -9, -103, -34, 8, 53, 13, 117, -31, 73, -77, 100, -14"
values_574,15,"{42, -117, -114, 60, -100, 7, 4, 70, -6, 93, 72, 111, -111, 72, -52"
values_163,5,"{-27, 96, -17, -122, -30"
values_900,18,"{-1, -54, 85, -116, 21, -91, 26, -106, -119, -20, -75, 70, 117, 44, 99, -123, -4, -25"
values_392,11,"{-13, 63, -63, -123, 1, 26, -10, 126, 92, -6, -16"
values_447,23,"{39, 67, -1, 108, -74, 41, 63, -65, -24, -36, -51, 42, -26, -48, -51, 29, 95, 58, 22, 5, -11, -94, -107"
values_523,12,"{54, -85, -87, -57, 70, 54, -84, 44, -101, -112, -7, 108"
values_679,2,"{118, -14"
values_419,25,"{41, 92, 37, 19, -89, -56, -27, 26, 51, 120, 17, -6, -97, -59, -89, -57, 47, 28, -19, -107, -91, -28, 19, -20, -79"
values_895,14,"{69, 87, -37, 4, 71, -24, -30, -93, -6, 45, -86, 85, -85, 76"
values_298,2,"{54, -5"
values_155,18,"{-6, -39, -113, 75, -21, 39, -3, 35, -85, -47, 58, 67, -34, -70, 96, -90, 80, 31"
values_12,13,"{49, -57, -25, 44, 19, 5, -110, 21, -26, 35, 27, -113, 5"
values_160,20,"{95, -63, 124, -37, -108, -86, -23, 44, -63, -104, 46, -109, -71, -112, -43, -33, -101, -27, -35, -41"
values_626,15,"{-31, -36, 61, 126, -55, -126, 63, -74, -89, 13, -39, 117, -55, -31, 54"
values_38,15,"{2, -3, -90, 115, -120, -105, -109, 46, 60, -51, -65, -109, -105, 73, 80"
values_146,7,"{112, 53, 5, 42, -30, -91, 89"
values_81,24,"{36, -117, 84, -52, -41, -35, -36, -3, 47, 36, 119, -126, -82, -6, 51, 43, 55, 82, 49, -92, 22, 98, 40, -55"
values_687,6,"{-26, -39, -80, 109, -42, -18"
values_213,17,"{13, -119, 32, 54, 84, 89, 98, -49, -74, 35, 18, -84, -111, 37, -117, 14, -62"
values_212,5,"{40, 61, -90, -86, 79"
values_568,15,"{-78, 102, 92, -109, 95, 35, -24, -93, 96, 109, -17, -50, -95, -49, -20"
values_5,8,"{92, 59, 78, 82, -43, 1, -28, -49"
