inputName,text,data,bss
values_242,11760,168,368
values_505,11760,160,368
values_924,11760,160,368
values_862,11760,160,368
values_287,11760,160,368
values_733,11760,152,368
values_813,11760,176,368
values_11,11760,176,368
values_19,11760,152,368
values_999,11760,160,368
values_134,11760,168,368
values_609,11760,152,368
values_993,11760,176,368
values_731,11760,160,368
values_127,11760,160,368
values_889,11760,168,368
values_987,11760,152,368
values_780,11760,152,368
values_435,11760,152,368
values_950,11760,152,368
values_976,11760,152,368
values_557,11760,160,368
values_398,11760,160,368
values_892,11760,176,368
values_670,11760,160,368
values_574,11760,160,368
values_163,11760,168,368
values_900,11760,168,368
values_392,11760,168,368
values_447,11760,152,368
values_523,11760,160,368
values_679,11760,168,368
values_419,11760,176,368
values_895,11760,176,368
values_298,11760,176,368
values_155,11760,168,368
values_12,11760,160,368
values_160,11760,160,368
values_626,11760,176,368
values_38,11760,176,368
values_146,11760,152,368
values_81,11760,152,368
values_687,11760,168,368
values_213,11760,176,368
values_212,11760,160,368
values_568,11760,160,368
values_5,11760,152,368
values_40,11760,152,368
values_970,11760,168,368
values_707,11760,152,368
values_406,11760,160,368
values_893,11760,160,368
values_144,11760,176,368
values_979,11760,176,368
values_831,11760,160,368
values_402,11760,176,368
values_404,11760,176,368
values_310,11760,152,368
values_70,11760,152,368
values_268,11760,160,368
values_412,11760,152,368
values_290,11760,160,368
values_916,11760,160,368
values_567,11760,168,368
values_913,11760,160,368
values_232,11760,168,368
values_319,11760,176,368
values_23,11760,160,368
values_899,11760,160,368
values_428,11760,168,368
values_858,11760,176,368
values_546,11760,168,368
values_432,11760,168,368
values_231,11760,160,368
values_388,11760,160,368
values_350,11760,160,368
values_603,11760,176,368
values_364,11760,152,368
values_530,11760,176,368
values_72,11760,152,368
values_536,11760,160,368
values_79,11760,160,368
values_342,11760,160,368
values_803,11760,176,368
values_501,11760,168,368
values_540,11760,168,368
values_955,11760,176,368
values_191,11760,152,368
values_812,11760,168,368
values_545,11760,152,368
values_78,11760,160,368
values_526,11760,160,368
values_695,11760,176,368
values_87,11760,160,368
values_300,11760,168,368
values_964,11760,152,368
values_998,11760,176,368
values_988,11760,160,368
values_6,11760,176,368
values_625,11760,160,368
values_518,11760,168,368
values_122,11760,160,368
values_541,11760,168,368
values_279,11760,176,368
values_256,11760,168,368
values_796,11760,152,368
values_504,11760,168,368
values_752,11760,176,368
