id,clockCycles,assemblyInstr
values_242,18865,15149
values_505,20129,14978
values_924,72699,59047
values_862,14551,10816
values_287,,
values_733,46888,34958
values_813,51873,38690
values_11,28207,22655
values_19,6309,5014
values_999,43543,32512
values_134,44161,35025
values_609,8098,6342
values_993,73613,54950
values_731,72699,59047
values_127,26859,20012
values_889,,
values_987,4971,3919
values_780,14783,11000
values_435,13727,10735
values_950,34277,25550
values_976,73613,54950
values_557,43079,32144
values_398,34045,25366
values_892,26627,19828
values_670,46888,34958
values_574,72445,58829
values_163,62051,46292
values_900,6793,5426
values_392,56606,42216
values_447,3489,2734
values_523,1129,853
values_679,6793,5426
values_419,7441,5793
values_895,72917,54398
values_298,,
values_155,56606,42216
values_12,34045,25366
values_160,20129,14978
values_626,,
values_38,4741,3725
values_146,73149,54582
values_81,1563,1200
values_687,26627,19828
values_213,20593,15346
values_212,8536,6708
values_568,5431,4307
values_5,44161,35025
values_40,57766,43136
values_970,46888,34958
values_707,6309,5014
values_406,20361,15162
values_893,7660,5976
values_144,57070,42584
values_979,10143,8088
values_831,17655,14119
values_402,20129,14978
values_404,4511,3531
values_310,61819,46108
values_70,47120,35142
values_268,34045,25366
values_412,2035,1539
values_290,,
values_916,51641,38506
values_567,34741,25918
values_913,62515,46660
values_232,34277,25550
values_319,914,682
values_23,,
values_899,56606,42216
values_428,7879,6159
values_858,1345,1018
values_546,1345,1018
values_432,,
values_231,7660,5976
values_388,62051,46292
values_350,14551,10816
values_603,20129,14978
values_364,26627,19828
values_530,28409,22249
values_72,,
values_536,62051,46292
values_79,,
values_342,,
values_803,6551,5220
values_501,52337,39058
values_540,,
values_955,,
values_191,62283,46476
values_812,6309,5014
values_545,20129,14978
values_78,34045,25366
values_526,914,682
values_695,719,523
values_87,3259,2540
values_300,4971,3919
values_964,2019,1576
values_998,57070,42584
values_988,43637,34581
values_6,3090,2406
values_625,10385,8294
values_518,28207,22655
values_122,2242,1710
values_541,,
values_279,42847,31960
values_256,51873,38690
values_796,26859,20012
values_504,,
values_752,17655,14119
values_459,6551,5220
values_658,,
values_408,2656,2052
values_867,8098,6342
values_727,20361,15162
values_177,28765,23133
values_823,,
values_822,20129,14978
values_218,3719,2928
values_426,7441,5793
values_776,18139,14531
values_143,28207,22655
values_739,28207,22655
values_312,7441,5793
values_174,42383,31592
values_669,72953,59265
values_120,61819,46108
values_974,61819,46108
values_217,72445,58829
values_866,1129,853
values_192,4741,3725
values_328,27323,20380
values_68,8098,6342
values_387,1129,853
values_69,51641,38506
values_749,20825,15530
values_135,4511,3531
values_341,17897,14325
values_494,72699,59047
values_1,10143,8088
values_589,28207,22655
values_925,,
values_524,26859,20012
values_994,72699,59047
values_856,2035,1539
values_156,52801,39426
values_470,1781,1382
values_207,51873,38690
values_655,62747,46844
values_441,10385,8294
values_109,4511,3531
values_45,34277,25550
values_125,6309,5014
values_600,28409,22249
values_708,,
values_791,28628,22432
values_912,2035,1539
values_533,,
values_418,34045,25366
values_228,14551,10816
values_585,26627,19828
values_465,10143,8088
values_239,48280,36062
values_842,6309,5014
values_208,4971,3919
values_932,47120,35142
values_957,,
values_563,1345,1018
values_766,72445,58829
values_476,7035,5632
values_175,34045,25366
values_591,719,523
values_997,26859,20012
values_385,18139,14531
values_115,44161,35025
values_653,8265,6674
values_753,57070,42584
values_241,62283,46476
values_197,6793,5426
values_636,72445,58829
values_450,51873,38690
values_106,1563,1200
values_699,43637,34581
values_578,1345,1018
values_644,2035,1539
values_570,4741,3725
values_873,28409,22249
values_33,28207,22655
values_210,2883,2235
values_486,,
values_252,28409,22249
values_694,4511,3531
values_759,20129,14978
values_245,42615,31776
values_15,20361,15162
values_792,18139,14531
values_248,2035,1539
values_246,,
values_556,10627,8500
values_513,26627,19828
values_93,6793,5426
values_558,4511,3531
values_991,61819,46108
values_181,914,682
values_674,20129,14978
values_652,42615,31776
values_344,72445,58829
values_715,10385,8294
values_528,7441,5793
values_276,7441,5793
values_24,,
values_296,1345,1018
values_244,47352,35326
values_380,10143,8088
values_25,28486,22894
values_740,72699,59047
values_478,7660,5976
values_379,6551,5220
values_810,72445,58829
values_440,72445,58829
values_543,28409,22249
values_130,15477,12205
values_225,,
values_285,13227,10315
values_363,47584,35510
values_667,,
values_26,,
values_793,6793,5426
values_772,72445,58829
values_931,10143,8088
values_981,46888,34958
values_422,14551,10816
values_920,51641,38506
values_259,4511,3531
values_477,17655,14119
