id,clockCycles,assemblyInstr
values_242,645,482
values_505,405,302
values_924,1221,914
values_862,501,374
values_287,741,554
values_733,981,734
values_813,789,590
values_11,1365,1022
values_19,501,374
values_999,693,518
values_134,1125,842
values_609,789,590
values_993,1125,842
values_731,117,86
values_127,1365,1022
values_889,261,194
values_987,981,734
values_780,1365,1022
values_435,453,338
values_950,1365,1022
values_976,1365,1022
values_557,741,554
values_398,261,194
values_892,645,482
values_670,165,122
values_574,1317,986
values_163,213,158
values_900,213,158
values_392,213,158
values_447,357,266
values_523,213,158
values_679,741,554
values_419,933,698
values_895,1365,1022
values_298,597,446
values_155,1125,842
values_12,549,410
values_160,885,662
values_626,117,86
values_38,453,338
values_146,1269,950
values_81,1269,950
values_687,1317,986
values_213,357,266
values_212,981,734
values_568,549,410
values_5,165,122
values_40,981,734
values_970,213,158
values_707,1173,878
values_406,549,410
values_893,501,374
values_144,1365,1022
values_979,309,230
values_831,213,158
values_402,1173,878
values_404,357,266
values_310,405,302
values_70,213,158
values_268,741,554
values_412,981,734
values_290,165,122
values_916,1077,806
values_567,261,194
values_913,165,122
values_232,885,662
values_319,645,482
values_23,261,194
values_899,1077,806
values_428,885,662
values_858,405,302
values_546,405,302
values_432,1125,842
values_231,981,734
values_388,165,122
values_350,741,554
values_603,741,554
values_364,693,518
values_530,597,446
values_72,1077,806
values_536,1317,986
values_79,453,338
values_342,1077,806
values_803,981,734
values_501,1173,878
values_540,213,158
values_955,405,302
values_191,1125,842
values_812,1125,842
values_545,1077,806
values_78,1269,950
values_526,741,554
values_695,453,338
values_87,789,590
values_300,1077,806
values_964,1269,950
values_998,405,302
values_988,885,662
values_6,117,86
values_625,453,338
values_518,1077,806
values_122,933,698
values_541,1221,914
values_279,885,662
values_256,453,338
values_796,1365,1022
values_504,933,698
values_752,1317,986
values_459,1125,842
values_658,165,122
values_408,309,230
values_867,1269,950
values_727,1125,842
values_177,1317,986
values_823,693,518
values_822,261,194
values_218,1317,986
values_426,1125,842
values_776,597,446
values_143,213,158
values_739,1125,842
values_312,1125,842
values_174,837,626
values_669,789,590
values_120,1029,770
values_974,885,662
values_217,789,590
values_866,1077,806
values_192,1125,842
values_328,117,86
values_68,213,158
values_387,165,122
values_69,213,158
values_749,501,374
values_135,165,122
values_341,645,482
values_494,1029,770
values_1,693,518
values_589,213,158
values_925,213,158
values_524,501,374
values_994,789,590
values_856,549,410
values_156,405,302
values_470,981,734
values_207,933,698
values_655,1317,986
values_441,1077,806
values_109,1173,878
values_45,549,410
values_125,597,446
values_600,1173,878
values_708,261,194
values_791,597,446
values_912,837,626
values_533,933,698
values_418,117,86
values_228,1125,842
values_585,405,302
values_465,741,554
values_239,693,518
values_842,933,698
values_208,453,338
values_932,261,194
values_957,1221,914
values_563,1365,1022
values_766,1365,1022
values_476,453,338
values_175,1125,842
values_591,1029,770
values_997,1173,878
values_385,1029,770
values_115,357,266
values_653,501,374
values_753,597,446
values_241,1269,950
values_197,501,374
values_636,549,410
values_450,1221,914
values_106,1365,1022
values_699,933,698
values_578,357,266
values_644,1077,806
values_570,357,266
values_873,1317,986
values_33,405,302
values_210,1269,950
values_486,1029,770
values_252,885,662
values_694,981,734
values_759,309,230
values_245,309,230
values_15,789,590
values_792,1125,842
values_248,261,194
values_246,885,662
values_556,453,338
values_513,885,662
values_93,741,554
values_558,1317,986
values_991,405,302
values_181,1317,986
values_674,165,122
values_652,501,374
values_344,1365,1022
values_715,405,302
values_528,597,446
values_276,1317,986
values_24,837,626
values_296,309,230
values_244,1173,878
values_380,453,338
values_25,981,734
values_740,405,302
values_478,117,86
values_379,309,230
values_810,549,410
values_440,1365,1022
values_543,261,194
values_130,597,446
values_225,837,626
values_285,357,266
values_363,981,734
values_667,261,194
values_26,213,158
values_793,1221,914
values_772,1365,1022
values_931,261,194
values_981,501,374
values_422,981,734
values_920,981,734
values_259,981,734
values_477,1317,986
values_738,1365,1022
values_430,933,698
values_922,549,410
values_903,1125,842
values_761,789,590
values_204,693,518
values_48,309,230
values_71,357,266
values_851,1077,806
values_347,357,266
values_725,1125,842
values_266,1125,842
values_448,1221,914
values_934,117,86
values_531,501,374
values_224,981,734
values_686,405,302
values_927,1125,842
values_407,645,482
values_76,165,122
values_949,1077,806
values_969,549,410
values_781,357,266
values_7,645,482
values_683,453,338
values_376,1077,806
values_877,1221,914
values_654,597,446
values_508,693,518
values_332,261,194
values_281,309,230
values_381,597,446
values_769,837,626
values_701,741,554
values_855,933,698
values_320,501,374
values_50,213,158
values_918,837,626
values_615,501,374
values_704,549,410
values_633,597,446
values_847,1125,842
values_602,117,86
values_399,1173,878
values_22,837,626
values_313,1173,878
values_375,741,554
values_963,693,518
values_168,453,338
values_226,309,230
values_190,885,662
values_429,1317,986
values_236,501,374
values_777,501,374
values_909,741,554
values_438,1125,842
values_607,885,662
values_717,405,302
values_782,1221,914
values_258,1365,1022
values_872,837,626
values_637,1221,914
values_746,885,662
values_4,597,446
values_345,453,338
values_102,1029,770
values_962,549,410
values_356,1125,842
values_853,1269,950
values_849,1029,770
values_814,309,230
values_370,597,446
values_778,789,590
values_458,933,698
values_818,261,194
values_119,357,266
values_373,1077,806
values_351,789,590
values_32,261,194
values_770,1125,842
values_371,837,626
values_283,1077,806
values_535,981,734
values_250,597,446
values_132,117,86
values_649,1125,842
values_77,933,698
values_260,933,698
values_891,261,194
values_91,981,734
values_137,165,122
values_42,165,122
values_13,453,338
values_577,261,194
values_41,1125,842
values_809,213,158
values_414,405,302
values_360,165,122
values_386,1125,842
values_158,1317,986
values_904,213,158
values_480,549,410
values_647,453,338
values_104,213,158
values_55,597,446
values_491,1221,914
values_391,933,698
values_972,549,410
values_571,309,230
values_940,693,518
values_861,165,122
values_324,1173,878
values_549,933,698
values_170,501,374
values_269,741,554
values_442,117,86
values_520,1221,914
values_455,885,662
values_31,1269,950
values_971,1173,878
values_397,693,518
values_254,1269,950
values_616,501,374
values_66,1317,986
values_943,1269,950
values_117,309,230
values_451,1221,914
values_643,1365,1022
values_688,1365,1022
values_569,885,662
values_745,741,554
values_65,645,482
values_980,933,698
values_982,405,302
values_62,213,158
values_789,1077,806
values_401,117,86
values_21,405,302
values_598,1317,986
values_273,1173,878
values_534,645,482
values_118,405,302
values_141,645,482
values_366,693,518
values_222,261,194
values_876,261,194
values_700,405,302
values_95,1125,842
values_806,213,158
values_671,213,158
values_816,885,662
values_630,549,410
values_433,309,230
values_905,645,482
values_84,501,374
values_233,453,338
values_664,549,410
values_162,885,662
values_681,933,698
values_542,1317,986
values_169,1077,806
values_660,213,158
values_488,981,734
values_894,309,230
values_828,501,374
values_537,213,158
values_845,1077,806
values_584,213,158
values_457,1077,806
values_499,981,734
values_369,1221,914
values_58,309,230
values_64,1365,1022
values_196,741,554
values_462,837,626
values_343,357,266
values_262,1365,1022
values_966,741,554
values_261,1125,842
values_349,405,302
values_263,1221,914
values_801,117,86
values_292,501,374
values_786,1365,1022
values_101,309,230
values_691,261,194
values_926,501,374
values_754,1317,986
values_215,789,590
values_977,885,662
values_850,165,122
values_646,501,374
values_628,357,266
values_941,1365,1022
values_353,165,122
values_690,837,626
values_961,405,302
values_331,309,230
values_377,501,374
values_128,981,734
values_336,117,86
values_632,789,590
values_166,501,374
values_744,549,410
values_837,309,230
values_807,453,338
values_838,693,518
values_723,1125,842
values_874,1077,806
values_627,981,734
values_555,645,482
values_446,981,734
values_716,597,446
values_240,693,518
values_140,453,338
values_317,885,662
values_83,837,626
values_696,693,518
values_413,1173,878
values_94,885,662
values_937,1221,914
values_199,309,230
values_596,405,302
values_0,1365,1022
values_953,1317,986
values_906,309,230
values_742,693,518
values_396,1365,1022
values_159,453,338
values_238,1269,950
values_136,933,698
values_915,597,446
values_99,1173,878
values_771,1173,878
values_96,213,158
values_768,261,194
values_67,549,410
values_565,165,122
values_848,1269,950
values_114,1365,1022
values_61,1077,806
values_511,1221,914
values_729,837,626
values_460,741,554
values_832,213,158
values_348,1365,1022
values_182,645,482
values_986,1125,842
values_180,1173,878
values_930,261,194
values_274,1317,986
values_309,357,266
values_496,741,554
values_165,309,230
values_553,741,554
values_870,981,734
values_795,1365,1022
values_361,309,230
values_302,597,446
values_586,789,590
values_880,453,338
values_665,357,266
values_527,1269,950
values_372,1173,878
values_382,501,374
values_43,309,230
values_935,309,230
values_2,885,662
values_790,741,554
values_152,981,734
values_871,213,158
values_434,597,446
values_775,1029,770
values_500,261,194
values_220,981,734
values_875,1317,986
values_249,1317,986
values_808,501,374
values_859,837,626
values_539,453,338
values_635,501,374
values_311,213,158
values_183,645,482
values_54,1317,986
values_390,741,554
values_890,405,302
values_711,261,194
values_471,597,446
values_995,1029,770
values_443,789,590
values_464,1125,842
values_774,117,86
values_200,405,302
values_747,213,158
values_758,933,698
values_30,309,230
values_820,261,194
values_393,741,554
values_576,213,158
values_445,213,158
values_662,741,554
values_403,1125,842
values_640,405,302
values_59,261,194
values_490,789,590
values_194,597,446
values_751,1317,986
values_663,933,698
values_938,261,194
values_532,357,266
values_885,501,374
values_713,1077,806
values_193,1365,1022
values_650,1365,1022
values_564,357,266
values_267,693,518
values_147,1125,842
values_709,1317,986
values_857,1221,914
values_334,1317,986
values_965,789,590
values_824,693,518
values_784,453,338
values_229,1125,842
values_538,1173,878
values_463,1221,914
values_741,1077,806
values_85,837,626
values_493,645,482
values_794,1077,806
values_202,1173,878
values_74,549,410
values_410,645,482
values_469,1029,770
values_394,453,338
values_149,1125,842
values_945,789,590
values_293,1029,770
values_456,357,266
values_975,1221,914
values_547,885,662
values_164,501,374
values_720,1029,770
values_833,261,194
values_90,1317,986
values_954,885,662
values_483,261,194
values_990,453,338
values_113,357,266
values_878,597,446
values_942,1029,770
values_126,645,482
values_666,597,446
values_960,1317,986
values_783,933,698
values_735,1365,1022
values_439,1269,950
values_860,789,590
values_18,453,338
values_173,549,410
values_454,1221,914
values_176,1173,878
values_698,309,230
values_869,405,302
values_697,1125,842
values_509,501,374
values_189,1269,950
values_714,1029,770
values_270,741,554
values_863,213,158
values_548,1029,770
values_359,1221,914
values_512,1173,878
values_656,933,698
values_684,261,194
values_171,549,410
values_675,837,626
values_657,1077,806
values_333,357,266
values_599,453,338
values_129,309,230
values_886,1317,986
values_107,165,122
values_272,501,374
values_52,693,518
values_819,1269,950
values_682,1077,806
values_44,837,626
values_914,453,338
values_346,213,158
values_151,789,590
values_550,1317,986
values_326,693,518
values_836,885,662
values_437,1077,806
values_984,597,446
values_17,1077,806
values_748,261,194
values_581,933,698
values_705,1317,986
values_121,1221,914
values_219,1173,878
values_321,885,662
values_843,693,518
values_606,1269,950
values_898,405,302
values_601,597,446
values_36,837,626
values_282,1029,770
values_395,885,662
values_449,309,230
values_209,501,374
values_956,309,230
values_579,597,446
values_484,261,194
values_521,1077,806
values_617,1077,806
values_516,1269,950
values_358,165,122
values_335,1029,770
values_139,1221,914
values_992,741,554
values_211,309,230
values_507,1269,950
values_921,405,302
values_138,741,554
values_275,1269,950
values_614,1125,842
values_49,693,518
values_227,453,338
values_203,645,482
values_172,933,698
values_86,261,194
values_178,933,698
values_978,501,374
values_253,1077,806
values_291,1173,878
values_911,1221,914
values_230,693,518
values_318,885,662
values_798,597,446
values_638,117,86
values_112,1365,1022
values_201,1317,986
values_629,549,410
values_337,1029,770
values_37,1029,770
values_56,1173,878
values_316,933,698
values_829,1365,1022
values_63,1029,770
values_35,837,626
values_519,1365,1022
values_481,117,86
values_278,165,122
values_186,261,194
values_702,213,158
values_722,357,266
values_97,789,590
values_329,213,158
values_75,165,122
values_560,1269,950
values_612,1221,914
values_421,933,698
values_639,549,410
values_939,309,230
values_198,1317,986
values_840,261,194
values_415,1365,1022
values_405,549,410
values_100,1173,878
values_726,309,230
values_265,357,266
values_743,1269,950
values_436,1029,770
values_583,1317,986
values_525,1173,878
values_677,357,266
values_289,309,230
values_255,1317,986
values_529,405,302
values_826,165,122
values_362,117,86
values_355,789,590
values_506,165,122
values_315,933,698
values_604,933,698
values_57,597,446
values_133,501,374
values_787,213,158
values_799,741,554
values_765,1173,878
values_887,501,374
values_952,981,734
values_631,213,158
values_306,1125,842
values_497,645,482
values_821,693,518
values_618,117,86
values_271,213,158
values_645,309,230
values_985,789,590
values_400,1317,986
values_562,501,374
values_590,501,374
values_648,213,158
values_325,645,482
values_883,885,662
values_827,261,194
values_854,645,482
values_307,1029,770
values_88,981,734
values_958,213,158
values_251,597,446
values_902,1125,842
values_680,1221,914
values_884,261,194
values_901,981,734
values_354,597,446
values_420,789,590
values_103,837,626
values_10,1365,1022
values_474,837,626
values_53,981,734
values_8,549,410
values_39,789,590
values_755,1317,986
values_124,1317,986
values_841,1221,914
values_510,453,338
values_989,405,302
values_706,1029,770
values_257,261,194
values_811,405,302
values_111,1317,986
values_47,1029,770
values_928,213,158
values_561,309,230
values_383,1365,1022
values_498,405,302
values_60,549,410
values_737,837,626
values_624,1125,842
values_973,261,194
values_472,453,338
values_280,1125,842
values_389,357,266
values_651,741,554
values_642,549,410
values_668,1125,842
values_551,1317,986
values_750,1125,842
values_592,645,482
values_89,1269,950
values_411,981,734
values_620,1029,770
values_357,405,302
values_247,645,482
values_692,501,374
values_572,213,158
values_757,549,410
values_566,933,698
values_216,741,554
values_951,213,158
values_910,1365,1022
values_338,645,482
values_461,1221,914
values_730,1029,770
values_734,1125,842
values_51,309,230
values_678,1269,950
values_327,549,410
values_473,981,734
values_453,165,122
values_154,789,590
values_452,549,410
values_221,1125,842
values_323,405,302
values_844,597,446
values_673,309,230
values_427,1077,806
values_933,885,662
values_802,1125,842
values_852,357,266
values_487,597,446
values_762,741,554
values_515,933,698
values_479,261,194
values_948,1365,1022
values_467,1125,842
values_14,1077,806
values_868,261,194
values_188,261,194
values_489,1077,806
values_865,549,410
values_728,1317,986
values_996,1221,914
values_277,261,194
values_936,453,338
values_554,837,626
values_763,1029,770
values_834,789,590
values_613,549,410
values_907,501,374
values_825,357,266
values_308,213,158
values_294,1077,806
values_522,1269,950
values_322,981,734
values_28,549,410
values_760,981,734
values_559,1269,950
values_685,453,338
values_908,789,590
values_919,453,338
values_724,117,86
values_947,1029,770
values_214,1173,878
values_468,1317,986
values_967,597,446
values_234,117,86
values_983,645,482
values_719,645,482
values_110,117,86
values_235,405,302
values_588,789,590
values_185,1173,878
values_732,1269,950
values_896,1221,914
values_888,933,698
values_923,1125,842
values_767,1077,806
values_179,117,86
values_195,213,158
values_148,981,734
values_917,165,122
values_634,933,698
values_157,645,482
values_314,597,446
values_879,597,446
values_16,357,266
values_839,1029,770
values_150,1125,842
values_835,789,590
values_161,645,482
values_34,789,590
values_959,885,662
values_264,1029,770
values_123,1029,770
values_623,549,410
values_187,789,590
values_575,981,734
values_466,501,374
values_621,597,446
values_82,837,626
values_352,213,158
values_779,405,302
values_946,309,230
values_756,885,662
values_502,405,302
values_641,885,662
values_882,837,626
values_46,597,446
values_721,405,302
values_105,645,482
values_284,693,518
values_295,885,662
values_423,597,446
values_544,357,266
values_384,1125,842
values_206,693,518
values_817,501,374
values_788,789,590
values_205,981,734
values_243,1125,842
values_619,309,230
values_514,1221,914
values_703,357,266
