id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,50,35,60,0.833
values_505,50,35,55,0.909
values_924,50,35,55,0.909
values_862,50,35,25,2.000
values_287,50,35,20,2.500
values_733,50,35,45,1.111
values_813,50,35,40,1.250
values_11,50,35,60,0.833
values_19,50,35,1.000,
values_999,50,35,40,1.250
values_134,50,35,25,2.000
values_609,50,35,25,2.000
values_993,50,35,30,1.667
values_731,50,35,25,2.000
values_127,50,35,60,0.833
values_889,50,35,45,1.111
values_987,50,35,20,2.500
values_780,50,35,60,0.833
values_435,50,35,1.000,
values_950,50,35,60,0.833
values_976,50,35,20,2.500
values_557,50,35,20,2.500
values_398,50,35,40,1.250
values_892,50,35,15,3.333
values_670,50,35,20,2.500
values_574,50,35,20,2.500
values_163,50,35,1.000,
values_900,50,35,1.000,
values_392,50,35,60,0.833
values_447,50,35,55,0.909
values_523,50,35,1.000,
values_679,50,35,55,0.909
values_419,50,35,1.000,
values_895,50,35,40,1.250
values_298,50,35,20,2.500
values_155,50,35,15,3.333
values_12,50,35,15,3.333
values_160,50,35,25,2.000
values_626,50,35,55,0.909
values_38,50,35,25,2.000
values_146,50,35,1.000,
values_81,50,35,15,3.333
values_687,50,35,20,2.500
values_213,50,35,1.429,
values_212,50,35,25,2.000
values_568,50,35,25,2.000
values_5,50,35,1.000,
values_40,50,35,20,2.500
values_970,50,35,1.000,
values_707,50,35,40,1.250
values_406,50,35,55,0.909
values_893,50,35,30,1.667
values_144,50,35,30,1.667
values_979,50,35,15,3.333
values_831,50,35,20,2.500
values_402,50,35,45,1.111
values_404,50,35,20,2.500
values_310,50,35,25,2.000
values_70,50,35,45,1.111
values_268,50,35,1.000,
values_412,50,35,55,0.909
values_290,50,35,40,1.250
values_916,50,35,1.429,
values_567,50,35,20,2.500
values_913,50,35,60,0.833
values_232,50,35,1.000,
values_319,50,35,20,2.500
values_23,50,35,45,1.111
values_899,50,35,1.429,
values_428,50,35,55,0.909
values_858,50,35,40,1.250
values_546,50,35,1.429,
values_432,50,35,60,0.833
values_231,50,35,40,1.250
values_388,50,35,1.000,
values_350,50,35,1.429,
values_603,50,35,15,3.333
values_364,50,35,1.429,
values_530,50,35,30,1.667
values_72,50,35,1.429,
values_536,50,35,15,3.333
values_79,50,35,25,2.000
values_342,50,35,55,0.909
values_803,50,35,1.429,
values_501,50,35,1.000,
values_540,50,35,15,3.333
values_955,50,35,45,1.111
values_191,50,35,40,1.250
values_812,50,35,60,0.833
values_545,50,35,60,0.833
values_78,50,35,20,2.500
values_526,50,35,20,2.500
values_695,50,35,15,3.333
values_87,50,35,1.429,
values_300,50,35,1.429,
values_964,50,35,1.429,
values_998,50,35,1.000,
values_988,50,35,15,3.333
values_6,50,35,40,1.250
values_625,50,35,25,2.000
values_518,50,35,45,1.111
values_122,50,35,15,3.333
values_541,50,35,30,1.667
values_279,50,35,1.429,
values_256,50,35,1.000,
values_796,50,35,55,0.909
values_504,50,35,30,1.667
values_752,50,35,15,3.333
values_459,50,35,1.429,
values_658,50,35,55,0.909
values_408,50,35,15,3.333
values_867,50,35,1.429,
values_727,50,35,25,2.000
values_177,50,35,55,0.909
values_823,50,35,55,0.909
values_822,50,35,15,3.333
values_218,50,35,25,2.000
values_426,50,35,45,1.111
values_776,50,35,30,1.667
values_143,50,35,25,2.000
values_739,50,35,55,0.909
values_312,50,35,60,0.833
values_174,50,35,30,1.667
values_669,50,35,1.000,
values_120,50,35,60,0.833
values_974,50,35,20,2.500
values_217,50,35,1.000,
values_866,50,35,25,2.000
values_192,50,35,60,0.833
values_328,50,35,25,2.000
values_68,50,35,1.429,
values_387,50,35,15,3.333
values_69,50,35,1.000,
values_749,50,35,20,2.500
values_135,50,35,20,2.500
values_341,50,35,40,1.250
values_494,50,35,40,1.250
values_1,50,35,60,0.833
values_589,50,35,30,1.667
values_925,50,35,45,1.111
values_524,50,35,30,1.667
values_994,50,35,55,0.909
values_856,50,35,1.000,
values_156,50,35,45,1.111
values_470,50,35,25,2.000
values_207,50,35,1.429,
values_655,50,35,45,1.111
values_441,50,35,60,0.833
values_109,50,35,45,1.111
values_45,50,35,20,2.500
values_125,50,35,45,1.111
values_600,50,35,45,1.111
values_708,50,35,30,1.667
values_791,50,35,20,2.500
values_912,50,35,60,0.833
values_533,50,35,1.429,
values_418,50,35,60,0.833
values_228,50,35,25,2.000
values_585,50,35,45,1.111
values_465,50,35,15,3.333
values_239,50,35,20,2.500
values_842,50,35,60,0.833
values_208,50,35,15,3.333
values_932,50,35,20,2.500
values_957,50,35,25,2.000
values_563,50,35,20,2.500
values_766,50,35,20,2.500
values_476,50,35,60,0.833
values_175,50,35,60,0.833
values_591,50,35,45,1.111
values_997,50,35,45,1.111
values_385,50,35,25,2.000
values_115,50,35,30,1.667
values_653,50,35,20,2.500
values_753,50,35,20,2.500
values_241,50,35,15,3.333
values_197,50,35,20,2.500
values_636,50,35,30,1.667
values_450,50,35,40,1.250
values_106,50,35,1.429,
values_699,50,35,40,1.250
values_578,50,35,1.000,
values_644,50,35,30,1.667
values_570,50,35,30,1.667
values_873,50,35,15,3.333
values_33,50,35,30,1.667
values_210,50,35,20,2.500
values_486,50,35,1.429,
values_252,50,35,1.429,
values_694,50,35,60,0.833
values_759,50,35,25,2.000
values_245,50,35,1.000,
values_15,50,35,1.000,
values_792,50,35,1.429,
values_248,50,35,55,0.909
values_246,50,35,25,2.000
values_556,50,35,45,1.111
values_513,50,35,1.429,
values_93,50,35,1.000,
values_558,50,35,55,0.909
values_991,50,35,45,1.111
values_181,50,35,1.429,
values_674,50,35,20,2.500
values_652,50,35,1.000,
values_344,50,35,55,0.909
values_715,50,35,1.000,
values_528,50,35,30,1.667
values_276,50,35,25,2.000
values_24,50,35,20,2.500
values_296,50,35,20,2.500
values_244,50,35,1.000,
values_380,50,35,60,0.833
values_25,50,35,40,1.250
values_740,50,35,20,2.500
values_478,50,35,45,1.111
values_379,50,35,20,2.500
values_810,50,35,1.429,
values_440,50,35,30,1.667
values_543,50,35,15,3.333
values_130,50,35,45,1.111
values_225,50,35,60,0.833
values_285,50,35,1.000,
values_363,50,35,30,1.667
values_667,50,35,20,2.500
values_26,50,35,20,2.500
values_793,50,35,25,2.000
values_772,50,35,20,2.500
values_931,50,35,1.000,
values_981,50,35,1.429,
values_422,50,35,55,0.909
values_920,50,35,15,3.333
values_259,50,35,15,3.333
values_477,50,35,25,2.000
values_738,50,35,25,2.000
values_430,50,35,20,2.500
values_922,50,35,40,1.250
values_903,50,35,55,0.909
values_761,50,35,1.000,
values_204,50,35,55,0.909
values_48,50,35,15,3.333
values_71,50,35,20,2.500
values_851,50,35,25,2.000
values_347,50,35,45,1.111
values_725,50,35,25,2.000
values_266,50,35,1.000,
values_448,50,35,1.429,
values_934,50,35,1.429,
values_531,50,35,30,1.667
values_224,50,35,1.429,
values_686,50,35,40,1.250
values_927,50,35,60,0.833
values_407,50,35,55,0.909
values_76,50,35,1.429,
values_949,50,35,55,0.909
values_969,50,35,20,2.500
values_781,50,35,1.000,
values_7,50,35,20,2.500
values_683,50,35,40,1.250
values_376,50,35,40,1.250
values_877,50,35,45,1.111
values_654,50,35,1.000,
values_508,50,35,20,2.500
values_332,50,35,40,1.250
values_281,50,35,40,1.250
values_381,50,35,15,3.333
values_769,50,35,45,1.111
values_701,50,35,30,1.667
values_855,50,35,15,3.333
values_320,50,35,30,1.667
values_50,50,35,60,0.833
values_918,50,35,15,3.333
values_615,50,35,1.000,
values_704,50,35,60,0.833
values_633,50,35,15,3.333
values_847,50,35,1.000,
values_602,50,35,60,0.833
values_399,50,35,1.000,
values_22,50,35,20,2.500
values_313,50,35,45,1.111
values_375,50,35,15,3.333
values_963,50,35,1.000,
values_168,50,35,40,1.250
values_226,50,35,15,3.333
values_190,50,35,1.000,
values_429,50,35,40,1.250
values_236,50,35,1.429,
values_777,50,35,30,1.667
values_909,50,35,60,0.833
values_438,50,35,60,0.833
values_607,50,35,25,2.000
values_717,50,35,20,2.500
values_782,50,35,55,0.909
values_258,50,35,40,1.250
values_872,50,35,30,1.667
values_637,50,35,1.000,
values_746,50,35,45,1.111
values_4,50,35,55,0.909
values_345,50,35,20,2.500
values_102,50,35,1.000,
values_962,50,35,1.429,
values_356,50,35,45,1.111
values_853,50,35,25,2.000
values_849,50,35,1.429,
values_814,50,35,15,3.333
values_370,50,35,60,0.833
values_778,50,35,15,3.333
values_458,50,35,20,2.500
values_818,50,35,45,1.111
values_119,50,35,25,2.000
values_373,50,35,60,0.833
values_351,50,35,20,2.500
values_32,50,35,15,3.333
values_770,50,35,1.429,
values_371,50,35,40,1.250
values_283,50,35,25,2.000
values_535,50,35,55,0.909
values_250,50,35,40,1.250
values_132,50,35,30,1.667
values_649,50,35,30,1.667
values_77,50,35,15,3.333
values_260,50,35,40,1.250
values_891,50,35,60,0.833
values_91,50,35,15,3.333
values_137,50,35,60,0.833
values_42,50,35,40,1.250
values_13,50,35,40,1.250
values_577,50,35,55,0.909
values_41,50,35,55,0.909
values_809,50,35,55,0.909
values_414,50,35,15,3.333
values_360,50,35,1.429,
values_386,50,35,55,0.909
values_158,50,35,55,0.909
values_904,50,35,45,1.111
values_480,50,35,30,1.667
values_647,50,35,25,2.000
values_104,50,35,60,0.833
values_55,50,35,25,2.000
values_491,50,35,30,1.667
values_391,50,35,40,1.250
values_972,50,35,20,2.500
values_571,50,35,20,2.500
values_940,50,35,20,2.500
values_861,50,35,25,2.000
values_324,50,35,40,1.250
values_549,50,35,55,0.909
values_170,50,35,55,0.909
values_269,50,35,20,2.500
values_442,50,35,15,3.333
values_520,50,35,1.000,
values_455,50,35,30,1.667
values_31,50,35,1.429,
values_971,50,35,40,1.250
values_397,50,35,20,2.500
values_254,50,35,60,0.833
values_616,50,35,60,0.833
values_66,50,35,20,2.500
values_943,50,35,20,2.500
values_117,50,35,30,1.667
values_451,50,35,25,2.000
values_643,50,35,20,2.500
values_688,50,35,15,3.333
values_569,50,35,55,0.909
values_745,50,35,15,3.333
values_65,50,35,30,1.667
values_980,50,35,1.000,
values_982,50,35,60,0.833
values_62,50,35,30,1.667
values_789,50,35,20,2.500
values_401,50,35,25,2.000
values_21,50,35,45,1.111
values_598,50,35,60,0.833
values_273,50,35,1.429,
values_534,50,35,15,3.333
values_118,50,35,20,2.500
values_141,50,35,1.000,
values_366,50,35,45,1.111
values_222,50,35,25,2.000
values_876,50,35,30,1.667
values_700,50,35,55,0.909
values_95,50,35,25,2.000
values_806,50,35,15,3.333
values_671,50,35,40,1.250
values_816,50,35,60,0.833
values_630,50,35,1.000,
values_433,50,35,1.429,
values_905,50,35,60,0.833
values_84,50,35,45,1.111
values_233,50,35,1.000,
values_664,50,35,25,2.000
values_162,50,35,55,0.909
values_681,50,35,20,2.500
values_542,50,35,45,1.111
values_169,50,35,55,0.909
values_660,50,35,30,1.667
values_488,50,35,1.429,
values_894,50,35,60,0.833
values_828,50,35,20,2.500
values_537,50,35,20,2.500
values_845,50,35,45,1.111
values_584,50,35,1.000,
values_457,50,35,55,0.909
values_499,50,35,45,1.111
values_369,50,35,45,1.111
values_58,50,35,15,3.333
values_64,50,35,15,3.333
values_196,50,35,55,0.909
values_462,50,35,15,3.333
values_343,50,35,40,1.250
values_262,50,35,45,1.111
values_966,50,35,25,2.000
values_261,50,35,30,1.667
values_349,50,35,25,2.000
values_263,50,35,45,1.111
values_801,50,35,15,3.333
values_292,50,35,30,1.667
values_786,50,35,15,3.333
values_101,50,35,60,0.833
values_691,50,35,25,2.000
values_926,50,35,15,3.333
values_754,50,35,15,3.333
values_215,50,35,30,1.667
values_977,50,35,20,2.500
values_850,50,35,15,3.333
values_646,50,35,60,0.833
values_628,50,35,45,1.111
values_941,50,35,30,1.667
