id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,40,27,83,0.482
values_505,40,27,45,0.889
values_1006,40,27,75,0.533
values_924,40,27,79,0.506
values_862,40,27,87,0.460
values_287,40,27,77,0.519
values_733,40,27,85,0.471
values_813,40,27,63,0.635
values_11,40,27,65,0.615
values_19,40,27,87,0.460
values_999,40,27,67,0.597
values_134,40,27,63,0.635
values_609,40,27,55,0.727
values_993,40,27,83,0.482
values_731,40,27,55,0.727
values_127,40,27,79,0.506
values_889,40,27,83,0.482
values_987,40,27,65,0.615
values_780,40,27,91,0.440
values_435,40,27,81,0.494
values_950,40,27,63,0.635
values_976,40,27,69,0.580
values_557,40,27,53,0.755
values_398,40,27,29,1.379
values_892,40,27,45,0.889
values_670,40,27,53,0.755
values_574,40,27,89,0.449
values_163,40,27,55,0.727
values_900,40,27,91,0.440
values_392,40,27,57,0.702
values_447,40,27,77,0.519
values_523,40,27,71,0.563
values_679,40,27,101,0.396
values_419,40,27,87,0.460
values_895,40,27,89,0.449
values_298,40,27,39,1.026
values_155,40,27,75,0.533
values_12,40,27,91,0.440
values_160,40,27,79,0.506
values_626,40,27,103,0.388
values_38,40,27,53,0.755
values_146,40,27,97,0.412
values_81,40,27,41,0.976
values_687,40,27,83,0.482
values_213,40,27,57,0.702
values_212,40,27,75,0.533
values_568,40,27,55,0.727
values_5,40,27,93,0.430
values_40,40,27,83,0.482
values_970,40,27,89,0.449
values_707,40,27,65,0.615
values_406,40,27,49,0.816
values_893,40,27,245,0.163
values_144,40,27,73,0.548
values_979,40,27,89,0.449
values_831,40,27,73,0.548
values_402,40,27,79,0.506
values_404,40,27,75,0.533
values_310,40,27,45,0.889
values_70,40,27,65,0.615
values_268,40,27,85,0.471
values_1018,40,27,65,0.615
values_412,40,27,53,0.755
values_290,40,27,53,0.755
values_916,40,27,71,0.563
values_567,40,27,89,0.449
values_913,40,27,73,0.548
values_232,40,27,69,0.580
values_319,40,27,79,0.506
values_23,40,27,55,0.727
values_899,40,27,71,0.563
values_428,40,27,87,0.460
values_858,40,27,67,0.597
values_546,40,27,79,0.506
values_432,40,27,57,0.702
values_231,40,27,93,0.430
values_388,40,27,41,0.976
values_350,40,27,85,0.471
values_603,40,27,93,0.430
values_364,40,27,53,0.755
values_530,40,27,99,0.404
values_72,40,27,69,0.580
values_536,40,27,101,0.396
values_79,40,27,63,0.635
values_342,40,27,75,0.533
values_803,40,27,61,0.656
values_501,40,27,63,0.635
values_540,40,27,115,0.348
values_955,40,27,85,0.471
values_191,40,27,65,0.615
values_812,40,27,75,0.533
values_545,40,27,53,0.755
values_78,40,27,65,0.615
values_526,40,27,73,0.548
values_695,40,27,77,0.519
values_87,40,27,61,0.656
values_300,40,27,91,0.440
values_964,40,27,93,0.430
values_998,40,27,71,0.563
values_988,40,27,63,0.635
values_6,40,27,67,0.597
values_625,40,27,45,0.889
values_518,40,27,77,0.519
values_122,40,27,63,0.635
values_541,40,27,103,0.388
values_279,40,27,65,0.615
values_256,40,27,87,0.460
values_796,40,27,49,0.816
values_504,40,27,57,0.702
values_752,40,27,69,0.580
values_459,40,27,75,0.533
values_658,40,27,53,0.755
values_408,40,27,45,0.889
values_867,40,27,71,0.563
values_727,40,27,73,0.548
values_177,40,27,43,0.930
values_823,40,27,61,0.656
values_822,40,27,63,0.635
values_218,40,27,55,0.727
values_426,40,27,93,0.430
values_776,40,27,55,0.727
values_143,40,27,73,0.548
values_739,40,27,69,0.580
values_312,40,27,61,0.656
values_174,40,27,61,0.656
values_669,40,27,75,0.533
values_120,40,27,107,0.374
values_974,40,27,69,0.580
values_217,40,27,47,0.851
values_866,40,27,79,0.506
values_192,40,27,85,0.471
values_328,40,27,75,0.533
values_68,40,27,53,0.755
values_387,40,27,33,1.212
values_69,40,27,69,0.580
values_749,40,27,77,0.519
values_135,40,27,189,0.212
values_341,40,27,69,0.580
values_494,40,27,83,0.482
values_1,40,27,91,0.440
values_589,40,27,87,0.460
values_925,40,27,89,0.449
values_524,40,27,93,0.430
values_994,40,27,93,0.430
values_856,40,27,93,0.430
values_156,40,27,69,0.580
values_470,40,27,51,0.784
values_207,40,27,57,0.702
values_655,40,27,67,0.597
values_441,40,27,79,0.506
values_109,40,27,105,0.381
values_45,40,27,75,0.533
values_125,40,27,91,0.440
values_600,40,27,101,0.396
values_708,40,27,69,0.580
values_791,40,27,67,0.597
values_912,40,27,43,0.930
values_533,40,27,85,0.471
