id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,10448,4879,394,26.518
values_505,4488,1531,35,128.229
values_924,13434,6547,576,23.323
values_862,7140,2915,182,39.231
values_287,14801,7667,693,21.358
values_733,7744,3247,220,35.200
values_813,7216,2871,180,40.089
values_11,8829,3883,289,30.550
values_19,13118,6631,581,22.578
values_999,13885,6747,595,23.336
values_134,13765,6871,608,22.640
values_609,8665,3815,283,30.618
values_993,13788,6683,587,23.489
values_731,5905,2263,115,51.348
values_127,15488,7939,721,21.481
values_889,14432,7367,661,21.834
values_987,5368,1923,78,68.821
values_780,6838,2635,155,44.116
values_435,9944,4543,358,27.777
values_950,16104,8255,756,21.302
values_976,4312,1439,28,154.000
values_557,12971,6459,564,22.998
values_398,8117,3511,248,32.730
values_892,4224,1407,22,192.000
values_670,4680,1623,46,101.739
values_574,5142,1823,70,73.457
values_163,7309,2927,186,39.296
values_900,5720,2111,99,57.778
values_392,15400,7779,704,21.875
values_447,5117,1811,70,73.100
values_523,5368,1927,81,66.272
values_679,9504,4155,317,29.981
values_419,5963,2203,109,54.706
values_895,4445,1511,33,134.697
values_298,12672,6303,546,23.209
values_155,8360,3575,255,32.784
values_12,12790,6311,547,23.382
values_160,4774,1659,50,95.480
values_626,11812,5531,465,25.402
values_38,9036,3871,288,31.375
values_146,7586,3051,198,38.313
values_81,6373,2403,129,49.403
values_687,4400,1487,33,133.333
values_213,6399,2531,141,45.383
values_212,9512,4359,341,27.894
values_568,7408,2923,187,39.615
values_5,4027,1331,14,287.643
values_40,9788,4487,351,27.886
values_970,11474,5471,461,24.889
values_707,8409,3587,255,32.976
values_406,5039,1779,64,78.734
values_893,4646,1603,44,105.591
values_144,10086,4491,354,28.492
values_979,12159,5731,489,24.865
values_831,5632,2051,94,59.915
values_402,15428,7959,723,21.339
values_404,10351,4775,383,27.026
values_310,10502,4827,390,26.928
values_70,8487,3619,261,32.517
values_268,4027,1331,14,287.643
values_412,11648,5467,458,25.432
values_290,14344,7351,658,21.799
values_916,10253,4751,379,27.053
values_567,6612,2535,143,46.238
values_913,6287,2395,128,49.117
values_232,12169,5831,497,24.485
values_319,8491,3571,256,33.168
values_23,11968,5363,450,26.596
values_899,5771,2119,100,57.710
values_428,10736,4955,401,26.773
values_858,11704,5531,465,25.170
values_546,5016,1767,64,78.375
values_432,4136,1379,19,217.684
values_231,7152,2859,180,39.733
values_388,10446,4855,390,26.785
values_350,7586,2979,193,39.306
values_603,4975,1751,61,81.557
values_364,7480,3047,200,37.400
values_530,6543,2507,140,46.736
values_72,5407,1943,84,64.369
values_536,9504,4463,348,27.310
values_79,4194,1395,22,190.636
values_342,4685,1619,47,99.681
values_803,10893,5175,424,25.691
values_501,4543,1559,38,119.553
values_540,14349,7279,649,22.109
values_955,4488,1527,36,124.667
values_191,4945,1743,60,82.417
values_812,9443,4487,353,26.751
values_545,10248,4543,361,28.388
values_78,4136,1379,19,217.684
values_526,6980,2695,164,42.561
values_695,7128,2783,172,41.442
values_87,8986,3871,288,31.201
values_300,8557,3579,253,33.822
values_964,7604,3055,201,37.831
values_998,7495,3071,200,37.475
values_988,6476,2447,135,47.970
values_6,4616,1595,43,107.349
values_625,10502,4963,403,26.060
values_518,15235,7727,697,21.858
values_122,7973,3251,223,35.753
values_541,10210,4735,376,27.154
values_279,8404,3591,258,32.574
values_256,5206,1851,73,71.315
values_796,11616,5351,446,26.045
values_504,6373,2403,129,49.403
values_752,13614,6819,600,22.690
values_459,4680,1623,46,101.739
values_658,7128,2795,172,41.442
values_408,10513,4807,389,27.026
values_867,11528,5479,458,25.170
values_727,12127,5759,492,24.648
values_177,10766,4959,404,26.649
values_823,9504,4115,314,30.268
values_822,13567,6503,569,23.844
values_218,8567,3627,258,33.205
values_426,5290,1895,75,70.533
values_776,7183,2931,185,38.827
values_143,6550,2611,152,43.092
values_739,15467,7975,726,21.304
values_312,8272,3383,236,35.051
values_174,9201,3987,299,30.773
values_669,6390,2439,134,47.687
values_120,5720,2083,95,60.211
values_974,10573,4763,387,27.320
values_217,4774,1659,50,95.480
values_866,9975,4515,354,28.178
values_192,12452,5967,509,24.464
values_328,9751,4375,339,28.764
values_68,6336,2411,131,48.366
values_387,6813,2623,155,43.955
values_69,10668,4935,400,26.670
values_749,11595,5459,456,25.428
values_135,8393,3759,273,30.744
values_341,4576,1559,42,108.952
values_494,12447,5919,508,24.502
values_1,4420,1499,33,133.939
values_589,15632,8083,735,21.268
values_925,13400,6995,621,21.578
values_524,4582,1575,41,111.756
values_994,14195,7227,645,22.008
values_856,15623,8063,738,21.169
values_156,4752,1651,49,96.980
values_470,7190,2891,182,39.505
values_207,9905,4591,362,27.362
values_655,13156,6451,562,23.409
values_441,6568,2519,140,46.914
values_109,9152,4063,307,29.811
values_45,4641,1607,43,107.930
values_125,13732,6691,593,23.157
values_600,4906,1727,57,86.070
values_708,14872,7579,685,21.711
values_791,10971,5147,424,25.875
values_912,7920,3227,218,36.330
values_533,13828,6775,599,23.085
values_418,12058,5895,505,23.877
values_228,5808,2131,100,58.080
values_585,7216,2859,180,40.089
values_465,10510,4871,392,26.811
values_239,4897,1719,55,89.036
values_842,4936,1735,58,85.103
values_208,9128,3799,283,32.254
values_932,8946,3915,290,30.848
values_957,12810,6199,540,23.722
values_563,18880,9651,907,20.816
values_766,11598,5407,452,25.659
values_476,6668,2531,144,46.306
values_175,7128,2795,172,41.442
values_591,10472,4767,386,27.130
values_997,5280,1883,75,70.400
values_385,9944,4583,361,27.546
values_115,9349,4203,323,28.944
values_653,6258,2407,133,47.053
values_753,5107,1819,68,75.103
values_241,9696,4379,342,28.351
values_197,9857,4663,368,26.785
values_636,10169,4635,368,27.633
values_450,12238,5959,512,23.902
values_106,8469,3495,248,34.149
values_699,7988,3415,239,33.423
values_578,4258,1423,25,170.320
values_644,10824,4927,402,26.925
values_570,4317,1455,27,159.889
values_873,12234,5971,513,23.848
values_33,4813,1675,53,90.811
values_210,11374,5291,437,26.027
values_486,5836,2167,105,55.581
values_252,4027,1331,14,287.643
values_694,10472,4627,370,28.303
values_759,5107,1819,68,75.103
values_245,9868,4259,327,30.177
values_15,6847,2679,157,43.611
values_792,5950,2219,108,55.093
values_248,4136,1379,19,217.684
values_246,15400,7707,700,22.000
values_556,4984,1759,63,79.111
values_513,11976,5679,481,24.898
values_93,14318,7371,660,21.694
values_558,4136,1379,19,217.684
values_991,4459,1515,36,123.861
values_181,10799,5151,423,25.530
values_674,4621,1591,44,105.023
values_652,4258,1423,25,170.320
values_344,9990,4467,354,28.220
values_715,17076,8791,811,21.055
values_528,12506,6191,534,23.419
values_276,10278,4611,372,27.629
values_24,5104,1807,67,76.179
values_296,10982,5251,436,25.188
values_244,4488,1527,36,124.667
values_380,14478,7295,651,22.240
values_25,5720,2091,97,58.969
values_740,4671,1615,44,106.159
values_478,12918,6343,553,23.360
values_379,12616,6171,532,23.714
values_810,14318,6911,614,23.319
values_440,4808,1679,52,92.462
values_543,4381,1483,30,146.033
values_130,7051,2803,174,40.523
values_225,4488,1531,35,128.229
values_285,6223,2335,123,50.593
values_363,10472,4851,391,26.783
values_667,5196,1859,71,73.183
values_26,9100,3875,291,31.271
values_793,4459,1515,36,123.861
values_772,6195,2323,123,50.366
values_931,12787,6291,546,23.419
values_981,10178,4691,374,27.214
values_422,6130,2275,118,51.949
values_920,7146,2855,177,40.373
values_259,10120,4711,376,26.915
values_477,7049,2815,174,40.511
values_738,10296,4815,387,26.605
values_430,13464,6819,601,22.403
values_922,13065,6471,564,23.165
values_903,11998,5779,489,24.536
values_761,8536,3679,266,32.090
values_204,5476,1991,85,64.424
values_48,8316,3499,247,33.668
values_71,11491,5387,451,25.479
values_851,6336,2443,133,47.639
values_347,16373,8327,765,21.403
values_725,6424,2583,149,43.114
values_266,6479,2479,137,47.292
values_448,15840,8127,745,21.262
values_934,6925,2711,163,42.485
values_531,14707,7595,684,21.501
values_224,5860,2159,103,56.893
values_686,10218,4887,396,25.803
values_927,16368,8387,769,21.285
values_407,13445,6627,583,23.062
values_76,8316,3547,252,33.000
values_949,7145,2959,189,37.804
values_969,8802,3787,279,31.548
values_781,5555,2015,89,62.416
values_7,4096,1347,17,240.941
values_683,7568,3183,213,35.531
values_376,6579,2491,141,46.660
values_877,9984,4439,346,28.855
values_654,6512,2511,139,46.849
values_508,7629,3019,196,38.923
values_332,6731,2615,154,43.708
values_281,4027,1331,14,287.643
values_381,10091,4427,350,28.831
values_769,5412,1963,82,66.000
values_701,7571,3219,218,34.729
values_855,9035,4003,298,30.319
values_320,7483,3103,207,36.150
values_50,12673,6371,552,22.958
values_918,5251,1879,72,72.931
values_615,7792,3139,210,37.105
values_704,4027,1331,14,287.643
values_633,6309,2375,126,50.071
values_847,5720,2111,99,57.778
