inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 1241 
"," 32 
"," 765 
"," 151 
"," 2006 
"," 183 
"," 15076.49 
"," 1222094.60 
"," 0.01 
"," 81.06 
"," 67894.14 
"," 3.81 
"
values_505," 410 
"," 32 
"," 214 
"," 51 
"," 624 
"," 83 
"," 3978.02 
"," 267073.65 
"," 0.01 
"," 67.14 
"," 14837.43 
"," 1.38 
"
values_924," 670 
"," 32 
"," 385 
"," 127 
"," 1055 
"," 159 
"," 7715.09 
"," 374212.31 
"," 0.02 
"," 48.50 
"," 20789.57 
"," 1.73 
"
values_862," 917 
"," 32 
"," 550 
"," 144 
"," 1467 
"," 176 
"," 10942.99 
"," 668738.04 
"," 0.02 
"," 61.11 
"," 37152.11 
"," 2.55 
"
values_287," 1171 
"," 32 
"," 718 
"," 149 
"," 1889 
"," 181 
"," 14167.21 
"," 1092301.31 
"," 0.01 
"," 77.10 
"," 60683.41 
"," 3.54 
"
values_733," 425 
"," 32 
"," 225 
"," 59 
"," 650 
"," 91 
"," 4230.07 
"," 258105.75 
"," 0.02 
"," 61.02 
"," 14339.21 
"," 1.35 
"
values_813," 422 
"," 32 
"," 225 
"," 60 
"," 647 
"," 92 
"," 4220.74 
"," 253244.68 
"," 0.02 
"," 60 
"," 14069.15 
"," 1.33 
"
values_11," 424 
"," 32 
"," 225 
"," 62 
"," 649 
"," 94 
"," 4253.93 
"," 247002.28 
"," 0.02 
"," 58.06 
"," 13722.35 
"," 1.31 
"
values_19," 371 
"," 32 
"," 193 
"," 33 
"," 564 
"," 65 
"," 3396.62 
"," 317840.86 
"," 0.01 
"," 93.58 
"," 17657.83 
"," 1.55 
"
values_999," 751 
"," 32 
"," 445 
"," 134 
"," 1196 
"," 166 
"," 8820.55 
"," 468673.85 
"," 0.02 
"," 53.13 
"," 26037.44 
"," 2.01 
"
values_134," 525 
"," 32 
"," 289 
"," 103 
"," 814 
"," 135 
"," 5760.53 
"," 258608.55 
"," 0.02 
"," 44.89 
"," 14367.14 
"," 1.35 
"
values_609," 443 
"," 32 
"," 238 
"," 67 
"," 681 
"," 99 
"," 4514.59 
"," 256590.53 
"," 0.02 
"," 56.84 
"," 14255.03 
"," 1.35 
"
