id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,75539,56696,4099,18.429
values_505,3935,2845,346,11.373
values_924,55035,43016,3856,14.273
values_862,78443,60682,5909,13.275
values_287,57392,42992,3167,18.122
values_733,1582,1080,157,10.076
values_813,131961,104003,9012,14.643
values_11,258621,191734,18097,14.291
values_19,190119,150145,12898,14.740
values_999,996689,783789,72003,13.842
values_134,131951,103971,9024,14.622
values_609,418960,334903,27534,15.216
values_993,4092,2978,354,11.559
values_731,31453,24283,2367,13.288
values_127,412187,329176,27148,15.183
values_889,62677,46955,3447,18.183
values_987,2590875,1910714,185505,13.967
values_780,69664,52283,3791,18.376
values_435,3982,2888,346,11.509
values_950,1582,1080,157,10.076
values_976,62791,47047,3451,18.195
values_557,3912,2828,343,11.405
values_398,824830,614311,56652,14.560
values_892,17668,13522,1352,13.068
values_670,1295667,953033,93727,13.824
values_574,57677,43222,3177,18.155
values_163,258342,191465,18098,14.275
values_900,75938,57018,4113,18.463
values_392,77878,60215,5870,13.267
values_447,992143,780050,71675,13.842
values_523,1297014,954053,93824,13.824
values_679,58475,43866,3205,18.245
values_419,17358,13262,1333,13.022
values_895,55515,43424,3880,14.308
values_298,8445,6226,716,11.795
values_155,30041,23108,2273,13.216
values_12,69778,52375,3795,18.387
values_160,17128,13068,1320,12.976
values_626,54679,42728,3830,14.277
values_38,69550,52191,3787,18.365
values_146,55489,43392,3884,14.287
values_81,129350,101835,8853,14.611
values_687,57449,43038,3169,18.128
values_213,132664,104535,9082,14.607
values_212,63760,47829,3485,18.296
values_568,8339,6140,708,11.778
values_5,790235,580294,57347,13.780
values_40,1002613,788690,72401,13.848
values_970,996311,783506,71953,13.847
values_707,42488,31783,2381,17.845
values_406,17324,13231,1333,12.996
values_893,835083,622193,57333,14.565
values_144,1898704,1398768,136617,13.898
values_979,831672,619602,57089,14.568
values_831,43058,32243,2401,17.933
values_402,2611064,1926311,186820,13.976
values_404,1297201,954128,93861,13.820
values_310,738894,604209,43537,16.972
values_70,79070,61199,5953,13.282
values_268,130491,102779,8924,14.622
values_412,1907324,1405417,137185,13.903
values_290,743010,607708,43761,16.979
values_916,481281,357751,33319,14.445
values_567,8234,6051,703,11.713
values_913,75482,56650,4097,18.424
values_232,259675,192510,18174,14.288
values_319,2604045,1920982,186340,13.975
values_23,993854,781466,71788,13.844
values_899,482147,358412,33381,14.444
values_428,1289374,948173,93330,13.815
values_858,53783,41976,3780,14.228
values_546,52420,39264,2901,18.070
values_432,260047,192816,18184,14.301
values_231,410145,327836,26879,15.259
values_388,791220,581070,57399,13.785
values_350,31637,24443,2374,13.326
values_603,189200,149395,12835,14.741
values_364,17187,13117,1324,12.981
values_530,797891,586224,57872,13.787
values_72,1538,1043,155,9.923
values_536,413616,330449,27206,15.203
values_79,794171,583344,57636,13.779
values_342,69037,51777,3769,18.317
values_803,30627,23597,2311,13.253
values_501,817614,608736,56187,14.552
values_540,132016,104039,9020,14.636
values_955,52819,39586,2915,18.120
values_191,746678,610825,43960,16.985
values_812,478475,355603,33142,14.437
