id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,26742,21242,854,31.314
values_505,131497,105337,3919,33.554
values_924,289347,228553,8999,32.153
values_862,522708,421844,14846,35.209
values_287,863,675,39,22.128
values_733,863,675,39,22.128
values_813,17671,14125,559,31.612
values_11,522708,421844,14846,35.209
values_19,246262,195970,7462,33.002
values_999,246262,195970,7462,33.002
values_134,522708,421844,14846,35.209
values_609,522708,421844,14846,35.209
values_993,17671,14125,559,31.612
values_731,206719,165645,6111,33.827
values_127,55270,43936,1726,32.022
values_889,289347,228553,8999,32.153
values_987,131497,105337,3919,33.554
values_780,26742,21242,854,31.314
values_435,591937,474585,17247,34.321
values_950,26742,21242,854,31.314
values_976,104724,84428,3054,34.291
values_557,104724,84428,3054,34.291
values_398,17671,14125,559,31.612
values_892,104724,84428,3054,34.291
values_670,2518,1990,94,26.787
values_574,131497,105337,3919,33.554
values_163,2518,1990,94,26.787
values_900,170844,137786,4934,34.626
values_392,55270,43936,1726,32.022
values_447,77187,61805,2327,33.170
values_523,2518,1990,94,26.787
values_679,522708,421844,14846,35.209
values_419,77187,61805,2327,33.170
values_895,356102,283432,10734,33.175
values_298,26742,21242,854,31.314
values_155,131497,105337,3919,33.554
values_12,2518,1990,94,26.787
values_160,26742,21242,854,31.314
values_626,289347,228553,8999,32.153
values_38,77187,61805,2327,33.170
values_146,10262,8140,342,30.006
values_81,104724,84428,3054,34.291
values_687,289347,228553,8999,32.153
values_213,522708,421844,14846,35.209
values_212,77187,61805,2327,33.170
values_568,38195,30129,1239,30.827
values_5,246262,195970,7462,33.002
values_40,522708,421844,14846,35.209
values_970,38195,30129,1239,30.827
values_707,246262,195970,7462,33.002
values_406,289347,228553,8999,32.153
values_893,5355,4213,191,28.037
values_144,246262,195970,7462,33.002
values_979,356102,283432,10734,33.175
values_831,131497,105337,3919,33.554
values_402,5355,4213,191,28.037
values_404,131497,105337,3919,33.554
values_310,2518,1990,94,26.787
values_70,5355,4213,191,28.037
values_268,863,675,39,22.128
values_412,38195,30129,1239,30.827
values_290,206719,165645,6111,33.827
values_916,522708,421844,14846,35.209
values_567,131497,105337,3919,33.554
values_913,246262,195970,7462,33.002
values_232,246262,195970,7462,33.002
values_319,10262,8140,342,30.006
values_23,17671,14125,559,31.612
values_899,104724,84428,3054,34.291
values_428,77187,61805,2327,33.170
values_858,246262,195970,7462,33.002
values_546,10262,8140,342,30.006
values_432,131497,105337,3919,33.554
values_231,522708,421844,14846,35.209
values_388,38195,30129,1239,30.827
values_350,17671,14125,559,31.612
values_603,246262,195970,7462,33.002
values_364,77187,61805,2327,33.170
values_530,522708,421844,14846,35.209
values_72,522708,421844,14846,35.209
values_536,17671,14125,559,31.612
values_79,2518,1990,94,26.787
values_342,10262,8140,342,30.006
values_803,591937,474585,17247,34.321
values_501,522708,421844,14846,35.209
values_540,246262,195970,7462,33.002
values_955,17671,14125,559,31.612
values_191,38195,30129,1239,30.827
values_812,170844,137786,4934,34.626
values_545,77187,61805,2327,33.170
values_78,38195,30129,1239,30.827
values_526,5355,4213,191,28.037
values_695,26742,21242,854,31.314
values_87,591937,474585,17247,34.321
values_300,289347,228553,8999,32.153
values_964,289347,228553,8999,32.153
values_998,289347,228553,8999,32.153
values_988,5355,4213,191,28.037
values_6,17671,14125,559,31.612
values_625,38195,30129,1239,30.827
values_518,289347,228553,8999,32.153
values_122,170844,137786,4934,34.626
values_541,2518,1990,94,26.787
values_279,289347,228553,8999,32.153
values_256,55270,43936,1726,32.022
values_796,170844,137786,4934,34.626
values_504,10262,8140,342,30.006
values_752,131497,105337,3919,33.554
values_459,246262,195970,7462,33.002
values_658,356102,283432,10734,33.175
values_408,5355,4213,191,28.037
values_867,104724,84428,3054,34.291
values_727,206719,165645,6111,33.827
values_177,26742,21242,854,31.314
values_823,26742,21242,854,31.314
values_822,26742,21242,854,31.314
values_218,17671,14125,559,31.612
values_426,206719,165645,6111,33.827
values_776,863,675,39,22.128
values_143,104724,84428,3054,34.291
values_739,356102,283432,10734,33.175
values_312,863,675,39,22.128
values_174,356102,283432,10734,33.175
values_669,522708,421844,14846,35.209
values_120,10262,8140,342,30.006
values_974,17671,14125,559,31.612
values_217,77187,61805,2327,33.170
values_866,17671,14125,559,31.612
values_192,38195,30129,1239,30.827
values_328,170844,137786,4934,34.626
values_68,104724,84428,3054,34.291
values_387,131497,105337,3919,33.554
values_69,104724,84428,3054,34.291
values_749,522708,421844,14846,35.209
values_135,131497,105337,3919,33.554
values_341,591937,474585,17247,34.321
values_494,104724,84428,3054,34.291
values_1,170844,137786,4934,34.626
values_589,246262,195970,7462,33.002
values_925,17671,14125,559,31.612
values_524,104724,84428,3054,34.291
values_994,206719,165645,6111,33.827
values_856,246262,195970,7462,33.002
values_156,433531,347533,12679,34.193
values_470,131497,105337,3919,33.554
values_207,104724,84428,3054,34.291
values_655,104724,84428,3054,34.291
values_441,131497,105337,3919,33.554
values_109,17671,14125,559,31.612
values_45,246262,195970,7462,33.002
values_125,17671,14125,559,31.612
values_600,10262,8140,342,30.006
values_708,104724,84428,3054,34.291
values_791,10262,8140,342,30.006
values_912,433531,347533,12679,34.193
values_533,5355,4213,191,28.037
values_418,77187,61805,2327,33.170
values_228,5355,4213,191,28.037
values_585,55270,43936,1726,32.022
values_465,206719,165645,6111,33.827
values_239,104724,84428,3054,34.291
values_842,77187,61805,2327,33.170
values_208,591937,474585,17247,34.321
values_932,104724,84428,3054,34.291
values_957,246262,195970,7462,33.002
values_563,38195,30129,1239,30.827
values_766,246262,195970,7462,33.002
values_476,17671,14125,559,31.612
values_175,356102,283432,10734,33.175
values_591,38195,30129,1239,30.827
values_997,522708,421844,14846,35.209
values_385,289347,228553,8999,32.153
values_115,246262,195970,7462,33.002
values_653,863,675,39,22.128
values_753,38195,30129,1239,30.827
values_241,356102,283432,10734,33.175
values_197,591937,474585,17247,34.321
values_636,289347,228553,8999,32.153
values_450,10262,8140,342,30.006
values_106,131497,105337,3919,33.554
values_699,77187,61805,2327,33.170
values_578,26742,21242,854,31.314
values_644,77187,61805,2327,33.170
values_570,104724,84428,3054,34.291
values_873,356102,283432,10734,33.175
values_33,55270,43936,1726,32.022
values_210,104724,84428,3054,34.291
values_486,522708,421844,14846,35.209
values_252,206719,165645,6111,33.827
values_694,356102,283432,10734,33.175
values_759,522708,421844,14846,35.209
values_245,104724,84428,3054,34.291
values_15,77187,61805,2327,33.170
values_792,433531,347533,12679,34.193
values_248,131497,105337,3919,33.554
values_246,26742,21242,854,31.314
values_556,104724,84428,3054,34.291
values_513,2518,1990,94,26.787
values_93,2518,1990,94,26.787
values_558,289347,228553,8999,32.153
values_991,26742,21242,854,31.314
values_181,591937,474585,17247,34.321
values_674,289347,228553,8999,32.153
values_652,131497,105337,3919,33.554
values_344,356102,283432,10734,33.175
values_715,863,675,39,22.128
values_528,170844,137786,4934,34.626
values_276,5355,4213,191,28.037
values_24,55270,43936,1726,32.022
values_296,38195,30129,1239,30.827
values_244,246262,195970,7462,33.002
values_380,2518,1990,94,26.787
values_25,26742,21242,854,31.314
values_740,522708,421844,14846,35.209
values_478,26742,21242,854,31.314
values_379,131497,105337,3919,33.554
values_810,77187,61805,2327,33.170
values_440,104724,84428,3054,34.291
values_543,26742,21242,854,31.314
values_130,10262,8140,342,30.006
values_225,289347,228553,8999,32.153
values_285,131497,105337,3919,33.554
values_363,10262,8140,342,30.006
values_667,55270,43936,1726,32.022
values_26,522708,421844,14846,35.209
values_793,10262,8140,342,30.006
values_772,77187,61805,2327,33.170
values_931,55270,43936,1726,32.022
values_981,246262,195970,7462,33.002
values_422,131497,105337,3919,33.554
values_920,10262,8140,342,30.006
values_259,38195,30129,1239,30.827
values_477,289347,228553,8999,32.153
values_738,77187,61805,2327,33.170
values_430,55270,43936,1726,32.022
values_922,289347,228553,8999,32.153
values_903,2518,1990,94,26.787
values_761,38195,30129,1239,30.827
values_204,10262,8140,342,30.006
values_48,10262,8140,342,30.006
values_71,77187,61805,2327,33.170
values_851,38195,30129,1239,30.827
values_347,10262,8140,342,30.006
values_725,863,675,39,22.128
values_266,17671,14125,559,31.612
values_448,170844,137786,4934,34.626
values_934,289347,228553,8999,32.153
values_531,591937,474585,17247,34.321
values_224,246262,195970,7462,33.002
values_686,206719,165645,6111,33.827
values_927,170844,137786,4934,34.626
values_407,10262,8140,342,30.006
values_76,170844,137786,4934,34.626
values_949,246262,195970,7462,33.002
values_969,10262,8140,342,30.006
values_781,55270,43936,1726,32.022
values_7,522708,421844,14846,35.209
values_683,77187,61805,2327,33.170
values_376,356102,283432,10734,33.175
values_877,433531,347533,12679,34.193
values_654,591937,474585,17247,34.321
values_508,246262,195970,7462,33.002
values_332,356102,283432,10734,33.175
values_281,206719,165645,6111,33.827
values_381,38195,30129,1239,30.827
values_769,289347,228553,8999,32.153
values_701,104724,84428,3054,34.291
values_855,10262,8140,342,30.006
values_320,522708,421844,14846,35.209
values_50,170844,137786,4934,34.626
values_918,356102,283432,10734,33.175
values_615,522708,421844,14846,35.209
values_704,289347,228553,8999,32.153
values_633,38195,30129,1239,30.827
values_847,77187,61805,2327,33.170
values_602,104724,84428,3054,34.291
values_399,170844,137786,4934,34.626
values_22,170844,137786,4934,34.626
values_313,206719,165645,6111,33.827
values_375,356102,283432,10734,33.175
values_963,10262,8140,342,30.006
values_168,433531,347533,12679,34.193
values_226,591937,474585,17247,34.321
values_190,863,675,39,22.128
values_429,10262,8140,342,30.006
values_236,77187,61805,2327,33.170
values_777,10262,8140,342,30.006
values_909,2518,1990,94,26.787
values_438,10262,8140,342,30.006
values_607,5355,4213,191,28.037
values_717,77187,61805,2327,33.170
values_782,522708,421844,14846,35.209
values_258,356102,283432,10734,33.175
values_872,10262,8140,342,30.006
values_637,170844,137786,4934,34.626
values_746,433531,347533,12679,34.193
values_4,10262,8140,342,30.006
values_345,104724,84428,3054,34.291
values_102,10262,8140,342,30.006
values_962,17671,14125,559,31.612
values_356,206719,165645,6111,33.827
values_853,206719,165645,6111,33.827
values_849,38195,30129,1239,30.827
values_814,77187,61805,2327,33.170
values_370,17671,14125,559,31.612
values_778,104724,84428,3054,34.291
values_458,5355,4213,191,28.037
values_818,17671,14125,559,31.612
values_119,55270,43936,1726,32.022
values_373,104724,84428,3054,34.291
values_351,17671,14125,559,31.612
values_32,206719,165645,6111,33.827
values_770,433531,347533,12679,34.193
values_371,77187,61805,2327,33.170
values_283,38195,30129,1239,30.827
values_535,2518,1990,94,26.787
values_250,591937,474585,17247,34.321
values_132,104724,84428,3054,34.291
values_649,38195,30129,1239,30.827
values_77,433531,347533,12679,34.193
values_260,17671,14125,559,31.612
values_891,131497,105337,3919,33.554
values_91,17671,14125,559,31.612
values_137,863,675,39,22.128
values_42,289347,228553,8999,32.153
values_13,10262,8140,342,30.006
values_577,131497,105337,3919,33.554
values_41,38195,30129,1239,30.827
values_809,522708,421844,14846,35.209
values_414,26742,21242,854,31.314
values_360,2518,1990,94,26.787
values_386,131497,105337,3919,33.554
values_158,522708,421844,14846,35.209
values_904,522708,421844,14846,35.209
values_480,38195,30129,1239,30.827
values_647,289347,228553,8999,32.153
values_104,246262,195970,7462,33.002
values_55,38195,30129,1239,30.827
values_491,522708,421844,14846,35.209
values_391,17671,14125,559,31.612
values_972,17671,14125,559,31.612
values_571,591937,474585,17247,34.321
values_940,38195,30129,1239,30.827
values_861,289347,228553,8999,32.153
values_324,131497,105337,3919,33.554
values_549,591937,474585,17247,34.321
values_170,591937,474585,17247,34.321
values_269,356102,283432,10734,33.175
values_442,591937,474585,17247,34.321
values_520,289347,228553,8999,32.153
values_455,17671,14125,559,31.612
values_31,77187,61805,2327,33.170
values_971,26742,21242,854,31.314
values_397,356102,283432,10734,33.175
values_254,289347,228553,8999,32.153
values_616,246262,195970,7462,33.002
values_66,26742,21242,854,31.314
values_943,206719,165645,6111,33.827
values_117,522708,421844,14846,35.209
values_451,131497,105337,3919,33.554
values_643,55270,43936,1726,32.022
values_688,170844,137786,4934,34.626
values_569,206719,165645,6111,33.827
values_745,2518,1990,94,26.787
values_65,170844,137786,4934,34.626
values_980,17671,14125,559,31.612
values_982,289347,228553,8999,32.153
values_62,591937,474585,17247,34.321
values_789,2518,1990,94,26.787
values_401,522708,421844,14846,35.209
values_21,591937,474585,17247,34.321
values_598,2518,1990,94,26.787
values_273,26742,21242,854,31.314
values_534,170844,137786,4934,34.626
values_118,77187,61805,2327,33.170
values_141,170844,137786,4934,34.626
values_366,77187,61805,2327,33.170
values_222,38195,30129,1239,30.827
values_876,38195,30129,1239,30.827
values_700,10262,8140,342,30.006
values_95,17671,14125,559,31.612
values_806,170844,137786,4934,34.626
values_671,77187,61805,2327,33.170
values_816,591937,474585,17247,34.321
values_630,246262,195970,7462,33.002
values_433,246262,195970,7462,33.002
values_905,206719,165645,6111,33.827
values_84,522708,421844,14846,35.209
values_233,591937,474585,17247,34.321
values_664,433531,347533,12679,34.193
values_162,104724,84428,3054,34.291
values_681,10262,8140,342,30.006
values_542,246262,195970,7462,33.002
values_169,356102,283432,10734,33.175
values_660,17671,14125,559,31.612
values_488,433531,347533,12679,34.193
values_894,289347,228553,8999,32.153
values_828,26742,21242,854,31.314
values_537,38195,30129,1239,30.827
values_845,170844,137786,4934,34.626
values_584,17671,14125,559,31.612
values_457,2518,1990,94,26.787
values_499,356102,283432,10734,33.175
values_369,356102,283432,10734,33.175
values_58,170844,137786,4934,34.626
values_64,77187,61805,2327,33.170
values_196,17671,14125,559,31.612
values_462,2518,1990,94,26.787
values_343,246262,195970,7462,33.002
values_262,131497,105337,3919,33.554
values_966,206719,165645,6111,33.827
values_261,55270,43936,1726,32.022
values_349,26742,21242,854,31.314
values_263,77187,61805,2327,33.170
values_801,2518,1990,94,26.787
values_292,10262,8140,342,30.006
values_786,55270,43936,1726,32.022
values_101,289347,228553,8999,32.153
values_691,131497,105337,3919,33.554
values_926,38195,30129,1239,30.827
values_754,131497,105337,3919,33.554
values_215,10262,8140,342,30.006
values_977,289347,228553,8999,32.153
values_850,5355,4213,191,28.037
values_646,289347,228553,8999,32.153
values_628,246262,195970,7462,33.002
values_941,591937,474585,17247,34.321
values_353,10262,8140,342,30.006
values_690,10262,8140,342,30.006
values_961,131497,105337,3919,33.554
values_331,863,675,39,22.128
values_377,863,675,39,22.128
values_128,26742,21242,854,31.314
values_336,289347,228553,8999,32.153
values_632,77187,61805,2327,33.170
values_166,131497,105337,3919,33.554
values_744,206719,165645,6111,33.827
values_837,289347,228553,8999,32.153
values_807,206719,165645,6111,33.827
values_838,104724,84428,3054,34.291
values_723,17671,14125,559,31.612
values_874,863,675,39,22.128
values_627,289347,228553,8999,32.153
values_555,433531,347533,12679,34.193
values_446,289347,228553,8999,32.153
values_716,10262,8140,342,30.006
values_240,38195,30129,1239,30.827
values_140,26742,21242,854,31.314
values_317,17671,14125,559,31.612
values_83,2518,1990,94,26.787
values_696,2518,1990,94,26.787
values_413,5355,4213,191,28.037
values_94,433531,347533,12679,34.193
values_937,17671,14125,559,31.612
values_199,170844,137786,4934,34.626
values_596,433531,347533,12679,34.193
values_0,2518,1990,94,26.787
values_953,38195,30129,1239,30.827
values_906,356102,283432,10734,33.175
values_742,289347,228553,8999,32.153
values_396,104724,84428,3054,34.291
values_159,206719,165645,6111,33.827
values_238,863,675,39,22.128
values_136,2518,1990,94,26.787
values_915,2518,1990,94,26.787
values_99,38195,30129,1239,30.827
values_771,170844,137786,4934,34.626
values_96,26742,21242,854,31.314
values_768,170844,137786,4934,34.626
values_67,591937,474585,17247,34.321
values_565,170844,137786,4934,34.626
values_848,206719,165645,6111,33.827
values_114,289347,228553,8999,32.153
values_61,5355,4213,191,28.037
values_511,17671,14125,559,31.612
values_729,522708,421844,14846,35.209
values_460,77187,61805,2327,33.170
values_832,55270,43936,1726,32.022
values_348,5355,4213,191,28.037
values_182,77187,61805,2327,33.170
values_986,863,675,39,22.128
values_180,863,675,39,22.128
values_930,104724,84428,3054,34.291
values_274,10262,8140,342,30.006
