inputName,text,data,bss
values_242,928,28,0
values_505,928,28,0
values_924,928,28,0
values_862,928,28,0
values_287,928,28,0
values_733,928,28,0
values_813,928,28,0
values_11,928,28,0
values_19,928,28,0
values_999,928,28,0
values_134,928,28,0
values_609,928,28,0
values_993,928,28,0
values_731,928,28,0
values_127,928,28,0
values_889,928,28,0
values_987,928,28,0
values_780,928,28,0
values_435,928,28,0
values_950,928,28,0
values_976,928,28,0
values_557,928,28,0
values_398,928,28,0
values_892,928,28,0
values_670,928,28,0
values_574,928,28,0
values_163,928,28,0
values_900,928,28,0
values_392,928,28,0
values_447,928,28,0
values_523,928,28,0
values_679,928,28,0
values_419,928,28,0
values_895,928,28,0
values_298,928,28,0
values_155,928,28,0
values_12,928,28,0
values_160,928,28,0
values_626,928,28,0
values_38,928,28,0
values_146,928,28,0
values_81,928,28,0
values_687,928,28,0
values_213,928,28,0
values_212,928,28,0
values_568,928,28,0
values_5,928,28,0
values_40,928,28,0
values_970,928,28,0
values_707,928,28,0
values_406,928,28,0
values_893,928,28,0
values_144,928,28,0
values_979,928,28,0
values_831,928,28,0
values_402,928,28,0
values_404,928,28,0
values_310,928,28,0
values_70,928,28,0
values_268,928,28,0
values_412,928,28,0
values_290,928,28,0
values_916,928,28,0
values_567,928,28,0
values_913,928,28,0
values_232,928,28,0
values_319,928,28,0
values_23,928,28,0
values_899,928,28,0
values_428,928,28,0
values_858,928,28,0
values_546,928,28,0
values_432,928,28,0
values_231,928,28,0
values_388,928,28,0
values_350,928,28,0
values_603,928,28,0
values_364,928,28,0
values_530,928,28,0
values_72,928,28,0
values_536,928,28,0
values_79,928,28,0
values_342,928,28,0
values_803,928,28,0
values_501,928,28,0
values_540,928,28,0
values_955,928,28,0
values_191,928,28,0
values_812,928,28,0
values_545,928,28,0
values_78,928,28,0
values_526,928,28,0
values_695,928,28,0
values_87,928,28,0
values_300,928,28,0
values_964,928,28,0
values_998,928,28,0
values_988,928,28,0
values_6,928,28,0
values_625,928,28,0
values_518,928,28,0
values_122,928,28,0
values_541,928,28,0
values_279,928,28,0
values_256,928,28,0
values_796,928,28,0
values_504,928,28,0
values_752,928,28,0
values_459,928,28,0
values_658,928,28,0
values_408,928,28,0
values_867,928,28,0
values_727,928,28,0
values_177,928,28,0
values_823,928,28,0
values_822,928,28,0
values_218,928,28,0
values_426,928,28,0
values_776,928,28,0
values_143,928,28,0
values_739,928,28,0
values_312,928,28,0
values_174,928,28,0
values_669,928,28,0
values_120,928,28,0
values_974,928,28,0
values_217,928,28,0
values_866,928,28,0
values_192,928,28,0
values_328,928,28,0
values_68,928,28,0
values_387,928,28,0
values_69,928,28,0
values_749,928,28,0
values_135,928,28,0
values_341,928,28,0
values_494,928,28,0
values_1,928,28,0
values_589,928,28,0
values_925,928,28,0
values_524,928,28,0
values_994,928,28,0
values_856,928,28,0
values_156,928,28,0
values_470,928,28,0
values_207,928,28,0
values_655,928,28,0
values_441,928,28,0
values_109,928,28,0
values_45,928,28,0
values_125,928,28,0
values_600,928,28,0
values_708,928,28,0
values_791,928,28,0
values_912,928,28,0
values_533,928,28,0
values_418,928,28,0
values_228,928,28,0
values_585,928,28,0
values_465,928,28,0
values_239,928,28,0
values_842,928,28,0
values_208,928,28,0
values_932,928,28,0
values_957,928,28,0
values_563,928,28,0
values_766,928,28,0
values_476,928,28,0
values_175,928,28,0
values_591,928,28,0
values_997,928,28,0
values_385,928,28,0
values_115,928,28,0
values_653,928,28,0
values_753,928,28,0
values_241,928,28,0
values_197,928,28,0
values_636,928,28,0
values_450,928,28,0
values_106,928,28,0
values_699,928,28,0
values_578,928,28,0
values_644,928,28,0
values_570,928,28,0
values_873,928,28,0
values_33,928,28,0
values_210,928,28,0
values_486,928,28,0
values_252,928,28,0
values_694,928,28,0
values_759,928,28,0
values_245,928,28,0
values_15,928,28,0
values_792,928,28,0
values_248,928,28,0
values_246,928,28,0
values_556,928,28,0
values_513,928,28,0
values_93,928,28,0
values_558,928,28,0
values_991,928,28,0
values_181,928,28,0
values_674,928,28,0
values_652,928,28,0
values_344,928,28,0
values_715,928,28,0
values_528,928,28,0
values_276,928,28,0
values_24,928,28,0
values_296,928,28,0
values_244,928,28,0
values_380,928,28,0
values_25,928,28,0
values_740,928,28,0
values_478,928,28,0
values_379,928,28,0
values_810,928,28,0
values_440,928,28,0
values_543,928,28,0
values_130,928,28,0
values_225,928,28,0
values_285,928,28,0
values_363,928,28,0
values_667,928,28,0
values_26,928,28,0
values_793,928,28,0
values_772,928,28,0
values_931,928,28,0
values_981,928,28,0
values_422,928,28,0
values_920,928,28,0
values_259,928,28,0
values_477,928,28,0
values_738,928,28,0
values_430,928,28,0
values_922,928,28,0
values_903,928,28,0
values_761,928,28,0
values_204,928,28,0
values_48,928,28,0
values_71,928,28,0
values_851,928,28,0
values_347,928,28,0
values_725,928,28,0
values_266,928,28,0
values_448,928,28,0
values_934,928,28,0
values_531,928,28,0
values_224,928,28,0
values_686,928,28,0
values_927,928,28,0
values_407,928,28,0
values_76,928,28,0
values_949,928,28,0
values_969,928,28,0
values_781,928,28,0
values_7,928,28,0
values_683,928,28,0
values_376,928,28,0
values_877,928,28,0
values_654,928,28,0
values_508,928,28,0
values_332,928,28,0
values_281,928,28,0
values_381,928,28,0
values_769,928,28,0
values_701,928,28,0
values_855,928,28,0
values_320,928,28,0
values_50,928,28,0
values_918,928,28,0
values_615,928,28,0
values_704,928,28,0
values_633,928,28,0
values_847,928,28,0
values_602,928,28,0
values_399,928,28,0
values_22,928,28,0
values_313,928,28,0
values_375,928,28,0
values_963,928,28,0
values_168,928,28,0
values_226,928,28,0
values_190,928,28,0
values_429,928,28,0
values_236,928,28,0
values_777,928,28,0
values_909,928,28,0
values_438,928,28,0
values_607,928,28,0
values_717,928,28,0
values_782,928,28,0
values_258,928,28,0
values_872,928,28,0
values_637,928,28,0
values_746,928,28,0
values_4,928,28,0
values_345,928,28,0
values_102,928,28,0
values_962,928,28,0
values_356,928,28,0
values_853,928,28,0
values_849,928,28,0
values_814,928,28,0
values_370,928,28,0
values_778,928,28,0
values_458,928,28,0
values_818,928,28,0
values_119,928,28,0
values_373,928,28,0
values_351,928,28,0
values_32,928,28,0
values_770,928,28,0
values_371,928,28,0
