inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 176 
"," 26 
"," 68 
"," 29 
"," 244 
"," 55 
"," 1410.65 
"," 43000.56 
"," 0.03 
"," 30.48 
"," 2388.92 
"," 0.41 
"
values_505," 163 
"," 26 
"," 63 
"," 27 
"," 226 
"," 53 
"," 1294.51 
"," 39266.80 
"," 0.03 
"," 30.33 
"," 2181.49 
"," 0.39 
"
values_924," 157 
"," 26 
"," 59 
"," 24 
"," 216 
"," 50 
"," 1219.07 
"," 38959.54 
"," 0.03 
"," 31.96 
"," 2164.42 
"," 0.38 
"
values_862," 160 
"," 26 
"," 60 
"," 25 
"," 220 
"," 51 
"," 1247.93 
"," 38935.53 
"," 0.03 
"," 31.20 
"," 2163.08 
"," 0.38 
"
values_287," 161 
"," 26 
"," 60 
"," 24 
"," 221 
"," 50 
"," 1247.29 
"," 40537.00 
"," 0.03 
"," 32.50 
"," 2252.06 
"," 0.39 
"
values_733," 149 
"," 26 
"," 53 
"," 18 
"," 202 
"," 44 
"," 1102.81 
"," 42212.93 
"," 0.03 
"," 38.28 
"," 2345.16 
"," 0.40 
"
values_813," 185 
"," 26 
"," 78 
"," 39 
"," 263 
"," 65 
"," 1583.88 
"," 41180.95 
"," 0.04 
"," 26 
"," 2287.83 
"," 0.40 
"
values_11," 184 
"," 26 
"," 76 
"," 39 
"," 260 
"," 65 
"," 1565.82 
"," 39667.33 
"," 0.04 
"," 25.33 
"," 2203.74 
"," 0.39 
"
values_19," 149 
"," 26 
"," 52 
"," 17 
"," 201 
"," 43 
"," 1090.68 
"," 43370.54 
"," 0.03 
"," 39.76 
"," 2409.47 
"," 0.41 
"
values_999," 168 
"," 26 
"," 65 
"," 28 
"," 233 
"," 54 
"," 1340.89 
"," 40466.11 
"," 0.03 
"," 30.18 
"," 2248.12 
"," 0.39 
"
values_134," 167 
"," 26 
"," 68 
"," 31 
"," 235 
"," 57 
"," 1370.73 
"," 39087.89 
"," 0.04 
"," 28.52 
"," 2171.55 
"," 0.38 
"
