inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 187 
"," 34 
"," 76 
"," 31 
"," 263 
"," 65 
"," 1583.88 
"," 66012.14 
"," 0.02 
"," 41.68 
"," 3667.34 
"," 0.54 
"
values_505," 182 
"," 34 
"," 72 
"," 28 
"," 254 
"," 62 
"," 1512.37 
"," 66111.99 
"," 0.02 
"," 43.71 
"," 3672.89 
"," 0.55 
"
values_1006," 214 
"," 34 
"," 94 
"," 42 
"," 308 
"," 76 
"," 1924.36 
"," 73217.38 
"," 0.03 
"," 38.05 
"," 4067.63 
"," 0.58 
"
values_924," 179 
"," 34 
"," 71 
"," 26 
"," 250 
"," 60 
"," 1476.72 
"," 68554.01 
"," 0.02 
"," 46.42 
"," 3808.56 
"," 0.56 
"
values_862," 191 
"," 34 
"," 79 
"," 34 
"," 270 
"," 68 
"," 1643.61 
"," 64922.79 
"," 0.03 
"," 39.50 
"," 3606.82 
"," 0.54 
"
values_287," 193 
"," 34 
"," 80 
"," 33 
"," 273 
"," 67 
"," 1656.04 
"," 68249.02 
"," 0.02 
"," 41.21 
"," 3791.61 
"," 0.56 
"
values_733," 207 
"," 34 
"," 91 
"," 45 
"," 298 
"," 79 
"," 1878.53 
"," 64579.57 
"," 0.03 
"," 34.38 
"," 3587.75 
"," 0.54 
"
values_813," 193 
"," 34 
"," 82 
"," 37 
"," 275 
"," 71 
"," 1691.18 
"," 63716.37 
"," 0.03 
"," 37.68 
"," 3539.80 
"," 0.53 
"
values_11," 196 
"," 34 
"," 81 
"," 36 
"," 277 
"," 70 
"," 1697.81 
"," 64941.29 
"," 0.03 
"," 38.25 
"," 3607.85 
"," 0.54 
"
values_19," 194 
"," 34 
"," 81 
"," 36 
"," 275 
"," 70 
"," 1685.55 
"," 64472.40 
"," 0.03 
"," 38.25 
"," 3581.80 
"," 0.54 
"
values_999," 214 
"," 34 
"," 94 
"," 46 
"," 308 
"," 80 
"," 1947.15 
"," 67642.43 
"," 0.03 
"," 34.74 
"," 3757.91 
"," 0.55 
"
values_134," 191 
"," 34 
"," 79 
"," 34 
"," 270 
"," 68 
"," 1643.61 
"," 64922.79 
"," 0.03 
"," 39.50 
"," 3606.82 
"," 0.54 
"
values_609," 187 
"," 34 
"," 77 
"," 32 
"," 264 
"," 66 
"," 1595.72 
"," 65274.92 
"," 0.02 
"," 40.91 
"," 3626.38 
"," 0.54 
"
values_993," 209 
"," 34 
"," 94 
"," 46 
"," 303 
"," 80 
"," 1915.54 
"," 66544.34 
"," 0.03 
"," 34.74 
"," 3696.91 
"," 0.55 
"
values_731," 212 
"," 34 
"," 91 
"," 44 
"," 303 
"," 78 
"," 1904.48 
"," 66959.68 
"," 0.03 
"," 35.16 
"," 3719.98 
"," 0.55 
"
values_127," 194 
"," 34 
"," 82 
"," 38 
"," 276 
"," 72 
"," 1702.90 
"," 62469.52 
"," 0.03 
"," 36.68 
"," 3470.53 
"," 0.52 
"
values_889," 191 
"," 34 
"," 79 
"," 35 
"," 270 
"," 69 
"," 1649.30 
"," 63286.06 
"," 0.03 
"," 38.37 
"," 3515.89 
"," 0.53 
"
values_987," 204 
"," 34 
"," 88 
"," 43 
"," 292 
"," 77 
"," 1829.90 
"," 63663.56 
"," 0.03 
"," 34.79 
"," 3536.86 
"," 0.53 
"
values_780," 177 
"," 34 
"," 69 
"," 25 
"," 246 
"," 59 
"," 1447.13 
"," 67899.35 
"," 0.02 
"," 46.92 
"," 3772.19 
"," 0.55 
"
values_435," 207 
"," 34 
"," 89 
"," 40 
"," 296 
"," 74 
"," 1838.00 
"," 69522.28 
"," 0.03 
"," 37.83 
"," 3862.35 
"," 0.56 
"
values_950," 207 
"," 34 
"," 87 
"," 40 
"," 294 
"," 74 
"," 1825.58 
"," 67500.79 
"," 0.03 
"," 36.97 
"," 3750.04 
"," 0.55 
"
values_976," 203 
"," 34 
"," 88 
"," 42 
"," 291 
"," 76 
"," 1818.15 
"," 64760.66 
"," 0.03 
"," 35.62 
"," 3597.81 
"," 0.54 
"
values_557," 180 
"," 34 
"," 72 
"," 28 
"," 252 
"," 62 
"," 1500.46 
"," 65591.43 
"," 0.02 
"," 43.71 
"," 3643.97 
"," 0.54 
"
values_398," 210 
"," 34 
"," 94 
"," 49 
"," 304 
"," 83 
"," 1938.01 
"," 63202.92 
"," 0.03 
"," 32.61 
"," 3511.27 
"," 0.53 
"
values_892," 190 
"," 34 
"," 79 
"," 35 
"," 269 
"," 69 
"," 1643.19 
"," 63051.67 
"," 0.03 
"," 38.37 
"," 3502.87 
"," 0.53 
"
values_670," 198 
"," 34 
"," 83 
"," 38 
"," 281 
"," 72 
"," 1733.75 
"," 64376.84 
"," 0.03 
"," 37.13 
"," 3576.49 
"," 0.54 
"
values_574," 179 
"," 34 
"," 72 
"," 28 
"," 251 
"," 62 
"," 1494.50 
"," 65331.14 
"," 0.02 
"," 43.71 
"," 3629.51 
"," 0.54 
"
values_163," 208 
"," 34 
"," 90 
"," 42 
"," 298 
"," 76 
"," 1861.88 
"," 67825.72 
"," 0.03 
"," 36.43 
"," 3768.10 
"," 0.55 
"
values_900," 179 
"," 34 
"," 71 
"," 27 
"," 250 
"," 61 
"," 1482.68 
"," 66281.48 
"," 0.02 
"," 44.70 
"," 3682.30 
"," 0.55 
"
values_392," 210 
"," 34 
"," 94 
"," 49 
"," 304 
"," 83 
"," 1938.01 
"," 63202.92 
"," 0.03 
"," 32.61 
"," 3511.27 
"," 0.53 
"
