id,clockCycles,assemblyInstr
values_242,663,322
values_505,544,267
values_1006,1115,539
values_924,417,203
values_862,929,453
values_287,928,452
values_733,1226,595
values_813,1092,537
values_11,964,472
values_19,963,471
values_999,1331,648
values_134,928,452
values_609,731,354
values_993,1115,539
values_731,1226,595
values_127,962,470
values_889,928,452
values_987,1226,595
values_780,367,181
values_435,1246,607
values_950,1210,587
values_976,1156,561
values_557,543,266
values_398,1116,540
values_892,858,418
values_670,978,474
values_574,544,267
values_163,1244,605
values_900,417,203
values_392,1332,649
values_447,1087,528
values_523,1030,498
values_679,1013,489
values_419,1244,605
values_895,929,453
values_298,663,322
values_155,731,354
values_12,962,470
values_160,1116,540
values_626,731,354
values_38,1066,515
values_146,860,420
values_81,1030,498
values_687,1013,489
values_213,367,181
values_212,367,181
values_568,612,299
values_5,966,474
values_40,1295,628
values_970,1228,597
values_707,1226,595
values_406,1313,638
values_893,732,355
values_144,858,418
values_979,1099,531
values_831,1092,537
values_402,1244,605
values_404,1243,604
values_310,791,387
values_70,1030,498
values_268,947,463
values_1018,1313,638
values_412,1313,638
values_290,842,410
values_916,417,203
values_567,416,202
values_913,544,267
values_232,843,411
values_319,714,345
values_23,964,472
values_899,543,266
values_428,1246,607
values_858,930,454
values_546,416,202
values_432,1117,541
values_231,843,411
values_388,1243,604
values_350,1141,554
values_603,1030,498
values_364,367,181
values_530,1157,562
values_72,1029,497
values_536,1157,562
values_79,1030,498
values_342,1012,488
values_803,965,473
values_501,612,299
values_540,1159,564
values_955,1029,497
values_191,1314,639
values_812,964,472
values_545,544,267
values_78,1029,497
values_526,1031,499
values_695,1013,489
values_87,1156,561
values_300,715,346
values_964,1080,520
values_998,1243,604
values_988,1099,531
values_6,963,471
values_625,860,420
values_518,1029,497
values_122,964,472
values_541,1031,499
values_279,947,463
values_256,948,464
values_796,367,181
values_504,416,202
values_752,859,419
values_459,964,472
values_658,1108,541
values_408,1313,638
values_867,930,454
values_727,1295,628
values_177,1116,540
values_823,964,472
values_822,965,473
values_218,365,179
values_426,1244,605
values_776,367,181
values_143,929,453
values_739,930,454
values_312,843,411
values_174,1242,603
values_669,980,476
values_120,964,472
values_974,1226,595
values_217,367,181
values_866,928,452
values_192,365,179
values_328,979,475
values_68,1029,497
values_387,1313,638
values_69,1157,562
values_749,930,454
values_135,930,454
values_341,947,460
values_494,613,300
values_1,965,473
values_589,1158,563
values_925,544,267
values_524,1158,563
values_994,1314,639
values_856,732,355
values_156,860,420
values_470,965,473
values_207,367,181
values_655,979,475
values_441,1243,604
values_109,965,473
values_45,1098,530
values_125,964,472
values_600,1081,521
values_708,1296,629
values_791,366,180
values_912,416,202
values_533,873,421
values_418,1244,605
values_228,714,345
values_585,1209,586
values_465,1092,537
values_239,714,345
values_842,929,453
values_208,366,180
values_932,1082,522
values_957,1210,587
values_563,613,300
values_766,928,452
values_476,963,471
values_175,1244,605
values_591,1157,562
values_997,1313,638
values_385,1331,648
values_115,965,473
values_653,979,475
values_753,928,452
values_241,791,387
values_197,366,180
