;DEVICE;BOARD;FUNCTION;DATA_TYPE;NUM_S;RANGE_S;NUM_SI;RANGE_SI;NUM_ARR;RANGE_ARR
0;armulator;ARMV4T;banker_algorithm;int8_t;0;0;1;3;3;0
1;armulator;ARMV4T;bellmanford;int8_t;0;0;1;3;1;1
2;armulator;ARMV4T;bfs;int8_t;0;0;1;3;1;1
3;armulator;ARMV4T;binary_search;int8_t;1;1;1;3;1;1
4;armulator;ARMV4T;fibcall;int8_t;1;1;0;0;0;0
5;armulator;ARMV4T;gcd;int8_t;2;1;0;0;0;0
6;armulator;ARMV4T;insertionsort;int8_t;0;0;1;3;1;1
7;armulator;ARMV4T;kruskal;int8_t;0;0;1;3;1;1
8;armulator;ARMV4T;matrix_mult;int8_t;0;0;1;3;2;1
9;armulator;ARMV4T;mergesort;int8_t;0;0;1;3;1;1
10;armulator;ARMV4T;qsort;int8_t;0;0;1;3;1;1
11;armulator;ARMV4T;quicksort;int8_t;0;0;1;3;1;1
12;armulator;ARMV4T;selectionsort;int8_t;0;0;1;3;1;1
13;simulavr;Atmega328p;banker_algorithm;int8_t;0;0;1;3;3;0
14;simulavr;Atmega328p;bellmanford;int8_t;0;0;1;3;1;1
15;simulavr;Atmega328p;bfs;int8_t;0;0;1;3;1;1
16;simulavr;Atmega328p;binary_search;int8_t;1;1;1;3;1;1
17;simulavr;Atmega328p;fibcall;int8_t;1;1;0;0;0;0
18;simulavr;Atmega328p;gcd;int8_t;2;1;0;0;0;0
19;simulavr;Atmega328p;insertionsort;int8_t;0;0;1;3;1;1
20;simulavr;Atmega328p;kruskal;int8_t;0;0;1;3;1;1
21;simulavr;Atmega328p;matrix_mult;int8_t;0;0;1;3;2;1
22;simulavr;Atmega328p;mergesort;int8_t;0;0;1;3;1;1
23;simulavr;Atmega328p;qsort;int8_t;0;0;1;3;1;1
24;simulavr;Atmega328p;quicksort;int8_t;0;0;1;3;1;1
25;simulavr;Atmega328p;selectionsort;int8_t;0;0;1;3;1;1
26;thumbulator;ARMV6-M;bellmanford;int8_t;0;0;1;3;1;1
27;armulator;ARMV6-M;bfs;int8_t;0;0;1;3;1;1
28;thumbulator;ARMV6-M;binary_search;int8_t;1;1;1;3;1;1
29;thumbulator;ARMV6-M;fibcall;int8_t;1;1;0;0;0;0
30;thumbulator;ARMV6-M;gcd;int8_t;2;1;0;0;0;0
31;thumbulator;ARMV6-M;insertionsort;int8_t;0;0;1;3;1;1
32;thumbulator;ARMV6-M;kruskal;int8_t;0;0;1;3;1;1
33;thumbulator;ARMV6-M;matrix_mult;int8_t;0;0;1;3;2;1
34;thumbulator;ARMV6-M;mergesort;int8_t;0;0;1;3;1;1
35;thumbulator;ARMV6-M;qsort;int8_t;0;0;1;3;1;1
36;thumbulator;ARMV6-M;quicksort;int8_t;0;0;1;3;1;1
37;thumbulator;ARMV6-M;selectionsort;int8_t;0;0;1;3;1;1
38;thumbulator;Leon3;banker_algorithm;int8_t;0;0;1;3;3;0
39;tsim;Leon3;bellmanford;int8_t;0;0;1;3;1;1
40;tsim;Leon3;bfs;int8_t;0;0;1;3;1;1
41;tsim;Leon3;binary_search;int8_t;1;1;1;3;1;1
42;tsim;Leon3;fibcall;int8_t;1;1;0;0;0;0
43;tsim;Leon3;gcd;int8_t;2;1;0;0;0;0
44;tsim;Leon3;insertionsort;int8_t;0;0;1;3;1;1
45;tsim;Leon3;kruskal;int8_t;0;0;1;3;1;1
46;tsim;Leon3;matrix_mult;int8_t;0;0;1;3;2;1
47;tsim;Leon3;mergesort;int8_t;0;0;1;3;1;1
48;tsim;Leon3;park_miller;int8_t;1;1;0;0;0;0
49;tsim;Leon3;qsort;int8_t;0;0;1;3;1;1
50;tsim;Leon3;quicksort;int8_t;0;0;1;3;1;1
51;tsim;Leon3;selectionsort;int8_t;0;0;1;3;1;1
