id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,435,330,73,5.959
values_505,349,264,57,6.123
values_1006,567,432,127,4.465
values_924,349,264,46,7.587
values_862,458,348,102,4.490
values_287,458,348,102,4.490
values_733,544,414,136,4.000
values_813,481,366,117,4.111
values_11,481,366,106,4.538
values_19,481,366,106,4.538
values_999,567,432,149,3.805
values_134,458,348,102,4.490
values_609,458,348,82,5.585
values_993,567,432,127,4.465
values_731,544,414,136,4.000
values_127,481,366,106,4.538
values_889,458,348,102,4.490
values_987,544,414,136,4.000
values_780,263,198,39,6.744
values_435,567,432,138,4.109
values_950,544,414,134,4.060
values_976,544,414,127,4.283
values_557,349,264,57,6.123
values_398,567,432,127,4.465
values_892,458,348,93,4.925
values_670,521,396,109,4.780
values_574,349,264,57,6.123
values_163,567,432,138,4.109
values_900,349,264,46,7.587
values_392,567,432,149,3.805
values_447,567,432,124,4.573
values_523,544,414,116,4.690
values_679,521,396,114,4.570
values_419,567,432,138,4.109
values_895,458,348,102,4.490
values_298,435,330,73,5.959
values_155,458,348,82,5.585
values_12,481,366,106,4.538
values_160,567,432,127,4.465
values_626,458,348,82,5.585
values_38,544,414,122,4.459
values_146,458,348,93,4.925
values_81,544,414,116,4.690
values_687,521,396,114,4.570
values_213,263,198,39,6.744
values_212,263,198,39,6.744
values_568,349,264,66,5.288
values_5,481,366,106,4.538
values_40,544,414,145,3.752
values_970,544,414,136,4.000
values_707,544,414,136,4.000
values_406,567,432,147,3.857
values_893,458,348,82,5.585
values_144,458,348,93,4.925
values_979,544,414,125,4.352
values_831,481,366,117,4.111
values_402,567,432,138,4.109
values_404,567,432,138,4.109
values_310,435,330,84,5.179
values_70,544,414,116,4.690
values_268,458,348,104,4.404
values_1018,567,432,147,3.857
values_412,567,432,147,3.857
values_290,435,330,91,4.780
values_916,349,264,46,7.587
values_567,349,264,46,7.587
values_913,349,264,57,6.123
values_232,435,330,91,4.780
values_319,435,330,80,5.438
values_23,481,366,106,4.538
values_899,349,264,57,6.123
values_428,567,432,138,4.109
values_858,458,348,102,4.490
values_546,349,264,46,7.587
values_432,567,432,127,4.465
values_231,435,330,91,4.780
values_388,567,432,138,4.109
values_350,521,396,125,4.168
values_603,544,414,116,4.690
values_364,263,198,39,6.744
values_530,544,414,127,4.283
values_72,544,414,116,4.690
values_536,544,414,127,4.283
values_79,544,414,116,4.690
values_342,521,396,114,4.570
values_803,481,366,106,4.538
values_501,349,264,66,5.288
values_540,544,414,127,4.283
values_955,544,414,116,4.690
values_191,567,432,147,3.857
values_812,481,366,106,4.538
values_545,349,264,57,6.123
values_78,544,414,116,4.690
values_526,544,414,116,4.690
values_695,521,396,114,4.570
values_87,544,414,127,4.283
values_300,435,330,80,5.438
values_964,544,414,123,4.423
values_998,567,432,138,4.109
values_988,544,414,125,4.352
values_6,481,366,106,4.538
values_625,458,348,93,4.925
values_518,544,414,116,4.690
values_122,481,366,106,4.538
values_541,544,414,116,4.690
values_279,458,348,104,4.404
values_256,458,348,104,4.404
values_796,263,198,39,6.744
values_504,349,264,46,7.587
values_752,458,348,93,4.925
values_459,481,366,106,4.538
values_658,521,396,120,4.342
values_408,567,432,147,3.857
values_867,458,348,102,4.490
values_727,544,414,145,3.752
values_177,567,432,127,4.465
values_823,481,366,106,4.538
values_822,481,366,106,4.538
values_218,263,198,39,6.744
values_426,567,432,138,4.109
values_776,263,198,39,6.744
values_143,458,348,102,4.490
values_739,458,348,102,4.490
values_312,435,330,91,4.780
values_174,567,432,138,4.109
values_669,521,396,109,4.780
values_120,481,366,106,4.538
values_974,544,414,136,4.000
values_217,263,198,39,6.744
values_866,458,348,102,4.490
values_192,263,198,39,6.744
values_328,521,396,109,4.780
values_68,544,414,116,4.690
values_387,567,432,147,3.857
values_69,544,414,127,4.283
values_749,458,348,102,4.490
values_135,458,348,102,4.490
values_341,521,396,106,4.915
values_494,349,264,66,5.288
values_1,481,366,106,4.538
values_589,544,414,127,4.283
values_925,349,264,57,6.123
values_524,544,414,127,4.283
values_994,567,432,147,3.857
values_856,458,348,82,5.585
values_156,458,348,93,4.925
values_470,481,366,106,4.538
values_207,263,198,39,6.744
values_655,521,396,109,4.780
values_441,567,432,138,4.109
values_109,481,366,106,4.538
values_45,544,414,125,4.352
values_125,481,366,106,4.538
values_600,544,414,123,4.423
values_708,544,414,145,3.752
values_791,263,198,39,6.744
values_912,349,264,46,7.587
values_533,544,414,102,5.333
values_418,567,432,138,4.109
values_228,435,330,80,5.438
values_585,544,414,134,4.060
values_465,481,366,117,4.111
values_239,435,330,80,5.438
values_842,458,348,102,4.490
values_208,263,198,39,6.744
values_932,544,414,123,4.423
values_957,544,414,134,4.060
values_563,349,264,66,5.288
values_766,458,348,102,4.490
values_476,481,366,106,4.538
values_175,567,432,138,4.109
values_591,544,414,127,4.283
values_997,567,432,147,3.857
values_385,567,432,149,3.805
values_115,481,366,106,4.538
values_653,521,396,109,4.780
values_753,458,348,102,4.490
values_241,435,330,84,5.179
values_197,263,198,39,6.744
values_636,458,348,93,4.925
values_450,481,366,117,4.111
values_106,481,366,117,4.111
values_699,521,396,114,4.570
values_578,544,414,123,4.423
values_644,521,396,120,4.342
values_570,349,264,66,5.288
values_873,458,348,93,4.925
values_33,544,414,125,4.352
values_210,263,198,39,6.744
values_486,349,264,66,5.288
values_252,435,330,73,5.959
values_694,521,396,120,4.342
values_759,458,348,82,5.585
values_245,435,330,91,4.780
values_15,481,366,106,4.538
values_792,263,198,39,6.744
values_248,435,330,73,5.959
values_246,435,330,91,4.780
values_556,349,264,66,5.288
values_513,544,414,116,4.690
values_93,544,414,116,4.690
values_558,349,264,66,5.288
values_991,544,414,125,4.352
values_181,567,432,147,3.857
values_674,521,396,120,4.342
values_652,521,396,109,4.780
values_344,521,396,114,4.570
values_715,544,414,136,4.000
values_528,544,414,124,4.387
values_276,458,348,102,4.490
values_24,481,366,106,4.538
values_296,435,330,91,4.780
values_244,435,330,73,5.959
values_380,263,198,39,6.744
values_25,481,366,106,4.538
values_740,458,348,93,4.925
values_478,481,366,106,4.538
values_379,263,198,39,6.744
values_810,481,366,106,4.538
values_440,567,432,138,4.109
values_543,544,414,116,4.690
values_130,458,348,82,5.585
values_225,435,330,91,4.780
values_285,458,348,102,4.490
values_363,263,198,39,6.744
values_667,521,396,120,4.342
values_26,481,366,106,4.538
values_793,263,198,39,6.744
values_1022,567,432,147,3.857
values_772,263,198,39,6.744
values_931,544,414,123,4.423
values_981,544,414,125,4.352
values_422,567,432,138,4.109
values_920,349,264,46,7.587
values_259,458,348,104,4.404
values_477,481,366,106,4.538
values_738,458,348,82,5.585
values_430,567,432,138,4.109
values_922,349,264,46,7.587
values_903,349,264,46,7.587
values_761,458,348,93,4.925
values_1017,567,432,147,3.857
values_204,263,198,39,6.744
values_48,544,414,145,3.752
values_71,544,414,127,4.283
values_851,458,348,93,4.925
values_347,521,396,114,4.570
values_725,544,414,136,4.000
values_266,458,348,82,5.585
values_448,481,366,117,4.111
values_934,544,414,127,4.283
values_531,544,414,127,4.283
values_224,435,330,73,5.959
values_686,521,396,109,4.780
values_927,349,264,57,6.123
values_407,567,432,147,3.857
values_76,544,414,116,4.690
values_949,544,414,127,4.283
values_969,544,414,136,4.000
values_781,263,198,39,6.744
values_7,481,366,106,4.538
values_1014,567,432,138,4.109
values_683,521,396,114,4.570
values_376,263,198,39,6.744
values_1016,567,432,127,4.465
values_877,458,348,82,5.585
values_654,521,396,109,4.780
values_508,349,264,46,7.587
values_332,521,396,125,4.168
values_281,458,348,82,5.585
values_381,263,198,39,6.744
values_769,263,198,39,6.744
values_701,521,396,109,4.780
values_855,458,348,102,4.490
values_1009,567,432,149,3.805
values_320,521,396,114,4.570
values_50,544,414,136,4.000
values_918,349,264,46,7.587
values_615,458,348,82,5.585
values_704,544,414,125,4.352
values_633,458,348,93,4.925
values_847,458,348,102,4.490
values_602,544,414,134,4.060
values_399,567,432,138,4.109
values_22,481,366,106,4.538
values_313,435,330,91,4.780
values_375,263,198,39,6.744
values_963,544,414,125,4.352
values_168,567,432,127,4.465
values_1021,567,432,147,3.857
values_226,435,330,73,5.959
values_190,567,432,138,4.109
values_429,567,432,138,4.109
values_236,435,330,39,11.154
values_777,263,198,39,6.744
values_909,349,264,46,7.587
values_438,567,432,127,4.465
values_607,544,414,123,4.423
values_717,544,414,145,3.752
values_1000,567,432,138,4.109
values_782,263,198,39,6.744
values_258,458,348,93,4.925
values_872,458,348,82,5.585
values_637,458,348,82,5.585
values_746,458,348,102,4.490
values_4,481,366,106,4.538
values_345,521,396,125,4.168
values_102,481,366,106,4.538
values_962,544,414,116,4.690
values_356,263,198,39,6.744
values_853,458,348,102,4.490
values_849,458,348,102,4.490
values_814,481,366,106,4.538
values_370,263,198,39,6.744
values_778,263,198,39,6.744
values_458,481,366,106,4.538
values_818,481,366,106,4.538
values_119,481,366,106,4.538
values_373,263,198,39,6.744
values_351,521,396,114,4.570
values_32,544,414,145,3.752
values_770,263,198,39,6.744
values_371,263,198,39,6.744
values_283,458,348,82,5.585
values_535,544,414,127,4.283
values_250,435,330,80,5.438
values_132,458,348,93,4.925
values_649,521,396,109,4.780
values_77,544,414,48,11.333
values_260,458,348,104,4.404
values_1004,567,432,127,4.465
values_891,458,348,102,4.490
values_91,544,414,116,4.690
values_137,458,348,102,4.490
values_42,544,414,145,3.752
values_13,481,366,106,4.538
values_577,544,414,134,4.060
values_41,544,414,125,4.352
values_809,481,366,106,4.538
values_414,567,432,147,3.857
values_360,263,198,39,6.744
values_386,567,432,147,3.857
values_158,458,348,102,4.490
values_904,349,264,57,6.123
values_480,349,264,46,7.587
values_647,521,396,109,4.780
values_104,481,366,106,4.538
values_55,544,414,145,3.752
values_491,349,264,46,7.587
values_391,567,432,149,3.805
values_972,544,414,125,4.352
values_571,349,264,57,6.123
values_940,544,414,123,4.423
values_861,458,348,102,4.490
values_324,521,396,114,4.570
values_549,349,264,66,5.288
values_170,567,432,138,4.109
values_269,458,348,104,4.404
values_442,567,432,127,4.465
values_520,544,414,127,4.283
values_455,481,366,106,4.538
values_31,481,366,106,4.538
values_971,544,414,125,4.352
values_397,567,432,127,4.465
values_254,435,330,91,4.780
values_616,458,348,82,5.585
values_66,544,414,116,4.690
values_943,544,414,123,4.423
values_117,481,366,106,4.538
values_451,481,366,106,4.538
values_643,521,396,109,4.780
values_688,521,396,114,4.570
values_569,349,264,66,5.288
values_745,458,348,82,5.585
values_65,544,414,102,5.333
values_980,544,414,134,4.060
values_982,544,414,127,4.283
values_62,544,414,145,3.752
values_789,263,198,39,6.744
values_401,567,432,138,4.109
values_21,481,366,106,4.538
values_598,544,414,127,4.283
values_273,458,348,104,4.404
values_534,544,414,116,4.690
values_118,481,366,106,4.538
values_141,458,348,102,4.490
values_366,263,198,39,6.744
values_222,263,198,39,6.744
values_876,458,348,102,4.490
values_700,521,396,120,4.342
values_95,544,414,116,4.690
values_806,481,366,106,4.538
values_671,521,396,109,4.780
values_816,481,366,106,4.538
values_630,458,348,82,5.585
values_433,567,432,138,4.109
values_905,349,264,46,7.587
values_84,544,414,116,4.690
values_233,435,330,80,5.438
values_664,521,396,109,4.780
values_162,567,432,138,4.109
values_681,521,396,125,4.168
values_542,544,414,116,4.690
values_169,567,432,127,4.465
values_660,521,396,109,4.780
values_488,349,264,66,5.288
values_894,458,348,93,4.925
values_828,481,366,106,4.538
values_537,544,414,116,4.690
values_845,458,348,102,4.490
values_584,544,414,134,4.060
values_457,481,366,106,4.538
values_499,349,264,32,10.906
values_369,263,198,39,6.744
values_58,544,414,145,3.752
values_64,544,414,116,4.690
values_196,263,198,25,10.520
values_462,481,366,106,4.538
values_343,521,396,125,4.168
values_262,458,348,102,4.490
values_966,544,414,136,4.000
values_261,458,348,104,4.404
values_349,521,396,125,4.168
values_263,458,348,104,4.404
values_801,481,366,117,4.111
values_292,435,330,91,4.780
values_786,263,198,39,6.744
values_101,481,366,106,4.538
values_691,521,396,114,4.570
values_926,349,264,46,7.587
values_754,458,348,102,4.490
values_215,263,198,39,6.744
values_977,544,414,136,4.000
values_850,458,348,102,4.490
values_646,521,396,109,4.780
values_628,458,348,93,4.925
values_941,544,414,127,4.283
values_353,263,198,39,6.744
values_690,521,396,114,4.570
values_961,544,414,116,4.690
values_331,521,396,114,4.570
values_377,263,198,39,6.744
values_128,458,348,102,4.490
values_336,521,396,114,4.570
values_632,458,348,93,4.925
values_166,567,432,147,3.857
values_744,458,348,93,4.925
values_837,458,348,102,4.490
values_807,481,366,117,4.111
values_838,458,348,93,4.925
values_723,544,414,145,3.752
values_874,458,348,102,4.490
values_627,458,348,93,4.925
values_555,349,264,66,5.288
values_446,567,432,127,4.465
values_716,544,414,136,4.000
values_240,435,330,73,5.959
values_140,458,348,93,4.925
values_317,435,330,73,5.959
values_83,544,414,116,4.690
values_696,521,396,125,4.168
values_413,567,432,147,3.857
values_94,544,414,116,4.690
values_937,544,414,134,4.060
values_199,263,198,39,6.744
values_596,544,414,116,4.690
values_0,481,366,106,4.538
values_953,544,414,123,4.423
values_906,349,264,46,7.587
values_742,458,348,82,5.585
values_396,567,432,147,3.857
values_159,458,348,102,4.490
values_238,435,330,91,4.780
values_136,458,348,93,4.925
values_915,349,264,57,6.123
values_99,481,366,106,4.538
values_771,263,198,39,6.744
values_96,481,366,106,4.538
values_768,263,198,39,6.744
values_1001,567,432,147,3.857
values_67,544,414,116,4.690
values_565,349,264,66,5.288
values_848,458,348,93,4.925
values_114,481,366,106,4.538
values_61,544,414,145,3.752
values_511,349,264,66,5.288
values_729,544,414,136,4.000
values_460,481,366,117,4.111
values_832,458,348,93,4.925
values_1015,567,432,147,3.857
values_348,521,396,109,4.780
values_182,567,432,138,4.109
values_986,544,414,125,4.352
values_180,567,432,138,4.109
values_930,544,414,116,4.690
values_274,458,348,104,4.404
values_309,435,330,80,5.438
values_496,349,264,66,5.288
values_165,567,432,138,4.109
values_553,349,264,66,5.288
values_1023,567,432,147,3.857
values_870,458,348,102,4.490
values_795,263,198,39,6.744
values_361,263,198,39,6.744
values_302,435,330,80,5.438
values_586,544,414,134,4.060
values_880,458,348,82,5.585
values_665,521,396,109,4.780
values_527,544,414,116,4.690
values_372,263,198,39,6.744
values_382,263,198,39,6.744
values_43,544,414,125,4.352
values_935,544,414,123,4.423
values_2,481,366,106,4.538
values_790,263,198,39,6.744
values_152,458,348,102,4.490
values_871,458,348,102,4.490
values_434,567,432,138,4.109
values_775,263,198,39,6.744
values_500,349,264,57,6.123
values_220,263,198,39,6.744
values_875,458,348,93,4.925
values_249,435,330,91,4.780
values_808,481,366,117,4.111
values_859,458,348,82,5.585
values_539,544,414,127,4.283
values_635,458,348,93,4.925
values_311,435,330,73,5.959
values_183,567,432,138,4.109
values_54,544,414,125,4.352
values_390,567,432,138,4.109
values_890,458,348,102,4.490
values_711,544,414,125,4.352
values_471,481,366,103,4.670
values_995,567,432,149,3.805
values_443,567,432,127,4.465
values_464,481,366,106,4.538
values_774,263,198,39,6.744
values_200,263,198,39,6.744
values_747,458,348,93,4.925
values_758,458,348,82,5.585
values_30,481,366,106,4.538
values_820,481,366,106,4.538
values_393,567,432,147,3.857
values_576,544,414,116,4.690
values_445,567,432,138,4.109
values_662,521,396,109,4.780
values_403,567,432,138,4.109
values_640,521,396,109,4.780
values_59,544,414,145,3.752
values_490,349,264,66,5.288
values_194,263,198,39,6.744
values_751,458,348,82,5.585
values_1007,567,432,147,3.857
values_663,521,396,109,4.780
values_938,544,414,116,4.690
values_532,544,414,127,4.283
values_885,458,348,93,4.925
values_713,544,414,136,4.000
values_193,263,198,39,6.744
values_650,521,396,109,4.780
values_564,349,264,57,6.123
values_267,458,348,102,4.490
values_147,458,348,82,5.585
values_709,544,414,125,4.352
values_857,458,348,93,4.925
values_334,521,396,109,4.780
values_965,544,414,136,4.000
values_824,481,366,106,4.538
values_784,263,198,39,6.744
values_229,435,330,91,4.780
values_538,544,414,116,4.690
values_463,481,366,106,4.538
values_741,458,348,102,4.490
values_85,544,414,116,4.690
values_493,349,264,66,5.288
values_794,263,198,39,6.744
values_202,263,198,39,6.744
values_74,544,414,127,4.283
values_410,567,432,147,3.857
values_469,481,366,106,4.538
values_394,567,432,149,3.805
values_149,458,348,93,4.925
values_945,544,414,127,4.283
values_293,435,330,91,4.780
values_456,481,366,106,4.538
values_975,544,414,127,4.283
values_547,349,264,66,5.288
values_164,567,432,50,11.340
values_720,544,414,136,4.000
values_833,458,348,82,5.585
values_90,544,414,116,4.690
values_954,544,414,134,4.060
values_1002,567,432,147,3.857
values_483,349,264,66,5.288
values_990,544,414,116,4.690
