;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;Total_Operands;DistinctOperands;ProgramLength;VocabularySize;ProgramVolume;Effort;ProgramLevel;ProgramLevel;DifficultyLevel;TimeToImplement;BugsDelivered;Sloc;DecisionPoint;GlobalVariables;If;Loop;Goto;Assignment;ExitPoint;Function;FunctionCall;PointerDereferencing;CyclomaticComplexity;SCALAR_INPUT;RANGE_SCALAR_VALUES;SCALAR_INDEX_INPUT;RANGE_SCALAR_INDEX_VALUES;ARRAY_INPUT;RANGE_ARRAY_INPUT;cInstr;assemblyInstr;clockCycles;text;data;bss;CC4CS
0;armulator;ARMV4T;banker_algorithm;int8_t;242;97.0;27.0;306.0;57.0;1784.86;96184.36;0.02;0.02;53.89;5343.58;0.5949533333333333;38.0;6.0;7.0;6.0;4.0;1.0;16.0;2.0;2.0;1.0;0.0;8.0;0.0;0.0;1.0;3.0;3.0;0.0;32;513.0;1021.0;1004.0;12.0;7.0;31.90625
1;armulator;ARMV4T;banker_algorithm;int8_t;505;142.0;69.0;402.0;99.0;2665.0;82267.43;0.03;0.03;30.87;4570.41;0.8883333333333333;38.0;6.0;7.0;6.0;4.0;1.0;16.0;2.0;2.0;1.0;0.0;8.0;0.0;0.0;1.0;3.0;3.0;0.0;71;1716.0;3164.0;1076.0;61.0;28.0;44.563380281690144
2;armulator;ARMV4T;banker_algorithm;int8_t;924;907.0;261.0;1962.0;291.0;16058.73;837084.14;0.02;0.02;52.13;46504.67;5.35291;38.0;6.0;7.0;6.0;4.0;1.0;16.0;2.0;2.0;1.0;0.0;8.0;0.0;0.0;1.0;3.0;3.0;0.0;884;25965.0;46279.0;1112.0;820.0;403.0;52.35180995475113
3;armulator;ARMV4T;banker_algorithm;int8_t;862;123.0;52.0;362.0;82.0;2301.43;81656.64;0.03;0.03;35.48;4536.48;0.7671433333333333;38.0;6.0;7.0;6.0;4.0;1.0;16.0;2.0;2.0;1.0;0.0;8.0;0.0;0.0;1.0;3.0;3.0;0.0;51;1058.0;2052.0;1004.0;36.0;19.0;40.23529411764706
4;armulator;ARMV4T;banker_algorithm;int8_t;287;97.0;27.0;306.0;57.0;1784.86;96184.36;0.02;0.02;53.89;5343.58;0.5949533333333333;38.0;6.0;7.0;6.0;4.0;1.0;16.0;2.0;2.0;1.0;0.0;8.0;0.0;0.0;1.0;3.0;3.0;0.0;23;380.0;754.0;1004.0;12.0;7.0;32.78260869565217
5;armulator;ARMV4T;banker_algorithm;int8_t;733;552.0;217.0;1242.0;247.0;9871.87;376677.88;0.03;0.03;38.16;20926.55;3.2906233333333335;38.0;6.0;7.0;6.0;4.0;1.0;16.0;2.0;2.0;1.0;0.0;8.0;0.0;0.0;1.0;3.0;3.0;0.0;491;13726.0;24994.0;1076.0;469.0;228.0;50.90427698574338
6;armulator;ARMV4T;banker_algorithm;int8_t;813;615.0;241.0;1370.0;271.0;11072.54;423834.94;0.03;0.03;38.28;23546.39;3.690846666666667;38.0;6.0;7.0;6.0;4.0;1.0;16.0;2.0;2.0;1.0;0.0;8.0;0.0;0.0;1.0;3.0;3.0;0.0;555;14030.0;26808.0;1004.0;528.0;259.0;48.3027027027027
7;armulator;ARMV4T;banker_algorithm;int8_t;11;97.0;27.0;306.0;57.0;1784.86;96184.36;0.02;0.02;53.89;5343.58;0.5949533333333333;38.0;6.0;7.0;6.0;4.0;1.0;16.0;2.0;2.0;1.0;0.0;8.0;0.0;0.0;1.0;3.0;3.0;0.0;23;380.0;754.0;1004.0;12.0;7.0;32.78260869565217
8;armulator;ARMV4T;banker_algorithm;int8_t;19;97.0;27.0;306.0;57.0;1784.86;96184.36;0.02;0.02;53.89;5343.58;0.5949533333333333;38.0;6.0;7.0;6.0;4.0;1.0;16.0;2.0;2.0;1.0;0.0;8.0;0.0;0.0;1.0;3.0;3.0;0.0;23;380.0;754.0;1004.0;12.0;7.0;32.78260869565217
9;armulator;ARMV4T;banker_algorithm;int8_t;999;142.0;67.0;402.0;97.0;2653.16;84346.89;0.03;0.03;31.79;4685.94;0.8843866666666667;38.0;6.0;7.0;6.0;4.0;1.0;16.0;2.0;2.0;1.0;0.0;8.0;0.0;0.0;1.0;3.0;3.0;0.0;71;1716.0;3164.0;1076.0;61.0;28.0;44.563380281690144
