inputName,text,data,bss
values_242,1004,12,7
values_505,1076,61,28
values_924,1112,820,403
values_862,1004,36,19
values_287,1004,12,7
values_733,1076,469,228
values_813,1004,528,259
values_11,1004,12,7
values_19,1004,12,7
values_999,1076,61,28
values_134,1004,12,7
values_609,1004,36,19
values_993,1004,136,67
values_731,1112,668,327
values_127,1112,80,39
values_889,1076,61,28
values_987,1112,820,403
values_780,1140,745,364
values_435,1112,212,103
values_950,1076,25,12
values_976,1004,12,7
values_557,1004,36,19
values_398,1076,25,12
values_892,1112,80,39
values_670,1076,601,292
values_574,1112,820,403
values_163,1076,601,292
values_900,1112,80,39
values_392,1140,357,172
values_447,1140,257,124
values_523,1140,357,172
values_679,1004,12,7
values_419,1112,408,199
values_895,1112,80,39
values_298,1076,109,52
values_155,1140,357,172
values_12,1004,36,19
values_160,1112,80,39
values_626,1140,745,364
values_38,1004,528,259
values_146,1004,12,7
values_81,1076,177,84
values_687,1076,177,84
values_213,1076,109,52
values_212,1112,80,39
values_568,1076,25,12
values_5,1076,61,28
values_40,1140,357,172
values_970,1112,668,327
values_707,1112,80,39
values_406,1140,357,172
values_893,1112,668,327
values_144,1076,601,292
values_979,1140,745,364
values_831,1076,601,292
values_402,1076,469,228
values_404,1076,469,228
values_310,1076,469,228
values_70,1140,257,124
values_268,1140,357,172
values_412,1112,80,39
values_290,1112,300,147
values_916,1112,408,199
values_567,1112,80,39
values_913,1004,136,67
values_232,1004,12,7
values_319,1076,25,12
values_23,1112,300,147
values_899,1076,109,52
values_428,1076,469,228
values_858,1076,601,292
values_546,1112,820,403
values_432,1076,469,228
values_231,1076,601,292
values_388,1140,257,124
values_350,1004,12,7
values_603,1004,136,67
values_364,1112,820,403
values_530,1076,25,12
values_72,1004,12,7
values_536,1140,745,364
values_79,1076,61,28
values_342,1076,601,292
values_803,1004,36,19
values_501,1076,25,12
values_540,1112,408,199
values_955,1004,136,67
values_191,1076,177,84
values_812,1004,36,19
values_545,1112,212,103
values_78,1076,61,28
values_526,1112,300,147
values_695,1112,668,327
values_87,1112,80,39
values_300,1004,12,7
values_964,1076,469,228
values_998,1140,257,124
values_988,1140,257,124
values_6,1140,257,124
values_625,1112,408,199
values_518,1112,80,39
values_122,1004,12,7
values_541,1076,61,28
values_279,1140,745,364
values_256,1076,25,12
values_796,1076,177,84
values_504,1004,36,19
values_752,1112,80,39
values_459,1076,601,292
values_658,1140,357,172
values_408,1076,61,28
values_867,1112,408,199
values_727,1140,745,364
values_177,1140,745,364
values_823,1112,820,403
values_822,1004,12,7
values_218,1112,80,39
values_426,1112,408,199
values_776,1004,12,7
values_143,1076,109,52
values_739,1076,601,292
values_312,1076,469,228
values_174,1076,601,292
values_669,1004,36,19
values_120,1140,357,172
values_974,1076,469,228
values_217,1076,25,12
values_866,1076,25,12
values_192,1076,109,52
values_328,1112,668,327
values_68,1140,257,124
values_387,1112,668,327
values_69,1004,36,19
values_749,1076,109,52
values_135,1140,745,364
values_341,1004,528,259
values_494,1076,601,292
values_1,1004,136,67
values_589,1076,61,28
values_925,1140,257,124
values_524,1004,36,19
values_994,1004,136,67
values_856,1076,177,84
values_156,1112,820,403
values_470,1076,25,12
values_207,1076,25,12
values_655,1004,528,259
values_441,1112,212,103
values_109,1112,668,327
values_45,1004,528,259
values_125,1140,745,364
values_600,1140,745,364
values_708,1112,80,39
values_791,1076,61,28
values_912,1004,12,7
values_533,1076,177,84
values_418,1112,212,103
values_228,1076,469,228
values_585,1140,257,124
values_465,1004,12,7
values_239,1112,300,147
values_842,1076,177,84
values_208,1112,408,199
values_932,1076,469,228
values_957,1112,408,199
values_563,1004,12,7
values_766,1076,177,84
values_476,1112,212,103
values_175,1076,109,52
values_591,1004,528,259
values_997,1004,36,19
values_385,1112,212,103
values_115,1076,177,84
values_653,1076,601,292
values_753,1004,12,7
values_241,1140,745,364
values_197,1004,136,67
values_636,1112,300,147
values_450,1140,257,124
values_106,1004,136,67
values_699,1076,601,292
values_578,1076,25,12
values_644,1112,300,147
values_570,1076,601,292
values_873,1112,212,103
values_33,1076,61,28
values_210,1140,745,364
values_486,1140,357,172
values_252,1140,257,124
values_694,1076,469,228
values_759,1112,408,199
values_245,1112,212,103
values_15,1112,212,103
values_792,1076,601,292
values_248,1112,300,147
values_246,1076,177,84
values_556,1076,601,292
values_513,1076,25,12
values_93,1140,745,364
values_558,1112,820,403
values_991,1004,12,7
values_181,1004,136,67
values_674,1004,528,259
values_652,1004,136,67
values_344,1112,668,327
values_715,1112,80,39
