id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,1021,513,32,31.906
values_505,3164,1716,71,44.563
values_924,46279,25965,884,52.352
values_862,2052,1058,51,40.235
values_287,754,380,23,32.783
values_733,24994,13726,491,50.904
values_813,26808,14030,555,48.303
values_11,754,380,23,32.783
values_19,754,380,23,32.783
values_999,3164,1716,71,44.563
values_134,754,380,23,32.783
values_609,2319,1191,60,38.650
values_993,7072,3686,155,45.626
values_731,36978,20758,704,52.526
values_127,4782,2650,104,45.981
values_889,3443,1861,80,43.038
values_987,45424,25512,860,52.819
values_780,42692,24272,804,53.100
values_435,12279,6853,248,49.512
values_950,1645,875,44,37.386
values_976,1021,513,32,31.906
values_557,3430,1744,95,36.105
values_398,1366,730,35,39.029
values_892,4782,2650,104,45.981
values_670,32765,17979,648,50.563
values_574,45139,25361,851,53.042
values_163,31928,17544,623,51.249
values_900,4497,2499,95,47.337
values_392,19770,11234,375,52.720
values_447,15468,8744,308,50.221
values_523,20350,11546,392,51.913
values_679,1331,667,43,30.953
values_419,22726,12738,440,51.650
values_895,4782,2650,104,45.981
values_298,6376,3464,140,45.543
values_155,20060,11390,384,52.240
values_12,2052,1058,51,40.235
values_160,5637,3103,128,44.039
values_626,41822,23804,780,53.618
values_38,27609,14429,580,47.602
values_146,1702,854,55,30.945
values_81,9328,5104,191,48.838
values_687,9607,5249,200,48.035
values_213,6376,3464,140,45.543
values_212,5067,2801,112,45.241
values_568,1366,730,35,39.029
values_5,3164,1716,71,44.563
values_40,20060,11390,384,52.240
values_970,36693,20607,695,52.796
values_707,4497,2499,95,47.337
values_406,20060,11390,384,52.240
values_893,36978,20758,704,52.526
values_144,32207,17689,632,50.960
values_979,42402,24116,796,53.269
values_831,31928,17544,623,51.249
values_402,24994,13726,491,50.904
values_404,24994,13726,491,50.904
values_310,25552,14016,508,50.299
values_70,14308,8120,275,52.029
values_268,20060,11390,384,52.240
values_412,4497,2499,95,47.337
values_290,16920,9472,332,50.964
values_916,22726,12738,440,51.650
values_567,4497,2499,95,47.337
values_913,7072,3686,155,45.626
values_232,754,380,23,32.783
values_319,2525,1331,71,35.563
values_23,17205,9623,340,50.603
values_899,7213,3899,164,43.982
values_428,24994,13726,491,50.904
values_858,31928,17544,623,51.249
values_546,45139,25361,851,53.042
values_432,25831,14161,516,50.060
values_231,33044,18124,656,50.372
values_388,15178,8588,300,50.593
values_350,754,380,23,32.783
values_603,7072,3686,155,45.626
values_364,45139,25361,851,53.042
values_530,2525,1331,71,35.563
values_72,754,380,23,32.783
values_536,41532,23648,771,53.868
values_79,3164,1716,71,44.563
values_342,31928,17544,623,51.249
values_803,2586,1324,68,38.029
values_501,2246,1186,63,35.651
values_540,23296,13040,456,51.088
values_955,7072,3686,155,45.626
values_191,9886,5394,208,47.529
values_812,2586,1324,68,38.029
values_545,13134,7306,272,48.287
values_78,4881,2607,123,39.683
values_526,16635,9321,323,51.502
values_695,37263,20909,712,52.336
values_87,4497,2499,95,47.337
values_300,1021,513,32,31.906
values_964,24994,13726,491,50.904
values_998,14308,8120,275,52.029
values_988,14598,8276,284,51.401
values_6,14888,8432,292,50.986
values_625,22441,12587,431,52.067
values_518,5067,2801,112,45.241
values_122,754,380,23,32.783
values_541,3722,2006,88,42.295
values_279,41532,23648,771,53.868
values_256,1645,875,44,37.386
values_796,9328,5104,191,48.838
values_504,2052,1058,51,40.235
values_752,4497,2499,95,47.337
values_459,31928,17544,623,51.249
values_658,19770,11234,375,52.720
values_408,3164,1716,71,44.563
values_867,22726,12738,440,51.650
values_727,41532,23648,771,53.868
values_177,41532,23648,771,53.868
values_823,45424,25512,860,52.819
values_822,1598,800,51,31.333
values_218,5067,2801,112,45.241
values_426,22441,12587,431,52.067
values_776,1021,513,32,31.906
values_143,5818,3174,123,47.301
values_739,31928,17544,623,51.249
values_312,25273,13871,500,50.546
values_174,31928,17544,623,51.249
values_669,2052,1058,51,40.235
values_120,20060,11390,384,52.240
values_974,24994,13726,491,50.904
values_217,1924,1020,52,37.000
values_866,1924,1020,52,37.000
values_192,6655,3609,148,44.966
values_328,37833,21211,728,51.968
values_68,14888,8432,292,50.986
values_387,36693,20607,695,52.796
values_69,2052,1058,51,40.235
values_749,6097,3319,132,46.189
values_135,41532,23648,771,53.868
values_341,26808,14030,555,48.303
values_494,31928,17544,623,51.249
values_1,7873,4085,180,43.739
values_589,3164,1716,71,44.563
values_925,14598,8276,284,51.401
values_524,2052,1058,51,40.235
values_994,7072,3686,155,45.626
values_856,9328,5104,191,48.838
values_156,45139,25361,851,53.042
values_470,1645,875,44,37.386
values_207,1645,875,44,37.386
values_655,28143,14695,596,47.220
values_441,13134,7306,272,48.287
values_109,36693,20607,695,52.796
values_45,26808,14030,555,48.303
values_125,41822,23804,780,53.618
values_600,41532,23648,771,53.868
values_708,5067,2801,112,45.241
values_791,3164,1716,71,44.563
values_912,1331,667,43,30.953
values_533,9328,5104,191,48.838
values_418,11709,6551,231,50.688
values_228,24994,13726,491,50.904
values_585,14308,8120,275,52.029
values_465,754,380,23,32.783
values_239,16920,9472,332,50.964
values_842,9607,5249,200,48.035
values_208,22441,12587,431,52.067
values_932,25273,13871,500,50.546
values_957,22441,12587,431,52.067
values_563,1021,513,32,31.906
values_766,9607,5249,200,48.035
values_476,11994,6702,240,49.975
values_175,5818,3174,123,47.301
values_591,26808,14030,555,48.303
values_997,2319,1191,60,38.650
values_385,11709,6551,231,50.688
values_115,9328,5104,191,48.838
values_653,32765,17979,648,50.563
values_753,1331,667,43,30.953
values_241,41822,23804,780,53.618
values_197,7072,3686,155,45.626
values_636,16920,9472,332,50.964
values_450,14308,8120,275,52.029
values_106,7873,4085,180,43.739
values_699,32486,17834,640,50.759
values_578,1366,730,35,39.029
values_644,16920,9472,332,50.964
values_570,31928,17544,623,51.249
values_873,11709,6551,231,50.688
values_33,3443,1861,80,43.038
values_210,41532,23648,771,53.868
values_486,20350,11546,392,51.913
values_252,14308,8120,275,52.029
values_694,24994,13726,491,50.904
values_759,23011,12889,448,51.364
values_245,11709,6551,231,50.688
values_15,11709,6551,231,50.688
values_792,32207,17689,632,50.960
values_248,16635,9321,323,51.502
values_246,10165,5539,216,47.060
values_556,32207,17689,632,50.960
values_513,1924,1020,52,37.000
values_93,41532,23648,771,53.868
values_558,46849,26267,900,52.054
values_991,754,380,23,32.783
values_181,7606,3952,172,44.221
values_674,27075,14163,564,48.005
values_652,7339,3819,164,44.750
values_344,36693,20607,695,52.796
values_715,4782,2650,104,45.981
values_528,12279,6853,248,49.512
values_276,31928,17544,623,51.249
values_24,32207,17689,632,50.960
values_296,36978,20758,704,52.526
values_244,9607,5249,200,48.035
values_380,7606,3952,172,44.221
values_25,7072,3686,155,45.626
values_740,4782,2650,104,45.981
values_478,3443,1861,80,43.038
values_379,4782,2650,104,45.981
values_810,6097,3319,132,46.189
values_440,4782,2650,104,45.981
values_543,24994,13726,491,50.904
values_130,9328,5104,191,48.838
values_225,26808,14030,555,48.303
values_285,1021,513,32,31.906
values_363,9328,5104,191,48.838
values_667,41532,23648,771,53.868
values_26,1924,1020,52,37.000
values_793,24994,13726,491,50.904
values_772,26808,14030,555,48.303
values_931,22441,12587,431,52.067
values_981,31928,17544,623,51.249
values_422,4497,2499,95,47.337
values_920,20060,11390,384,52.240
values_259,2319,1191,60,38.650
values_477,1645,875,44,37.386
values_738,1645,875,44,37.386
values_430,5160,2752,131,39.389
values_922,5818,3174,123,47.301
values_903,25552,14016,508,50.299
values_761,12564,7004,256,49.078
values_204,4497,2499,95,47.337
values_48,25273,13871,500,50.546
values_71,9886,5394,208,47.529
values_851,2586,1324,68,38.029
