id,clockCycles,assemblyInstr
values_242,1021,513
values_505,3164,1716
values_924,46279,25965
values_862,2052,1058
values_287,754,380
values_733,24994,13726
values_813,26808,14030
values_11,754,380
values_19,754,380
values_999,3164,1716
values_134,754,380
values_609,2319,1191
values_993,7072,3686
values_731,36978,20758
values_127,4782,2650
values_889,3443,1861
values_987,45424,25512
values_780,42692,24272
values_435,12279,6853
values_950,1645,875
values_976,1021,513
values_557,3430,1744
values_398,1366,730
values_892,4782,2650
values_670,32765,17979
values_574,45139,25361
values_163,31928,17544
values_900,4497,2499
values_392,19770,11234
values_447,15468,8744
values_523,20350,11546
values_679,1331,667
values_419,22726,12738
values_895,4782,2650
values_298,6376,3464
values_155,20060,11390
values_12,2052,1058
values_160,5637,3103
values_626,41822,23804
values_38,27609,14429
values_146,1702,854
values_81,9328,5104
values_687,9607,5249
values_213,6376,3464
values_212,5067,2801
values_568,1366,730
values_5,3164,1716
values_40,20060,11390
values_970,36693,20607
values_707,4497,2499
values_406,20060,11390
values_893,36978,20758
values_144,32207,17689
values_979,42402,24116
values_831,31928,17544
values_402,24994,13726
values_404,24994,13726
values_310,25552,14016
values_70,14308,8120
values_268,20060,11390
values_412,4497,2499
values_290,16920,9472
values_916,22726,12738
values_567,4497,2499
values_913,7072,3686
values_232,754,380
values_319,2525,1331
values_23,17205,9623
values_899,7213,3899
values_428,24994,13726
values_858,31928,17544
values_546,45139,25361
values_432,25831,14161
values_231,33044,18124
values_388,15178,8588
values_350,754,380
values_603,7072,3686
values_364,45139,25361
values_530,2525,1331
values_72,754,380
values_536,41532,23648
values_79,3164,1716
values_342,31928,17544
values_803,2586,1324
values_501,2246,1186
values_540,23296,13040
values_955,7072,3686
values_191,9886,5394
values_812,2586,1324
values_545,13134,7306
values_78,4881,2607
values_526,16635,9321
values_695,37263,20909
values_87,4497,2499
values_300,1021,513
values_964,24994,13726
values_998,14308,8120
values_988,14598,8276
values_6,14888,8432
values_625,22441,12587
values_518,5067,2801
values_122,754,380
values_541,3722,2006
values_279,41532,23648
values_256,1645,875
values_796,9328,5104
values_504,2052,1058
values_752,4497,2499
values_459,31928,17544
values_658,19770,11234
values_408,3164,1716
values_867,22726,12738
values_727,41532,23648
values_177,41532,23648
values_823,45424,25512
values_822,1598,800
values_218,5067,2801
values_426,22441,12587
values_776,1021,513
values_143,5818,3174
