id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,25409,13253,680,37.366
values_505,49877,26125,1273,39.181
values_924,15744,7735,457,34.451
values_862,48295,25230,1266,38.148
values_287,16388,8075,461,35.549
values_733,108508,57831,2727,39.790
values_813,155773,83219,3837,40.598
values_11,69825,35852,1821,38.344
values_19,16028,7889,458,34.996
values_999,1486,731,64,23.219
values_134,26009,13607,682,38.136
values_609,155951,83298,3836,40.655
values_993,154310,82340,3832,40.269
values_731,179735,95924,4453,40.363
values_127,188639,98843,4771,39.539
values_889,81109,42550,2035,39.857
values_987,55224,28367,1439,38.377
values_780,59346,29181,1632,36.364
values_435,3016,1539,102,29.569
values_950,20579,10539,562,36.617
values_976,1486,731,64,23.219
values_557,79113,41394,2035,38.876
values_398,4471,2195,148,30.209
values_892,181118,96752,4448,40.719
values_670,1486,731,64,23.219
values_574,58944,28976,1629,36.184
values_163,25293,13189,678,37.305
values_900,180907,96647,4441,40.736
values_392,2934,1493,101,29.050
values_447,79207,41454,2034,38.941
values_523,2760,1394,100,27.600
values_679,31305,16626,810,38.648
values_419,6844,3487,208,32.904
values_895,109200,58226,2737,39.898
values_298,12545,6403,359,34.944
values_155,25761,13457,684,37.662
values_12,167610,90823,4111,40.771
values_160,70015,35964,1829,38.280
values_626,13269,6808,365,36.353
values_38,25485,13300,680,37.478
values_146,9585,4970,279,34.355
values_81,190013,99638,4775,39.793
values_687,2934,1493,101,29.050
values_213,1573,778,65,24.200
values_212,155342,82962,3834,40.517
values_568,60121,29595,1637,36.726
values_5,139021,72787,3546,39.205
values_40,138793,72682,3535,39.263
values_970,154478,82444,3832,40.313
values_707,2841,1440,100,28.410
values_406,30963,16429,807,38.368
values_893,122614,66485,2991,40.994
values_144,36377,19010,953,38.171
values_979,4636,2284,150,30.907
values_831,107535,57251,2720,39.535
values_402,91079,48558,2259,40.318
values_404,188889,98985,4773,39.574
values_310,36861,19296,955,38.598
values_70,141089,73970,3550,39.743
values_268,190561,99925,4776,39.900
values_412,131237,69973,3253,40.343
values_290,3016,1539,102,29.569
values_916,42794,22739,1101,38.868
values_567,109541,58423,2736,40.037
values_913,4534,2228,150,30.227
values_232,6995,3572,208,33.630
values_319,12602,6437,360,35.006
values_23,3027,1546,102,29.676
values_899,172647,93826,4136,41.743
values_428,169319,91826,4132,40.977
values_858,61146,30128,1645,37.171
values_546,69524,35683,1824,38.116
values_432,109315,58286,2738,39.925
values_231,89436,47614,2251,39.732
values_388,48117,25133,1266,38.007
values_350,131520,70107,3272,40.196
values_603,4513,2216,149,30.289
values_364,2841,1440,100,28.410
values_530,2946,1500,102,28.882
values_72,70113,36013,1833,38.250
values_536,36459,19065,948,38.459
values_79,54583,28004,1433,38.090
values_342,2853,1447,101,28.248
values_803,4462,2190,148,30.149
values_501,69265,35532,1824,37.974
values_540,31464,16733,807,38.989
values_955,177397,94599,4427,40.072
values_191,155357,82969,3840,40.458
values_812,80677,42275,2049,39.374
values_545,79413,41558,2043,38.871
values_78,25487,13304,683,37.316
values_526,4588,2256,149,30.792
values_695,59803,29424,1634,36.599
values_87,176734,94207,4430,39.895
values_300,186641,97715,4768,39.145
values_964,20904,10723,563,37.130
values_998,107689,57348,2726,39.504
values_988,36559,19128,951,38.443
values_6,12729,6506,361,35.260
values_625,31756,16898,810,39.205
values_518,90298,48110,2260,39.955
values_122,6838,3483,209,32.718
values_541,6918,3528,207,33.420
values_279,138737,72657,3530,39.302
values_256,36715,19206,953,38.526
values_796,31669,16840,812,39.001
values_504,180607,96459,4462,40.477
values_752,15861,7794,458,34.631
values_459,181085,96727,4451,40.684
values_658,180442,96371,4453,40.521
values_408,58988,28997,1630,36.189
values_867,90160,48021,2257,39.947
values_727,4360,2134,148,29.459
values_177,16217,7983,460,35.254
values_823,4501,2209,148,30.412
values_822,180725,96537,4451,40.603
values_218,20983,10764,568,36.942
values_426,97183,50877,2488,39.061
values_776,170659,92627,4127,41.352
values_143,90755,48362,2266,40.051
values_739,25603,13364,680,37.651
values_312,68906,35336,1817,37.923
values_174,155641,83118,3839,40.542
values_669,6979,3564,208,33.553
values_120,4483,2202,149,30.087
values_974,81847,42944,2054,39.848
values_217,69333,35580,1829,37.908
values_866,1486,731,64,23.219
values_192,178773,95388,4436,40.300
values_328,81005,42464,2047,39.573
values_68,12604,6434,362,34.818
values_387,12720,6502,361,35.235
values_69,4687,2310,151,31.040
values_749,43609,23215,1107,39.394
values_135,6679,3393,207,32.266
values_341,54264,27828,1437,37.762
values_494,48045,25081,1268,37.890
values_1,189287,99224,4775,39.641
values_589,43155,22938,1106,39.019
values_925,68930,35354,1823,37.811
values_524,1486,731,64,23.219
values_994,110022,58704,2732,40.272
values_856,90170,48015,2267,39.775
values_156,138649,72598,3531,39.266
values_470,12819,6553,362,35.412
values_207,68954,35367,1822,37.845
values_655,43464,23140,1097,39.621
values_441,79297,41496,2037,38.928
values_109,10077,5255,279,36.118
values_45,70063,35979,1825,38.391
values_125,12745,6513,363,35.110
values_600,36849,19278,955,38.585
values_708,55459,28488,1446,38.353
values_791,50177,26297,1276,39.324
values_912,55848,28714,1442,38.730
values_533,1573,778,65,24.200
values_418,31315,16645,806,38.852
values_228,170210,92339,4141,41.104
values_585,110932,59262,2733,40.590
values_465,140985,73908,3558,39.625
values_239,15677,7701,454,34.531
values_842,171518,93113,4147,41.360
values_208,55501,28499,1450,38.277
values_932,55429,28484,1440,38.492
values_957,189257,99199,4773,39.652
values_563,7308,3748,211,34.635
values_766,68724,35239,1822,37.719
values_476,31327,16641,812,38.580
values_175,171597,93182,4140,41.449
values_591,4488,2203,149,30.121
values_997,20751,10642,562,36.923
values_385,139471,73081,3531,39.499
values_115,25861,13520,679,38.087
values_653,36943,19339,953,38.765
values_753,4362,2137,148,29.473
values_241,78715,41161,2034,38.700
values_197,80097,41965,2038,39.302
values_636,96431,50456,2472,39.009
values_450,153600,81969,3810,40.315
values_106,15874,7808,456,34.811
values_699,4684,2308,150,31.227
values_578,91568,48834,2275,40.250
values_644,59259,29139,1628,36.400
values_570,59716,29387,1628,36.681
values_873,191875,100690,4787,40.083
values_33,122186,66209,2995,40.797
values_210,130010,69232,3268,39.783
values_486,54235,27808,1443,37.585
values_252,109616,58480,2735,40.079
values_694,48975,25615,1266,38.685
values_759,13121,6724,363,36.146
values_245,26309,13771,685,38.407
values_15,48135,25139,1265,38.051
values_792,139347,72984,3544,39.319
values_248,70234,36079,1830,38.379
values_246,108902,58035,2734,39.832
values_556,154057,82189,3830,40.224
values_513,4471,2195,148,30.209
values_93,79503,41611,2037,39.029
values_558,26031,13620,678,38.394
values_991,132131,70475,3264,40.481
values_181,168523,91336,4130,40.805
values_674,98791,51771,2502,39.485
values_652,153224,81716,3824,40.069
values_344,122583,66472,2998,40.888
values_715,68889,35338,1820,37.851
values_528,2830,1433,100,28.300
values_276,180626,96463,4459,40.508
values_24,91035,48509,2269,40.121
values_296,13159,6744,365,36.052
values_244,12680,6475,363,34.931
values_380,98447,51589,2492,39.505
values_25,1573,778,65,24.200
values_740,20346,10410,561,36.267
values_478,187857,98413,4775,39.342
values_379,131412,70045,3263,40.273
values_810,36223,18919,946,38.291
values_440,1486,731,64,23.219
values_543,42565,22601,1100,38.695
values_130,1573,778,65,24.200
values_225,42972,22851,1101,39.030
values_285,2934,1493,101,29.050
values_363,90690,48350,2254,40.235
values_667,91056,48540,2261,40.272
values_26,70104,36002,1827,38.371
values_793,10181,5317,282,36.103
values_772,91876,49009,2271,40.456
values_931,80403,42118,2042,39.375
values_981,20151,10300,560,35.984
values_422,98791,51783,2497,39.564
values_920,97821,51234,2493,39.238
values_259,9967,5192,280,35.596
values_477,6921,3532,209,33.115
values_738,12796,6546,361,35.446
values_430,121275,65706,2986,40.615
values_922,43697,23259,1110,39.367
values_903,154135,82227,3836,40.181
values_761,78761,41191,2033,38.741
values_204,180005,96098,4462,40.342
values_48,89627,47708,2260,39.658
values_71,25925,13558,683,37.958
values_851,7015,3581,210,33.405
values_347,179485,95813,4442,40.406
values_725,43002,22857,1104,38.951
values_266,69878,35875,1827,38.247
values_448,43024,22878,1101,39.077
values_934,4588,2256,149,30.792
values_531,79131,41392,2041,38.771
values_224,79621,41689,2034,39.145
values_686,4549,2237,149,30.530
values_927,68403,35070,1818,37.625
values_407,176240,93907,4435,39.738
values_76,2934,1493,101,29.050
values_949,179713,95926,4457,40.322
values_969,55492,28507,1444,38.429
values_781,25945,13559,684,37.931
values_7,97773,51210,2493,39.219
values_683,139497,73087,3534,39.473
values_376,16130,7939,457,35.295
values_877,78647,41138,2030,38.742
values_654,79765,41767,2038,39.139
values_508,16121,7932,459,35.122
values_332,153781,82042,3829,40.162
values_281,155893,83249,3841,40.587
values_381,188075,98523,4776,39.379
values_769,4471,2195,148,30.209
values_701,170566,92555,4133,41.269
values_855,59941,29502,1633,36.706
values_320,4588,2256,149,30.792
values_50,43182,22974,1101,39.221
values_918,109680,58510,2735,40.102
values_615,178326,95154,4417,40.373
values_704,188423,98742,4759,39.593
values_633,53272,27284,1429,37.279
values_847,141317,74100,3554,39.763
values_602,109526,58415,2738,40.002
values_399,2853,1447,101,28.248
values_22,44293,23605,1108,39.976
values_313,13028,6675,363,35.890
values_375,189149,99128,4767,39.679
values_963,10223,5334,282,36.252
values_168,171226,92939,4151,41.249
values_226,130636,69601,3268,39.974
values_190,122149,66222,2994,40.798
values_429,10161,5302,283,35.905
values_236,20567,10538,562,36.596
values_777,110283,58862,2726,40.456
values_909,129898,69162,3264,39.797
values_438,25773,13464,681,37.846
values_607,69957,35922,1827,38.291
values_717,6772,3446,208,32.558
values_782,179753,95954,4451,40.385
values_258,31024,16471,807,38.444
values_872,15632,7676,454,34.432
values_637,4675,2303,150,31.167
values_746,25849,13506,684,37.791
values_4,26147,13680,684,38.227
values_345,181087,96717,4459,40.612
values_102,129203,68775,3253,39.718
values_962,49765,26077,1263,39.402
values_356,25907,13535,688,37.656
values_853,109417,58335,2742,39.904
values_849,69438,35629,1826,38.027
values_814,171041,92824,4140,41.314
values_370,81113,42524,2051,39.548
values_778,49059,25678,1266,38.751
values_458,97119,50811,2496,38.910
values_818,4579,2251,149,30.732
values_119,124755,67754,3000,41.585
values_373,167839,90956,4112,40.817
values_351,155041,82794,3822,40.565
values_32,79543,41641,2035,39.087
values_770,10149,5294,283,35.862
values_371,4687,2310,151,31.040
values_283,43287,23023,1104,39.209
values_535,4524,2224,149,30.362
values_250,2934,1493,101,29.050
values_132,25705,13423,683,37.635
values_649,12746,6517,360,35.406
values_77,36715,19207,952,38.566
values_260,181001,96717,4447,40.702
values_891,2934,1493,101,29.050
values_91,1573,778,65,24.200
values_137,139325,72978,3542,39.335
