id,clockCycles,assemblyInstr
values_242,25409,13253
values_505,49877,26125
values_924,15744,7735
values_862,48295,25230
values_287,16388,8075
values_733,108508,57831
values_813,155773,83219
values_11,69825,35852
values_19,16028,7889
values_999,1486,731
values_134,26009,13607
values_609,155951,83298
values_993,154310,82340
values_731,179735,95924
values_127,188639,98843
values_889,81109,42550
values_987,55224,28367
values_780,59346,29181
values_435,3016,1539
values_950,20579,10539
values_976,1486,731
values_557,79113,41394
values_398,4471,2195
values_892,181118,96752
values_670,1486,731
values_574,58944,28976
values_163,25293,13189
values_900,180907,96647
values_392,2934,1493
values_447,79207,41454
values_523,2760,1394
values_679,31305,16626
values_419,6844,3487
values_895,109200,58226
values_298,12545,6403
values_155,25761,13457
values_12,167610,90823
values_160,70015,35964
values_626,13269,6808
values_38,25485,13300
values_146,9585,4970
values_81,190013,99638
values_687,2934,1493
values_213,1573,778
values_212,155342,82962
values_568,60121,29595
values_5,139021,72787
values_40,138793,72682
values_970,154478,82444
values_707,2841,1440
values_406,30963,16429
values_893,122614,66485
values_144,36377,19010
values_979,4636,2284
values_831,107535,57251
values_402,91079,48558
values_404,188889,98985
values_310,36861,19296
values_70,141089,73970
values_268,190561,99925
values_412,131237,69973
values_290,3016,1539
values_916,42794,22739
values_567,109541,58423
values_913,4534,2228
values_232,6995,3572
values_319,12602,6437
values_23,3027,1546
values_899,172647,93826
values_428,169319,91826
values_858,61146,30128
values_546,69524,35683
values_432,109315,58286
values_231,89436,47614
values_388,48117,25133
values_350,131520,70107
values_603,4513,2216
values_364,2841,1440
values_530,2946,1500
values_72,70113,36013
values_536,36459,19065
values_79,54583,28004
values_342,2853,1447
values_803,4462,2190
values_501,69265,35532
values_540,31464,16733
values_955,177397,94599
values_191,155357,82969
values_812,80677,42275
values_545,79413,41558
values_78,25487,13304
values_526,4588,2256
values_695,59803,29424
values_87,176734,94207
values_300,186641,97715
values_964,20904,10723
values_998,107689,57348
values_988,36559,19128
values_6,12729,6506
values_625,31756,16898
values_518,90298,48110
values_122,6838,3483
values_541,6918,3528
values_279,138737,72657
values_256,36715,19206
values_796,31669,16840
values_504,180607,96459
values_752,15861,7794
values_459,181085,96727
values_658,180442,96371
values_408,58988,28997
values_867,90160,48021
values_727,4360,2134
values_177,16217,7983
values_823,4501,2209
values_822,180725,96537
values_218,20983,10764
values_426,97183,50877
values_776,170659,92627
values_143,90755,48362
values_739,25603,13364
values_312,68906,35336
values_174,155641,83118
values_669,6979,3564
values_120,4483,2202
values_974,81847,42944
values_217,69333,35580
values_866,1486,731
values_192,178773,95388
values_328,81005,42464
values_68,12604,6434
values_387,12720,6502
values_69,4687,2310
values_749,43609,23215
values_135,6679,3393
values_341,54264,27828
values_494,48045,25081
values_1,189287,99224
values_589,43155,22938
values_925,68930,35354
values_524,1486,731
values_994,110022,58704
values_856,90170,48015
values_156,138649,72598
values_470,12819,6553
values_207,68954,35367
values_655,43464,23140
values_441,79297,41496
values_109,10077,5255
values_45,70063,35979
values_125,12745,6513
values_600,36849,19278
values_708,55459,28488
values_791,50177,26297
values_912,55848,28714
values_533,1573,778
values_418,31315,16645
values_228,170210,92339
values_585,110932,59262
values_465,140985,73908
values_239,15677,7701
values_842,171518,93113
values_208,55501,28499
values_932,55429,28484
values_957,189257,99199
values_563,7308,3748
values_766,68724,35239
values_476,31327,16641
values_175,171597,93182
values_591,4488,2203
values_997,20751,10642
values_385,139471,73081
values_115,25861,13520
values_653,36943,19339
values_753,4362,2137
values_241,78715,41161
values_197,80097,41965
values_636,96431,50456
values_450,153600,81969
values_106,15874,7808
values_699,4684,2308
values_578,91568,48834
values_644,59259,29139
values_570,59716,29387
values_873,191875,100690
values_33,122186,66209
values_210,130010,69232
values_486,54235,27808
values_252,109616,58480
values_694,48975,25615
values_759,13121,6724
values_245,26309,13771
values_15,48135,25139
values_792,139347,72984
values_248,70234,36079
values_246,108902,58035
values_556,154057,82189
values_513,4471,2195
values_93,79503,41611
values_558,26031,13620
values_991,132131,70475
values_181,168523,91336
values_674,98791,51771
values_652,153224,81716
values_344,122583,66472
values_715,68889,35338
values_528,2830,1433
values_276,180626,96463
values_24,91035,48509
values_296,13159,6744
values_244,12680,6475
values_380,98447,51589
values_25,1573,778
values_740,20346,10410
values_478,187857,98413
values_379,131412,70045
values_810,36223,18919
values_440,1486,731
values_543,42565,22601
values_130,1573,778
values_225,42972,22851
values_285,2934,1493
values_363,90690,48350
values_667,91056,48540
values_26,70104,36002
values_793,10181,5317
values_772,91876,49009
values_931,80403,42118
values_981,20151,10300
values_422,98791,51783
values_920,97821,51234
values_259,9967,5192
values_477,6921,3532
values_738,12796,6546
values_430,121275,65706
values_922,43697,23259
values_903,154135,82227
values_761,78761,41191
values_204,180005,96098
values_48,89627,47708
values_71,25925,13558
values_851,7015,3581
values_347,179485,95813
values_725,43002,22857
values_266,69878,35875
values_448,43024,22878
values_934,4588,2256
values_531,79131,41392
values_224,79621,41689
values_686,4549,2237
values_927,68403,35070
values_407,176240,93907
values_76,2934,1493
values_949,179713,95926
values_969,55492,28507
values_781,25945,13559
values_7,97773,51210
values_683,139497,73087
values_376,16130,7939
values_877,78647,41138
values_654,79765,41767
values_508,16121,7932
values_332,153781,82042
values_281,155893,83249
values_381,188075,98523
values_769,4471,2195
values_701,170566,92555
values_855,59941,29502
values_320,4588,2256
values_50,43182,22974
values_918,109680,58510
values_615,178326,95154
values_704,188423,98742
values_633,53272,27284
values_847,141317,74100
values_602,109526,58415
values_399,2853,1447
values_22,44293,23605
values_313,13028,6675
values_375,189149,99128
values_963,10223,5334
values_168,171226,92939
values_226,130636,69601
values_190,122149,66222
values_429,10161,5302
values_236,20567,10538
values_777,110283,58862
values_909,129898,69162
values_438,25773,13464
values_607,69957,35922
values_717,6772,3446
values_782,179753,95954
values_258,31024,16471
values_872,15632,7676
values_637,4675,2303
values_746,25849,13506
values_4,26147,13680
values_345,181087,96717
values_102,129203,68775
values_962,49765,26077
values_356,25907,13535
values_853,109417,58335
values_849,69438,35629
values_814,171041,92824
values_370,81113,42524
values_778,49059,25678
values_458,97119,50811
values_818,4579,2251
values_119,124755,67754
values_373,167839,90956
values_351,155041,82794
values_32,79543,41641
values_770,10149,5294
values_371,4687,2310
values_283,43287,23023
values_535,4524,2224
values_250,2934,1493
values_132,25705,13423
values_649,12746,6517
values_77,36715,19207
values_260,181001,96717
values_891,2934,1493
values_91,1573,778
values_137,139325,72978
values_42,181259,96868
values_13,55292,28390
values_577,131442,70067
values_41,1486,731
values_809,154238,82311
values_414,10057,5245
values_360,187015,97924
values_386,191169,100299
values_158,138939,72752
values_904,9833,5116
values_480,97481,51041
values_647,139725,73209
values_104,154288,82346
values_55,43039,22886
values_491,130381,69449
values_391,187771,98344
values_972,96647,50558
values_571,140065,73382
values_940,139803,73238
values_861,69460,35649
values_324,130629,69615
values_549,122939,66681
values_170,31732,16870
values_269,10251,5355
values_442,25273,13185
values_520,190823,100069
values_455,7165,3670
values_31,48905,25585
values_971,26071,13634
values_397,121927,66070
values_254,4558,2242
values_616,140341,73558
values_66,7069,3618
values_943,79079,41381
values_117,43144,22952
values_451,140595,73711
values_643,1573,778
values_688,169678,91997
values_569,48937,25600
values_745,1573,778
values_65,169080,91698
values_980,54711,28079
values_982,12448,6348
values_62,179524,95837
values_789,98715,51762
values_401,169821,92100
values_21,129893,69197
values_598,80701,42291
values_273,7173,3672
values_534,50079,26258
values_118,79879,41818
values_141,60317,29700
values_366,2923,1486
values_222,123069,66758
values_876,42136,22356
values_700,98243,51471
values_95,12718,6500
values_806,70000,35942
values_671,179887,96023
values_816,181376,96917
values_630,177608,94709
values_433,15874,7804
values_905,21272,10929
values_84,20364,10418
values_233,54873,28171
values_664,109199,58226
values_162,70342,36126
values_681,2934,1493
values_542,122075,66174
values_169,109407,58364
values_660,188717,98917
values_488,12671,6474
values_894,70140,36030
values_828,43309,23036
values_537,54053,27702
values_845,9873,5134
values_584,48681,25452
values_457,36257,18944
values_499,90543,48260
values_369,31556,16772
values_58,9967,5193
values_64,4597,2261
values_196,9455,4894
values_462,70606,36276
values_343,44395,23674
values_262,53114,27192
values_966,12706,6491
values_261,79427,41572
values_349,13190,6766
values_263,132203,70518
values_801,43866,23359
values_292,6788,3454
values_786,89963,47898
values_101,181899,97207
values_691,170470,92487
values_926,20519,10511
values_754,32077,17082
values_215,4375,2143
values_977,36597,19139
values_850,2934,1493
values_646,183022,97845
values_628,7001,3576
values_941,168509,91354
values_353,110953,59242
values_690,79767,41767
values_961,109452,58352
values_331,16208,7982
values_377,12904,6601
values_128,59710,29379
values_336,21017,10785
values_632,25149,13113
values_166,16128,7937
values_744,48775,25498
values_837,131238,69946
values_807,58496,28746
values_838,25489,13307
values_723,12969,6637
values_874,123202,66826
values_627,54698,28069
values_555,139549,73110
values_446,1573,778
values_716,78287,40934
values_240,80551,42227
values_140,90034,47963
values_317,130713,69651
values_83,7015,3581
values_696,25463,13289
values_413,42763,22720
values_94,1573,778
values_937,20667,10592
values_199,79605,41678
values_596,60683,29889
values_0,153419,81844
values_953,48923,25596
values_906,70075,35988
values_742,15515,7616
values_396,43564,23186
values_159,111016,59276
values_238,135338,72357
values_136,25711,13430
values_915,2841,1440
values_99,4435,2174
values_771,168235,91162
values_96,90014,47939
values_768,90193,48051
values_67,54239,27819
values_565,36541,19105
values_848,49609,25978
values_114,9453,4895
values_61,7179,3676
values_511,123186,66817
values_729,132933,70920
values_460,55317,28417
values_832,2853,1447
values_348,155418,82973
values_182,128915,68627
values_986,42351,22480
values_180,69676,35776
values_930,48825,25533
values_274,15963,7850
values_309,168648,91422
values_496,179618,95867
values_165,31833,16932
values_553,109517,58416
values_870,10217,5335
values_795,25337,13224
values_361,69168,35484
values_302,13201,6771
values_586,15818,7769
values_880,97919,51296
values_665,3027,1546
values_527,4362,2137
values_372,30819,16357
values_382,1486,731
values_43,111196,59396
values_935,6737,3429
values_2,20568,10532
values_790,7051,3606
values_152,168335,91254
values_871,107423,57190
values_434,155761,83206
values_775,129813,69130
values_500,70176,36033
values_220,178626,95288
values_875,7096,3627
