inputName,text,data,bss
values_242,792,256,24
values_505,840,625,33
values_924,828,784,36
values_862,816,289,25
values_287,828,36,14
values_733,792,16,12
values_813,828,784,36
values_11,852,484,30
values_19,792,64,16
values_999,852,676,34
values_134,816,9,11
values_609,816,225,23
values_993,828,324,26
values_731,816,81,17
values_127,816,9,11
values_889,792,64,16
values_987,840,625,33
values_780,840,169,21
values_435,792,256,24
values_950,840,529,31
values_976,840,625,33
values_557,816,81,17
values_398,840,169,21
values_892,828,196,22
values_670,816,81,17
values_574,816,225,23
values_163,792,256,24
values_900,828,144,20
values_392,828,324,26
values_447,840,625,33
values_523,792,64,16
values_679,816,9,11
values_419,852,676,34
values_895,840,529,31
values_298,828,784,36
values_155,828,784,36
values_12,816,289,25
values_160,816,9,11
values_626,828,36,14
values_38,792,16,12
values_146,816,9,11
values_81,840,729,35
values_687,840,121,19
values_213,816,225,23
values_212,840,625,33
values_568,816,81,17
values_5,840,121,19
values_40,828,196,22
values_970,852,484,30
values_707,828,144,20
values_406,828,324,26
values_893,828,784,36
values_144,840,441,29
values_979,852,676,34
values_831,816,9,11
values_402,828,196,22
values_404,840,169,21
values_310,840,361,27
values_70,792,64,16
values_268,792,256,24
values_412,828,784,36
values_290,852,484,30
values_916,816,225,23
values_567,792,256,24
values_913,792,4,10
values_232,828,100,18
values_319,816,25,13
values_23,816,49,15
values_899,840,441,29
values_428,828,784,36
values_858,828,784,36
values_546,828,576,32
values_432,792,4,10
values_231,840,625,33
values_388,840,729,35
values_350,840,169,21
values_603,840,625,33
values_364,816,289,25
values_530,840,361,27
values_72,840,121,19
values_536,816,49,15
values_79,792,64,16
values_342,816,81,17
values_803,792,64,16
values_501,792,64,16
values_540,816,289,25
values_955,828,400,28
values_191,828,324,26
values_812,828,196,22
values_545,840,361,27
values_78,828,196,22
values_526,840,121,19
values_695,792,256,24
values_87,840,625,33
values_300,828,196,22
values_964,828,196,22
values_998,816,49,15
values_988,792,4,10
values_6,828,196,22
values_625,852,484,30
values_518,828,144,20
values_122,828,36,14
values_541,792,16,12
values_279,792,64,16
values_256,840,121,19
values_796,852,676,34
values_504,852,484,30
values_752,828,100,18
values_459,828,100,18
values_658,852,676,34
values_408,840,169,21
values_867,828,196,22
values_727,840,121,19
values_177,840,361,27
values_823,792,256,24
values_822,840,625,33
values_218,840,441,29
values_426,828,196,22
values_776,852,676,34
values_143,828,100,18
values_739,840,121,19
values_312,792,64,16
values_174,828,144,20
values_669,840,529,31
values_120,840,529,31
values_974,816,225,23
values_217,816,289,25
values_866,828,36,14
values_192,792,256,24
values_328,828,144,20
values_68,840,121,19
values_387,792,64,16
values_69,828,196,22
values_749,792,64,16
values_135,828,196,22
values_341,828,144,20
values_494,828,196,22
values_1,828,100,18
values_589,828,100,18
values_925,828,100,18
values_524,816,49,15
values_994,840,529,31
values_856,828,36,14
values_156,828,36,14
values_470,792,256,24
values_207,792,16,12
values_655,816,9,11
values_441,828,144,20
values_109,792,16,12
values_45,840,729,35
values_125,852,676,34
values_600,828,576,32
values_708,792,256,24
values_791,792,4,10
values_912,840,529,31
values_533,792,64,16
values_418,840,529,31
values_228,840,729,35
values_585,828,576,32
values_465,792,16,12
values_239,840,729,35
values_842,816,225,23
values_208,828,36,14
values_932,840,169,21
values_957,792,256,24
values_563,840,529,31
values_766,828,144,20
values_476,828,324,26
values_175,816,81,17
values_591,816,25,13
values_997,792,64,16
values_385,792,16,12
values_115,816,289,25
values_653,792,16,12
values_753,828,324,26
values_241,828,400,28
values_197,792,16,12
values_636,816,289,25
