id,cInstr
values_242,82
values_505,104
values_1006,127
values_924,138
values_862,57
values_287,145
values_733,138
values_813,136
values_11,138
values_19,138
values_999,147
values_134,109
values_609,147
values_993,138
values_731,138
values_127,123
values_889,106
values_987,82
values_780,93
values_435,138
values_950,111
values_976,93
values_557,106
values_398,116
values_892,106
values_670,30
values_574,106
values_163,134
values_900,147
values_392,127
values_447,127
values_523,57
values_679,19
values_419,127
values_895,117
values_298,84
values_155,109
values_12,138
values_160,123
values_626,147
values_38,106
values_146,114
values_81,73
values_687,19
values_213,106
values_212,106
values_568,106
values_5,124
values_40,106
values_970,93
values_707,147
values_406,116
values_893,106
values_144,125
values_979,93
values_831,145
values_402,116
values_404,116
values_310,84
values_70,80
values_268,145
values_1018,127
values_412,116
values_290,73
values_916,147
values_567,106
values_913,138
values_232,93
values_319,73
values_23,127
values_899,147
values_428,138
values_858,46
values_546,106
values_432,138
values_231,82
values_388,116
values_350,57
values_603,138
values_364,123
values_530,46
values_72,91
values_536,66
values_79,80
values_342,57
values_803,145
values_501,104
values_540,66
values_955,145
values_191,134
values_812,125
values_545,106
values_78,91
values_526,46
values_695,30
values_87,73
values_300,73
values_964,93
values_998,138
values_988,93
values_6,127
values_625,147
values_518,66
values_122,116
values_541,66
values_279,145
values_256,145
values_796,93
values_504,102
values_752,116
values_459,147
values_658,30
values_408,127
values_867,106
values_727,138
values_177,123
values_823,136
values_822,136
values_218,106
values_426,147
values_776,93
values_143,114
values_739,134
values_312,84
values_174,123
values_669,30
values_120,123
values_974,93
values_217,106
values_866,106
values_192,106
values_328,46
values_68,80
values_387,127
values_69,84
values_749,127
values_135,114
values_341,46
values_494,104
values_1,138
values_589,147
values_925,138
values_524,66
values_994,127
values_856,46
values_156,109
values_470,138
values_207,106
values_655,19
values_441,127
values_109,123
values_45,106
values_125,127
values_600,147
values_708,147
values_791,93
values_912,147
values_533,66
values_418,138
values_228,93
values_585,138
values_465,147
values_239,93
values_842,57
values_208,106
values_932,145
values_957,125
values_563,106
values_766,134
values_476,147
values_175,123
values_591,127
values_997,147
values_385,127
values_115,134
values_653,30
values_753,116
values_241,93
values_197,106
values_636,127
values_450,147
values_106,127
values_699,30
values_578,147
values_644,30
values_570,106
values_873,106
values_33,106
values_210,106
values_486,104
values_252,93
values_694,19
values_759,116
values_245,93
values_15,138
values_792,82
values_248,93
values_246,82
values_556,106
values_513,66
values_93,73
values_558,106
values_991,82
values_181,116
values_674,30
values_652,30
values_344,46
values_715,127
values_528,66
values_276,145
values_24,138
values_296,84
values_244,93
values_380,116
values_25,138
values_740,116
values_478,138
values_379,116
values_810,125
values_440,147
values_543,66
values_130,114
values_225,82
values_285,125
values_363,123
values_667,19
values_26,138
values_793,93
values_1022,138
values_772,93
values_931,145
values_981,82
values_422,127
values_920,138
values_259,136
values_477,138
values_738,127
values_430,138
values_922,138
values_903,147
values_761,116
values_1017,127
values_204,106
values_48,106
values_71,73
values_851,57
values_347,57
values_725,147
values_266,136
values_448,138
values_934,125
values_531,57
values_224,93
values_686,19
values_927,138
values_407,116
values_76,73
values_949,136
values_969,82
values_781,93
values_7,127
values_1014,138
values_683,19
values_376,116
values_1016,138
values_877,106
values_654,19
values_508,104
values_332,46
values_281,145
values_381,127
values_769,93
values_701,30
values_855,46
values_1009,138
values_320,57
values_50,106
values_918,147
values_615,127
values_704,127
values_633,127
values_847,57
values_602,138
values_399,127
values_22,127
values_313,73
values_375,116
values_963,93
values_168,134
values_1021,147
values_226,93
values_190,116
values_429,138
values_236,93
values_777,93
values_909,138
values_438,138
values_607,138
values_717,147
values_1000,147
values_782,93
values_258,145
values_872,106
values_637,147
values_746,116
values_4,138
values_345,57
values_102,123
values_962,82
values_356,102
values_853,46
values_849,57
values_814,125
values_370,116
values_778,82
values_458,147
values_818,145
values_119,123
values_373,127
values_351,46
values_32,106
values_770,82
values_371,116
values_283,136
values_535,66
values_250,93
values_132,114
values_649,19
values_77,91
values_260,145
values_1004,138
values_891,117
values_91,80
values_137,114
values_42,106
values_13,138
values_577,127
values_41,106
values_809,125
values_414,116
values_360,127
values_386,116
values_158,120
values_904,147
values_480,104
values_647,30
values_104,127
values_55,117
values_491,93
values_391,127
values_972,93
values_571,106
values_940,136
values_861,46
values_324,46
values_549,106
values_170,116
values_269,145
values_442,127
values_520,46
values_455,147
values_31,127
values_971,93
values_397,127
values_254,93
values_616,147
values_66,91
values_943,145
values_117,123
values_451,138
values_643,19
values_688,30
values_569,106
values_745,116
values_65,73
values_980,93
values_982,93
values_62,106
values_789,82
values_401,127
values_21,127
values_598,127
values_273,136
values_534,57
values_118,116
values_141,109
values_366,134
values_222,106
values_876,117
values_700,30
values_95,73
values_806,145
values_671,30
values_816,136
values_630,147
values_433,127
values_905,138
values_84,80
values_233,82
values_664,19
values_162,116
values_681,19
values_542,66
values_169,123
values_660,19
values_488,104
values_894,106
values_828,125
values_537,66
values_845,46
values_584,127
values_457,147
values_499,102
values_369,127
values_58,117
values_64,80
values_196,106
values_462,138
values_343,57
values_262,136
values_966,93
values_261,125
values_349,57
values_263,125
values_801,125
values_292,73
values_786,93
values_101,134
values_691,30
values_926,147
values_754,134
values_215,106
values_977,93
values_850,46
values_646,19
values_628,127
values_941,136
values_353,116
values_690,30
values_961,82
values_331,57
values_377,123
values_128,125
values_336,57
values_632,138
values_166,134
values_744,123
values_837,46
values_807,48
values_838,57
values_723,138
values_874,43
values_627,147
values_555,106
values_446,138
values_716,138
values_240,82
values_140,114
values_317,84
values_83,91
values_696,30
values_413,116
values_94,80
values_937,125
values_199,106
values_596,138
values_0,127
values_953,125
values_906,147
values_742,123
values_396,116
values_159,109
values_238,82
values_136,114
values_915,147
values_99,127
values_771,82
values_96,116
values_768,82
values_1001,127
values_67,80
values_565,106
values_848,57
values_114,134
values_61,106
values_511,102
values_729,138
values_460,147
values_832,46
values_1015,138
values_348,57
values_182,127
values_986,93
values_180,134
values_930,145
values_274,136
values_309,73
values_496,102
values_165,123
values_553,106
values_1023,138
values_870,106
values_795,93
values_361,127
values_302,73
values_586,147
values_880,106
values_665,30
values_527,66
values_372,134
values_382,116
values_43,106
values_935,145
values_2,127
values_790,82
values_152,114
values_871,106
values_434,147
values_775,93
values_500,93
values_220,106
values_875,106
values_249,93
values_808,136
values_859,46
values_539,66
values_635,147
values_311,73
values_183,127
values_54,106
values_390,116
values_890,106
values_711,127
values_471,147
values_995,138
values_443,138
values_464,147
values_774,93
values_200,106
values_747,116
values_758,134
values_30,127
values_820,136
values_393,127
values_576,138
values_445,127
values_662,30
values_403,116
values_640,19
values_59,117
values_490,104
values_194,106
values_751,134
values_1007,138
values_663,19
values_938,145
values_532,46
values_885,106
values_713,127
values_193,106
values_650,30
values_564,106
values_267,136
values_147,114
values_709,147
values_857,57
values_334,57
values_965,93
values_824,136
values_784,93
values_229,93
values_538,66
values_463,147
values_741,116
values_85,84
values_493,93
values_794,82
values_202,106
values_74,73
values_410,127
values_469,147
values_394,48
values_149,114
values_945,125
values_293,73
values_456,127
values_975,93
values_547,106
values_164,123
values_720,138
values_833,46
values_90,91
values_954,136
values_1002,147
values_483,104
values_990,93
values_113,134
values_878,106
values_942,145
values_126,116
values_666,30
values_960,93
values_783,93
values_735,138
values_439,138
values_860,57
values_18,127
values_173,123
values_454,138
values_176,116
values_698,30
values_869,106
values_697,19
values_509,102
values_189,116
values_714,127
values_270,125
values_863,57
values_548,106
values_359,127
values_512,57
values_656,19
values_684,19
values_171,120
values_675,19
values_657,19
values_333,57
values_599,127
values_129,114
values_886,106
values_107,134
values_272,145
values_52,106
values_819,125
values_682,30
values_44,106
values_914,147
values_346,46
values_151,114
values_550,106
values_326,57
values_836,46
values_437,127
values_984,93
values_17,127
values_748,116
values_581,147
values_705,138
values_121,123
values_219,106
values_321,46
values_843,57
values_606,138
values_898,138
values_601,138
values_36,106
values_282,145
values_395,127
values_449,138
values_209,106
values_956,136
values_579,138
values_484,102
values_521,57
values_617,127
values_516,66
values_358,116
values_335,57
values_139,114
values_992,127
values_211,106
values_507,104
values_921,138
values_138,114
values_275,125
values_614,147
values_49,106
values_227,93
values_203,106
values_172,123
values_86,73
values_1011,147
values_178,116
values_978,93
values_253,82
values_1010,147
values_291,84
values_911,127
values_230,93
values_318,73
values_798,82
values_638,147
values_112,134
values_201,106
values_629,147
values_337,46
values_37,106
values_56,106
values_316,73
values_829,136
values_63,106
values_35,106
values_519,57
values_481,102
values_278,136
values_186,134
values_702,30
values_722,138
values_97,116
values_329,57
values_75,84
values_560,106
values_612,147
values_421,127
values_639,138
values_939,145
values_198,106
values_840,57
values_415,116
values_405,116
values_100,116
values_726,127
values_265,125
values_743,134
values_436,147
values_583,138
values_525,57
values_677,19
values_289,73
values_255,93
values_529,66
values_826,136
values_362,116
values_355,127
values_506,102
values_315,73
values_604,138
values_57,106
values_133,109
values_787,93
values_799,82
values_765,134
values_887,106
values_952,136
values_631,147
values_306,73
values_497,93
values_821,125
values_618,147
values_271,145
values_645,19
values_985,82
values_400,116
values_562,106
values_590,147
values_648,30
values_325,57
values_883,106
values_827,136
values_854,57
values_307,84
values_88,73
values_958,145
values_251,82
values_902,147
values_680,30
values_884,106
values_901,147
values_354,116
values_420,138
values_103,116
values_10,127
values_474,147
values_53,106
values_8,138
values_39,106
values_755,116
values_124,127
values_841,57
values_510,104
values_989,82
values_706,127
values_257,125
values_811,145
values_111,134
values_47,106
values_928,145
values_561,106
values_383,116
values_498,104
values_60,106
values_737,116
values_624,147
values_973,93
values_472,138
values_280,145
values_389,127
values_651,19
values_642,30
values_668,19
values_551,106
values_750,127
values_592,138
values_89,73
values_411,127
values_620,127
values_357,123
values_247,93
values_692,30
values_572,106
values_757,127
