id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,93,43,15,6.200
values_505,380,176,50,7.600
values_924,216,100,30,7.200
values_862,134,62,20,6.700
values_287,298,138,40,7.450
values_733,298,138,40,7.450
values_813,216,100,30,7.200
values_11,93,43,15,6.200
values_19,216,100,30,7.200
values_999,380,176,50,7.600
values_134,257,119,35,7.343
values_609,93,43,15,6.200
values_993,298,138,40,7.450
values_731,298,138,40,7.450
values_127,134,62,20,6.700
values_889,339,157,45,7.533
values_987,216,100,30,7.200
values_780,175,81,25,7.000
values_435,339,157,45,7.533
values_950,462,214,60,7.700
values_976,216,100,30,7.200
values_557,175,81,25,7.000
values_398,339,157,45,7.533
values_892,380,176,50,7.600
values_670,257,119,35,7.343
values_574,93,43,15,6.200
values_163,298,138,40,7.450
values_900,298,138,40,7.450
values_392,216,100,30,7.200
values_447,257,119,35,7.343
values_523,462,214,60,7.700
values_679,134,62,20,6.700
values_419,216,100,30,7.200
values_895,93,43,15,6.200
values_298,93,43,15,6.200
values_155,462,214,60,7.700
values_12,462,214,60,7.700
values_160,216,100,30,7.200
values_626,298,138,40,7.450
values_38,257,119,35,7.343
values_146,421,195,55,7.655
values_81,339,157,45,7.533
values_687,134,62,20,6.700
values_213,298,138,40,7.450
values_212,462,214,60,7.700
values_568,339,157,45,7.533
values_5,257,119,35,7.343
values_40,175,81,25,7.000
values_970,380,176,50,7.600
values_707,257,119,35,7.343
values_406,462,214,60,7.700
values_893,257,119,35,7.343
values_144,421,195,55,7.655
values_979,462,214,60,7.700
values_831,380,176,50,7.600
values_402,175,81,25,7.000
values_404,175,81,25,7.000
values_310,462,214,60,7.700
values_70,216,100,30,7.200
values_268,421,195,55,7.655
values_412,380,176,50,7.600
values_290,339,157,45,7.533
values_916,175,81,25,7.000
values_567,175,81,25,7.000
values_913,380,176,50,7.600
values_232,421,195,55,7.655
values_319,216,100,30,7.200
values_23,134,62,20,6.700
values_899,134,62,20,6.700
values_428,216,100,30,7.200
values_858,462,214,60,7.700
values_546,175,81,25,7.000
values_432,257,119,35,7.343
values_231,421,195,55,7.655
values_388,216,100,30,7.200
values_350,339,157,45,7.533
values_603,93,43,15,6.200
values_364,134,62,20,6.700
values_530,216,100,30,7.200
values_72,339,157,45,7.533
values_536,216,100,30,7.200
values_79,93,43,15,6.200
values_342,421,195,55,7.655
values_803,257,119,35,7.343
values_501,298,138,40,7.450
values_540,216,100,30,7.200
values_955,462,214,60,7.700
values_191,93,43,15,6.200
values_812,134,62,20,6.700
values_545,462,214,60,7.700
values_78,134,62,20,6.700
values_526,216,100,30,7.200
values_695,380,176,50,7.600
values_87,134,62,20,6.700
values_300,216,100,30,7.200
values_964,175,81,25,7.000
values_998,134,62,20,6.700
values_988,421,195,55,7.655
values_6,339,157,45,7.533
values_625,93,43,15,6.200
values_518,175,81,25,7.000
values_122,134,62,20,6.700
values_541,257,119,35,7.343
values_279,462,214,60,7.700
values_256,175,81,25,7.000
values_796,462,214,60,7.700
values_504,175,81,25,7.000
values_752,339,157,45,7.533
values_459,93,43,15,6.200
values_658,339,157,45,7.533
values_408,339,157,45,7.533
values_867,421,195,55,7.655
values_727,380,176,50,7.600
values_177,380,176,50,7.600
values_823,216,100,30,7.200
values_822,257,119,35,7.343
values_218,298,138,40,7.450
values_426,93,43,15,6.200
values_776,93,43,15,6.200
values_143,339,157,45,7.533
values_739,421,195,55,7.655
values_312,93,43,15,6.200
values_174,134,62,20,6.700
values_669,216,100,30,7.200
values_120,216,100,30,7.200
values_974,93,43,15,6.200
values_217,216,100,30,7.200
values_866,421,195,55,7.655
values_192,134,62,20,6.700
values_328,380,176,50,7.600
values_68,339,157,45,7.533
values_387,339,157,45,7.533
values_69,380,176,50,7.600
values_749,216,100,30,7.200
values_135,421,195,55,7.655
values_341,216,100,30,7.200
values_494,93,43,15,6.200
values_1,216,100,30,7.200
values_589,175,81,25,7.000
values_925,462,214,60,7.700
values_524,339,157,45,7.533
values_994,462,214,60,7.700
values_856,298,138,40,7.450
values_156,462,214,60,7.700
values_470,257,119,35,7.343
values_207,134,62,20,6.700
values_655,380,176,50,7.600
values_441,216,100,30,7.200
values_109,134,62,20,6.700
values_45,257,119,35,7.343
values_125,175,81,25,7.000
values_600,339,157,45,7.533
values_708,216,100,30,7.200
values_791,216,100,30,7.200
values_912,216,100,30,7.200
values_533,298,138,40,7.450
values_418,421,195,55,7.655
values_228,175,81,25,7.000
values_585,134,62,20,6.700
values_465,462,214,60,7.700
values_239,216,100,30,7.200
values_842,339,157,45,7.533
values_208,134,62,20,6.700
values_932,421,195,55,7.655
values_957,93,43,15,6.200
values_563,257,119,35,7.343
values_766,93,43,15,6.200
values_476,257,119,35,7.343
values_175,421,195,55,7.655
values_591,462,214,60,7.700
values_997,380,176,50,7.600
values_385,380,176,50,7.600
values_115,257,119,35,7.343
values_653,339,157,45,7.533
values_753,175,81,25,7.000
values_241,298,138,40,7.450
values_197,257,119,35,7.343
values_636,298,138,40,7.450
values_450,421,195,55,7.655
values_106,216,100,30,7.200
values_699,93,43,15,6.200
values_578,257,119,35,7.343
values_644,339,157,45,7.533
values_570,134,62,20,6.700
values_873,216,100,30,7.200
values_33,93,43,15,6.200
values_210,216,100,30,7.200
values_486,380,176,50,7.600
values_252,339,157,45,7.533
values_694,421,195,55,7.655
values_759,298,138,40,7.450
values_245,134,62,20,6.700
values_15,257,119,35,7.343
values_792,380,176,50,7.600
values_248,175,81,25,7.000
values_246,298,138,40,7.450
values_556,298,138,40,7.450
values_513,462,214,60,7.700
values_93,339,157,45,7.533
values_558,339,157,45,7.533
values_991,462,214,60,7.700
values_181,421,195,55,7.655
values_674,421,195,55,7.655
values_652,134,62,20,6.700
values_344,257,119,35,7.343
values_715,134,62,20,6.700
values_528,93,43,15,6.200
values_276,380,176,50,7.600
values_24,462,214,60,7.700
values_296,339,157,45,7.533
values_244,134,62,20,6.700
values_380,257,119,35,7.343
values_25,257,119,35,7.343
values_740,134,62,20,6.700
values_478,175,81,25,7.000
values_379,257,119,35,7.343
values_810,134,62,20,6.700
values_440,298,138,40,7.450
values_543,298,138,40,7.450
values_130,462,214,60,7.700
values_225,257,119,35,7.343
values_285,134,62,20,6.700
values_363,93,43,15,6.200
values_667,175,81,25,7.000
