id,clockCycles,assemblyInstr
values_242,93,43
values_505,380,176
values_924,216,100
values_862,134,62
values_287,298,138
values_733,298,138
values_813,216,100
values_11,93,43
values_19,216,100
values_999,380,176
values_134,257,119
values_609,93,43
values_993,298,138
values_731,298,138
values_127,134,62
values_889,339,157
values_987,216,100
values_780,175,81
values_435,339,157
values_950,462,214
values_976,216,100
values_557,175,81
values_398,339,157
values_892,380,176
values_670,257,119
values_574,93,43
values_163,298,138
values_900,298,138
values_392,216,100
values_447,257,119
values_523,462,214
values_679,134,62
values_419,216,100
values_895,93,43
values_298,93,43
values_155,462,214
values_12,462,214
values_160,216,100
values_626,298,138
values_38,257,119
values_146,421,195
values_81,339,157
values_687,134,62
values_213,298,138
values_212,462,214
values_568,339,157
values_5,257,119
values_40,175,81
values_970,380,176
values_707,257,119
values_406,462,214
values_893,257,119
values_144,421,195
values_979,462,214
values_831,380,176
values_402,175,81
values_404,175,81
values_310,462,214
values_70,216,100
values_268,421,195
values_412,380,176
values_290,339,157
values_916,175,81
values_567,175,81
values_913,380,176
values_232,421,195
values_319,216,100
values_23,134,62
values_899,134,62
values_428,216,100
values_858,462,214
values_546,175,81
values_432,257,119
values_231,421,195
values_388,216,100
values_350,339,157
values_603,93,43
values_364,134,62
values_530,216,100
values_72,339,157
values_536,216,100
values_79,93,43
values_342,421,195
values_803,257,119
values_501,298,138
values_540,216,100
values_955,462,214
values_191,93,43
values_812,134,62
values_545,462,214
values_78,134,62
values_526,216,100
values_695,380,176
values_87,134,62
values_300,216,100
values_964,175,81
values_998,134,62
values_988,421,195
values_6,339,157
values_625,93,43
values_518,175,81
values_122,134,62
values_541,257,119
values_279,462,214
values_256,175,81
values_796,462,214
values_504,175,81
values_752,339,157
values_459,93,43
values_658,339,157
values_408,339,157
values_867,421,195
values_727,380,176
values_177,380,176
values_823,216,100
values_822,257,119
values_218,298,138
values_426,93,43
values_776,93,43
values_143,339,157
values_739,421,195
values_312,93,43
values_174,134,62
values_669,216,100
values_120,216,100
values_974,93,43
values_217,216,100
values_866,421,195
values_192,134,62
values_328,380,176
values_68,339,157
values_387,339,157
values_69,380,176
values_749,216,100
values_135,421,195
values_341,216,100
values_494,93,43
values_1,216,100
values_589,175,81
values_925,462,214
values_524,339,157
values_994,462,214
values_856,298,138
