inputName,n
values_242,2
values_505,9
values_924,5
values_862,3
values_287,7
values_733,7
values_813,5
values_11,2
values_19,5
values_999,9
values_134,6
values_609,2
values_993,7
values_731,7
values_127,3
values_889,8
values_987,5
values_780,4
values_435,8
values_950,11
values_976,5
values_557,4
values_398,8
values_892,9
values_670,6
values_574,2
values_163,7
values_900,7
values_392,5
values_447,6
values_523,11
values_679,3
values_419,5
values_895,2
values_298,2
values_155,11
values_12,11
values_160,5
values_626,7
values_38,6
values_146,10
values_81,8
values_687,3
values_213,7
values_212,11
values_568,8
values_5,6
values_40,4
values_970,9
values_707,6
values_406,11
values_893,6
values_144,10
values_979,11
values_831,9
values_402,4
values_404,4
values_310,11
values_70,5
values_268,10
values_412,9
values_290,8
values_916,4
values_567,4
values_913,9
values_232,10
values_319,5
values_23,3
values_899,3
values_428,5
values_858,11
values_546,4
values_432,6
values_231,10
values_388,5
values_350,8
values_603,2
values_364,3
values_530,5
values_72,8
values_536,5
values_79,2
values_342,10
values_803,6
values_501,7
values_540,5
values_955,11
values_191,2
values_812,3
values_545,11
values_78,3
values_526,5
values_695,9
values_87,3
values_300,5
values_964,4
values_998,3
values_988,10
values_6,8
values_625,2
values_518,4
values_122,3
values_541,6
values_279,11
values_256,4
values_796,11
values_504,4
values_752,8
values_459,2
values_658,8
values_408,8
values_867,10
values_727,9
values_177,9
values_823,5
values_822,6
values_218,7
values_426,2
values_776,2
values_143,8
values_739,10
values_312,2
values_174,3
values_669,5
values_120,5
values_974,2
values_217,5
values_866,10
values_192,3
values_328,9
values_68,8
values_387,8
values_69,9
values_749,5
values_135,10
values_341,5
values_494,2
values_1,5
values_589,4
values_925,11
values_524,8
values_994,11
values_856,7
values_156,11
values_470,6
values_207,3
values_655,9
values_441,5
values_109,3
values_45,6
values_125,4
values_600,8
values_708,5
values_791,5
values_912,5
values_533,7
values_418,10
values_228,4
values_585,3
values_465,11
values_239,5
values_842,8
values_208,3
values_932,10
values_957,2
values_563,6
values_766,2
values_476,6
values_175,10
values_591,11
values_997,9
values_385,9
values_115,6
values_653,8
values_753,4
values_241,7
values_197,6
values_636,7
values_450,10
values_106,5
values_699,2
values_578,6
values_644,8
values_570,3
values_873,5
values_33,2
values_210,5
values_486,9
values_252,8
values_694,10
values_759,7
values_245,3
values_15,6
values_792,9
values_248,4
values_246,7
values_556,7
values_513,11
values_93,8
values_558,8
values_991,11
values_181,10
values_674,10
values_652,3
values_344,6
values_715,3
values_528,2
values_276,9
values_24,11
values_296,8
values_244,3
values_380,6
values_25,6
values_740,3
values_478,4
values_379,6
values_810,3
values_440,7
values_543,7
values_130,11
values_225,6
values_285,3
values_363,2
values_667,4
values_26,11
values_793,2
values_772,11
values_931,11
values_981,9
values_422,9
values_920,6
values_259,7
values_477,10
values_738,11
values_430,8
values_922,7
values_903,7
values_761,5
values_204,7
values_48,7
values_71,7
values_851,4
values_347,9
values_725,11
values_266,7
values_448,6
values_934,9
values_531,3
values_224,2
values_686,9
values_927,4
values_407,7
values_76,7
values_949,5
values_969,10
values_781,10
values_7,2
values_683,5
values_376,4
values_877,6
values_654,7
values_508,6
values_332,6
values_281,5
values_381,6
values_769,8
values_701,4
values_855,4
values_320,7
values_50,8
values_918,6
values_615,10
values_704,7
values_633,5
values_847,7
values_602,6
values_399,2
values_22,4
values_313,7
values_375,5
values_963,8
values_168,5
values_226,9
values_190,3
values_429,2
values_236,3
values_777,8
values_909,6
values_438,5
values_607,9
values_717,7
values_782,9
values_258,10
values_872,9
values_637,5
values_746,3
values_4,7
values_345,10
values_102,9
values_962,7
values_356,11
values_853,3
values_849,3
values_814,2
values_370,2
values_778,4
values_458,8
values_818,2
values_119,8
values_373,10
values_351,11
values_32,8
values_770,2
values_371,3
values_283,6
values_535,8
values_250,9
values_132,3
values_649,11
values_77,11
values_260,2
values_891,8
values_91,4
values_137,10
values_42,3
values_13,9
values_577,9
values_41,4
values_809,6
values_414,2
values_360,10
values_386,9
values_158,5
values_904,10
values_480,9
values_647,5
values_104,11
values_55,8
values_491,2
values_391,10
values_972,9
values_571,5
values_940,10
values_861,3
values_324,2
values_549,4
values_170,8
values_269,10
values_442,11
values_520,9
values_455,7
values_31,11
values_971,11
values_397,7
values_254,3
values_616,5
values_66,7
values_943,11
values_117,9
values_451,9
values_643,9
values_688,4
values_569,7
values_745,4
values_65,10
values_980,2
values_982,11
values_62,7
values_789,8
values_401,3
values_21,3
values_598,3
values_273,8
values_534,3
values_118,9
values_141,8
values_366,5
values_222,10
values_876,10
values_700,9
values_95,9
values_806,9
values_671,10
values_816,8
values_630,8
values_433,10
values_905,10
values_84,4
values_233,10
values_664,11
values_162,2
values_681,7
values_542,5
values_169,4
values_660,2
values_488,3
values_894,8
values_828,3
values_537,8
values_845,4
values_584,2
values_457,3
values_499,11
values_369,5
values_58,10
values_64,10
values_196,2
values_462,7
values_343,3
values_262,2
values_966,8
values_261,9
values_349,6
values_263,11
values_801,7
values_292,6
values_786,7
values_101,2
values_691,8
values_926,3
values_754,10
values_215,9
values_977,10
values_850,3
values_646,9
values_628,11
values_941,11
values_353,2
values_690,9
values_961,2
values_331,7
values_377,7
values_128,6
values_336,5
values_632,11
values_166,6
values_744,11
values_837,4
values_807,10
values_838,11
values_723,2
values_874,9
values_627,8
values_555,7
values_446,6
values_716,8
values_240,5
values_140,7
values_317,4
values_83,3
values_696,10
values_413,2
values_94,11
values_937,7
values_199,5
values_596,3
values_0,6
values_953,6
values_906,9
values_742,5
values_396,5
values_159,5
values_238,4
values_136,5
values_915,11
values_99,10
values_771,6
values_96,5
values_768,10
values_67,11
values_565,10
values_848,9
values_114,8
values_61,9
values_511,6
values_729,8
values_460,8
values_832,6
values_348,8
values_182,7
values_986,10
values_180,10
values_930,2
values_274,7
values_309,8
values_496,7
values_165,4
values_553,2
values_870,7
values_795,11
values_361,4
values_302,5
values_586,8
values_880,10
values_665,6
values_527,2
values_372,4
values_382,2
values_43,10
values_935,5
values_2,7
values_790,2
values_152,11
values_871,11
values_434,10
values_775,11
values_500,10
values_220,9
values_875,6
values_249,9
values_808,7
values_859,4
values_539,3
values_635,10
