inputName,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_505,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_1006,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_924,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_862,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_287,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_733,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_813,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_11,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_19,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_999,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_134,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_609,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_993,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_731,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_127,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_889,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_987,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_780,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_435,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_950,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_976,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_557,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_398,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_892,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_670,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_574,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_163,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_900,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_392,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_447,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_523,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_679,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_419,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_895,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_298,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_155,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_12,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_160,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_626,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_38,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_146,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_81,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_687,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_213,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_212,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_568,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_5,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_40,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_970,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_707,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_406,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_893,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_144,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_979,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_831,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_402,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_404,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_310,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_70,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_268,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_1018,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_412,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_290,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
values_916,24,47,17,189,41,1012.58,33593.74,0.03,33.18,1866.32,0.35
