id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,347,155,35,9.914
values_505,661,298,65,10.169
values_1006,814,366,81,10.049
values_924,795,360,77,10.325
values_862,761,343,75,10.147
values_287,928,419,91,10.198
values_733,681,307,67,10.164
values_813,1041,469,103,10.107
values_11,514,231,51,10.078
values_19,882,400,85,10.376
values_999,788,356,77,10.234
values_134,755,342,73,10.342
values_609,621,280,61,10.180
values_993,788,356,77,10.234
values_731,855,387,83,10.301
values_127,1347,605,135,9.978
values_889,967,434,97,9.969
values_987,1234,555,123,10.033
values_780,828,374,81,10.222
values_435,929,422,89,10.438
values_950,641,289,63,10.175
values_976,868,392,85,10.212
values_557,1201,541,119,10.092
values_398,754,339,75,10.053
values_892,494,222,49,10.082
values_670,601,271,59,10.186
values_574,922,418,89,10.360
values_163,567,254,57,9.947
values_900,969,440,93,10.419
values_392,307,137,31,9.903
values_447,661,298,65,10.169
values_523,668,302,65,10.277
values_679,347,155,35,9.914
values_419,714,321,71,10.056
values_895,808,365,79,10.228
values_298,855,387,83,10.301
values_155,808,365,79,10.228
values_12,621,280,61,10.180
values_160,835,378,81,10.309
values_626,367,164,37,9.919
values_38,1161,523,115,10.096
values_146,554,249,55,10.073
values_81,661,298,65,10.169
values_687,942,427,91,10.352
values_213,601,271,59,10.186
values_212,728,329,71,10.254
values_568,748,338,73,10.247
values_5,775,351,75,10.333
values_40,714,321,71,10.056
values_970,768,347,75,10.240
values_707,714,321,71,10.056
values_406,514,231,51,10.078
values_893,801,361,79,10.139
values_144,748,338,73,10.247
values_979,801,361,79,10.139
values_831,835,378,81,10.309
values_402,601,271,59,10.186
values_404,587,263,59,9.949
values_310,848,383,83,10.217
values_70,828,374,81,10.222
values_268,775,351,75,10.333
values_1018,814,366,81,10.049
values_412,514,231,51,10.078
values_290,747,335,75,9.960
values_916,748,338,73,10.247
values_567,728,329,71,10.254
values_913,514,231,51,10.078
values_232,454,204,45,10.089
values_319,895,405,87,10.287
values_23,728,329,71,10.254
values_899,554,249,55,10.073
values_428,1507,677,151,9.980
values_858,835,378,81,10.309
values_546,781,352,77,10.143
values_432,855,387,83,10.301
values_231,661,298,65,10.169
values_388,634,285,63,10.063
values_350,1328,599,131,10.137
values_603,1041,469,103,10.107
values_364,815,369,79,10.316
values_530,621,280,61,10.180
values_72,220,97,23,9.565
values_536,494,222,49,10.082
values_79,875,396,85,10.294
values_342,1134,510,113,10.035
values_803,687,308,69,9.957
values_501,942,427,91,10.352
values_540,1167,524,117,9.974
values_955,835,378,81,10.309
values_191,761,343,75,10.147
values_812,614,276,61,10.066
values_545,815,369,79,10.316
values_78,922,418,89,10.360
values_526,1361,613,135,10.081
values_695,701,316,69,10.159
values_87,648,293,63,10.286
values_300,902,409,87,10.368
values_964,855,387,83,10.301
values_998,941,424,93,10.118
values_988,922,418,89,10.360
values_6,561,253,55,10.200
values_625,594,267,59,10.068
values_518,728,329,71,10.254
values_122,1021,460,101,10.109
values_541,1294,582,129,10.031
values_279,434,195,43,10.093
values_256,868,392,85,10.212
values_796,581,262,57,10.193
values_504,681,307,67,10.164
values_752,795,360,77,10.325
values_459,521,235,51,10.216
values_658,474,213,47,10.085
values_408,454,204,45,10.089
values_867,660,295,67,9.851
values_727,574,258,57,10.070
values_177,300,133,31,9.677
values_823,734,330,73,10.055
values_822,554,249,55,10.073
values_218,875,396,85,10.294
values_426,828,374,81,10.222
values_776,427,191,43,9.930
values_143,1055,477,103,10.243
values_739,687,308,69,9.957
values_312,747,335,75,9.960
values_174,581,262,57,10.193
values_669,989,449,95,10.411
values_120,701,316,69,10.159
values_974,895,405,87,10.287
values_217,514,231,51,10.078
values_866,560,250,57,9.825
values_192,855,387,83,10.301
values_328,768,347,75,10.240
values_68,394,177,39,10.103
values_387,307,137,31,9.903
values_69,741,334,73,10.151
values_749,1041,469,103,10.107
values_135,861,388,85,10.129
values_341,808,365,79,10.228
values_494,814,366,81,10.049
values_1,614,276,61,10.066
values_589,1041,469,103,10.107
values_925,307,137,31,9.903
values_524,728,329,71,10.254
values_994,854,384,85,10.047
values_856,734,330,73,10.055
values_156,815,369,79,10.316
values_470,641,289,63,10.175
values_207,1076,489,103,10.447
values_655,922,418,89,10.360
values_441,574,258,57,10.070
values_109,1541,694,153,10.072
values_45,808,365,79,10.228
values_125,875,396,85,10.294
values_600,527,236,53,9.943
values_708,541,244,53,10.208
values_791,648,293,63,10.286
values_912,875,396,85,10.294
values_533,688,311,67,10.269
values_418,741,334,73,10.151
values_228,694,312,69,10.058
values_585,721,325,71,10.155
values_465,514,231,51,10.078
values_239,888,401,87,10.207
values_842,774,348,77,10.052
values_208,855,387,83,10.301
values_932,327,146,33,9.909
values_957,574,258,57,10.070
values_563,975,441,95,10.263
values_766,795,360,77,10.325
values_476,454,204,45,10.089
values_175,875,396,85,10.294
values_591,928,419,91,10.198
values_997,788,356,77,10.234
values_385,494,222,49,10.082
values_115,921,415,91,10.121
values_653,828,374,81,10.222
values_753,741,334,73,10.151
values_241,407,182,41,9.927
values_197,828,374,81,10.222
values_636,567,254,57,9.947
values_450,240,106,25,9.600
values_106,768,347,75,10.240
values_699,754,339,75,10.053
values_578,734,330,73,10.055
values_644,922,418,89,10.360
values_570,835,378,81,10.309
values_873,1354,609,135,10.030
values_33,601,271,59,10.186
values_210,1087,488,109,9.972
values_486,941,424,93,10.118
values_252,795,360,77,10.325
values_694,768,347,75,10.240
values_759,734,330,73,10.055
values_245,574,258,57,10.070
values_15,668,302,65,10.277
values_792,728,329,71,10.254
values_248,414,186,41,10.098
values_246,581,262,57,10.193
values_556,835,378,81,10.309
values_513,641,289,63,10.175
values_93,842,382,81,10.395
values_558,881,397,87,10.126
values_991,828,374,81,10.222
values_181,855,387,83,10.301
values_674,707,317,71,9.958
values_652,641,289,63,10.175
values_344,788,356,77,10.234
values_715,367,164,37,9.919
values_528,808,365,79,10.228
values_276,748,338,73,10.247
values_24,240,106,25,9.600
values_296,835,378,81,10.309
values_244,741,334,73,10.151
values_380,654,294,65,10.062
values_25,728,329,71,10.254
values_740,1887,848,189,9.984
values_478,621,280,61,10.180
values_379,902,409,87,10.368
values_810,688,311,67,10.269
values_440,661,298,65,10.169
values_543,835,378,81,10.309
values_130,647,290,65,9.954
values_225,715,324,69,10.362
values_285,1035,468,101,10.248
values_363,434,195,43,10.093
values_667,989,449,95,10.411
values_26,848,383,83,10.217
values_793,648,293,63,10.286
values_1022,1015,459,99,10.253
values_772,755,342,73,10.342
values_931,700,313,71,9.859
values_981,801,361,79,10.139
values_422,942,427,91,10.352
values_920,688,311,67,10.269
values_259,600,268,61,9.836
values_477,855,387,83,10.301
values_738,734,330,73,10.055
values_430,561,253,55,10.200
values_922,741,334,73,10.151
values_903,748,338,73,10.247
values_761,734,330,73,10.055
values_1017,661,298,65,10.169
values_204,748,338,73,10.247
values_48,768,347,75,10.240
values_71,648,293,63,10.286
values_851,835,378,81,10.309
values_347,974,438,97,10.041
values_725,774,348,77,10.052
values_266,761,343,75,10.147
values_448,721,325,71,10.155
values_934,787,353,79,9.962
values_531,795,360,77,10.325
values_224,781,352,77,10.143
values_686,180,79,19,9.474
values_927,795,360,77,10.325
values_407,474,213,47,10.085
values_76,728,329,71,10.254
values_949,648,293,63,10.286
values_969,801,361,79,10.139
values_781,915,414,89,10.281
values_7,794,357,79,10.051
values_1014,855,387,83,10.301
values_683,387,173,39,9.923
values_376,621,280,61,10.180
values_1016,681,307,67,10.164
values_877,841,379,83,10.133
values_654,521,235,51,10.216
values_508,815,369,79,10.316
values_332,922,418,89,10.360
values_281,434,195,43,10.093
values_381,895,405,87,10.287
values_769,708,320,69,10.261
values_701,1381,622,137,10.080
values_855,775,351,75,10.333
values_1009,821,370,81,10.136
values_320,1135,513,111,10.225
values_50,494,222,49,10.082
values_918,708,320,69,10.261
values_615,494,222,49,10.082
values_704,915,414,89,10.281
values_633,494,222,49,10.082
values_847,834,375,83,10.048
values_602,915,414,89,10.281
values_399,834,375,83,10.048
values_22,594,267,59,10.068
values_313,754,339,75,10.053
values_375,714,321,71,10.056
values_963,1034,465,103,10.039
values_168,775,351,75,10.333
values_1021,788,356,77,10.234
values_226,521,235,51,10.216
values_190,989,449,95,10.411
values_429,989,449,95,10.411
values_236,641,289,63,10.175
values_777,775,351,75,10.333
values_909,908,410,89,10.202
values_438,828,374,81,10.222
values_607,835,378,81,10.309
values_717,989,449,95,10.411
values_1000,727,326,73,9.959
values_782,915,414,89,10.281
values_258,841,379,83,10.133
values_872,641,289,63,10.175
values_637,761,343,75,10.147
values_746,688,311,67,10.269
values_4,1954,879,195,10.021
values_345,748,338,73,10.247
values_102,1181,532,117,10.094
values_962,914,411,91,10.044
values_356,942,427,91,10.352
values_853,701,316,69,10.159
values_849,561,253,55,10.200
values_814,801,361,79,10.139
values_370,641,289,63,10.175
values_778,1494,672,149,10.027
values_458,661,298,65,10.169
values_818,687,308,69,9.957
values_119,634,285,63,10.063
values_373,855,387,83,10.301
values_351,788,356,77,10.234
values_32,835,378,81,10.309
values_770,634,285,63,10.063
values_371,781,352,77,10.143
values_283,974,438,97,10.041
values_535,728,329,71,10.254
values_250,821,370,81,10.136
values_132,841,379,83,10.133
values_649,961,433,95,10.116
values_77,1454,654,145,10.028
values_260,848,383,83,10.217
values_1004,788,356,77,10.234
values_891,601,271,59,10.186
values_91,942,427,91,10.352
values_137,828,374,81,10.222
values_42,895,405,87,10.287
values_13,875,396,85,10.294
values_577,594,267,59,10.068
values_41,915,414,89,10.281
values_809,721,325,71,10.155
values_414,774,348,77,10.052
values_360,775,351,75,10.333
values_386,367,164,37,9.919
values_158,748,338,73,10.247
values_904,755,342,73,10.342
values_480,861,388,85,10.129
values_647,327,146,33,9.909
values_104,794,357,79,10.051
values_55,714,321,71,10.056
values_491,721,325,71,10.155
values_391,494,222,49,10.082
values_972,921,415,91,10.121
values_571,801,361,79,10.139
values_940,748,338,73,10.247
values_861,808,365,79,10.228
values_324,875,396,85,10.294
values_549,768,347,75,10.240
values_170,748,338,73,10.247
values_269,788,356,77,10.234
values_442,1009,458,97,10.402
values_520,581,262,57,10.193
values_455,841,379,83,10.133
values_31,1001,451,99,10.111
values_971,788,356,77,10.234
values_397,814,366,81,10.049
values_254,654,294,65,10.062
values_616,434,195,43,10.093
values_66,634,285,63,10.063
values_943,928,419,91,10.198
values_117,989,449,95,10.411
values_451,260,115,27,9.630
values_643,420,187,43,9.767
values_688,1009,458,97,10.402
values_569,728,329,71,10.254
values_745,721,325,71,10.155
values_65,574,258,57,10.070
values_980,801,361,79,10.139
values_982,781,352,77,10.143
values_62,768,347,75,10.240
