inputName,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242,51,255,132,687,183,5163.29,254350.50,0.02,49.26,14130.58,1.34
values_505,51,266,140,713,191,5402.71,261761.14,0.02,48.45,14542.29,1.36
values_924,51,251,127,676,178,5053.60,254689.29,0.02,50.40,14149.41,1.34
values_862,51,274,147,734,198,5599.95,266168.95,0.02,47.53,14787.16,1.38
values_287,51,272,147,726,198,5538.91,261346.26,0.02,47.18,14519.24,1.36
values_733,51,266,141,715,192,5423.25,260892.85,0.02,48.11,14494.05,1.36
values_813,51,271,146,724,197,5518.37,261196.33,0.02,47.33,14510.91,1.36
values_11,51,249,126,671,177,5010.76,252506.68,0.02,50.39,14028.15,1.33
values_19,51,256,132,686,183,5155.77,254976.27,0.02,49.45,14165.35,1.34
values_999,51,253,130,680,181,5099.90,253092.11,0.02,49.63,14060.67,1.33
values_134,51,253,130,682,181,5114.89,253836.50,0.02,49.63,14102.03,1.34
values_609,51,251,126,676,177,5048.10,256431.53,0.02,50.80,14246.20,1.35
values_993,51,256,133,689,184,5183.73,254431.71,0.02,49.08,14135.09,1.34
values_731,51,259,136,698,187,5267.73,255814.25,0.02,48.56,14211.90,1.34
values_127,51,258,135,692,186,5217.10,254246.57,0.02,48.73,14124.81,1.34
values_889,51,254,129,686,180,5139.41,258046.25,0.02,50.21,14335.90,1.35
values_987,51,275,148,737,199,5628.19,266673.64,0.02,47.38,14815.20,1.38
values_780,51,256,133,687,184,5168.69,253693.15,0.02,49.08,14094.06,1.34
values_435,51,258,133,694,184,5221.35,258280.26,0.02,49.47,14348.90,1.35
values_950,51,274,145,730,196,5558.74,267854.51,0.02,48.19,14880.81,1.39
values_976,51,257,133,691,184,5198.78,256167.02,0.02,49.27,14231.50,1.34
values_557,51,261,138,700,189,5293.57,255299.66,0.02,48.23,14183.31,1.34
values_398,51,261,136,702,187,5297.92,259266.96,0.02,48.94,14403.72,1.36
values_892,51,257,134,691,185,5204.18,254519.58,0.02,48.91,14139.98,1.34
values_670,51,250,127,672,178,5023.69,252173.56,0.02,50.20,14009.64,1.33
values_574,51,257,133,691,184,5198.78,256167.02,0.02,49.27,14231.50,1.34
values_163,51,269,140,717,191,5433.02,266198.40,0.02,49.00,14788.80,1.38
values_900,51,265,140,714,191,5410.28,261142.82,0.02,48.27,14507.93,1.36
values_392,51,259,136,695,187,5245.09,254714.76,0.02,48.56,14150.82,1.34
values_447,51,273,146,734,197,5594.59,266758.29,0.02,47.68,14819.91,1.38
values_523,51,273,148,729,199,5567.10,261860.55,0.02,47.04,14547.81,1.36
values_679,51,251,127,676,178,5053.60,254689.29,0.02,50.40,14149.41,1.34
values_419,51,254,131,683,182,5127.82,253533.70,0.02,49.44,14085.21,1.34
values_895,51,263,138,709,189,5361.63,260563.56,0.02,48.60,14475.75,1.36
values_298,51,254,131,682,182,5120.32,253162.49,0.02,49.44,14064.58,1.33
values_155,51,271,145,725,196,5520.66,263107.26,0.02,47.66,14617.07,1.37
values_12,51,273,147,729,198,5561.80,263391.00,0.02,47.36,14632.83,1.37
values_160,51,264,141,708,192,5370.15,256396.26,0.02,47.74,14244.24,1.35
values_626,51,257,134,691,185,5204.18,254519.58,0.02,48.91,14139.98,1.34
values_38,51,271,145,724,196,5513.05,262744.36,0.02,47.66,14596.91,1.37
values_146,51,263,138,703,189,5316.26,258358.51,0.02,48.60,14353.25,1.35
values_81,51,260,136,698,187,5267.73,256801.95,0.02,48.75,14266.78,1.35
values_687,51,249,126,672,177,5018.23,252882.99,0.02,50.39,14049.06,1.33
values_213,51,259,134,693,185,5219.25,257242.68,0.02,49.29,14291.26,1.35
values_212,51,254,131,685,182,5142.84,254276.11,0.02,49.44,14126.45,1.34
values_568,51,265,140,711,191,5387.55,260045.59,0.02,48.27,14446.98,1.36
values_5,51,275,148,736,199,5620.56,266311.80,0.02,47.38,14795.10,1.38
values_40,51,273,148,735,199,5612.92,264015.79,0.02,47.04,14667.54,1.37
values_970,51,272,147,724,198,5523.65,260626.30,0.02,47.18,14479.24,1.36
values_707,51,250,127,675,178,5046.12,253299.33,0.02,50.20,14072.19,1.33
values_406,51,263,139,707,190,5351.89,258218.97,0.02,48.25,14345.50,1.35
values_893,51,268,141,719,192,5453.59,264324.97,0.02,48.47,14684.72,1.37
