id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,8668,3897,580,14.945
values_505,8092,3633,542,14.930
values_924,820,375,62,13.226
values_862,7997,3594,535,14.948
values_287,1526,689,111,13.748
values_733,7184,3231,480,14.967
values_813,2021,918,143,14.133
values_11,8554,3845,572,14.955
values_19,936,421,72,13.000
values_999,10379,4666,689,15.064
values_134,854,389,65,13.138
values_609,5117,2302,346,14.789
values_993,5817,2610,394,14.764
values_731,3244,1463,225,14.418
values_127,6319,2840,425,14.868
values_889,1942,877,139,13.971
values_987,8929,4016,595,15.007
values_780,1525,692,110,13.864
values_435,4633,2088,315,14.708
values_950,3446,1551,238,14.479
values_976,4413,1984,302,14.613
values_557,1372,619,102,13.451
values_398,519,236,43,12.070
values_892,9405,4232,626,15.024
values_670,9756,4383,651,14.986
values_574,3807,1718,260,14.642
values_163,418,191,35,11.943
values_900,5029,2266,341,14.748
values_392,854,389,65,13.138
values_447,532,243,43,12.372
values_523,223,104,21,10.619
values_679,11191,5030,740,15.123
values_419,680,309,54,12.593
values_895,2037,916,146,13.952
values_298,498,229,40,12.450
values_155,11541,5184,764,15.106
values_12,143,66,16,8.938
values_160,257,118,24,10.708
values_626,3499,1578,242,14.459
values_38,3238,1457,224,14.455
values_146,1002,455,76,13.184
values_81,8312,3737,555,14.977
values_687,4042,1823,275,14.698
values_213,8587,3862,574,14.960
values_212,291,132,27,10.778
values_568,552,253,45,12.267
values_5,6291,2832,423,14.872
values_40,3029,1366,209,14.493
values_970,901,410,68,13.250
values_707,11178,5023,740,15.105
values_406,5184,2333,351,14.769
values_893,820,375,62,13.226
values_144,7775,3496,520,14.952
values_979,9252,4159,618,14.971
values_831,458,211,39,11.744
values_402,6298,2835,425,14.819
values_404,2277,1030,161,14.143
values_310,4942,2225,334,14.796
values_70,1163,528,87,13.368
values_268,902,407,69,13.072
values_412,3566,1609,247,14.437
values_290,982,445,74,13.270
values_916,2815,1268,197,14.289
values_567,7949,3576,531,14.970
values_913,7816,3513,525,14.888
values_232,4290,1935,290,14.793
values_319,2666,1205,185,14.411
values_23,4244,1911,288,14.736
values_899,4995,2252,338,14.778
values_428,5385,2424,363,14.835
values_858,6050,2723,410,14.756
values_546,1781,804,128,13.914
values_432,3579,1616,247,14.490
values_231,8264,3719,551,14.998
values_388,109,52,13,8.385
values_350,2956,1331,206,14.350
values_603,6157,2772,416,14.800
values_364,706,323,54,13.074
values_530,4875,2196,332,14.684
values_72,8567,3852,572,14.977
values_536,109,52,13,8.385
values_79,7990,3593,536,14.907
values_342,8211,3694,550,14.929
values_803,7700,3467,515,14.951
values_501,3036,1369,211,14.389
values_540,7386,3321,496,14.891
values_955,10179,4572,678,15.013
values_191,277,128,26,10.654
values_812,2244,1013,159,14.113
values_545,4795,2158,327,14.664
values_78,1110,501,83,13.373
values_526,357,166,31,11.516
values_695,5814,2619,391,14.870
values_87,10649,4782,708,15.041
values_300,291,132,27,10.778
values_964,10917,4904,725,15.058
values_998,1941,880,138,14.065
values_988,1780,807,127,14.016
values_6,3768,1697,260,14.492
values_625,2256,1023,158,14.278
values_518,3069,1386,213,14.408
values_122,8587,3862,574,14.960
values_541,4761,2144,324,14.694
values_279,9466,4257,630,15.025
values_256,8581,3856,573,14.976
values_796,10601,4764,704,15.058
values_504,6694,3013,451,14.843
values_752,706,323,54,13.074
values_459,11340,5093,752,15.080
values_658,579,264,46,12.587
values_408,5096,2297,346,14.728
values_867,109,52,13,8.385
values_727,9936,4467,660,15.055
values_177,5936,2671,402,14.766
values_823,5821,2622,393,14.812
values_822,7251,3264,488,14.859
values_218,8076,3635,539,14.983
values_426,12066,5415,800,15.082
values_776,921,420,70,13.157
values_143,223,104,21,10.619
values_739,4256,1923,290,14.676
values_312,5030,2263,342,14.708
values_174,1270,577,93,13.656
values_669,1029,466,77,13.364
values_120,2324,1051,164,14.171
values_974,4130,1861,283,14.594
values_217,9386,4217,622,15.090
values_866,10265,4614,681,15.073
values_192,1505,682,108,13.935
values_328,2888,1303,200,14.440
values_68,485,222,40,12.125
values_387,1284,581,94,13.660
values_69,109,52,13,8.385
values_749,2150,971,153,14.052
values_135,9506,4275,631,15.065
values_341,109,52,13,8.385
values_494,2600,1171,181,14.365
values_1,1445,654,105,13.762
values_589,1223,556,90,13.589
values_925,2941,1330,204,14.417
values_524,2291,1034,162,14.142
values_994,405,184,35,11.571
values_856,6318,2845,427,14.796
values_156,1384,629,101,13.703
values_470,7185,3230,484,14.845
values_207,109,52,13,8.385
values_655,290,135,26,11.154
values_441,2954,1337,204,14.480
values_109,7117,3202,478,14.889
values_45,4425,1994,301,14.701
values_125,1284,581,94,13.660
values_600,1015,462,76,13.355
values_708,2459,1108,172,14.297
values_791,6271,2822,421,14.895
values_912,7702,3461,517,14.897
values_533,1217,550,89,13.674
values_418,9494,4265,632,15.022
values_228,277,128,26,10.654
values_585,9782,4397,651,15.026
values_465,10743,4822,711,15.110
values_239,3063,1380,212,14.448
values_842,11541,5184,764,15.106
values_208,4533,2040,308,14.718
values_932,5908,2661,397,14.882
values_957,3378,1523,232,14.560
values_563,371,170,32,11.594
values_766,4942,2225,334,14.796
values_476,566,257,46,12.304
values_175,10903,4898,721,15.122
values_591,3123,1408,215,14.526
values_997,10601,4764,704,15.058
values_385,3076,1389,215,14.307
values_115,6660,2999,448,14.866
values_653,4633,2088,315,14.708
values_753,922,417,71,12.986
values_241,2734,1233,191,14.314
values_197,4668,2099,319,14.633
values_636,11097,4988,734,15.119
values_450,9212,4139,614,15.003
values_106,727,330,57,12.754
values_699,3982,1795,272,14.640
values_578,11789,5296,779,15.134
values_644,6170,2779,416,14.832
values_570,4082,1845,282,14.475
values_873,8192,3681,549,14.922
values_33,1143,518,85,13.447
values_210,1525,692,110,13.864
values_486,9635,4328,641,15.031
values_252,6902,3107,465,14.843
values_694,3003,1352,209,14.368
values_759,7956,3579,533,14.927
values_245,4318,1945,295,14.637
values_15,291,132,27,10.778
values_792,6607,2972,444,14.881
values_248,8311,3740,554,15.002
values_246,1935,874,137,14.124
values_556,7910,3555,531,14.896
values_513,4204,1893,287,14.648
values_93,4493,2022,307,14.635
values_558,4136,1865,281,14.719
values_991,1001,458,75,13.347
values_181,1868,845,135,13.837
values_674,8227,3692,553,14.877
values_652,1049,476,79,13.278
values_344,773,354,59,13.102
values_715,2385,1076,168,14.196
values_528,4680,2109,318,14.717
values_276,6727,3030,453,14.850
values_24,3183,1438,221,14.403
values_296,5983,2692,405,14.773
values_244,2431,1100,170,14.300
values_380,646,295,51,12.667
values_25,11166,5013,741,15.069
values_740,291,132,27,10.778
values_478,5922,2667,401,14.768
values_379,9688,4353,642,15.090
values_810,2096,947,148,14.162
values_440,5230,2357,353,14.816
values_543,243,114,23,10.565
values_130,4553,2050,310,14.687
values_225,2257,1020,159,14.195
values_285,6371,2870,428,14.886
values_363,5740,2587,387,14.832
values_667,13972,6269,920,15.187
values_26,5607,2522,378,14.833
values_793,3526,1589,243,14.510
values_772,2921,1320,202,14.460
values_931,10245,4604,679,15.088
values_981,6446,2899,433,14.887
values_422,5263,2374,355,14.825
values_920,807,368,62,13.016
values_259,4909,2210,335,14.654
values_477,2022,915,144,14.042
values_738,4713,2126,320,14.728
values_430,11756,5279,777,15.130
values_922,4217,1902,290,14.541
values_903,3008,1361,209,14.392
values_761,7546,3397,506,14.913
values_204,4245,1910,292,14.538
values_48,257,118,24,10.708
values_71,3847,1738,264,14.572
values_851,1237,560,91,13.593
values_347,6304,2839,423,14.903
values_725,13388,6007,882,15.179
values_266,2257,1020,159,14.195
values_448,3016,1361,212,14.226
values_934,109,52,13,8.385
values_531,4707,2120,319,14.755
values_224,9889,4446,657,15.052
values_686,143,66,16,8.938
values_927,4164,1875,286,14.559
values_407,8721,3922,581,15.010
values_76,1102,503,83,13.277
values_949,3352,1509,232,14.448
values_969,6830,3067,460,14.848
values_781,6144,2763,413,14.877
values_7,5901,2660,398,14.827
values_683,1143,518,85,13.447
values_376,633,288,51,12.412
values_877,2022,915,144,14.042
values_654,2035,922,144,14.132
values_508,3290,1487,227,14.493
values_332,1251,564,92,13.598
values_281,6143,2766,412,14.910
values_381,3827,1728,262,14.607
values_769,3728,1677,256,14.562
values_701,1632,741,116,14.069
values_855,7587,3412,508,14.935
values_320,2357,1068,166,14.199
values_50,8700,3917,581,14.974
values_918,5929,2668,400,14.822
values_615,9507,4272,632,15.043
values_704,1157,522,86,13.453
values_633,1095,500,81,13.519
values_847,2700,1219,188,14.362
values_602,6506,2929,439,14.820
values_399,2934,1327,202,14.525
values_22,532,243,43,12.372
values_313,9681,4352,643,15.056
values_375,2325,1048,165,14.091
values_963,1035,472,78,13.269
values_168,4916,2211,334,14.719
values_226,4325,1948,297,14.562
values_190,3264,1473,227,14.379
values_429,337,156,29,11.621
values_236,1055,482,80,13.188
values_777,143,66,16,8.938
values_909,2224,1003,157,14.166
values_438,753,344,57,13.211
values_607,6525,2942,440,14.830
values_717,324,149,29,11.172
values_782,2364,1069,165,14.327
values_258,3734,1683,257,14.529
values_872,532,243,43,12.372
values_637,6380,2865,429,14.872
values_746,2788,1257,196,14.224
values_4,9500,4271,633,15.008
values_345,7434,3339,500,14.868
values_102,9728,4373,646,15.059
values_962,8300,3727,556,14.928
values_356,5398,2431,363,14.871
values_853,9534,4283,633,15.062
values_849,2969,1338,206,14.413
values_814,1559,706,113,13.796
values_370,2746,1243,190,14.453
values_778,2290,1037,161,14.224
values_458,4734,2133,323,14.656
values_818,6453,2902,435,14.834
values_119,10238,4603,680,15.056
values_373,7519,3384,502,14.978
values_351,2263,1026,160,14.144
values_32,451,208,37,12.189
values_770,6002,2705,406,14.783
values_371,6250,2817,421,14.846
values_283,613,278,49,12.510
values_535,4748,2137,324,14.654
values_250,9265,4166,618,14.992
values_132,646,295,51,12.667
values_649,3949,1778,270,14.626
values_77,1063,480,80,13.287
values_260,3505,1582,240,14.604
values_891,9004,4047,603,14.932
values_91,176,83,18,9.778
values_137,291,132,27,10.778
values_42,7573,3410,510,14.849
values_13,391,180,34,11.500
values_577,7482,3357,504,14.845
values_41,486,219,41,11.854
values_809,9735,4376,648,15.023
values_414,6552,2953,441,14.857
values_360,1794,811,128,14.016
values_386,8514,3825,568,14.989
values_158,613,278,49,12.510
values_904,4935,2224,335,14.731
values_480,6808,3063,456,14.930
values_647,1129,514,84,13.440
values_104,7607,3422,510,14.916
values_55,7902,3557,531,14.881
