id,cInstr
values_242,27114
values_505,1328
values_924,43517
values_862,2901
values_287,4095
values_733,2362
values_813,2297
values_11,2353
values_19,153
values_999,71679
values_134,12951
values_609,3778
values_993,57398
values_731,56423
values_127,18029
values_889,13018
values_987,24770
values_780,2939
values_435,5977
values_950,5920
values_976,2905
values_557,3467
values_398,3769
values_892,12860
values_670,186151
values_574,2379
values_163,56245
values_900,348
values_392,57415
values_447,717
values_523,24802
values_679,56406
values_419,3795
values_895,43658
values_298,2917
values_155,2359
values_12,9004
values_160,691
values_626,2371
values_38,3751
values_146,4093
values_81,56335
values_687,57129
values_213,2889
values_212,18573
values_568,337
values_5,3161
values_40,3453
values_970,348
values_707,56549
values_406,43690
values_893,43932
values_144,153
values_979,2314
values_831,33127
values_402,9217
values_404,93569
values_310,697
values_70,5927
values_268,4103
values_412,57588
values_290,186215
values_916,136007
values_567,18017
values_913,3783
values_232,5915
values_319,93434
values_23,1342
values_899,1305
values_428,18061
values_858,26962
values_546,1356
values_432,12868
values_231,2907
values_388,1333
values_350,719
values_603,13237
values_364,93099
values_530,93981
values_72,2312
values_536,93527
values_79,186314
values_342,44107
values_803,186225
values_501,2887
values_540,3793
values_955,6043
values_191,3769
values_812,9233
values_545,136387
values_78,57629
values_526,18300
values_695,57720
values_87,3834
values_300,153
values_964,71794
values_998,710
values_988,57128
values_6,3849
values_625,12870
values_518,6075
values_122,24829
values_541,4091
values_279,8899
values_256,712
values_796,4129
values_504,12972
values_752,56645
values_459,71960
values_658,3781
values_408,24925
values_867,93437
values_727,8926
values_177,3775
values_823,57720
values_822,185731
values_218,18033
values_426,33327
values_776,71601
values_143,24832
values_739,72226
values_312,3163
values_174,33535
values_669,57650
values_120,43775
values_974,2391
values_217,1308
values_866,4089
values_192,1308
values_328,56490
values_68,3455
values_387,8979
values_69,3819
values_749,43915
values_135,2629
values_341,2903
values_494,136331
values_1,44149
values_589,153
values_925,43567
values_524,3189
values_994,151
values_856,4077
values_156,1346
values_470,3779
values_207,2383
values_655,18360
values_441,24808
values_109,3469
values_45,153
values_125,56923
values_600,3828
values_708,72089
values_791,3820
values_912,151
values_533,12876
values_418,27092
values_228,2631
values_585,5948
values_465,33046
values_239,24813
values_842,348
values_208,2365
values_932,93914
values_957,93342
values_563,12982
values_766,6017
values_476,24900
values_175,9015
values_591,43752
values_997,3457
values_385,136066
values_115,3175
values_653,1341
values_753,13021
values_241,2907
values_197,706
values_636,4123
values_450,2344
values_106,2369
values_699,3881
values_578,8983
values_644,8830
values_570,704
values_873,56740
values_33,58059
values_210,8869
values_486,707
values_252,18386
values_694,57199
values_759,26928
values_245,135794
values_15,1343
values_792,136915
values_248,43605
values_246,93657
values_556,185357
values_513,339
values_93,2383
values_558,6102
values_991,33583
values_181,186390
values_674,151
values_652,343
