id,cInstr
values_242,12679
values_505,1239
values_924,559
values_862,3919
values_287,39
values_733,559
values_813,29431
values_11,342
values_19,14846
values_999,854
values_134,25974
values_609,41614
values_993,37239
values_731,2327
values_127,8999
values_889,10734
values_987,17247
values_780,559
values_435,37239
values_950,6111
values_976,17247
values_557,3919
values_398,19894
values_892,94
values_670,559
values_574,342
values_163,46319
values_900,191
values_392,94
values_447,29431
values_523,1726
values_679,94
values_419,19894
values_895,94
values_298,8999
values_155,1726
values_12,46319
values_160,41614
values_626,19894
values_38,10734
values_146,342
values_81,22799
values_687,39
values_213,8999
values_212,22799
values_568,33182
values_5,14846
values_40,25974
values_970,29431
values_707,2327
values_406,7462
values_893,6111
values_144,17247
values_979,33182
values_831,1239
values_402,4934
values_404,46319
values_310,7462
values_70,39
values_268,2327
values_412,29431
values_290,39
values_916,3919
values_567,29431
values_913,1726
values_232,7462
values_319,19894
values_23,37239
values_899,191
values_428,12679
values_858,2327
values_546,19894
values_432,342
values_231,12679
values_388,94
values_350,2327
values_603,559
values_364,1726
values_530,29431
values_72,854
values_536,12679
values_79,94
values_342,2327
values_803,10734
values_501,1239
values_540,12679
values_955,3054
values_191,559
values_812,7462
values_545,14846
values_78,12679
values_526,1239
values_695,22799
values_87,12679
values_300,10734
values_964,33182
values_998,37239
values_988,25974
values_6,17247
values_625,1726
values_518,1726
values_122,7462
values_541,29431
values_279,25974
values_256,342
values_796,3054
values_504,854
values_752,854
values_459,1239
values_658,8999
values_408,10734
values_867,8999
values_727,14846
values_177,8999
values_823,3919
values_822,191
values_218,559
values_426,12679
values_776,1726
values_143,4934
values_739,46319
values_312,19894
values_174,8999
values_669,7462
values_120,342
values_974,19894
values_217,46319
values_866,7462
values_192,7462
values_328,94
values_68,29431
values_387,46319
values_69,19894
values_749,25974
values_135,3919
values_341,7462
values_494,22799
values_1,3054
values_589,854
values_925,22799
values_524,12679
values_994,1239
values_856,46319
values_156,2327
values_470,25974
values_207,22799
values_655,342
values_441,4934
values_109,191
values_45,46319
values_125,559
values_600,17247
values_708,559
values_791,3054
values_912,12679
values_533,19894
values_418,3054
values_228,29431
values_585,6111
values_465,342
values_239,25974
values_842,1726
values_208,33182
values_932,2327
values_957,191
values_563,33182
values_766,94
values_476,559
values_175,854
values_591,17247
values_997,342
values_385,4934
values_115,2327
values_653,1726
values_753,37239
values_241,94
values_197,8999
values_636,10734
values_450,10734
values_106,3919
values_699,6111
values_578,1239
values_644,854
values_570,94
values_873,25974
values_33,3054
values_210,19894
values_486,559
values_252,6111
values_694,342
values_759,10734
values_245,33182
values_15,29431
values_792,33182
values_248,3054
values_246,10734
values_556,29431
values_513,8999
values_93,7462
values_558,7462
values_991,6111
values_181,854
values_674,1239
values_652,33182
values_344,8999
values_715,14846
values_528,1726
values_276,4934
values_24,10734
values_296,41614
values_244,12679
values_380,2327
values_25,29431
values_740,41614
values_478,17247
values_379,1239
values_810,39
values_440,854
values_543,7462
values_130,4934
values_225,342
values_285,46319
values_363,94
values_667,8999
values_26,2327
values_793,94
values_772,7462
values_931,7462
values_981,33182
values_422,1239
values_920,37239
values_259,3919
values_477,46319
values_738,559
values_430,14846
values_922,3054
values_903,12679
values_761,14846
values_204,8999
values_48,19894
values_71,3919
values_851,1726
values_347,191
values_725,6111
values_266,8999
values_448,2327
values_934,8999
values_531,37239
values_224,19894
values_686,191
values_927,37239
values_407,7462
values_76,1726
values_949,33182
values_969,10734
values_781,94
values_7,1239
values_683,854
values_376,14846
values_877,39
values_654,37239
values_508,6111
values_332,41614
values_281,37239
values_381,94
values_769,559
values_701,10734
values_855,19894
values_320,8999
values_50,559
values_918,342
values_615,1239
values_704,342
values_633,1726
values_847,17247
values_602,191
values_399,854
values_22,342
values_313,37239
values_375,22799
values_963,8999
values_168,6111
values_226,1239
values_190,17247
values_429,3054
values_236,854
values_777,191
values_909,854
