id,clockCycles,assemblyInstr
values_242,15902,8077
values_505,6972,3546
values_924,15699,7970
values_862,11632,5912
values_287,10682,5431
values_733,16661,8459
values_813,14092,7157
values_11,11715,5955
values_19,9218,4688
values_999,9167,4661
values_134,7031,3577
values_609,13355,6785
values_993,12345,6272
values_731,1529,779
values_127,6248,3178
values_889,16665,8463
values_987,20011,10157
values_780,9189,4671
values_435,1027,523
values_950,4074,2076
values_976,491,249
values_557,7696,3914
values_398,483,245
values_892,5509,2803
values_670,9265,4711
values_574,2189,1116
values_163,18206,9238
values_900,3422,1743
values_392,18351,9315
values_447,12436,6319
values_523,1521,775
values_679,19011,9646
values_419,7662,3896
values_895,1011,515
values_298,4746,2416
values_155,7710,3920
values_12,18342,9310
values_160,13306,6760
values_626,7779,3957
values_38,19203,9750
values_146,18444,9364
values_81,4777,2431
values_687,13330,6772
values_213,14914,7574
values_212,17583,8928
values_568,483,245
values_5,18274,9274
values_40,2189,1116
values_970,14177,7202
values_707,12595,6402
values_406,18395,9339
values_893,15041,7641
values_144,8394,4268
values_979,17551,8912
values_831,1555,793
values_402,7725,3927
values_404,16652,8454
values_310,5528,2814
values_70,6291,3201
values_268,16699,8481
values_412,9286,4724
values_290,4871,2481
values_916,7081,3603
values_567,6913,3515
values_913,13278,6744
values_232,14157,7190
values_319,7771,3953
values_23,8402,4272
values_899,4845,2467
values_428,6187,3145
values_858,18368,9324
values_546,13373,6795
values_432,18328,9304
values_231,2181,1112
values_388,7014,3568
values_350,19343,9822
values_603,2805,1429
values_364,18257,9265
values_530,11528,5856
values_72,17482,8875
values_536,1547,789
values_79,14911,7571
values_342,18415,9351
values_803,15723,7982
values_501,7751,3941
values_540,12554,6381
values_955,4830,2460
values_191,15671,7954
values_812,19974,10140
values_545,9992,5082
values_78,7009,3567
values_526,9257,4707
values_695,17533,8902
values_87,20096,10202
values_300,14959,7595
values_964,6258,3184
values_998,14155,7188
values_988,19285,9792
values_6,9174,4664
values_625,19335,9818
values_518,11657,5925
values_122,2797,1425
values_541,3455,1760
values_279,6963,3541
values_256,11619,5903
values_796,10836,5509
values_504,483,245
values_752,2787,1419
values_459,8529,4339
values_658,20013,10155
values_408,5478,2788
values_867,12478,6341
values_727,9261,4711
values_177,11615,5903
values_823,4837,2463
values_822,2148,1095
values_218,8485,4315
values_426,10010,5092
values_776,15060,7652
values_143,491,249
values_739,11638,5914
values_312,1019,519
values_174,19247,9770
values_669,14098,7159
values_120,16767,8517
values_974,17610,8943
values_217,491,249
values_866,6258,3184
values_192,16660,8458
values_328,12525,6364
values_68,1514,772
values_387,16793,8527
values_69,18412,9348
values_749,2197,1120
values_135,483,245
values_341,4796,2442
