inputName,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_505,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_924,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_862,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_287,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_733,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_813,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_11,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_19,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_999,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_134,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_609,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_993,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_731,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_127,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_889,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_987,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_780,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_435,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_950,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_976,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_557,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_398,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_892,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_670,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_574,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_163,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_900,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_392,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_447,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_523,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_679,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_419,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_895,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_298,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_155,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_12,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_160,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_626,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_38,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_146,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_81,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_687,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_213,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_212,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_568,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
values_5,27,60,24,215,51,1219.57,41160.54,0.03,33.75,2286.70,0.40
