inputName,idum
values_242,11
values_505,8
values_924,2
values_862,4
values_287,4
values_733,7
values_813,11
values_11,8
values_19,5
values_999,9
values_134,10
values_609,9
values_993,5
values_731,6
values_127,7
values_889,4
values_987,3
values_780,10
values_435,9
values_950,3
values_976,8
values_557,8
values_398,4
values_892,3
values_670,5
values_574,4
values_163,2
values_900,9
values_392,8
values_447,6
values_523,8
values_679,8
values_419,4
values_895,3
values_298,10
values_155,4
values_12,8
values_160,2
values_626,4
values_38,11
values_146,6
values_81,6
values_687,3
values_213,9
values_212,3
values_568,3
values_5,7
values_40,4
values_970,5
values_707,8
values_406,3
values_893,4
values_144,9
values_979,9
values_831,4
values_402,11
values_404,2
values_310,4
values_70,11
values_268,10
values_412,2
values_290,8
values_916,10
values_567,10
values_913,4
values_232,9
values_319,9
values_23,6
values_899,4
values_428,5
values_858,3
values_546,10
values_432,7
values_231,3
values_388,8
values_350,5
values_603,5
values_364,4
values_530,7
values_72,9
values_536,8
values_79,2
values_342,9
values_803,6
values_501,9
values_540,5
values_955,4
values_191,6
values_812,8
values_545,10
values_78,2
values_526,10
values_695,2
values_87,6
values_300,9
values_964,8
values_998,7
values_988,3
values_6,8
values_625,7
values_518,2
values_122,3
values_541,11
values_279,5
values_256,7
values_796,4
values_504,5
values_752,11
values_459,6
values_658,8
values_408,4
values_867,3
values_727,9
values_177,2
values_823,9
values_822,6
values_218,2
values_426,10
values_776,11
values_143,11
values_739,9
values_312,7
values_174,3
values_669,8
values_120,5
values_974,5
values_217,4
values_866,11
values_192,11
values_328,9
values_68,5
values_387,4
values_69,5
values_749,5
values_135,8
values_341,8
values_494,11
values_1,4
values_589,8
values_925,9
values_524,9
values_994,8
values_856,10
values_156,6
values_470,10
values_207,7
values_655,9
values_441,4
values_109,4
values_45,2
values_125,11
values_600,3
values_708,11
values_791,11
values_912,2
values_533,7
values_418,2
values_228,3
values_585,2
values_465,7
values_239,2
values_842,5
values_208,2
values_932,11
values_957,11
values_563,11
values_766,7
values_476,5
values_175,7
values_591,2
values_997,11
values_385,3
values_115,9
values_653,10
values_753,4
values_241,6
values_197,8
values_636,11
values_450,6
values_106,5
values_699,5
values_578,4
values_644,2
values_570,6
values_873,4
values_33,9
values_210,8
values_486,2
values_252,6
values_694,11
values_759,2
values_245,9
values_15,5
values_792,3
values_248,2
values_246,3
values_556,3
values_513,9
values_93,6
values_558,3
values_991,5
values_181,4
values_674,10
values_652,2
values_344,10
values_715,4
values_528,2
values_276,9
values_24,4
values_296,5
values_244,3
values_380,9
values_25,10
values_740,3
values_478,5
values_379,5
values_810,6
values_440,6
values_543,9
values_130,4
values_225,8
values_285,3
values_363,5
values_667,8
values_26,7
values_793,8
values_772,7
values_931,9
values_981,6
values_422,7
values_920,7
values_259,8
values_477,11
values_738,2
values_430,5
values_922,11
values_903,7
values_761,5
values_204,9
values_48,6
values_71,9
values_851,11
values_347,6
values_725,9
values_266,6
values_448,9
values_934,2
values_531,7
values_224,7
values_686,2
values_927,3
values_407,2
values_76,10
values_949,3
values_969,5
values_781,3
values_7,4
values_683,8
values_376,3
values_877,10
values_654,7
values_508,10
values_332,4
values_281,3
values_381,7
values_769,5
values_701,11
values_855,7
values_320,10
values_50,11
values_918,11
values_615,11
values_704,5
values_633,7
values_847,4
values_602,8
values_399,5
values_22,4
values_313,6
values_375,9
values_963,7
values_168,4
values_226,6
values_190,7
values_429,4
values_236,3
values_777,10
values_909,9
values_438,10
values_607,4
values_717,2
values_782,8
values_258,10
values_872,8
values_637,9
values_746,8
values_4,4
values_345,4
values_102,10
values_962,3
values_356,7
values_853,10
values_849,11
values_814,6
values_370,10
values_778,11
values_458,6
values_818,7
values_119,8
values_373,9
values_351,10
values_32,3
values_770,7
values_371,10
values_283,9
values_535,11
values_250,4
values_132,11
values_649,11
