inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,AnalysisSummary,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_242,81,12,12,49,14,36,30,110,126,121,105,84,109,75,10,11
values_505,81,12,12,49,14,116,122,53,52,40,120,69,75,73,100,22
values_924,81,12,12,49,14,69,100,20,99,104,16,116,10,11,12,13
values_862,81,12,12,49,14,79,76,83,43,12,69,75,73,100,22,100.0
values_287,81,12,12,49,14,102,68,59,78,78,104,103,77,117,46,10
values_733,81,12,12,49,14,104,32,104,94,96,121,52,88,45,21,10
values_813,81,12,12,49,14,87,105,121,11,99,114,14,97,107,34,10
values_11,81,12,12,49,14,94,106,46,114,72,50,15,82,49,112,10
values_19,81,12,12,49,14,107,80,82,127,107,126,104,124,109,38,10
values_999,81,12,12,49,14,14,49,96,100,91,17,104,72,10,11,12
values_134,81,12,12,49,14,66,69,71,97,86,16,74,127,119,10,11
values_609,81,12,12,49,14,99,67,26,14,77,24,69,75,73,100,23
values_993,81,12,12,49,14,108,86,30,27,68,79,67,47,30,10,11
values_731,81,12,12,49,14,42,98,17,82,96,127,76,71,119,10,11
values_127,81,12,12,49,14,89,43,28,87,86,21,126,85,40,79,10
values_889,81,12,12,49,14,62,96,104,16,76,67,42,122,38,10,11
values_987,81,12,12,49,14,95,20,31,90,22,83,48,49,10,11,12
values_780,81,12,12,49,14,48,44,76,57,37,33,82,37,95,78,10
values_435,81,12,12,49,14,78,26,114,11,46,45,40,81,86,99,99
values_950,81,12,12,49,14,64,39,99,37,126,52,101,111,100,10,11
values_976,81,12,12,49,14,75,107,21,119,88,66,61,99,99,100,12
values_557,81,12,12,49,14,69,127,120,98,57,55,73,89,19,10,11
values_398,81,12,12,49,14,43,94,53,104,94,41,40,84,121,56,10
values_892,81,12,12,49,14,80,101,104,124,65,76,122,113,125,10,11
values_670,81,12,12,49,14,82,54,57,24,48,27,70,28,113,10,11
values_574,81,12,12,49,14,19,102,11,73,26,96,71,10,11,12,13
values_163,81,12,12,49,14,22,13,78,68,117,89,97,65,90,10,11
values_900,81,12,12,49,14,87,44,124,100,75,69,73,100,23,100.0,81
values_392,81,12,12,49,14,88,44,100,46,32,69,75,73,100,23,100.0
values_447,81,12,12,49,14,39,81,92,70,26,96,48,69,113,99,99
values_523,81,12,12,49,14,34,102,67,124,22,104,48,62,43,10,11
values_679,81,12,12,49,14,11,119,127,13,29,39,36,65,10,73,10
