inputName,n,arr[n]
values_242,12,"{36, -30, -110, 126, 121, 7, -105, 84, -109, 75, 53, 59"
values_505,6,"{-116, -122, -53, 52, 40, -120"
values_924,25,"{-69, 100, 6, 20, -3, 99, 104, -1, -16, 116, -82, 87, -32, 106, -24, 21, -2, 23, 114, 103, -1, -63, -50, 41, -2"
values_862,5,"{79, -76, 83, -43, -12"
values_287,17,"{102, 68, 59, -78, 78, -104, -103, -77, 117, -46, 8, -87, 85, -16, -72, -25, -4"
values_733,22,"{-104, -32, -104, -94, -96, 121, 52, 88, -45, 21, 73, -79, -88, -21, -44, -60, 93, -8, -38, 94, -106, -108"
values_813,16,"{87, -105, 121, -11, -99, -114, -14, 97, 107, -34, 88, -95, 113, 81, -108, 42"
values_11,16,"{94, -106, -46, 114, -72, 50, -15, 82, -49, 112, 2, 21, -72, -47, -69, 22"
values_19,22,"{-107, 80, -82, 127, -107, 126, 104, -124, -109, -38, 78, -60, -109, -109, 13, 71, -111, -75, -107, 9, 79, 21"
values_999,13,"{-14, -3, -49, -96, 100, -91, 6, 17, 104, -72, 5, 91, 123"
values_134,22,"{66, -69, 71, -97, -86, -16, -74, -127, -1, -119, 126, 23, -32, 89, 14, -88, -59, -54, 24, -124, -27, -88"
values_609,7,"{99, -67, -26, 9, 14, -77, 24"
values_993,13,"{108, -86, 30, 27, 68, -79, 67, -47, 30, -9, 60, -70, 118"
values_731,12,"{42, -98, -7, -17, -82, 96, 127, -76, -71, -119, 120, -21"
values_127,12,"{89, -43, -28, -87, -86, -21, 126, -85, 40, -79, -81, 48"
values_889,22,"{-9, 62, 96, -104, -16, 76, -67, 42, -122, -38, 105, -47, -27, 119, -81, -32, 62, -32, -107, 29, -118, -14"
values_987,14,"{95, -20, 31, 90, -22, -83, 4, 8, 48, -49, 21, 66, 94, 117"
values_780,20,"{-48, 44, -76, 57, -37, -33, -82, 37, 95, 78, 45, -29, 65, -12, -117, 116, -80, -10, -15, -109"
values_435,10,"{-78, 26, -114, -11, 46, -3, 45, 40, -81, -86"
values_950,28,"{-64, 39, 99, -37, -126, 52, -101, -111, -100, 0, -83, 58, -83, 92, 74, 34, -20, -95, 35, -63, -79, 118, -36, 45, -36, 100, 117, -68"
values_976,8,"{75, 107, 21, -119, -88, -66, -1, -61"
values_557,15,"{-69, -127, 1, 120, 98, 57, 55, 73, -89, -19, 82, -58, -87, 26, 79"
values_398,13,"{-43, 94, -53, 104, -94, -41, -40, -84, -121, -56, 46, 123, -95"
values_892,23,"{-80, 101, -104, 124, -65, 76, -122, -9, -113, 125, 64, 78, -78, 126, 76, -31, 59, -84, -3, 99, -72, 114, -7"
values_670,23,"{-82, 54, 57, 6, -24, -48, -27, 70, 28, -113, -123, 92, 58, -108, -99, 8, 75, 60, 25, -81, 93, -70, 16"
values_574,26,"{-19, 1, -102, 11, 73, -8, 4, -26, -96, -71, -50, -81, -72, 15, -30, -94, 95, -118, -47, 40, -4, -41, -125, 47, -33, 48"
values_163,24,"{-22, 13, -78, 68, 8, 117, -89, -97, -65, -90, 89, 67, 76, 40, 9, 8, -45, -43, -86, 75, 127, -54, -5, -6"
values_900,5,"{5, 87, -44, -124, 100"
values_392,6,"{88, 44, 100, -7, -46, -32"
values_447,10,"{39, -81, 92, -70, -26, 96, 0, -48, 69, -113"
values_523,16,"{34, -102, 67, -124, 22, 104, 48, -7, 62, -43, -115, -120, -70, -104, -49, 30"
values_679,15,"{11, 119, -127, 13, 29, 39, 36, 65, -10, 73, 18, 53, -3, -53, -26"
values_419,24,"{-15, 91, -15, 105, -88, 17, -109, -41, -3, 39, -70, -56, 113, 54, -2, -96, -22, 10, 25, 107, -88, -85, 34, 25"
values_895,12,"{77, 9, -116, -39, -21, 24, 72, -49, -58, 86, 12, 90"
values_298,13,"{-114, -51, -119, -55, -68, 102, -119, -90, 33, 86, -82, 74, -65"
values_155,27,"{10, 101, -30, 92, -65, 98, -33, -42, -60, -36, 27, 45, -101, 67, -90, -115, -92, -20, 48, 121, 28, -99, 73, -23, 85, -68, 77"
values_12,15,"{24, 108, -116, 38, 17, 110, 88, -91, -8, 1, 124, 1, -16, -40, 59"
values_160,19,"{41, -83, 59, 89, -51, -19, 112, 109, 124, -23, -107, -36, -9, -66, 41, -77, 78, -59, 112"
values_626,3,"{19, -68, -48"
values_38,15,"{-117, 63, 30, 59, -64, 58, 20, -97, 125, 106, -10, -127, 37, -102, -1"
values_146,22,"{-123, 112, -55, -35, -60, 5, 59, -50, 108, -56, -46, -122, -79, 18, 13, -66, 37, 89, 65, 27, 62, -74"
values_81,18,"{-19, -121, -108, -33, 88, 67, -25, 44, -117, -60, 120, 35, 65, 107, -31, -74, 74, 63"
values_687,19,"{-107, 71, -84, 48, -113, -21, -22, -105, 57, -54, -12, 54, -91, 23, 12, 114, 15, 6, 28"
values_213,17,"{100, -17, 80, -22, -16, 79, 117, 25, 33, -104, -108, 100, -103, 56, 73, 80, 123"
values_212,24,"{106, 54, 18, 24, 110, -90, 92, -14, 4, -110, -53, 126, -8, 0, -23, -104, -110, -104, -55, -17, 124, -57, -52, 60"
values_568,22,"{56, 82, -31, -95, -26, 104, -74, -26, 63, -35, 54, -89, -99, 74, -100, -86, 62, 18, -63, 98, -59, 90"
values_5,18,"{101, 91, 115, 91, -43, 79, -88, -7, 77, -81, 66, 1, 47, -8, 116, -84, -51, 88"
values_40,3,"{-77, -120, 62"
values_970,28,"{-122, 13, -27, -55, 111, -33, 48, -17, -37, 48, 22, -50, 39, -3, -94, -57, 91, 87, 84, 15, 65, 120, -41, 51, 11, -33, -17, 38"
values_707,20,"{87, -104, -104, -114, 112, -27, -24, -65, -17, -53, 127, -36, 80, -80, 103, 1, 94, 67, 98, 44"
values_406,18,"{115, 26, -7, -41, -37, -62, 108, -64, -126, 94, 97, 112, -110, 82, 17, 121, -9, -107"
values_893,19,"{28, -78, 88, -102, 69, 48, -96, 61, 122, 117, -69, -82, -115, 123, -6, 19, -61, 9, 98"
values_144,9,"{-72, -22, -18, 7, -126, -108, 88, 75, -85"
values_979,6,"{119, 64, 1, -58, 53, 86"
values_831,19,"{18, -35, 7, 16, 126, -90, 20, -127, 110, -66, -122, 10, -58, -121, 40, 118, 67, 28, -43"
values_402,18,"{-120, 92, 118, -4, 9, -24, -71, 24, -34, 112, -102, 34, 62, 49, 65, -83, 111, 17"
values_404,28,"{-86, 82, 83, -119, 121, 35, 49, -88, 44, 99, 90, 125, 15, 118, 120, -118, -1, -60, -3, 92, -13, -19, -88, 35, -86, -69, 92, -44"
values_310,5,"{-10, -15, 79, 105, 90"
values_70,15,"{87, 124, 113, -39, 12, 99, 87, 7, 63, 71, 72, 55, -98, -2, 21"
values_268,5,"{64, -125, 10, -55, -95"
values_412,8,"{-32, -7, 83, -14, 14, 85, 125, -1"
values_290,7,"{-40, -98, -84, 122, -76, 127, 106"
values_916,13,"{-78, 80, -22, 111, -87, -15, -55, -40, -117, 6, 4, -31, -32"
values_567,23,"{41, 63, 117, 62, -84, 117, -34, -91, 27, -105, -100, -26, 2, 76, -93, 1, 111, -25, 50, 52, -80, -114, -34"
values_913,2,"{94, 49"
values_232,13,"{-16, -56, 40, -45, 30, 40, 123, -92, 8, 90, 64, -26, -105"
values_319,19,"{-125, -108, -100, 35, -53, -101, -42, -118, 2, 71, 103, -34, -72, 66, -95, -15, -24, 113, 40"
values_23,19,"{2, 33, 84, -95, 72, -84, -48, 56, -16, 89, -50, -13, 14, -14, -121, 7, 32, 101, 89"
values_899,17,"{-65, 95, 47, -43, 7, 75, -18, 105, 119, 122, 89, 20, 122, -18, 20, -89, 55"
values_428,3,"{31, -110, -123"
values_858,13,"{-117, -31, 8, -117, -121, -28, 21, -3, -59, -121, 37, 42, 70"
values_546,10,"{-4, 95, 77, -37, -37, -72, 62, -51, -111, -24"
values_432,24,"{41, 116, 30, -89, -126, 18, 14, 59, -26, 28, 58, -54, 80, 4, 22, 87, -86, 49, 56, -1, -45, -22, 45, 7"
values_231,22,"{64, 68, 102, -75, 75, -29, -121, 4, 47, -114, -59, -66, -75, 79, 25, -11, 39, -69, -100, -23, 25, 68"
values_388,7,"{111, -81, 82, -126, -44, -3, -38"
values_350,2,"{-56, -66"
values_603,14,"{78, -75, 16, 11, 89, -107, -117, 47, 18, -36, -111, -3, -78, 22"
values_364,3,"{4, -53, -79"
values_530,4,"{-26, 60, 91, 20"
values_72,8,"{105, 13, -42, -5, -101, 20, -93, 3"
values_536,9,"{-106, 28, 70, 75, -81, -110, 57, -94, 118"
values_79,20,"{26, -38, -92, -116, 55, -124, -29, 30, 84, -3, -35, -4, 62, -36, -120, -43, -45, 31, 1, -68"
values_342,21,"{9, -90, -78, 86, 126, -28, -30, -50, 66, -117, -70, -86, -64, 33, -44, 102, -62, 117, 13, -51, 93"
values_803,18,"{-121, 18, -91, 0, 92, -38, -66, 50, -13, -8, -80, -52, 48, -100, -21, -71, 116, -112"
values_501,12,"{110, -92, 84, 56, 23, -79, -95, 18, -124, -17, -36, -80"
values_540,26,"{8, 18, -33, -86, -21, 84, 26, 104, -93, 59, 103, -24, -79, 55, 50, 110, 98, -26, -43, 116, -28, 118, -4, 86, -127, 56"
values_955,22,"{52, -45, -108, 63, 63, 94, 47, -93, -36, 21, -18, 120, 88, -3, 81, 37, -45, 24, -48, -122, -92, -52"
values_191,13,"{24, 17, 118, -56, 85, 102, 18, 74, 87, 20, 111, 110, 116"
values_812,16,"{117, 81, -10, 49, 82, 48, -53, -20, 81, -73, 81, -37, -98, -72, 33, -121"
values_545,7,"{-33, -1, 106, -101, -36, 107, 3"
values_78,22,"{59, 51, -52, -55, -59, 12, -11, 26, -61, 39, -53, 114, -50, 124, -73, 73, 33, 95, 32, -1, -32, -96"
values_526,12,"{57, 44, 86, 113, -84, 80, -123, -58, -78, -31, 50, 61"
values_695,6,"{59, 26, 2, 115, 74, 14"
values_87,25,"{92, 95, -79, 120, -31, -37, -22, 69, -115, 29, -118, -111, 14, -57, -8, 56, 42, 43, -68, -20, 116, 60, -62, 10, 83"
values_300,25,"{30, 33, -108, -92, -6, 120, -58, -48, -26, 107, -46, 70, 23, -106, 14, 25, 52, 8, 107, -54, -1, -100, 117, -71, 70"
values_964,22,"{-4, -77, -65, 116, -16, 99, 93, -51, -93, -7, -32, -73, -11, -75, 8, -122, 35, -97, -78, -40, 29, 48"
values_998,7,"{70, 52, 55, 94, 48, -64, 8"
values_988,28,"{-75, -63, -57, 64, -98, 120, 77, 109, -29, -109, -89, -109, 37, -5, 36, 59, 127, 27, -73, -62, -38, -46, -76, 89, 109, -15, 42, -37"
values_6,17,"{-123, 120, 79, 73, -76, -89, -24, 95, -99, 16, 42, -41, -103, -98, 72, -42, -109"
values_625,3,"{-75, 31, 123"
values_518,2,"{77, 15"
values_122,18,"{-98, 20, 21, -41, -46, 62, 96, -123, -21, 32, -120, -98, 2, 121, -81, 30, 71, 106"
values_541,17,"{-32, 83, -25, -66, -40, -19, -105, 107, 54, 43, -98, 78, -90, -47, 44, 98, 46"
values_279,14,"{-27, 104, -108, 80, -38, 24, 108, 25, -100, 122, -124, 116, -116, 19"
values_256,3,"{5, -95, -92"
values_796,21,"{-54, -34, 52, 43, -77, -26, 97, 113, 48, 109, 46, -73, -46, 88, -33, -33, -62, -74, -121, -66, 112"
values_504,25,"{19, -79, -40, -4, 66, -96, 89, 24, 48, -98, -38, 78, 60, -57, -34, 84, -7, -48, -94, 74, 42, -25, 29, 56, 8"
values_752,5,"{32, -60, -63, -4, -88"
values_459,20,"{92, -5, -77, -10, 61, 65, -87, 112, -94, 58, -29, -15, 100, -17, -87, 105, 30, 97, 83, -14"
values_658,27,"{-68, 44, -44, 126, 76, 122, -69, -107, 76, 8, 76, 70, 103, -51, -106, 29, 5, 48, -56, 91, 89, -28, 93, -101, 47, -66, 19"
values_408,14,"{79, -95, -77, 40, 75, -32, -105, -52, 42, -97, 31, 103, -34, 33"
values_867,15,"{-86, 94, -80, 106, -50, 113, -90, 72, -109, 116, -99, 94, 72, -102, -75"
values_727,27,"{-13, -25, -40, 0, 78, -90, -71, -8, -21, -90, 126, 113, 83, 82, -100, 67, 73, -29, -110, -58, 55, 94, 68, 127, -103, -1, 6"
values_177,2,"{-107, 24"
values_823,22,"{55, -110, -3, -86, -112, 30, 60, 1, 30, -74, -49, -67, -28, 92, -29, -111, 27, -27, 4, -70, -25, 24"
values_822,3,"{-21, -109, -82"
values_218,6,"{36, -6, -49, 120, 36, -7"
values_426,17,"{-19, 60, -34, -17, -69, 5, -100, -124, -61, -68, -60, 50, -28, 77, -42, 78, 39"
