id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,11673,5531,969,12.046
values_505,6837,3244,570,11.995
values_924,4932,2343,417,11.827
values_862,2069,987,175,11.823
values_287,773,372,67,11.537
values_733,1617,779,135,11.978
values_813,413,198,40,10.325
values_11,7207,3429,590,12.215
values_19,11994,5655,1014,11.828
values_999,1798,861,149,12.067
values_134,4965,2362,408,12.169
values_609,6385,3034,509,12.544
values_993,7413,3509,603,12.294
values_731,447,213,42,10.643
values_127,7751,3671,643,12.054
values_889,6795,3206,555,12.243
values_987,4629,2192,390,11.869
values_780,3341,1598,274,12.193
values_435,13498,6336,1094,12.338
values_950,4379,2084,361,12.130
values_976,15843,7446,1314,12.057
values_557,9547,4500,788,12.115
values_398,5586,2651,468,11.936
values_892,2474,1183,208,11.894
values_670,8866,4204,737,12.030
values_574,4717,2244,380,12.413
values_163,1291,620,110,11.736
values_900,7861,3737,641,12.264
values_392,3466,1651,278,12.468
values_447,11340,5343,921,12.313
values_523,5068,2403,425,11.925
values_679,334,161,32,10.438
values_419,10674,5032,855,12.484
values_895,5462,2592,454,12.031
values_298,334,161,32,10.438
values_155,6465,3067,528,12.244
values_12,4413,2099,363,12.157
values_160,7751,3671,643,12.054
values_626,5925,2807,498,11.898
values_38,6763,3183,575,11.762
values_146,2508,1198,210,11.943
values_81,10260,4817,798,12.857
values_687,1517,724,130,11.669
values_213,6218,2945,511,12.168
values_212,1562,746,136,11.485
values_568,5136,2433,429,11.972
values_5,2791,1325,230,12.135
values_40,8000,3781,640,12.500
values_970,10833,5104,903,11.997
values_707,11416,5394,917,12.449
values_406,14653,6919,1223,11.981
values_893,5314,2529,431,12.329
values_144,4075,1937,323,12.616
values_979,6298,2976,509,12.373
values_831,11427,5401,921,12.407
values_402,4064,1932,340,11.953
values_404,8562,4057,699,12.249
values_310,3939,1879,336,11.723
values_70,7038,3348,570,12.347
values_268,3715,1765,317,11.719
values_412,6770,3208,556,12.176
values_290,2892,1376,246,11.756
values_916,1438,687,122,11.787
values_567,4886,2325,400,12.215
values_913,5935,2818,491,12.088
values_232,13965,6594,1149,12.154
values_319,14836,6993,1259,11.784
values_23,6172,2929,515,11.984
values_899,447,213,42,10.643
values_428,1843,883,155,11.890
values_858,6803,3229,568,11.977
values_546,12445,5867,1043,11.932
values_432,5958,2826,489,12.184
values_231,7391,3497,616,11.998
values_388,1933,927,167,11.575
values_350,9894,4675,789,12.540
values_603,4752,2255,393,12.092
values_364,9985,4715,812,12.297
values_530,1325,635,112,11.830
values_72,931,446,83,11.217
values_536,3129,1487,270,11.589
values_79,3984,1899,321,12.411
values_342,1775,853,151,11.755
values_803,3884,1844,316,12.291
values_501,4141,1979,347,11.934
values_540,9850,4647,773,12.743
values_955,3208,1524,278,11.540
values_191,6330,3003,531,11.921
values_812,12160,5748,1001,12.148
values_545,2474,1183,208,11.894
values_78,3613,1718,290,12.459
values_526,7155,3382,603,11.866
values_695,3071,1468,259,11.857
values_87,3320,1580,277,11.986
values_300,6002,2852,484,12.401
values_964,12004,5664,986,12.174
values_998,10536,4984,867,12.152
values_988,8156,3867,676,12.065
values_6,7874,3732,625,12.598
values_625,10064,4754,841,11.967
values_518,5577,2634,465,11.994
values_122,6610,3144,539,12.263
values_541,7382,3480,613,12.042
values_279,16850,7903,1411,11.942
values_256,7752,3663,612,12.667
values_796,7560,3576,615,12.293
values_504,13956,6579,1167,11.959
values_752,9250,4380,752,12.301
values_459,3681,1750,315,11.686
values_658,2576,1228,214,12.037
values_408,8855,4197,733,12.080
values_867,2632,1257,224,11.750
values_727,12463,5899,1028,12.124
values_177,4030,1917,338,11.923
values_823,5012,2374,415,12.077
values_822,2474,1183,208,11.894
values_218,8935,4228,731,12.223
values_426,5303,2522,427,12.419
values_776,6554,3115,529,12.389
values_143,4810,2274,404,11.906
values_739,334,161,32,10.438
values_312,3568,1698,305,11.698
values_174,11319,5325,924,12.250
values_669,8757,4130,708,12.369
values_120,660,320,57,11.579
values_974,4660,2221,380,12.263
values_217,4856,2288,379,12.813
values_866,1044,498,93,11.226
values_192,5528,2632,457,12.096
values_328,4627,2202,389,11.895
values_68,2869,1368,248,11.569
values_387,2069,987,175,11.823
values_69,7595,3587,628,12.094
values_749,8578,4038,695,12.342
values_135,4605,2188,381,12.087
values_341,4413,2099,363,12.157
values_494,2135,1027,178,11.994
values_1,12637,5952,1019,12.401
values_589,2599,1236,212,12.259
values_925,7615,3611,635,11.992
values_524,5687,2702,484,11.750
values_994,8799,4168,723,12.170
values_856,7324,3463,623,11.756
values_156,6106,2889,512,11.926
values_470,6985,3305,572,12.212
values_207,8235,3904,684,12.039
values_655,3602,1713,307,11.733
values_441,12229,5774,1016,12.036
values_109,11645,5486,970,12.005
values_45,6005,2838,496,12.107
values_125,10663,5027,872,12.228
values_600,16218,7609,1368,11.855
values_708,7772,3689,640,12.144
values_791,1336,642,116,11.517
values_912,818,394,73,11.205
values_533,3118,1480,266,11.722
values_418,15565,7295,1307,11.909
values_228,1325,635,112,11.830
values_585,2169,1042,180,12.050
values_465,1314,628,108,12.167
values_239,8507,4022,679,12.529
values_842,5273,2489,448,11.770
values_208,1923,914,153,12.569
values_932,3963,1881,324,12.231
values_957,4030,1917,338,11.923
values_563,12908,6078,1045,12.352
values_766,3851,1825,325,11.849
values_476,1561,750,125,12.488
values_175,660,320,57,11.579
values_591,5775,2754,474,12.184
values_997,3670,1743,311,11.801
values_385,4321,2065,350,12.346
values_115,3522,1680,288,12.229
values_653,6294,2996,507,12.414
values_753,4671,2228,384,12.164
values_241,5506,2618,449,12.263
values_197,7482,3535,618,12.107
values_636,10154,4798,853,11.904
values_450,12430,5878,1016,12.234
values_106,8990,4259,709,12.680
values_699,3771,1792,306,12.324
values_578,852,409,75,11.360
values_644,1449,694,126,11.500
values_570,5811,2759,477,12.182
values_873,3668,1753,310,11.832
values_33,334,161,32,10.438
values_210,9364,4428,773,12.114
values_486,12807,6029,1050,12.197
values_252,7131,3378,594,12.005
values_694,5215,2470,437,11.934
values_759,2936,1402,241,12.183
values_245,8943,4249,723,12.369
values_15,9883,4672,827,11.950
values_792,13937,6547,1129,12.345
values_248,4381,2074,362,12.102
values_246,4099,1943,353,11.612
values_556,852,409,75,11.360
values_513,8339,3937,670,12.446
values_93,7637,3623,622,12.278
values_558,10868,5111,874,12.435
values_991,9320,4400,757,12.312
values_181,5292,2517,444,11.919
values_674,7386,3521,603,12.249
values_652,4243,2024,353,12.020
values_344,5302,2528,437,12.133
values_715,16667,7833,1417,11.762
values_528,2981,1424,247,12.069
values_276,7006,3323,569,12.313
values_24,739,357,65,11.369
values_296,7119,3377,600,11.865
values_244,6893,3271,559,12.331
values_380,12691,5995,1070,11.861
values_25,3207,1528,267,12.011
values_740,11766,5559,972,12.105
values_478,6237,2973,507,12.302
values_379,9038,4269,748,12.083
values_810,3230,1536,265,12.189
values_440,11259,5318,933,12.068
values_543,660,320,57,11.579
values_130,13770,6456,1110,12.405
values_225,7062,3352,579,12.197
values_285,2114,1009,181,11.680
values_363,2316,1109,192,12.062
values_667,3343,1588,275,12.156
values_26,6263,2967,517,12.114
values_793,2711,1294,232,11.685
values_772,8146,3856,683,11.927
values_931,13495,6352,1103,12.235
values_981,7390,3501,605,12.215
values_422,11443,5384,938,12.199
values_920,660,320,57,11.579
values_259,413,198,40,10.325
values_477,8011,3790,665,12.047
values_738,6442,3059,530,12.155
values_430,773,372,67,11.537
values_922,5237,2484,445,11.769
values_903,1551,739,132,11.750
values_761,818,394,73,11.205
values_204,13607,6412,1144,11.894
values_48,334,161,32,10.438
values_71,1178,568,100,11.780
values_851,6062,2861,496,12.222
values_347,1674,802,135,12.400
values_725,5155,2461,425,12.129
values_266,1764,846,147,12.000
values_448,4109,1954,346,11.876
values_934,2069,987,175,11.823
values_531,2992,1431,251,11.920
values_224,12374,5849,1006,12.300
values_686,3963,1881,324,12.231
values_927,12226,5788,1004,12.177
values_407,10685,5041,880,12.142
values_76,2429,1161,202,12.025
values_949,447,213,42,10.643
values_969,8733,4128,720,12.129
values_781,7155,3382,603,11.866
values_7,3996,1902,336,11.893
values_683,7166,3387,586,12.229
values_376,7909,3743,638,12.397
values_877,3556,1695,290,12.262
values_654,5596,2662,461,12.139
values_508,6850,3239,554,12.365
values_332,6939,3289,576,12.047
