id,clockCycles,assemblyInstr
values_242,447,213
values_505,9872,4663
values_924,12487,5901
values_862,334,161
values_287,11877,5621
values_733,12735,6021
values_813,11167,5284
values_11,1257,605
values_19,4222,2006
values_999,12941,6101
values_134,413,198
values_609,6950,3296
values_993,11565,5453
values_731,7703,3663
values_127,1291,620
values_889,12217,5773
values_987,11011,5198
values_780,6656,3160
values_435,13020,6138
values_950,447,213
values_976,8225,3893
values_557,6997,3308
values_398,6443,3055
values_892,10649,5036
values_670,334,161
values_574,10514,4968
values_163,5317,2515
values_900,13107,6196
values_392,13086,6178
values_447,8543,4027
values_523,1438,687
values_679,4887,2321
values_419,334,161
values_895,447,213
values_298,6895,3263
values_155,3207,1528
values_12,8034,3798
values_160,739,357
values_626,2395,1146
values_38,5563,2643
values_146,4334,2062
values_81,2587,1235
values_687,6636,3138
values_213,7865,3715
values_212,2248,1079
values_568,5056,2400
values_5,8879,4201
values_40,7843,3705
values_970,13337,6280
values_707,13136,6172
values_406,4006,1913
values_893,773,372
values_144,5122,2440
values_979,9925,4706
values_831,8881,4191
values_402,1246,598
values_404,1651,794
values_310,2361,1131
values_70,11425,5413
values_268,807,387
values_412,447,213
values_290,4188,1991
values_916,1775,853
values_567,7989,3776
values_913,7402,3502
values_232,1044,498
values_319,1246,598
values_23,7967,3764
values_899,7705,3655
values_428,5755,2732
values_858,7482,3535
values_546,8407,3969
values_432,5691,2680
values_231,807,387
values_388,3962,1887
values_350,10333,4888
values_603,12558,5917
values_364,4460,2111
values_530,8843,4194
values_72,660,320
values_536,2293,1101
values_79,4448,2110
values_342,4683,2229
values_803,1843,883
values_501,1922,920
values_540,8146,3856
values_955,3320,1580
values_191,4514,2150
values_812,10841,5125
values_545,13078,6153
values_78,2813,1339
values_526,15368,7228
values_695,3567,1702
values_87,1257,605
values_300,6038,2859
values_964,2971,1413
values_998,4638,2207
values_988,7415,3501
values_6,1415,679
values_625,3500,1666
values_518,1257,605
values_122,8417,3982
values_541,4876,2314
values_279,4266,2032
values_256,10693,5062
values_796,1685,809
values_504,5755,2728
values_752,1359,650
values_459,1020,494
values_658,739,357
values_408,1449,694
values_867,413,198
values_727,2272,1083
values_177,3104,1487
values_823,12239,5785
values_822,5776,2750
values_218,10174,4818
values_426,10908,5161
values_776,3499,1672
values_143,7333,3478
values_739,12185,5748
values_312,1178,568
values_174,4435,2113
values_669,3039,1443
values_120,5463,2586
values_974,10132,4784
values_217,15778,7400
values_866,4629,2192
values_192,1517,724
values_328,1257,605
values_68,10132,4782
values_387,8340,3933
values_69,6027,2852
values_749,9700,4600
values_135,9851,4645
values_341,2992,1431
values_494,12015,5671
values_1,3602,1711
values_589,10326,4863
values_925,9750,4598
values_524,10852,5134
values_994,6476,3074
